"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions"
"6","/10","Monsters great, people and drama boring","https://www.imdb.com/review/rw4913622/?ref_=tt_urv","JoeYabuki","https://www.imdb.com/user/ur24926041/?ref_=tt_urv","5 June 2019","Great and Amazing battles/fights among giant monsters, epic and spectacular ones, what everybody was waiting for, if you want to enjoy good monsters and CGI this is you movie, go watch it on the best screen 8.5/10... But the plot is weak, people are stupid and make meaningless decisions. People's behavior is absurd, with a lot of boring drama that nobody cares, in addition the actors who are supposed to be the main ones have no time on screen. A Total disappointment.","627 out of 734 found this helpful."
"5","/10","Writers ruin what could have been a fantastic movie","https://www.imdb.com/review/rw4914128/?ref_=tt_urv","kbayless-1","https://www.imdb.com/user/ur7326812/?ref_=tt_urv","5 June 2019","Ever since the perfection of CGI, Hollywood has come to the conclusion that if the special effects are good, then then movie is good. Thus, my 5 star rating. Half of the movie involved the monster battles and that gets 10 stars. The half of the movie where there is no monster presence gets 0. That averages out to a 5. Perhaps some day Hollywood will re-discover the lost art of screen writing and combine it with CGI to create a truly fantastic movie. But don't look for it to change soon. A lot of people came out of the theater visually dazzled by the special effects knowing that the story was awful but still thought it was a great movie. So they will continue make a lot of money creating these kind of movies and save on time & expense by not having to pay top dollar for a writer.","537 out of 644 found this helpful."
"6","/10","Monsters awesome, rest meh","https://www.imdb.com/review/rw4897495/?ref_=tt_urv","King_MG","https://www.imdb.com/user/ur79276070/?ref_=tt_urv","29 May 2019","The whole dramatic family story wasn't able to catch me. It isn't annoying, but allways kind of irrelevant. Every scene including monsters on the other hand is stuning. In General the monster design, the CGI, the fights and the whole cinematography aswell are beyond beautiful. I recommand the movie because of those monster scenes. Everything what happens around that is more like a 3/10","576 out of 723 found this helpful."
"6","/10","ARGH JUST KILL THE HUMANS ALREADY","https://www.imdb.com/review/rw4913063/?ref_=tt_urv","Mickdrew99","https://www.imdb.com/user/ur26484022/?ref_=tt_urv","5 June 2019","Crazy review title right? Well you might agree after watching this movie.You'll probably hear a lot of opinions from people who aren't homegrown Godzilla fans - and they will have their own thoughts on this.
I, on the other hand, am a big fan of the monster going years back. Finding a Godzilla movie in the TV guide, or a DVD for one of the Toho movies to rent was like winning the lottery when my brother and I were young.Here are my thoughts plainly stated: Yes, this is a better Godzilla film than the 2014 movie. There are *aspects* of the latter that some might say make it superior, but that would only make it a better movie in general - as a *Godzilla movie* this new one is quite a bit better.Don't listen to the people on RottenTomatoes talking about how ""the special effects are overly relied on and can't make up for the bad characters and plot.""
No. Those CG monsters are the best part, and they almost singlehandedly save this movie. The solution is not to focus less on special effects and develop the characters better. The solution is to have every human character stepped on in the second act and have the last 45 min center the story solely on the monsters - which I guess would mostly be fighting.The problem is this does not happen. Every moment you see the monsters battle, you enter a brief moment of bliss before you are ripped away to deal with people you don't care about doing things you hope they fail at. The first ""clash"" occurs in Antarctica, and that scene was actually quite good despite the focus on the humans. You're just now being exposed to these titans duking it out, so having people there witnessing the madness and trying to escape help play into how incredible this event truly is.By the 3rd act, however, this tolerance has dried up. Correct me if I'm wrong, but doesn't a movie titled ""Godzilla"" imply that he is the main character? Because he doesn't feel like one. Without a doubt, THE biggest problem that Godzilla (2014) and this film have is they place waaayyyy too much value on human beings. Everyone in the audience is waiting for them to shut up and go away, but the movie has its head up its ass and thinks what they're doing is somehow important and worth focusing on. It would be like two warriors facing off, and having most of the climax focusing on ants running around on the ground trying to save each other.The only ""characters"" here that need development are the Kaijus. Have them be your stars. Have them be the focus. It doesn't just have to be mindless action like how snobby people will pretend that's all we want to see. Go ahead and tell a story, but NOT with people. They are not the reason we're watching this, and we don't care about them.One exception to what I said in the previous paragraph: Ken Watanabe
His big character moment was incredible. If you must have human beings involved, do them like this. He was amazing.","517 out of 671 found this helpful."
"6","/10","To much screen time for the humans.","https://www.imdb.com/review/rw4919799/?ref_=tt_urv","ipodced","https://www.imdb.com/user/ur86678066/?ref_=tt_urv","7 June 2019","Next Movie they do they need to let the monsters fight more rather than letting us listen or watch the people story. I like Godzilla, but this movie was pretty bad only Bec of the lack of screen time for the monsters fighting. I want to see a Godzilla movie with humans not humans with Godzilla. The main character, which is in the damn title, Godzilla has barely any screen time. I don't know why they keep doing this, they have been focusing to much on the humans since the 60s. Someone please change this aspect of all Godzilla movies.","363 out of 480 found this helpful."
"1","/10","My eyes are hurting after watching this movie","https://www.imdb.com/review/rw4906351/?ref_=tt_urv","hemantfantastic","https://www.imdb.com/user/ur26075089/?ref_=tt_urv","2 June 2019","The movie had terrible writing with characters having ridiculous motivations to do certain things. There was a continuous shower of blinding lights, blurred and dark action scenes and shaky cam which was a pain to the eyes.","471 out of 702 found this helpful."
"10","/10","The Godzilla film fans dreamed of :)!","https://www.imdb.com/review/rw4899211/?ref_=tt_urv","ministry-81759","https://www.imdb.com/user/ur103688179/?ref_=tt_urv","30 May 2019","Right from being a child and watching the Hana Barbera cartoons and stomping round the house pretending to be Godzilla, to being allowed to stay up till the early hours of the morning as a treat by my Dad to watch the Togo films on channel 4 here here in the UK I have loved Godzilla. How I wish he was still here today to have watched this glorious film with me.Baffled by many of the reviews saying to much Kaiju action or poor director etc.This film was clearly made by a dedicated and passionate Godzilla fan. The sheer amount of Easter eggs and fan service which had me grinning is incredible, (yet knowledgeable Godzilla fans on RT seem to not have noticed any of this) and talk about the likes of fire breathing dragons ><!Anyway the film is awesome. One of my favourite films of all time. Definitely my favourite Godzilla film.The effects are incredible.The music is awesome. You will be grinning from ear to ear at certain points.I actually like the human cast. I liked 2014 Godzilla but did not like the main cast Aaron Tailor Johnson. Did not have those issues here. They play imo a good supporting cast to the main cast you care about - The Titans :)!I'm super excited to see what happens next in the monsterverse.Make sure you stay till the VERY end of the credits scene or for a final scene hinting at wha could be to come ;)!I would also encourage you to write a review also should you watch and enjoy the film. Let's not let the likes of Rotten Tomatoes deter people from seeing a very fun and entertaining Godzilla movie :)!","612 out of 1,062 found this helpful."
"7","/10","Good but bad, but good","https://www.imdb.com/review/rw4908873/?ref_=tt_urv","manssonjoel","https://www.imdb.com/user/ur74709647/?ref_=tt_urv","3 June 2019","The movie is about godzilla right? I dont want to follow a little girl and her mom 70% of the movie. I just dont care about them or if they will survive or die because its about the giant monster. The fights and scenes with zilla was great. I would like to see more lore and background about the titans.","165 out of 277 found this helpful."
"1","/10","Just awful","https://www.imdb.com/review/rw7059997/?ref_=tt_urv","ijbathome","https://www.imdb.com/user/ur121145390/?ref_=tt_urv","24 June 2021","Oh dear, to think that grown adults get paid for putting this sort of rubbish together...","34 out of 45 found this helpful."
"","","Godzilla: King of the Monsters","https://www.imdb.com/review/rw6525744/?ref_=tt_urv","auuwws","https://www.imdb.com/user/ur118977607/?ref_=tt_urv","25 January 2021","The movie was average, and the movie contains many great fighting scenes between the monsters in the movie. The human side in the movie was bad, unlike the monsters side, the CGI in the movie was excellent, and the monsters in the movie were great.","37 out of 58 found this helpful."
