"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions"
"7","/10","Kind of all over the place but distinct enough","https://www.imdb.com/review/rw3691295/?ref_=tt_urv","spencergrande6","https://www.imdb.com/user/ur8499289/?ref_=tt_urv","22 April 2017","A strange movie. It is kind of all over the place with its themes and influences but it has a distinct enough personality and some solid setpieces.This is a straight adventure story with giant monsters, and the way it's shot and the hammy dialogue are mostly B-movie and comic book derived (check out those Dutch angles and blistering colors and 10 times too big sun, moon, aurora...).But there's also a clunky Vietnam metaphor that's a straight-up over the top ""homage"" to Apocalypse Now, et al. The song choices even more so. It makes sense in theory (VietKong anyone?) but I don't think it ever really works and it's just an excuse to make Sam Jackson a bad guy to counterpoint Kong's ""human"" side.Characters are fine for the most part. They serve their cardboard purposes and that's what's expected. Hiddleston and Larson in particular feel vastly underdeveloped. Everything they say and do fall instantly from memory and their disappearance from the movie all together wouldn't have changed it that much.But what we want are monsters and we get them. Most of them are wonders to behold (the water buffalo, spider legs, and octo tentacles yum) except the generic Skullcrawers (the scene where Reilly names them is embarrassing - I don't think Larson or Hiddleston had any idea what to do the dialogue is so ferociously dumb. Reilly almost saves it however).This Kong feels like a very different movie than the new Godzilla. This is very much an entertaining B-movie with strong comic book influences worn loud and proud. It will be interesting to see how these two worlds collide. If any franchises deserve an extended universe, it's these! That's what they're all about.","31 out of 33 found this helpful."
"7","/10","Shut Down Your Brain and Enjoy the Adventure","https://www.imdb.com/review/rw3681488/?ref_=tt_urv","claudio_carvalho","https://www.imdb.com/user/ur2488512/?ref_=tt_urv","9 April 2017","When the Vietnam War ends, Bill Randa (John Goodman) and his partner Houston Brooks (Corey Hawkins) from the Monarch organization succeed to get the financing for an expedition to the recently discovered Skull Island from Senator Willis (Richard Jenkins). He hires the former Captain James Conrad (Tom Hiddleston) to guide the expedition; a group of soldiers under the command of Colonel Preston Packard (Samuel L. Jackson); and the awarded journalist and photographer Mason Weaver (Brie Larson). On the arrival, the helicopters need to cross a storm and soon they drop bombs on the forest to map the seismology of the island. Soon they are attacked by a huge gorilla called Kong that destroys the helicopters and kills part of the crew and scatter the rest through the island. The group commanded by Conrad meets Hank Marlow (John C. Reilly), a survivor from the World War II that lives with a tribe of natives. He explains that Kong protects the island and the natives from underground monsters and shall not be killed. But Colonel Packard is insane seeking revenge for his men that died.""Kong: Skull Island"" is a brainless adventure with several stupidities. For example, the number of helicopters in the beginning of the journey of Randa, Conrad and Packard is totally incompatible with the size of their ship. Bo pilot would dare to cross a storm like that in a helicopter. The attack of all the helicopters to Kong is absolutely imbecile. Most of the survivor's attitude are at least unreasonable. On the other side, the adventure is highly entertaining and the special effects are top notch. Therefore the best option to the viewer is to shut down the brain and enjoy the adventure since this is the purpose of this type of blockbuster. My vote is seven.Title (Brazil): ""Kong: A Ilha da Caveira"" (""Kong: The Skull Island"")","286 out of 359 found this helpful."
"","","Enjoyably distracting monster movie","https://www.imdb.com/review/rw3768069/?ref_=tt_urv","bob the moo","https://www.imdb.com/user/ur1002035/?ref_=tt_urv","30 July 2017","Looking back at old movies, the effects date quickly and they become rather cheesy in their simple pleasures. Someday I will do that with this film, because essentially it is a creature feature, albeit one that happens to be being delivered with the biggest stars, biggest budget, and state-of-the-art effects. And the thing is, despite all this superficial polish, the film is essentially big monsters and spectacle.On this front it is enjoyable though; it has plenty of action, lots to look at, and a reasonably successful mix of humor and drama. I say reasonably, because the plot isn't up to much, and different characters seem to be in different films depending on who they are. This is matched by the performances which range from the silly fun (Reilly) to the stupidly OTT (Jackson) to the starry but bland (Hiddleston, Larson); the film doesn't seem to have a handle on what it wants to do, and the mix that it produces is not always successful, and it relies on big moments of action and noise to try and cover it. Perhaps at some point there was some smart commentary about US foreign policy in there, but that is lost in the mix too.Still, it works as a monster movie with great effects and lots of polish, so enjoy it for that even if there is not too much beyond that.","17 out of 20 found this helpful."
"7","/10","Tour of Duty makes an excursion to Skull Island","https://www.imdb.com/review/rw5272961/?ref_=tt_urv","Coventry","https://www.imdb.com/user/ur2020269/?ref_=tt_urv","22 November 2019","I usually don't comment on massively budgeted blockbusters, but ""Kong: Skull Island"" is such a joyfully tongue-in-cheek homage to giant monster B-movie cinema that I simply had to make an exception! This is a tremendously over-the-top and silly creature-feature, but the undemanding popcorn-entertainment value is just irresistible. The original King Kong, from 1933 already, is a monumental piece of cinema and still very powerful today. The more recent (2005) and expensive Peter Jackson remake was, at least in my humble opinion, a very boring and overlong romantic drama. ""Kong: Skull Island"" nicely falls right between these two extremes. By no means, it's great cinema, but at least it provides thrills, chuckles and adrenaline rushes from start to finish. The intro and scene-setting are already incredibly dumb, but oh so fun! We're supposed to believe that there exists a secret government agency (yes, another one) named Monarch, and their area of expertise is searching around the world for monsters and oversize animals. In 1973, The agency's CEO (an energetic John Goodman) benefices from the US-army's retreat out of Vietnam to recover soldiers and assets for a mission to the secretive Skull Island; a place where - and I quote - God left his creation unfinished.""Kong: Skull Island"" certainly doesn't waste any time! The helicopters have barely begun circling over the island, and there already emerges the humongous ape King Kong to slap them out of the sky like tiny ping-pong balls! The few remaining soldiers, led by the frustrated platoon leader Samuel L. Jackson, continue on foot and swear to destroy King Kong, but they soon learn that the island homes lots of other giant and unspeakably evil monstrous creations, and that Kong isn't even such a bad fella. It's a mission impossible to take this film seriously, but with the right mindset (and perhaps a few six-packs of beer) you'll have a great time. Seeing the story takes place in 1973 and has an abundantly clear Vietnam collection, it also somewhat feels like a long-feature ""Tour of Duty"" movie with a downright awesome 70s soundtrack. The special effects are cheesy and exaggerated, the dialogues are deliciously tacky (""hm, a mushroom...that means there must a river nearby!"") and the casting is perfect. I already mentioned John Goodman and Samuel L. Jackson, but there's also John C. Reilly as the bewildered WWII veteran who's been stuck on the island since 1942.","10 out of 11 found this helpful."
"7","/10","Very cool","https://www.imdb.com/review/rw5669203/?ref_=tt_urv","doomedmac","https://www.imdb.com/user/ur111092901/?ref_=tt_urv","24 April 2020","This is a really cool movie! It's not deep or complex, but it's visually great and a lot of fun.","20 out of 25 found this helpful."
"7","/10","Delivers the goods for fantasy-adventure lovers","https://www.imdb.com/review/rw3702862/?ref_=tt_urv","Wuchakk","https://www.imdb.com/user/ur4409266/?ref_=tt_urv","7 May 2017","Released in 2017 and directed by Jordan Vogt-Roberts, ""Kong: Skull Island"" takes place in 1973 where a military crew about to depart Vietnam is commissioned to guide an expedition to map out the eponymous island. Of course, the giant ape, Kong, is soon discovered, as well as several other deadly colossal creatures, including reptilian underground monsters dubbed ""Skullcrawlers."" Will anyone make it out alive? Like my title blurb says, this delivers the goods for fantasy-adventure lovers. The opening act is great with its kinetic air and excellent late 60s/early 70's soundtrack. The rest of the movie more or less keeps up the entertainment value, highlighted by the racially diverse cast, led by Samuel L. Jackson, John Goodman, Tom Hiddleston, Brie Larson and John C. Reilly; there are many others.""Skull Island"" has the high adventure demanded in a King Kong flick and is arguably on par with the original ""King Kong"" (1933), as well as the 1976 and 2005 versions, although it's superior to the latter because it lacks that one's pretentious over-length, cartoonish CGI-jungles and overkill action sequences (like the absurd brontosaurus stampede). Of course, it's criminal to compare a modern CGI-oriented flick with a classic like the 1933 film (or even the '76 version); I'm just saying that, if you favor those movies, you'll probably relish this one because it's cut from the same cloth and is effective for what it is, a colossal creature adventure flick. For further comparison, ""Skull Island"" is pretty much as good or, IMO, better than any of the Jurassic Park pictures.Along with the thrilling jungle escapades, there are some interesting subtexts and gems to mine, like the quasi-Ahab subplot and the fact that dropping myriad bombs might not be the best answer. Early in the film the photographer (Brie) tells the the gung-ho Colonel (Jackson) that America lost the Vietnam War. Yet, this isn't really accurate since the USA won every battle of that infamous conflict. So the colonel rightly corrects her: ""We didn't lose the war; we abandoned it."" The movie runs 118 minutes and was shot in Ha Long Bay, Quang Ninh, Vietnam; Oahu, Hawaii; and Queensland, Australia; with studio work done in Los Angeles.GRADE: B+","21 out of 27 found this helpful."
"7","/10","A stylized version of Kong that you may or may not have wanted","https://www.imdb.com/review/rw3654203/?ref_=tt_urv","andrew-marks59","https://www.imdb.com/user/ur34478459/?ref_=tt_urv","4 March 2017","Some people go to the movies to be wowed by the superb acting, heart wrenching and well written story, and overall solid production... THIS has good effects? The acting in this film isn't bad, but it definitely won't win any awards for it. The story has characters Bill Randa (John Goodman) and Houston Brooks (Corey Hawkins) piggybacking on an expedition to an uncharted island to test their ""hollow earth"" theory. Tom Hiddleston plays a tracker, Brie Larson plays a photographer, and John C. Reilly plays a surprisingly funny WW2 vet marooned on Skull Island.The film takes place in 1973 and loves to remind you with CCR and old technology as if it was a hundred years ago. Kong: Skull Island pays homage to Apocalypse Now quite frequently even though it seems a bit excessive at times.Kong looked good, almost all the creatures looked cool and all the fights between them looked really good, especially in IMAX 3D. Some of the green screen effects, like backgrounds behind characters, were distractingly bad. Ultimately, you get some great stuff out of all the effects if you're not looking too closely.The characters are more hollow than the earth (according to the film's characters themselves), the story is mediocre, but the effects reign king in this film adaptation. My suggestion: See it! it's a blockbuster meant to fill seats, not win awards. Take it for what it is.Seen at an advanced IMAX 3D screening in Minneapolis.","288 out of 458 found this helpful."
"8","/10","Completely Entertaining Throughout","https://www.imdb.com/review/rw3682215/?ref_=tt_urv","Her-Excellency","https://www.imdb.com/user/ur67432377/?ref_=tt_urv","10 April 2017","THIS is the way a movie should be done.Have you ever watched the scene from The Princess Bride where the grandfather tells the kid: It's got everything. ""Fencing, fighting, torture, revenge, giants, monsters, chases, escapes, true love ..."". Well, in a way, that's this version of KONG, and I am really happy and surprised at just how GOOD it was.Take a bit of the original Kong, mix it with one part Private Ryan, a dash of The Deer Hunter, some Monty Python, lots of Jurassic Park, a pinch of A Space Oddity and mix well with some (insert your favorite lower-key funny movies HERE). The result is a pleasing fare one can really sink their teeth into and enjoy.It has some familiar faces too, and what's best about it, is that not only do they live up to their so-called stardom, but even the unfamiliar or not-yet- ""famous"" actors with smaller roles, really do a great job and sell it. At no time while you are watching this movie do you feel it far-fetched or unbelievable that Kong actually exists, and isn't that, in a nutshell, what all movies should aspire to - the suspension of disbelief? Mission accomplished on this one, and good job to the creators.A definite must-watch.","182 out of 260 found this helpful."
"7","/10","A Better Than Expected Adventure","https://www.imdb.com/review/rw3657063/?ref_=tt_urv","garethvk","https://www.imdb.com/user/ur1210420/?ref_=tt_urv","8 March 2017","The legendary King Kong returns in an all new adventure that gives the classic tale a much needed update and new setting. Unlike Perter Jackson's retelling of the original Black and White film, ""Kong: Skull Island"" eschews the old for the new and in doing so breathes a much needed new life and vitality into the franchise.The film is set in 1973 when William Randa (John Goodman), informs the government that they have detected a previously unknown island and need to investigate it before the Soviets learn of it and beat them to whatever the island my hold.William recruits a team which includes a former British officer named James Conrad (Tom Hiddleston), and Photographer Mason Weaver (Brie Larson), to assist his team lead by Houston Brooks (Corey Hawkins), in mapping the island.William also asks for a military escort and the government enlists Lt. Colonel Preston Packard (Samuel L. Jackson), and his team to accompany the mission. Packard is trying to find his place in the world as he and his helicopter combat team are dealing with the recent end of the Vietnam War. His men are looking forward to going home and resuming their lives, but a dour Packard jumps at the chance for another mission over the uncertainty of the future.Upon arriving on the mysterious island and starting their survey mission by using seismic charges, the team attract the attention of Kong who is not at all pleased with the intrusion on his island. Kong makes short work of the copters and the team finds themselves scattered about the dangerous island. They soon learn that Kong is not the only danger on the island and must find a way to rejoin each other and make it to their extraction point alive.Naturally some of the characters have a hidden agenda and there are dangerous and action around every corner. Further complicating matters is the appearance of Marlow (John C. Reilly), a downed WWII pilot who has been stranded on the island for 23 years and warns of dangers far greater than Kong that are ahead of the team.The film combines a solid cast with state of the art special effects to take a new twist on the standard adventure fare. While many parts of the film remain silly Popcorn entertainment, the quality of the assembled cast allows the film to move beyond being just an assembly of potential victims for a menagerie of CGI creatures to dispatch. While the story is more in lines with the linear and thin plots of adventure films of old, the sum of the parts does add up to an enjoyable film experience for those who like the giant creature films. You will want to make sure to stay after the credits as there is a very good scene that shows a setup for a future film that had those in attendance at our press screening cheering.The film may be a bit intense for younger viewers but if you are looking for a touch of nostalgia and action, you may find the film just what you need.3.5 stars out of 5.","124 out of 203 found this helpful."
"10","/10","Kong is King","https://www.imdb.com/review/rw3682617/?ref_=tt_urv","GrandJury","https://www.imdb.com/user/ur0170028/?ref_=tt_urv","11 April 2017","My review is short and sweet.Half the people on here saw it on the day it leaked - just check review dates - and on their phone screens and then can't understand why they didn't really like it.Not much you can do for those people if they choose to cheat themselves out of a great movie experience, but just don't let them cheat you out of one.This is a very well put together movie with excellent everything including cast, sound, graphics, plot, lines, cinematography, you name it.Can't do more than point you in the direction of a good movie and up to you to watch it or not, but in my book, this Kong was King.","36 out of 47 found this helpful."
