"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"5","/10","Ok Performances But A Predictable And Unoriginal Story And Also Boring Action And Uninteresting Villain","https://www.imdb.com/review/rw9267200/?ref_=tt_urv","HabibieHakim123","https://www.imdb.com/user/ur105506099/?ref_=tt_urv","18 August 2023","I found Blue Beetle as the most basic teenage superhero origins story that are no longer special, and it leaves me no impress whatsoever because we all already way too familiar with this type of story, it's predictable and literally nothing new, it's bland and the action was boring, my face was literally straight the whole time, and the villain was also meh, what i like about Blue Beetle was the family dynamic that's definitely there, and the family itself as their own was good enough, Bruna Markuezine was good, including Xolo Maridueña himself was good and just if his story wasn't the same like most of teenage superhero origins story, Blue Beetle would've been something else because what i do like again was some of the cinematography, editing, the Blue Beetle suit was amazing and i really love it, and the special effects for the most part was good, but again overall i just can't found something new in terms of story, and it would've been just an ok movie but it's too bad that the action was boring and the comedy also didn't work, the villain wasn't that good, so it is what it is unfortunately, Blue Beetle is not a bad movie, it's a basic teenage superhero origins that fills with ok performances but a predictable and unoriginal story and also boring action and uninteresting villain.","323 out of 457 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9362930/rw9267200/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","A True Masterpiece...if It Had Come Out 20 Years Earlier","https://www.imdb.com/review/rw9262250/?ref_=tt_urv","MiroslavKyuranov","https://www.imdb.com/user/ur57827313/?ref_=tt_urv","16 August 2023","""Blue Beetle"" is simply B or even C grade super hero movie with some charm along the way. I don't think it will be realistic to expect something else to be honest. The trailers showed that pretty well in my opinion.The tone of the movie is close to that of ""Shazam!"", given the fact that the family got bigger role in it again, that said the story is not all that good. Not that ""Shazam!"" got some epic story, but I think it was one idea better.The cast is fine, maybe the best part of the movie is the family dynamic, except when they lean too much to the melodrama side. Xolo Maridueña as Jaime/Blue Beetle and George Lopez are the standouts no doubt.The villain is everything you ca expect from B grade super hero movie, from the introduction, through his motivation, the fights and the conclusion is nothing particularly memorable.I must say the suit looks great when is practical and not CGI all over the place. There are some cool fight scenes with our protagonist, most of which are shown in the trailers, which is kinda of a shame.There are plenty of jokes in the movie, but for me, most of them doesn't land. I mean they are too childish. I guess the younger auditory will laugh out hard, but me and my cinema crowd were silent most of the time. Of course there were funny moments, but don't expect ""Deadpool"" level laughs if you are a bit older.The movie is not bad, but it's kinda cringe, predictable and given the fact that the audience know this genre already, they expect something more clever, which sadly to report ""Blue Beetle"" is not.There are already enough talks about the future of this character, is it part of the DCEU or DCU, will there be a sequel, or the character will transfer in the newly formed universe? If you ask me, there will not be a second movie, because this one will bomb hard, also, I'm not sure how you can do clean slate without the bagage of the previous universe, when you always lean to what was, not what it can be. In other words there is always a chance to see Blue Beetle again, but who will portray it and will the origin story be 1:1 identical is something I'm not sure about and I don't hold my breath for it.In conclusion the movie is ""okay"", got its moments, but there is nothing really memorable, also there are two credit scenes, which are fine I guess.","363 out of 566 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9362930/rw9262250/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Expected more","https://www.imdb.com/review/rw9506403/?ref_=tt_urv","HernanTrujillo","https://www.imdb.com/user/ur174510084/?ref_=tt_urv","20 December 2023","As a Latino myself, I was looking forward to this film but, I was unfortunately disappointed. I was excited to hear that we had a superhero movie starring a Latino cast coming into the works but, it was executed poorly. There are times when they were trying too hard to portray a Latino family, a bit exaggerated and tried too hard to be funny. The acting from a few of the cast was fine, some of it felt forced. It seems like they didn't put as much heart into this film as they would a Batman film. With some work, this could've been a better viewing experience. Xolo was a great casting choice but could use a bit of work on some of his execution to the character.","15 out of 20 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9362930/rw9506403/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","A DC FILM THAT JUST WANTS TO BE FUN","https://www.imdb.com/review/rw9263877/?ref_=tt_urv","ajacayen-90247","https://www.imdb.com/user/ur168068158/?ref_=tt_urv","17 August 2023","DCEU's 2023 has been at a dipping point. With the disappointment of Shazam! Fury of the Gods, in which the first one I really loved, and the somewhat decent of a Flash movie, it seems like the way the franchise is ending doesn't seem like a bang. Fortunately, Blue Beetle has already come out oh boy did it not disappoint.Now let me preface this: it is by no means a classic nor is it groundbreaking in the superhero genre. At the end of the day, I just want to have a good time in the theaters and, for the most part, it succeeds in what I'm aiming for: a fun time.Xolo Maridueña as the titular young Iron Man-like superhero, alter-ego Jaime Reyes, was really good. He brings a lot of energy to his performance filled with charisma, awkwardness and relatability because of his love for his family.Speaking of family, everyone was really good playing in their respective roles but George Lopez was easily the standout because of how funny his lines and reactions are towards Jaime.And the theme of the family is really at the center of Blue Beetle, it's really hard not to ignore it which is similar to Shazam. But as the film moves on, it does feel like everything that was done to make this possible was filled with heart by the filmmakers and knew just to be simply entertaining, hitting at all the right beats to make you laugh and cry.The pacing was surprisingly good as to how they were able to fill in the runtime which doesn't make it feel like two hours at all as you are watching it. It's like it took two to three days in the story, if you look at the second to the third act. That was really impressive.Visuals are great and the action sequences are really good to look at. Props to the director of photography, who by the way did Hereditary and Midsommar - yeah, let that sink in.Of course, the film is not without its faults. It is cheesy at times, does feel generic and doesn't seem like it wants to outshine the rest of the films not just in DC but everything superhero in general. But my personal issue would have to be how they handled Susan Sarandoncs character and the nemesis of Jaime. While I get where they are going, it felt like it needed to be more compelling and not just some cartoony villains.But by the end, I walked out of Blue Beetle thinking how good it was to see an enjoyable film with the message of family that hit me emotionally. Would I recommend the movie? Yes.","119 out of 210 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9362930/rw9263877/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Activate bug fart.","https://www.imdb.com/review/rw9268033/?ref_=tt_urv","chand-suhas","https://www.imdb.com/user/ur23656818/?ref_=tt_urv","18 August 2023","For what it's worth, this is not an origin story yet is designed to be one, atleast for the main lead. After graduation, Jaime Reyes returns back to his family who are near bankrupt and on the verge to lose their home. Desperate to save the house, he looks for a job and lands at Kord Tower, after an invitation from Jenny Kord. Meanwhile, Kord Industries CEO Victoria Kord, is a greedy woman who wants to control an alien species Scarab for it's technological power, to create a deadly weapon. Jenny's attempt to steal this Scarab leads to Jaime getting hold of it and eventually becoming the host. What follows is, Jaime realizing his purpose and acknowledging his connection with Scarab.Blue Beetle clearly has arrived a decade late, which is also what works in it's favour. There is no pressure of building in/adding on to the DC universe. All it aims for, is to be a simple silly fun entertainer, going over the top at every opportunity and yet succeed in entertaining. This is simply not the kind of film one should take seriously. The humor is hit and miss, thankfully the emotions work well. The Latino superhero does leave a lasting impression. There is not much about the Scarabs so the film directly focuses on Reyes becoming the new Blue Beetle while casually dropping the fact that there were others before.Susan Sarandon's Victoria isn't evil enough whereas her own weapon Carapax isn't menacing enough and are barely serviceable. What does work is the goofiness of the Reyes family and right dose of father-son dynamic, because what's a DC superhero without that? The action set pieces are generic and like I said, the film still delivers on providing basic harmless entertainment. The post credit scene does set it up for a standalone sequel without burdening itself from being part of DCU's planned future.","74 out of 139 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9362930/rw9268033/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","What could have been a really cool superhero film ruined by terrible writing.","https://www.imdb.com/review/rw9331561/?ref_=tt_urv","GhostFoxX","https://www.imdb.com/user/ur125357563/?ref_=tt_urv","19 September 2023","Anyone who follows DC or even comics as a whole, knows how promising of a character Blue Beetle is in the comics-verse. Guy has been a featuring member of Teen Titans for decades, holding his own as one of the coolest drawn characters that has a very interesting backstory regarding an alien symbiote. The character had immense potential to be turned into a promising live-action film-series out of it. And frankly speaking, I think the cast choice was good as well - they could've pulled off the hype. The only thing that ruined this film, however, is the writing. It's terrible - felt so rushed and low-depth at some points that you'd feel like pausing to not continue watching anymore. CGI was bad for some parts too, but that can still be overlooked as most of it gets the job done quite well. But the writing, man, it's awful. DCU won't have much to build on if they continue doing such pathetic job at writing stories like this.","17 out of 28 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9362930/rw9331561/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Better than you think!","https://www.imdb.com/review/rw9264408/?ref_=tt_urv","That_Movie_Watcher","https://www.imdb.com/user/ur133894147/?ref_=tt_urv","17 August 2023","The marketing is letting this movie down! This film is so much more than just a origin story for a new superhero! This film has a lot of heart, with the directors love and care for this character being evident throughout the film! The character was introduced perfectly, and I hope it gets enough love to get a sequel because it deserves one! Also, so many touchy and difficult societal issues are brought up and tackled in respectful and nuanced ways. Their inclusion doesn't pull you out of the movie whatsoever! You aren't hit over the head with anything and these issues actually end up aiding the story and character greatly and give the film that much more of an emotional punch!The acting was phanominal as well! All of the actors gave amazing performances and really were able to convey each of the characters emotions beautifully in every scene!The action was by far the best part of the film! The camera angles and movements made you feel as if you were experiencing the fights irl! They were awesome!The comedy was also fantastic and handled perfectly! I found myself laughing every other minute at some points because the jokes were just so good! George Lopez was AMAZING throughout the film and really brought life to every scene he was in! Perfect casting!!Overall, I had a fun time with this movie and I highly recommend watching it!","156 out of 292 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9362930/rw9264408/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Typical superhero movie","https://www.imdb.com/review/rw9263069/?ref_=tt_urv","ferniehernandezjr","https://www.imdb.com/user/ur110641823/?ref_=tt_urv","16 August 2023","#bluebeetle #MovieReview Typical superhero movie. There is nothing new that this movie brings to the table. It is similar to other superhero films but now with a Latin flavor. It is pretty funny though and there are alot of Latino/Hispanic references. The film is for everyone but the word ""pendejo"" is used alot, so a small warning if you don't want little kids hearing that. The best part of the film was the family. The movie shines whenever they were together. Villains were not memorable or interesting. The love interest feels forced and not natural. The acting was good. Overall it was
7.5/10.","57 out of 111 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9362930/rw9263069/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","DC's first AI written film","https://www.imdb.com/review/rw9269289/?ref_=tt_urv","dextermorgan-91603","https://www.imdb.com/user/ur63280771/?ref_=tt_urv","19 August 2023","Welcome to yet another hot garbage by WB studios. This cannot be a movie written by humans. The dialogue is just beyond gut wrenching puke. No way this was written by a sanely functioning human. Has WB lost its mind completely? From Immigration to name mispronounciation, poverty and other such blatant in-your face tropes about the latin american genpop. What were they trying to achieve here? Score ESG points for appeasing the ethnic minorties ?Susan Sarandon is completely wasted and reduced to a script reader with a monotone voice. The physical thrreat aka bad guy has to be the THE worst character ever produced in the history of movies. With a singular expression on his face and no character development he was punching bag for the protagonist. The supporting cast is headache inducing with non-stop conversing in their own colloquial terms much of which is left to be deciphered. Horrendous doesn't even begin to cover this movie. Steer clear and wait for streaming after all this movie was meant to be a streaming release initially, so that just tells about its quality. A bloated telenovela garbage with sprinkles of fortnite battles aimed at 10 year olds.","148 out of 221 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9362930/rw9269289/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Expected more but still enjoyed it","https://www.imdb.com/review/rw9267817/?ref_=tt_urv","AfricanBro","https://www.imdb.com/user/ur120413622/?ref_=tt_urv","18 August 2023","I remember loving blue beetle in cartoons growing up so I was excited for this. I feel like people, generally speaking, aren't as hyped up for this. I enjoyed it but it was a mixed bag, there's nothing really adventurous attempted and for the most part, just felt good or okay enough. Too many things could've been done better.The family's dynamic was fine, yet the emotional connection between Jaime and Jenny was notably nonexistent- their attempt to forge it even prompted some to audibly scream no in the theatre. The actors' portrayal felt unconvincing, and the writing felt contrived, unimaginatively executed too. The familial bond is likely to resonate with fans later in the future, as evident in their concerted effort to show Blue Beetle is a family guy, along with the Perez family ethos. They really wanted to push that narrative and hammer it home. While I do know that in my brain, but I also wanted to feel that in my heart. James Gunn is a master at this, adept at bridging the gap between what I know and what I feel about a group of characters. They had too many family talks in my opinion, tried too hard. As for Blue Beetle himself, he's a character we'll love more the more we see him(I think), making his debut a respectable foundation for the future DC Universe. However, the ongoing controversy between DCU/DCEU and James Gunn's new vision might contribute to a diverse range of reviews.Pretty good comedic timing and the jokes didn't feel contrived. The suit had a cool design, and despite not having watched Blue Beetle cartoons in over a decade, it had familiarity. The transformation into Blue Beetle was strikingly done with a hint of horror, which I found compelling. I appreciated the mix of cartoonish yet realistic action sequences. There were still some 'fast and furious' ludicrous level action scenes.Some animations looked like video games with their 3D-like quality, and a few scenes lacked the grandeur suited for IMAX screens. The density of the visuals didn't match up, perhaps I'm influenced by the standards set by ""Oppenheimer,"" which was what I saw last in IMAX. Initially planned to watch in standard 2D, I went for the earliest available viewing instead.The story was a generic but it had a lot of interesting stuff in. Beyond the superhero himself, DC's attempt to bring some novelty into the genre was lacking. Some plot reveals didn't have the impact they should've. Improved character background execution, particularly for Nana and the main villain, was needed; their histories felt like it was mentioned only for plot convenience, notably the grandmother's history just because of how it was revealed. Some dialogue and plot towards the end was very predictable.Fighting scenes were mostly cool, although apart from the final one, they didn't reach their maximum climactic potential; only the last battle drew me in. The high personal stakes were great, clearly showing what was at risk and effectively following through on those stakes.A more serious and slightly darker tone would have heightened the emotional impact of the events in the third act. The movie seemed caught between taking itself very seriously and/or embracing a fun, lighthearted vibe, leaving an uncertain feel. It lacked a distinct impact or identity, floating in a sort of no man's land. If you didn't know Blue Beetle already or indifferent towards him, the film struggled to convincingly make you fall in love with the character or feel a connection. On the positive side, the movie showcased significant Latino representation. In terms of cultural blending, I'd rank Shang-Chi, Black Panther 2, Blue Beetle, Ms. Marvel, and then the first Black Panther.The movie excels in certain parts, while its shortcomings aren't overwhelmingly bad, but they could be better. Sadly, seemed to be more of the latter. The quick post-credit scenes were nice, sparing us from what often feels like a long wait usually. Loved that they included the previous versions of blue beetle, it's also quite rare for a superhero film to have a sense of standalone authenticity, rather than just serving as a vehicle to introduce new characters or set up future movies.I typically avoid badmouthing actors, but I believe acting could've been better. As previously mentioned, my earlier comment about the love interests still stands. The chemistry between the actors, the portrayal of emotions in their eyes-whether it was excitement, agony, or loss-and the conviction of the main villain didn't resonate with me. The lack of connection and genuine emotion felt like a first draft, and felt like a mid-2000s Disney show. This contributes to the feeling of a medley mixed bag, the dialogue, story, and acting all fell short of being amazing individually. While nothing was too bad, when combined, they accentuated each other, drawing attention to each.While far from flawless, I still left with a smile. The story was somewhat straightforward, and considering Blue Beetle's unique, I half-expected the movie to reinvent the wheel, though my hopes weren't too high. There were a lot of elements of a potentially mind blowing fantastic movie, It just doesn't feel like they were pieced together the best that they could've, but definitely still enjoyable. I know it's an origin story but it just feels like DC just played it super safe; and at a time when ""superhero burnout"" is a thing, playing it safe ain't too safe.","57 out of 115 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9362930/rw9267817/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
