"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"4","/10","Just Bad","https://www.imdb.com/review/rw9246063/?ref_=tt_urv","demonblade-37792","https://www.imdb.com/user/ur140486858/?ref_=tt_urv","8 August 2023","The first impression of The Meg 2: The Trench (2023) is that this was hard to watch. There were dumbfounded scenes that did not make any sense led by decision making. The kills were not that good especially since it is a PG-13 movie. The only parts that I liked are Jason Statham and his great acting and the antagonists getting killed off. Other than that, I was ready to leave the theater. It really questioned me on how does the protagonists keep on surviving after questionable events. I honestly liked the first one better because it was not that bad of a shark movie. The sequel, however, just made it worse. I am surprised that this film was allowed to make it in Dolby Cinema since it only allows good or great movies in the auditorium. Overall, The Meg 2: The Trench is pretty bad with its scenes and kills. I would recommend to stay away from this movie.","39 out of 46 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9224104/rw9246063/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"4","/10","DO YOURSELF A FAVOR AND WATCH PAINT DRY INSTEAD","https://www.imdb.com/review/rw9267614/?ref_=tt_urv","Warren_Scott-55087","https://www.imdb.com/user/ur78219998/?ref_=tt_urv","18 August 2023","Don't believe these fake reviews by probably paid, semi-professional writers who say the movie is good. This movie was one big bore with no thought at all put into it. It's just a quick cash grab rebounding off the first one. You'll have more entertainment watching paint dry. I myself have more enjoyment spoon feeding my disabled, hunchbacked cousin pudding. The shark in Sharknado looks more realistic than this creation made by some CGI intern at the local community college. No cares about quality content anymore and it's sad for the avid film goer...This is an unbiased review from a real person who loves movies.","83 out of 115 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9224104/rw9267614/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"3","/10","The Only Good Thing Is Jason Statham","https://www.imdb.com/review/rw9414570/?ref_=tt_urv","ladymidath","https://www.imdb.com/user/ur1937893/?ref_=tt_urv","4 November 2023","I wanted to like this, I really did, it has everything, giant creature, Statham, shark, but this is just so boring.The problem is, it hits every cliché. Annoying kid, paint by the number villain, a predictable plot. Unlikable characters who all behave like cartoon characters.I liked the first movie and was looking forward to the sequel, but the irritating characters and lazy [;it just didn't do it for me.I don't mind popcorn movies where you park your brain at the door, but they are usually fun. I think that is the problem here, it just was not fun. Statham is the best thing about this movie, he always turns in a reliable performance. The rest of the cast are so forgettable, in the end I was cheering for the shark.If I want a good shark movie, I will watch Jaws.","66 out of 77 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9224104/rw9414570/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"1","/10","DID THEY CGI- all these actors? Major FLOP!!","https://www.imdb.com/review/rw9463237/?ref_=tt_urv","leanupmybusiness","https://www.imdb.com/user/ur173387159/?ref_=tt_urv","29 November 2023","I need to preface this by saying, I LOVED the Meg, it was the right amount of silly and loose storyline that I could watch it and play PVZ without needing to follow the storyline.I was looking forward to MEG 2, not sure how they would have followed it up but I do like Jason Stantham movies.Unfortunately the movie was incredibly boring, ridiculous storyline that was so unbelievable, an annoying kid that I have no idea why they were in there and these one-dimensional villans that I found myself laughing at how stupid they were.The worst part, is I couldn't help but feel I was watching a paid for by the CCP movie, designed to elevate the face of China.I actually don't even have a problem with that, but to make out like the Chinese govt. Is Captain America and is the ultimate force of good in the world felt like a betrayal to story telling.As a mum of part-Asian children, I'm really enthused to see more inclusion of Asian actors in roles that go beyond those stereotypical kungfu roles. Unfortunately, this had no texture or believability and I felt like I was watching a caricature of a believable person, with believable relationships.One word of wisdom to CCP - You can make good stories that reframe you in a positive light, but when you make such hogwash, ridiculous stories.... it makes you look like a controlling communist....","14 out of 16 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9224104/rw9463237/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"3","/10","The Very Sharp Tooth of Boredom","https://www.imdb.com/review/rw9283639/?ref_=tt_urv","Tweetienator","https://www.imdb.com/user/ur64264987/?ref_=tt_urv","26 August 2023","Meg 2: The Trench is like all those late entries to the Jurassic Park franchise: lifeless, soulless, mindless, dumb, generic. There is no excitement or suspense, no characters one can relate too (at least I couldn't), and compared to fine ""shark movies"" like Jaws, Deep Blue Sea, Open Water or The Shallows, this one is not B-league but C-league, despite some production value. Also, some well done CGI is no news anymore for quite some time and not very entertaining if the rest of the movies is just crap. I really would prefer to put some of those good old Godzilla themed movies of the 50s and 60s back on my screen (and have some fun) instead of watching this, well, void of boredom ever again. I really like some of the movies starring Jason Statham, but as I don't watch (and like) Fast & Furios movies (the last one I watched was the third entry) the last really good one I can remember was that little movie Homefront, a movie made 10 years ago - simply put, I would prefer to get more class and less mass.","30 out of 39 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9224104/rw9283639/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Exactly what it says on the box...","https://www.imdb.com/review/rw9310904/?ref_=tt_urv","charlesr-8","https://www.imdb.com/user/ur14828913/?ref_=tt_urv","8 September 2023","My Rating reflects expectations. If this was touted as a edge of your seat thriller with cutting edge CGI and unexpected twists and turns, it'd be a 2. But this was always going to end up the campy, overacted, completely implausible, CGI riddled cheese-fest that it is. And it absolutely delivered on that expectation.It has Plot holes so big you could swim a megladon through, hilarious foreshadowing via dialogue (if they say something won't happen, its going to happen,) and a decent smattering of quips, giggle/smirk inducing lines, and the requisite action scenes.It ticked all the boxes for expectations - and exceeded it in areas like ""completely unrealistic technology,"" ""inaccurate animal behaviour"" and ""Implausible physics/hydrodynamics."" But that just added to the fun.For the naysayers - expecting more quality/realism/etc from this movie is like expecting a Fast and the Furious movie to be extolling the virtues of bicycles.Its a fun, lighthearted, and ""laugh at the ridiculousness"" sort of flick and that's worth a passing grade.","24 out of 35 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9224104/rw9310904/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"1","/10","A cinematic abyss","https://www.imdb.com/review/rw9240312/?ref_=tt_urv","AvalonP99","https://www.imdb.com/user/ur168891658/?ref_=tt_urv","5 August 2023","Meg 2: The Trench sinks to new depths of awfulness, earning the dubious honour of being Statham's worst movie by far. The palpable absence of the previous star cast further drowns this terrible sequel leaving a void that Statham simply couldn't fill.The plot is so awful it's as if a kindergarten child was handed a pen and paper during the writers strike and was told to write whatever popped up in their head.Shall we talk about the acting? The protagonists were mediocre at best. Their acting looked forced and unnatural.As for the supportive characters, they all looked as if they came straight out of a high school drama workshop. Take that female security guard for instance, a character so unnecessary and annoying. The actress herself was so unable to deliver a single convincing line. Every time she spoke I found myself wincing. Kudos for achieving such a cringe-worthy presence on screen! As for DJ, the comedic genius offering humour so intellectually stimulating, it's as if the writers consulted a focus group of thee-year- old kids. Perhaps the only one who could deliver a somewhat decent performance was Cliff Curtis but he still couldn't salvage this shipwreck of a movie.Furthermore, the cgi looked so cartoonish I half expected the sharks to break into a dance routine straight out of a Saturday morning cartoon.Overall a cinematic disaster that should come with a warning label: ""View at your own peril!""","57 out of 79 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9224104/rw9240312/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Typical mindless over bloated sequel...and I loved it!","https://www.imdb.com/review/rw9236868/?ref_=tt_urv","subxerogravity","https://www.imdb.com/user/ur59627333/?ref_=tt_urv","4 August 2023","Personally, I was surprised that Jason Statham decided to make a sequel to the Meg. Most likely because I did not think the Meg was his type of movie. Not exactly Crank on water or anything. The film is an obvious cash cow but worth the money. No need to put any thought into how stupid this movie its cause it's met to be the opposite of smart. Its entertaining as hell and does not slow down long enough for me to point out the plot holes and the science mistakes. A perfect Tie-in to Shark Week. I went into this baby knowing that I was going to like it and I came out loving every minute of it. It's not met to be Shakespeare but it's definitely a fun experience.","175 out of 326 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9224104/rw9236868/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Meg 2: The Trench is more of the same silly fun as the first one with enough new elements to make fun escapist viewing","https://www.imdb.com/review/rw9236820/?ref_=tt_urv","IonicBreezeMachine","https://www.imdb.com/user/ur117926588/?ref_=tt_urv","4 August 2023","6 years after the events of the first film, Jonas Taylor (Jason Statham) is now the guardian of Meiying (Sophia Cai) following the death of her mother Suyin and continues working for the Oceanographic institute alongside his friends Mac (Cliff Curtis) and DJ (Page Kennedy) under the direction of Jiuming Zhang (Wu Jing), Suyin's brother, as well as performing environmental investigations exposing illegal dumpers and polluters. Jiuming continues the work started by his father and sister with the backing of billionaire Hillary Driscoli (Sienna Guillory) including having successfully captured a meg, named Halqi, and kept it in captivity despite the concerns of Jonas. As Jonas, Jiuming, and several others embark on a journey from Mana One research station to explore the Mariana Trench, they stumble across a conspiracy with far reaching implications that unleashes the threat of the Megs once again on humanity.After weathering a troubled 22 year long development cycle, The Meg proved to be a sleeper hit overindexing in the United States and making over $500 million worldwide. Shortly after the first film's release it was announced the producers were in development of a sequel that would mine material from other material in Steve Alten's Meg novel series. With Ben Wheatley stepping in for directors duties and the writing team of Dean Georgaris and Jon and Erich Hoeber, Meg 2: The Trench delivers on the same silly fun as the previous film and is unapologetically ridiculous Summer escapism.Jason Statham and Sophia Cai reprise their roles as Jonas and Meiying respectively from the previous film, and despite the clunkiness of having to explain away Li Bingbing's character Suyin from the previous film, the movie does a solid job of building upon the chemistry between Statham and Cai with the two in a unique place with Jonas now Meiying's legal guardian and there's a solid dynamic between the two. We also get the welcome returns of Cliff Curtis' Mac and Page Kennedy's DJ respectively with both still great supporting characters to bounce off against Statham with DJ in particular given some very funny developments spurred by his experiences in the last film. Much like the novel it takes (loose) inspiration from, Meg 2: The Trench is stuff to the gills with things that happen and it's probably the most movie you'll get in a Summer blockbuster in terms of sheer variety. There's a little bit of Aliens, some Abyss (or if you will: Leviathan), of course traces of Jaws, and even a little bit of Die Hard and Jurassic Park thrown in for good measure. The last act of this movie is just insane and much like the prior film it is unfortunately held back from getting too bloody thanks to its PG-13 rating, but in terms of delivering on crazy action and spectacle it's certainly firing on all cylinders.Meg 2: The Trench is my kind of cinematic junkfood. It's a movie that feels like a throwback to those 90s era blockbusters complete with a rap song over the end credits called ""Chomp"" that almost makes you expect the credit ""Voice of Magic Taco.... James Earl Jones"" (look up Simpsons and Zorro, you'll know what I'm talking about). As you can tell I had a blast with this movie and I hope they mine the rest of the book series for all it's worth.","158 out of 316 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9224104/rw9236820/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"1","/10","I'm utterly ashamed I paid to watch this atrocity.","https://www.imdb.com/review/rw9243511/?ref_=tt_urv","Alexanjou","https://www.imdb.com/user/ur168956341/?ref_=tt_urv","6 August 2023","This film plunges into the trench of terrible plot, leaving you grasping for coherence. The first movie was also dumb but a million times better than Meg 2. The filmmakers obviously used most of the budget to pay statham and that Asian star and then for some reason decided to scrape the bottom of the barrel for the rest of the cast.Whatever happened to A list names like Ruby Rose, Li Bingbing and Rainm Wilson ? Why would you try to float the film with a crew of completely unknown, talentless actors who seem to have come straight out of an amateur high school acting class?Now let's talk about the plot. Completely nonsensical! So indifferent and poorly written that leaves you wondering if the writers were playing a cruel joke on the audience. To top all that, cgi looked like it came out of a PS2 game.Save your money! This is so bad it seems like it was written and played by a group of teenagers experimenting with their first camera.Plot: 2/10
Acting: 1/10
CGI: 4/10.","34 out of 46 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9224104/rw9243511/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
