"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"8","/10","Good movie. Good fun. Tom Hardy is in all the scenes.","https://www.imdb.com/review/rw4413785/?ref_=tt_urv","ThomDerd","https://www.imdb.com/user/ur73053202/?ref_=tt_urv","22 October 2018","Venom is about the symbiotic relationship of man and alien, with the latter being the gross one. Funny at times, with a lovely performance from Tom Hardy -if you are a fan of mr Hardy, this is going to be entertaining for you.
First half goes very well in terms of setting the story and the venom universe, second part is more about action and there it has a few flaws but it is still fun and interesting to watch.
It is a cool view on the ""almost anti-hero"" venom/eddie character that kept my attention.
I had a good time watching this in the theaters and i ll definitely have a second view when it comes out in bray or dvd.
So, all in all its def not the best action film of all times or even of 2018...but dont have too high expectations and you will definitely like it.
8/10.","238 out of 276 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1270797/rw4413785/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Do yourself a favour...ignore the critics!","https://www.imdb.com/review/rw4375385/?ref_=tt_urv","ufarese","https://www.imdb.com/user/ur93437124/?ref_=tt_urv","3 October 2018","We just came out of the theatre and I can honestly say. I liked it! It was funny and it paid great homage to the Todd McFarlane bombastic Venom era of the late 90's. It truly baffles me that Sony would not take enough risks to release the film with an R rating. I wonder how much of this film was left on the cutting floor!?! Tom Hardy's performance is also on point and...just go see it.","2,160 out of 2,871 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1270797/rw4375385/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","It's not terrible like critics make it out to be, but it's not great like audiences make it out to be","https://www.imdb.com/review/rw5818098/?ref_=tt_urv","Ch4ndler_B1ng","https://www.imdb.com/user/ur89818312/?ref_=tt_urv","12 June 2020","This movie is kind of a mixed bag. There are certain elements of it that I think are creative, but by far it is definitely one of the lesser Marvel films. The only thing I disagree with Martin Scorsese about is that ""Marvel movies are like theme park rides"" because there are ones like Endgame, Thor Ragnarok (my personal favourite Marvel movie), Civil War, The Avengers, Infinity War and many others that have a far deeper meaning and much more than just entertainment. Overall, Venom is one of those okay movies that doesn't deserve hate, the scenes where the Venom inside Tom Hardy's character is talking to him are pretty hilarious.73%","93 out of 121 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1270797/rw5818098/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","LOVED IT!","https://www.imdb.com/review/rw4375083/?ref_=tt_urv","declan-98915","https://www.imdb.com/user/ur60461006/?ref_=tt_urv","3 October 2018","First of all Iv just watched the movie a couple of hours ago and Iv just been reading a few reviews and I must have been watching a different movie to them cause I absolulty loved Venom!I love the relationship between Eddie and Venom, they proper cracked me up with some of the things they said and the whole room was laughing at loads of moments throughout the movie. Coming out of this movie makes me want to have a symbiote latch onto me if it's anything like the film. I loved the movie from end to finish, it was a hilarious, fun filled action ride!My only critic is I would have liked the finale to go on for a little longer but other than that I thought it was brilliant, I deffo reccomend everyone go see it.DONT Listen to other people's reviews, go watch it for yourself then decide if u liked it or not, I loved it!","1,123 out of 1,594 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1270797/rw4375083/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Funny and Entertaining","https://www.imdb.com/review/rw4490756/?ref_=tt_urv","claudio_carvalho","https://www.imdb.com/user/ur2488512/?ref_=tt_urv","2 December 2018","""Venom"" is a funny and entertaining film based on a Marvel antihero Venom with reasonable storyline, awesome special effects and weak and annoying villain performed by the awful Riz Ahmed. However, Tom Hardy has good performance in the role of the clumsy loser Eddie Brock and Michelle Williams complete the lead cast. This film is also the chance to see Stan Lee in his last cameo. My vote is seven.Title (Brazil): ""Venom""","62 out of 88 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1270797/rw4490756/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Enjoyable superhero film","https://www.imdb.com/review/rw7667912/?ref_=tt_urv","akdjreview","https://www.imdb.com/user/ur129603614/?ref_=tt_urv","21 December 2021","Venom is a nice enjoyable superhero film which I was quite interested in. The film has a very Marvel story, it's not the first time I've seen a story like this one but with just different characters and different settings. Though the story of not knowing whether Venom is good or evil is an interesting aspect not really seen before.But I still found it quite enjoyable. There is no fantastic cinematography techniques or anything like that. But Venom played by Tom Hardy manages to deliver an amazing acting performance in comparison to other Marvel movies.I recommend Venom for superhero film fans to watch it's an interesting story with a little bit of a twist.","11 out of 13 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1270797/rw7667912/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Very fun movie","https://www.imdb.com/review/rw4375389/?ref_=tt_urv","GuanXing","https://www.imdb.com/user/ur23322740/?ref_=tt_urv","3 October 2018","I don't know what's going on with all the negative reviews. People are really hard to please! 
I went to see that movie without any real expectations and I thoroughly enjoyed it. 
Overall, I recommend it if you like the genre, want to have a good time with a dose of laughters and aren't overly hard to please.","2,017 out of 2,601 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1270797/rw4375389/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","How much Venom is it(?)","https://www.imdb.com/review/rw4822128/?ref_=tt_urv","kosmasp","https://www.imdb.com/user/ur5876717/?ref_=tt_urv","2 May 2019","I get it, even the people who may already hit the not helpful button, before reading this. You see my rating and go: ""no way"". And I get it in the sense, that I haven't read the comics as much as many people who were expecting and hoping this would go ""R""-rated. Of course this stretches the boundaries of PG-13, because it is quite violent. But it will never be enough from what I heard from people who know the comics.So if that is something that is dear to your heart, again I get it. If you are just here to enjoy a comic book movie, there is quite a lot to enjoy. Tom Hardy really cherishes in his mania. Enjoy the Mayhem even if there was a sort of better ""inside voice"" movie last year called ""Upgrade"". So yes, if you only watch one of those make it Upgrade. But if you don't mind watching another, watch this too, because it ain't half bad","23 out of 31 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1270797/rw4822128/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"5","/10","Not so venomous","https://www.imdb.com/review/rw4403801/?ref_=tt_urv","TheLittleSongbird","https://www.imdb.com/user/ur20552756/?ref_=tt_urv","17 October 2018","Do have a fondness for superhero films. 'Venom' also had talented people in the cast, Tom Hardy and Michelle Williams have both done great work in their careers, it looked interesting and found myself really fascinated to watch an origins story of one of the most interesting anti-heroes in the superhero universe.Watched 'Venom' with reasonably high expectations and with the willingness, as always, to judge the film for myself and form my own opinion. Was aware that it was not well liked by the critics, but part of me was really hoping to disagree with the thought that could a film with so much potential be worse than it actually looked? Have to agree with those that were left disappointed, while also not finding 'Venom' to be that bad. Am not though going to join in the irritatingly excessive critic bashing from people who really need to start learning the difference between fact and opinion.'Venom' does have good things. It is at its best in the scenes and chemistry between Eddie and Venom, which had fun and tension. It is when Venom arrives on screen too when the film properly starts to generate interest, after too long struggling to invest in the first act. The darker elements of the film are actually quite well done, having a dark grit and creepiness. It looks reasonably good, well designed and shot with slickness and atmosphere.The music has pleasant moments and fits well while there is some exciting action, especially the car chase sequence. Some of the effects are terrific. Tom Hardy is intensely charismatic, with Eddie/Venom being interesting and well contrasted characters, far more believable than Topher Grace in 'Spiderman 3'.However, the rest of the cast don't fare so greatly. Michelle Williams has never had a flatter character than here and is basically wasted in a development-free plot-device role. Riz Ahmed is far too anaemic for the one-dimensional villain that's both cartoonish and insipid. Of the characters, only Eddie and Venom engage and intrigue, the rest are flat. While some of the effects are terrific, others are terrible especially in the latter stages with the biggest offender being the rushed and clumsy climax.It is the script and story where 'Venom' fails most. The script is really clunky, especially with the forced and goofy humour that can be misplaced (Venom's disgust at taking the elevator was the one moment passing as funny) and the villain spouting dialogues and speeches that mean nothing. The less too about the soapy and cliché-ridden scenes featuring Hardy and Williams the better, they are bland and don't serve much point, and the Life Institute scenes should have had more clarity. Unfortunately, these scenes dominate the first act and makes it feel rather dull and ""taking too long to get going"". The story is tonally disjointed, too many tones that are very variable on their own and don't gel together, and very clunky. This is not a case of the film not trying, to me it came over as trying too hard in catering to everyone and throwing in too many ideas and elements and executing them very variably and too safely. For a story intended to be dark and violent, this seemed rather tame and held back.Summing up, a disappointment but not that bad. 5/10 Bethany Cox","199 out of 317 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1270797/rw4403801/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","This film would have been much better if it wasn't for the bad writing.","https://www.imdb.com/review/rw4484780/?ref_=tt_urv","Top_Dawg_Critic","https://www.imdb.com/user/ur64798417/?ref_=tt_urv","29 November 2018","You would think one of the 5 (why?) writers could have gotten this right. Tom Hardy was amazing, the directing excellent, cinematography on point, V/SFX not bad, but the story was very loose and had plot and pacing issues. Venom's voice was also annoying. You would think the producers would have hired better writers instead of pathetically paying for almost every review on here 9 and above being fake (pretty much only film reviewed). I may have given this film a 7 or 8 out of 10, but only gets a 6 for the fake reviews. For me it could have been much better and deserving of the 9's and 10's had the writing been tighter. Nevertheless, still enjoyable, but sadly only a 6/10 from me, mainly for the fake reviews that piss me off.","194 out of 360 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1270797/rw4484780/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
