"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"7","/10","A great fun family movie","https://www.imdb.com/review/rw5532428/?ref_=tt_urv","brentcollyer","https://www.imdb.com/user/ur48279852/?ref_=tt_urv","7 March 2020","Just watched this movie with my 8 yo daughter and it was a lot of fun, she really loved it and I thought it was very well done and easy to watch. Lot's of very negative reviews not sure what they were expecting, I don't think anyone involved was planning a trip to the Oscars. Sometimes it's good to just relax and not over critique everything.","31 out of 38 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0433035/rw5532428/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","""People's champion? Sounds pretty good to me.""","https://www.imdb.com/review/rw8471937/?ref_=tt_urv","AfricanBro","https://www.imdb.com/user/ur120413622/?ref_=tt_urv","21 August 2022","It's always funny watching old movies that depict the future with all this brand new tech, like 90's sci-fi's thinking we'd have flying cars, or in this case Real Steel thinking we'd have robot boxing fights for entertainment in 2020. I remember loving this when I first watched it over a decade ago and after a recent run of disappointing movies I wanted to see something I knew or thought I'd love so I went with this.Straight off the bat, I noticed how much more believable cgi and vfx used to look in the 2010's and you can see that with other movies like iron man or transformers, while new movies now just look like video games more often than not. I loved how even though it's set in the 'future', the surroundings felt relatable, not all super shiny, slick new tech, adds to the plausibility of it all even though it's scifi.It's not complex plot or avant-garde script because it's made just for fun. Has everything you'd want in a feel good action flick; it has flare, blood pumping fights, great soundtrack, story, carnage, an underdog to root for and it even has heart as we get to see a father and son bond together. The movie is sweet and heartfelt at it's core behind all the metal bashing. One thing that stood apart for me about the movie is the end, it ends at the perfect moment, most movies would want a moment of reflection or something after an epic finale like that but Real Steel leaves you while your adrenaline's still pumping. If you haven't watched it, go watch it, and if you have, rewatch.","10 out of 11 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0433035/rw8471937/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Feel Good, Fun Movie !","https://www.imdb.com/review/rw2552497/?ref_=tt_urv","quarterwave-271-907469","https://www.imdb.com/user/ur30725839/?ref_=tt_urv","20 January 2012","I wasn't expecting much when I saw this movie - and I'm not really a fan of movies where kid's are the lead - but, I was pleasantly surprised with this one.Even though this was a ""formula / underdog"" type of movie, it had me cheering for Atom, Hugh Jackman was great and so were the cast of characters.The CGI was excellent, I really connected to the characters, and it was just a fun, guilty-pleasure (c'mon, boxing robots - who DOESN'T want that !) type of movie.Not quite ""A Space Odyssey:2000"" but then again, it's not supposed to be.FUN. ENTERTAINING. GREAT ACTION.Recommended !","121 out of 176 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0433035/rw2552497/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","No splitting this Atom, it has got a rock solid heart.","https://www.imdb.com/review/rw2649887/?ref_=tt_urv","hitchcockthelegend","https://www.imdb.com/user/ur16161013/?ref_=tt_urv","27 July 2012","Real Steel is directed by Shawn Levy and collectively adapted to the screen by John Gatins, Dan Gilroy and Jeremy Leven from a Richard Matheson short story called Steel. It stars Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie, Kevin Durand, Hope Davis and James Rebhorn. Music is scored by Danny Elfman and cinematography by Mauro Fiore.Set in the near future, robot boxing is a big crowd pulling sport. After a struggling robot operator is introduced to an 11-year-old son he has never known, they stumble upon a discarded robot at a junk yard....We can all moan about the mimicry of an idea and the clichés that dominate Real Steel, but you really got to hand it to the makers for what they have achieved. They have crafted a family film that's very much perfect in this day and age. The story is one that any adult Sylvester Stallone fan can acknowledge and appreciate, the human heartbeat pleasingly steady, while the premise of big colourful robots beating the crap out of each other delights youngsters and us adults who are still young at heart. Film pretty much does what any other film of this type does, lays on the syrup in the last quarter where second chances and family strife come thundering through the plotting. Undeniably it's hugely derivative, events are joystick operated to get an emotional response from a family audience, while product placement reins and the script often sags under the weight of unoriginality. But it does uplift the spirit and getting to the end is easy since it's so much berserker fun. Yes it's the robot Atom, the people's champion, yes it's David vS Goliath and yes! It's Balboa vS Creed. Nothing wrong with that really.The cast don't really have to offer up much beyond being adequate within the context of the material, though a muscular Jackman finds good paternal chemistry with young Goyo. In fact Goyo is pleasingly not annoying, always a bonus is that. Inevitably the robots are the stars, they're a triumph of design and visual effects and a sight for sore eyes, while Levy has a good handle on staging the fight sequences - even when cribbing from Balboa. The near future look is terrific as well, with Fiore's colour photography very appealing. Coining in over $290 million at the worldwide box office (over £180 million in profit), Real Steel found the family audience it was looking for, proving once again that there is a market for simple and effective popcorn carnage. It's not high art or intelligently scripted, but was anyone seriously thinking that was going to be the case here? If you want brains with this premise then seek out Twilight Zone episode ""Steel"", starring the excellent Lee Marvin, otherwise just sit back and enjoy the ride and let the botty bots and human interest raise the pulse and gladden the heart respectively. 7/10Home format release is a sparkling print, extras are annoyingly short but the blooper reel is fun, we get a stunt deconstruction, and we learn about the influence a certain Mr. Spielberg had on the production.","36 out of 50 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0433035/rw2649887/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Feel good entertainment with a great story","https://www.imdb.com/review/rw5494439/?ref_=tt_urv","UniqueParticle","https://www.imdb.com/user/ur34836174/?ref_=tt_urv","19 February 2020","I love watching Real steel whenever possible, delightful scenes especially with the kid and Hugh Jackman is awesome throughout! VFX are incredible and well polished; I'm glad it was nominated. Shawn Levy has done many projects under his belt that I have absolutely loved or even just consider a guilty pleasure which is nice too. I like the cuteness in many parts, definitely one of the better robot movies made in last couple decades!","44 out of 52 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0433035/rw5494439/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","I am against Corny/Cheesy Actors","https://www.imdb.com/review/rw2641825/?ref_=tt_urv","NelsonJoshAlden","https://www.imdb.com/user/ur34913049/?ref_=tt_urv","13 July 2012","I had low expectations and I am sure many people did so too, however I did rather quite enjoy the movie for various factors in which I will List: Every scene had purpose - No pointless scenes which have no impact on the audience. The Ending - Original and Motivating, showed it had a moral to the story (If you watched the movie, you would know)HOWEVER, unfortunately the kid put me off immensely. I appreciate his confidence in acting but his screaming and his cheesy lines were just off putting. I also noticed that his technological understanding was ridiculously high, which is rather unrealistic...And that is an understatement.That being said, I can sense a 'Real Steel 2' and would hope it turns out as good as this first one. Sequels are very hard to perfect especially for this movie, but I digress.This movie is worth watching and if you plan on watching it, be sure to prepare your tissues.","43 out of 70 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0433035/rw2641825/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","A gem still in 2020!","https://www.imdb.com/review/rw6134555/?ref_=tt_urv","denvertts","https://www.imdb.com/user/ur58032701/?ref_=tt_urv","29 September 2020","#3 on Netflix! Well deserved! I've watched this movie at least 3 times every year since it came out in 2011. Saw it pop up on Netflix & had tears in my eyes in the same parts I always do. This movie is full of heart & I will always love it. Fighters, fathers, underdogs will feel this movie to their core. ATOM!","38 out of 46 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0433035/rw6134555/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","Great fun for me and my son","https://www.imdb.com/review/rw3400796/?ref_=tt_urv","simon-28739","https://www.imdb.com/user/ur65057226/?ref_=tt_urv","22 January 2016","My son can't get enough of Real Steel, and I found it very entertaining throughout the whole movie. Its not the worlds best movie at anything, but I feel is a good solid effort that really has given me and my son plenty to talk about and have fun with. It reveals whats right and wrong with humans, plus gives give us great realistic action along the way. The characters give us a great mix to love and hate and are played really well, along with some very cool robots that seem to come alive in their fights whilst you don't notice the cgi work. Because my son loves it, I get plenty of satisfaction from this. It certainly sits a top of our DVD pile for replaying often.","18 out of 21 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0433035/rw3400796/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Rocky with Robots","https://www.imdb.com/review/rw5569271/?ref_=tt_urv","whitejra1","https://www.imdb.com/user/ur39230105/?ref_=tt_urv","22 March 2020","This movie was quite entertaining. It's a bit strange because of the fact that robots fight instead of humans. With that said, the robots are perfectly anthropomorphized so you feel like they are men.But the special effects are robot fighting are only worth about a 6/10. Hugh Jackman's struggle to be a good father is actually well-acted out, both by him and the kid. The heroine role is also acted out well by a very beautiful woman.This is not a perfect movie, but it captures many human emotions and seems to be a good movie for family-oriented people to flock around for an emotional, Rocky-like romp.","12 out of 18 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0433035/rw5569271/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Great movie, good story. Who doesn't like fighting robots??","https://www.imdb.com/review/rw2495235/?ref_=tt_urv","gremlins-haunt-my-house","https://www.imdb.com/user/ur28331362/?ref_=tt_urv","27 September 2011","We saw an advanced screening on Sept 22. I thought it was going to be another one of those cheesy, campy, not really believable, warm fuzzy, type of underdog/rags to riches movies. I was actually surprised. It had some great plot twists, it had a real story line. And while yes, there is some language sprinkled throughout, it did make a good family movie for older kids, 10+ (my opinion). The ending wasn't quite what I was expecting, but looking back I think I liked it better for that. Who wants an ending they can see coming the entire movie?It had some great comedy moments. The relationships between the actors felt genuine and not overdone or forced. The robot animatronics was good. The robots themselves were fun and imaginative and definitely made me wish we really had this sport. I would so be there!","310 out of 504 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0433035/rw2495235/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
