"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"7","/10","Good conclusion to the series, same problems as the 2nd","https://www.imdb.com/review/rw1663767/?ref_=tt_urv","tough_guy007","https://www.imdb.com/user/ur3411445/?ref_=tt_urv","28 May 2007","AWE was a decent close to the trilogy (although they did leave it open for the possibility of a 4th).Lets go down the list: 1) Holy cow. The CGI is breathtaking. The details on the sets is just as breathtaking. The filming sites were beautiful. These are a talented group of folks I tell ya. GREAT job.2) Acting .. both good and bad. Sparrow, Barbossa, Beckett, Norrington, Jones, and Gibbs provided some very good acting and funny moments. However, they were offset by Pintel and Ragetti (they got annoying in the 2nd film and it didn't stop here. While I enjoyed the idea of Tia Dalma's character, I wasn't impressed with the performance by beautiful Miss Harris. I haven't especially liked Keira all that much in other things she has done and it was the same here. Decent actress but not overly impressive. Stellan's portrayal of Bill Turner was decent enough but a notch down from what we KNOW he can do. Now the best for last. Im a 100% hetero male and even I can say that Orlando Bloom is a VERY good looking guy. But for the love of pete, this guy is one of the most terrible actors ever and strangely, he was cast in two of the biggest, most profitable trilogies ever. He has essentially played the same character in every movie, just with different costumes. His mannerisms, his low ""sexy"" voice, his facial expressions .. ALLLL the same, all the time. Sooo blahhhhhhh.3) The story was good but there was too much of it. It has been said here but I will say it again. At one point, I just stopped trying to follow along and just enjoyed it. Everyone stabbed everyone else in the back at least once. It wasn't ""hard to follow"" but a movie like this isn't supposed to make you think. You want that, go see .... Clue :P the whole Singapore thing was just unneeded. While it did add a new element to the film, it just seemed too forced.4) Running time was a tad bit long but it passed fairly quickly due to the great action sequences.All in all .. I was impressed with the movie, but it has its problems. Much like part 2.I say go and see it. You wont be disappointed but you wont walk out thinking you just saw a masterpiece either.Just my thoughts ...","183 out of 256 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0449088/rw1663767/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Emotional Puzzle","https://www.imdb.com/review/rw1766844/?ref_=tt_urv","FilmFanInTheHouse","https://www.imdb.com/user/ur4478810/?ref_=tt_urv","20 November 2007","Pirates of the Caribbean: At World's End (2007, Dir. Gore Verbinski)After losing Jack Sparrow to the locker of Davy Jones, the team of Will Turner, Elizabeth Swan and Captain Barbossa make their final alliances with the pirate world to take on the forces of Lord Cutler Beckett and his crew, including Davy Jones, who he now has control over. It's not going to be easy, as they must rescue Sparrow, convince all the pirate lords to join them and defeats Beckett, whilst each individual pirate has their own route which they wish to follow.It's often a sad time for me, when i see a trilogy come to an end. There are so many great characters that you really do start to miss them. Unfortunately, trilogies always seem to have the problem are living up to the previous movies. 'At World's End' falls into this category. The characters are great as always with Geoffrey Rush bringing Barbossa back to life as much as he did in the first movie. The special effects are amazing again, with some beautiful crafted fight sequences and Davy Jones looking even more realistic. The music is fun again but disappointing compared to the first two films. The main problem with this film is the story. It's not the most easy to follow story and can really make you think for a bit. Still, the third 'Pirates' movie is a roller-coaster of a movie.""Do you fear death?"" - Davy Jones (Bill Nighy)","12 out of 14 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0449088/rw1766844/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","I enjoyed this movie","https://www.imdb.com/review/rw5503541/?ref_=tt_urv","0U","https://www.imdb.com/user/ur87850731/?ref_=tt_urv","23 February 2020","This third installment is just as long, fixes some of the damages but adds along new ones. At Worlds End improves on its CGI magic but still possesses that dragging story that is just too long and confusing.","48 out of 61 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0449088/rw5503541/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Not bad","https://www.imdb.com/review/rw1665342/?ref_=tt_urv","xander34","https://www.imdb.com/user/ur5395373/?ref_=tt_urv","30 May 2007","Less than a year after the previous installment of the popular pirates trilogy, Jack Sparrow and company return in Pirates of the Caribbean: At World's End. The film should be great, given a three hundred million dollar budget, huge anticipation, and the closure a third installment inevitably brings to a series. While this film does show its budget and is quite visually arresting, it lacks a fair share of resolution to the trilogy and confuses with its overflowing exposition rather than purely existing to entertain.Even in an action packed pirate movie, overly chatty sequences will simply bore audiences just because it's too hard to follow what exactly is being said. The movie really just had too many vague or unnecessary plot points that didn't affect the main plot at hand.All the acting was perfectly fine, with Johnny Depp as Captain Jack Sparrow and Geoffrey Rush as Captain Barbosa unsurprisingly being the standouts. The introduction of Depp's character in the pirate equivalent of Hell called Davy Jones' Locker is a particular favorite, as well as the scenes at World's End, which somehow involves a giant, deep waterfall. Keith Richards' hyped cameo as Jack's father is nothing to go crazy for, he does a decent job, but his screen time lasts only about two minutes.Director Gore Verbinski and his crew knew going into this that the reviews would be mixed and the plot would be confusing (in order to encourage repeat viewings), but honestly, at nearly three hours, the more the film confuses you the more it becomes an endurance test. Also, rather than providing a satisfying conclusion to the series, the end opens up the possibility for a fourth installment, which might not even happen. The crew put every penny of the film's budget on screen, made evident in the hour or so of its bloated climax. The film looks and feels like a true epic, shots are wide, locations are vast, costumes are extravagant, and the scope is large. However, the film needs to scale down its plot in order to let the characters we fell in love with stand out and shine, as that's what makes these films unique.","263 out of 423 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0449088/rw1665342/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Movie Review: Pirates of the Caribbean: At World's End","https://www.imdb.com/review/rw1662318/?ref_=tt_urv","andydreamseeker","https://www.imdb.com/user/ur14903565/?ref_=tt_urv","28 May 2007","Pirates of the Caribbean: At World's End is the third and last of the money spinning trilogy, or so they say. Everything has led to this, or so they say again and I kept my mind opened. The first of the Pirates series, The Curse of the Black Pearl was good. It was a movie out of nothing or more correctly a movie inspired by nothing more than a Disney theme park ride. Having said that however the creation of Captain Jack Sparrow was nothing short of inspirational. Captain Jack played by the charismatic Johnny Depp became the talisman of Pirates of the Caribbean. Thought to be dead when we saw him charging into the jaws of monster octopus Kraken toward the end of Dead Man's Chest (the sequel), he is to be brought back from the dead in this latest film.I have to be honest; I hated Dead Man's Chest. Its various plots and subplots were terribly tangled and confusing. It was hard to follow what sort of story or motives the movie wants to say. I blamed my lack of understanding for not comprehending Dead Man's Chest. That was summer of last year but since then I have done my research, for the billion dollars making movie was to have a third installment. Having seen one and two, I have to see three. But if I do not understand two then how can I go ahead with three. And so after a better understanding of two I saw three. You should know this. For all my efforts I was still robbed by the pirates.I was led happily out into the open sea before being robbed. I was enjoying the first third of the 168 minutes film. Captain Jack's crew arrived in Singapore to look for Captain Sao Feng (Chow Yun-Fatt), pirate lord of the South China Sea for a ship and a map, so they could sail to world's end and rescue our favourite captain from Davy Jones's Locker. Davy Jones's Locker is a ghost realm of the netherworld where the dead Captain Jack Sparrow is being kept for eternity.There appears to be some oriental influence in At World's End. Firstly of course we are introduced to a Chinese pirate, Captain Sao Feng. Secondly, the costumes and all were very well designed in an exquisite oriental fashion. And there was Singapore, a South East Asian country where Captain Sao Feng can be found.The Singapore set features a bathhouse and I couldn't help relating it to Japanese animation master Hayao Miyazaki's Spirited Away. The popular animated film, released by Disney in the west has a bathhouse theme. The relation did not stop there, and I wondered if the scene where Captain Jack Sparrow is isolated in Davy Jones's Locker was inspired too by Hayao Miyazaki's work. The part where thousands of strange and curious yet harmless rounded stone-like crab helping Jack move his ship, The Black Pearl across a desert aroused my attention to this perspective. It was through the hands, eyes and imagination of the acclaimed animation master, Hayao Miyazaki that made famous the approach of detailing stories with thousands of mini little intriguing creatures. And it was fun to watch.I was enjoying At World's End, laughing merrily at all the pirate jokes that the characters are lashing out at one another, feeling the thrill of the sword-fights and of course attracted to the sometimes witty, looney and mad character of Captain Jack Sparrow. That scene of him engaging himself to his many different personalities while alone in the deserted Davy Jones's Locker is a real gem.But with all the oriental influences, the filmmakers probably did not take note of the teachings of Zen, where less is truly more. For when after the crew rescued Captain Jack Sparrow and brought him back to the mortal world, it all happened again. The tangling and confusing plots and subplots manifested once more and killed whatever is good about the film. In my opinion, if At World's End had ended after rescuing Captain Jack and had a straight approach in the gathering of forces to deal with Lord Cutler Beckett (Tom Hollander) and Davy Jones (Bill Nighy) with a fitting spectacle of a finale fight, the film would have been great.I was trying to understand the story. In reflection I probably should not for it amounted to nothing. It just isn't worth it. It would be tiring for me just to list them all out. So just be warned that in the film, every character have their own personal agenda. It is ""me"" first and ""you"" later if ""you"" are still there. If that is the purpose of the story-writers to represent the meaning of how pirates are, then they have succeeded. In fact it was so successful that they lost me.It bored me so much I no longer laughed at the jokes. It dragged on so long I no longer felt compelled to see the ending. I just want the film to end there and then. Enough was enough.""Take whatever you can and give nothing back."" Thanks a billion, filmmakers, or is it thanks me instead?This entire Pirate series is like a ride on a pirate ship in a theme park, it was thrilling for a start but as it swing back and forth too many times the nauseas will come and when it stops you find yourself displaced nowhere.Pirates of the Caribbean: At World's End is a fine example of a good film gone bad because it had too many tangling tales to tell. I maintain that it is worth watching for the first third of the film but save yourself from seasickness in the middle just so you can enjoy the spectacular fight sequence toward the end.","175 out of 324 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0449088/rw1662318/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Best out of the ""pirates"" trilogy...I'm not disappointed!","https://www.imdb.com/review/rw1664786/?ref_=tt_urv","phantom_lover_1881","https://www.imdb.com/user/ur12027298/?ref_=tt_urv","29 May 2007","I'm a huge fan of the Piates of the Caribbean movies, but I was a little nervous about seeing this third installment because of the not as good other third installments. I still had pretty high expectations, and I was not disappointed! The plot was brilliant and very creative, with plenty of exciting twists and turns. As always, the acting was incredible. Johnny Depp always does an amazing job, but his Captain Jack Sparrow is probably one of his bests works yet! I still don't see how anyone could be so brilliant... Anyways, overall, just a really great film. Better than the other Pirate films in the trilogy (and you know how good those are!) See it, you won't be disappointed!","101 out of 124 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0449088/rw1664786/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","A reasonably fitting ""end""","https://www.imdb.com/review/rw1664262/?ref_=tt_urv","rparham","https://www.imdb.com/user/ur0637916/?ref_=tt_urv","29 May 2007","Once you start downhill, it's difficult to halt the momentum. So to apply this metaphor to the world of cinema, once a film franchise delivers a poor entry, it's almost impossible to not deliver poor ones from then on out. So, imagine the surprise when, after the lackluster Pirates of the Caribbean: Dead Man's Chest, that screenwriters Ted Elliot and Terry Rossio and director Gore Verbinski are able to deliver a superior third entry in the Pirates series with Pirates of the Caribbean: At World's End. It is hardly perfect, still far too long and lacking in emotional depth, but for a summer spectacle, it still manages to deliver the goods to a degree.At World's End opens not long after Dead Man's Chest, with Will Turner (Orlando Bloom) and Elizabeth Swann (Keira Knightly) joining forces with recently resurrected Captain Barbossa (Geoffrey Rush) to rescue Jack Sparrow (Johnny Depp) from Davy Jones' locker, where he was dragged to by the Kraken at the conclusion of the last film. While they are on their way to the afterlife, Lord Cutler Beckett (Tom Hollander), has exerted his influence over Davy Jones (Bill Nighy) and is using him to bring the pirates of the world to their knees. With their very existence on the line, the pirate lords meet to discuss the possibility of joining forces to combat Beckett, but since these are pirates, there is a wide variety of skullduggery and backstabbing to be had.Pirates of the Caribbean: At World's End is rife with dazzling visuals. As with both previous films, At World's End has spent it's almost-certainly astronomical budget on what actually goes on the screen. The sets, costumes, and stunning visual effects are impressive, to say the least. You might be excused for actually believing that what you are seeing is real at times, not just movie trickery. The make-up artists have also once again proved that they can be the go to guys for the creation of unappealing looking characters, as almost no one in Pirates of the Caribbean: At World's End looks like they have taken a bath or brushed their teeth, well, ever, which, in this case, seems to work for the film. If you want to see a visually spectacular motion picture, especially on the big screen, you need look no further than At World's End.On the other hand, if you are interested in depth to go along with the glittery outside, then At World's End will prove to be somewhat lacking, although not nearly as much as Dead Man's Chest. The key problem to this film is that the characters are underdeveloped. Most of what makes them up is played out again without much added to the proceedings from the previous entries: Jack wants everything for himself, Barbossa wants what Jacks wants also, Will wants Elizabeth and Elizabeth wants, seemingly, to be a pirate. Frankly, it's a bit sad that the character with one of the best emotional arcs in the film is one of its villains, Davy Jones, who has an almost touching degree of pathos added to him thanks to a scene about halfway through the film. Perhaps it is the film's never ending attempt to keep the audience uncertain where the various characters loyalties lie that also works against the audiences' identification with almost anyone. When it seems that everyone is out only for themselves, it's hard to work up much enthusiasm for them.The film's cardinal sin, as has been the case with every Pirates entry thus far, is its bloated length. At World's End does not have nearly the lopsided running time to substance ratio that Dead Man's Chest did, but it still overstays it's welcome. Much like fellow summer blockbuster Spider-Man 3, the filmmakers seem to believe that bigger is better, and that is sometimes just not the case. In the film's defense, there is quite of bit of plot to fill the minutes, but it could have still been trimmed back to some degree while maintaining, and perhaps even increasing, the entertainment value.That being said, At World's End still manages a few surprises, and the ending does pay off much of what has gone before, and even though the ""love"" between Elizabeth and Will seems almost non-existent, a key scene at the end on a beach does manage to be effective. The actors also generally deliver once again. Johnny Depp is entertaining as ever as Jack Sparrow, although he finds the screen time a bit split amongst the various other characters this outing. Depp seems to be having a good time in the role, and it's hard to not understand his public statements that he would be willing to go more rounds as the character. Rush is also effective as Barbossa and Keira Knightley shows a bit more energy than in the last entry, as does Orlando Bloom in the part of Will.So, what began as a seemingly bad idea (a Disney theme park ride turned into a summer film) has concluded three films later with one of biggest displays of blockbuster film-making, in terms of scope, as has been seen in recent years. That the spectacle isn't quite in service of an appropriate amount of core material is disappointing, but Pirates of the Caribbean: At World's End is hardly a loss. It provides a decent amount of entertainment, buckets of eye candy and a good laugh here and there. While filmmakers should perhaps aspire to more, what they manage deliver isn't half bad. I suppose that might sound like damning with faint praise, but you just have to call them as you see them.","115 out of 213 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0449088/rw1664262/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Why all the harsh reviews? This was a great finale!","https://www.imdb.com/review/rw1668680/?ref_=tt_urv","Smells_Like_Cheese","https://www.imdb.com/user/ur1293485/?ref_=tt_urv","5 June 2007","I tell you, I was so disappointed to not see Pirates of the Caribbean: At World's End it's opening weekend, but in some ways, it was kind of a blessing, at least I would get some reviews from friends who saw it, like my movie buddy. Now so far this May, the sequels have been disappointing, excluding 28 Weeks Later, they're just not as good as the originals or their sequels. When I asked my friend how Pirates 3 was, she said it was a major disappointment, oh, man, that got me nervous, since her and I have virtually the same taste in movies. But my mom and I wanted to see this film still, just see what it was about, and I have to say that I actually enjoyed this film more that what I was lead to believe it was.OK, I'm not sure how to explain the plot, since there is so much to say, but I'm going to give it a shot. Will and Elizabeth's relationship is on the rocks since Elizabeth has not told anyone that she was the cause of Jack's death. Jack is needed to help Will get his father back, so he and the crew bring back Jack from Davy Jone's locker. The English Command has hung everyone in the town who has done anything to do with pirates, and are out to kill every last one of the pirates. Captain Barbossa is back and he is in a fight with Jack on who is captain of the ship. Traitors reveal themselves into the biggest pirate battle you'll ever see! I hope that helps somewhat, there are a lot of stories to follow in this film. But it has great acting, superb effects, and terrific stories. There are a few ridicules moments that are unbelievable, but I think that if you just relax and give the movie a break, you may find yourself having a lot of fun in this great sequel. It was a great ending to the story, the only story I didn't like how they ended it was the story between Will and Elizabeth, but I'm not going to spoil it for you. But please just give this movie a break, it's really great when you give it a chance.9/10","29 out of 34 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0449088/rw1668680/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Not so bad, but overall it is a rather disappointing second sequel.","https://www.imdb.com/review/rw2117776/?ref_=tt_urv","TheLittleSongbird","https://www.imdb.com/user/ur20552756/?ref_=tt_urv","27 August 2009","I will say I absolutely loved Curse of the Black Pearl, it's one of my all-time favourite movies. Dead Mens Chest was enjoyable and lively, if overlong. At World's End is certainly not a terrible film, far from it, I just found it rather disappointing that's all, plot-wise being the least remarkable of the three films. I will say there is a lot to recommend it, namely the art direction, and the special effects weren't too bad either. The cinematography was impressive, there is some lovely period detail and I thought there were some very well staged battle sequences. The music by Hans Zimmer, one of my favourite film composers, was outstanding, very rousing and dramatic. And the performances weren't so bad either- Jack Sparrow is still the lovable rogue we have come to know and love, and Johnny Depp played him marvellously. A very talented actor, Geoffrey Rush, sinks his teeth into the part of Captain Barbosa, I particularly loved the line, ""I'm a bit busy at the moment."" And Bill Nighy was delightfully villainous as Davy Jones. However, the film does have flaws that prevents it from being the rollicking film it had the potential of being. The plot did take a while to get going, and sometimes became unfocused and convoluted, like Elizabeth and Will declaring their wedding vows in the middle of a big fight. Also there are a lot of characters, and one or two of them served no real purpose to the plot, and a lot was crammed into the long running time, so at the end of the day, it felt a bit bloated. The script was full of existing jokes, not necessarily a bad thing, but overall it lacked freshness, and the humour and fun, that made me love the first film so much. Overall, it is certain performances, fantastic music and some well-staged battles that salvage an otherwise bloated and disappointing second sequel. 6/10 Bethany Cox","15 out of 23 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0449088/rw2117776/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","Great film lives up to expectations.","https://www.imdb.com/review/rw1665153/?ref_=tt_urv","dol_fan_in_tampa","https://www.imdb.com/user/ur5489231/?ref_=tt_urv","30 May 2007","This movie is truly spectacular!!! Non stop action, with a surprising ending. If it weren't for the silliness of the Jack Sparrow clones, I would give it a 9 and 1/2. It takes a little away from the film's momentum. As far as the final battle rivaling that of the LOTR trilogy, I would say no. This trilogy will go down as one of the great trilogies. Breathtaking special effects, and fabulous scenery. All in all, a great film. It must be viewed in the theater. It is better than Dead Man's Chest, but I still like the overall story line of Curse of the Blach Pearl better. As always, be sure to stick around after the credits for an extra scene. This one adds to the plot of the film and gives viewers some closure after a heart wrenching finale. Make sure you check this film out.","67 out of 93 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0449088/rw1665153/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
