"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"6","/10","What Might Have Been","https://www.imdb.com/review/rw3040000/?ref_=tt_urv","utgard14","https://www.imdb.com/user/ur1896124/?ref_=tt_urv","26 June 2014","This is basically a tale of two movies. I know Hugh Jackman wanted this movie to be an adaptation of the classic Chris Claremont/Frank Miller comic book mini-series. You can see bits of that story here. But then you have this other stuff, far removed from that story, that seems to be studio-imposed and ultimately hurts what could have been one of the best comic book movies to date. The good stuff, the stuff worth watching this for, are the slower, quieter parts of the story. The Wolverine and Mariko parts, basically. But all of the special effects-heavy parts and the loud, flashy action sequences suck and take away from the impact the movie would have otherwise had. There's probably no better example than the different climactic battle scenes. Wolverine vs Shingen is a much more powerful, emotional scene than the shallow, garish stuff with Viper and a guy in robot armor.I don't really blame James Mangold. No doubt it was Fox's interference that caused the problems and also caused Darren Aronofsky to bail before filming. You can see a better movie underneath this one. But Fox didn't have the guts to make that movie. Probably felt it wasn't commercial enough. Needed more robots and CGI fights on top of a speeding train. Still, it's good enough to watch and enjoy most of it. It's certainly miles better than the last Wolverine movie. But I can't help but feel sad thinking about what might have been. They very well could have given Wolverine his own 'Batman Begins' but instead we get just another watchable popcorn movie with hints at something more substantial.","88 out of 104 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1430132/rw3040000/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","biased review of Wolverine fan","https://www.imdb.com/review/rw3464325/?ref_=tt_urv","sam_smithreview","https://www.imdb.com/user/ur65362228/?ref_=tt_urv","6 May 2016","I've been a fair fan of the series of the whole. Even the weaker installments I thoroughly enjoyed, so my review is already weighed in favor of this film. I will say even from a critics point of view I thought it was really well done. It's not the standard comic book fairy tale, but more of an intrinsic study of the Wolverine character. He shows a lot of depth and vulnerability in this outing, far more than previous installments. It's a risky but necessary move to see him operate on a balance challenge where he really is prone to death at any moment. The humor is matched well with the drama for an interesting viewing all the way through. All the supporting roles I found interesting as well. I really enjoyed the presence of Yukio who provided invaluable aide despite Wolverine's incessant protests. I found it nice to see his character finally develop some closure after all the time we've get to see him in all his cinematic installments.","43 out of 54 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1430132/rw3464325/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Worthy successor","https://www.imdb.com/review/rw2960912/?ref_=tt_urv","Vartiainen","https://www.imdb.com/user/ur30163554/?ref_=tt_urv","14 February 2014","I didn't much care for X-Men Origins: Wolverine. Hugh Jackman still was, and always will be, a brilliant Wolverine, but the other characters felt lackluster, the villain was weak and the storyline didn't fit well with the other X-Men movies. It didn't have the same feel.For some time it seemed that the poor critical performances of both that and X-Men 3 would mean there would be no more movies with Wolverine in them, at least in a leading role. Luckily, the film makers decided to do one more and if this particular movie is going to be the last one, I for one can move on happy with what I got.The Wolverine is a movie that works both as a continuation of the X-Men storyline, as well as a standalone movie. The focus is kept heavily on Hugh Jackman, which works for the movie's advantage. There are some callbacks to the events of the trilogy, but as a whole I think this film could have worked just as well without them, if not better, as they are a bit distracting from time to time. But most of the time the focus is on where it should be. In this movie Logan travels to Japan in order to meet an old acquaintance, who wants to settle old scores before his demise. In Japan we get some gorgeous scenery, nice atmosphere, intriguing settings, believable characters, all that good stuff.I especially liked Tao Okamoto's character Mariko, the granddaughter of Wolverine's old friend. Jackman and Okamoto have brilliant chemistry together and when the movie slows down during the second act to give them time to simply interact with one another, it feels justified. Usually that kind of slowing down in an action movie feels boring and unneeded, even sappy, but here it works because the actors have the skills to pull it off. Which is a great thing, because it gives the movie more depth and we get a chance to know Wolverine in a new way that the Origins movie tried to reach, but never could because of its lack of emotional maturity.Unfortunately this film has one major flaw and that is the unbelievably weak villain, known as Viper. Her actress, Svetlana Khodchenkova, just doesn't have the screen presence or acting skills to give the character any memorable attributes. She merely stands there, struts around in her skintight suit and spouts the dialogue. That's it. Sure part of that is poor writing, but it's still rather jarring because the two main protagonists are so damn good. If only the villain had been as good, this could easily have been one of the best Marvel movies yet made.As it is, it's still fine. The two main characters are very good, most of the side characters do a good job as well, the action works wonderfully, the Japanese setting gives the film a nice coating of majesty and even the story, while nothing that extraordinary, functions well enough for us to enjoy it. The villain is weak, very weak in fact, which keeps the film from being great, but you can overlook it and focus on the good stuff.","43 out of 65 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1430132/rw2960912/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","The Wolverine","https://www.imdb.com/review/rw5478857/?ref_=tt_urv","0U","https://www.imdb.com/user/ur87850731/?ref_=tt_urv","12 February 2020","Wolverine plus Samurai makes a pretty good combination for me. A great film that is based on the X-Men comic books and movie series.","13 out of 19 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1430132/rw5478857/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Back to Basics!","https://www.imdb.com/review/rw2927519/?ref_=tt_urv","sohansurag","https://www.imdb.com/user/ur21382612/?ref_=tt_urv","24 December 2013","Wolverine is one of the iconic characters in both the Marvel Universe as well as the 20th Century Fox's movies; so is his Adamantium claws and healing factor. An immortal and living through ages he does have a lot of stories ready to be told through movies/comics. We did get an Origin movie, X-Men Origins Wolverine which was panned by critics and audiences alike. But I felt it was trashed more than it deserved to be. It had loads of action and bits from the original Wolverine Origin story arc but it did trash the character for the sake of being an action-heavy summer blockbuster. A weak script, irrelevant characters and a stupid take on 'the merc with a mouth' underwhelmed the audiences. Anyways The Wolverine salvages some of its lost prestige putting a lot of focus on the core character.Rumors that Darren Aronofsky'd be helming the new Wolverine had me excited but the director's chair was handed over to James Mangold in the end. I am not skeptic at all regarding Mangold's directing prowess, as evident from gems like 3:10 to Yuma, Walk the line and Identity. But I was wondering how he'd handle a superhero flick. After watching it, its safe to say Mangold's direction is far better than what I'd expected it to be.The Wolverine is undoubtedly based on Frank Miller's take on the superhero and I was already familiar with the names Mariko, Shingen and Yukio. It all came like a whiff of fresh air. The Wolverine is sort of a reboot for the series and a brilliant stepping stone for a new franchise which could tell a parallel story to the X-Men movies. Although it has its roots attached to the previous flicks, we are dropped into the midst of Wolverine's story. There ain't no origin, there ain't no 'Previously'; instead we are just dropped into a narrative which ploughs forward to the thick of Japan. The Wolverine could be compared to treatment our superheros been getting recently. He's been stripped off his healing factors and he is left like so almost the entire movie and it does bring out some tension. I mean when he had the healing power, we knew he wouldn't just die even if she's split into two (admit it!)The Wolverine is directed well and so was it well written and the action sequences well choreographed but its not without its flaws though. As mentioned above The Wolverine still has the debris it's carried on from X-Men The Last Stand and I wasn't pleased with it. Wolverine has flashbacks of his lost love? Seriously? Isn't it time his healing factor took care of that already? I mean its the god-damn Wolvie we're talking about here. Jean Grey's flashbacks (more like boring nightmares and more than once) kept crawling into the plot disrupting the pace and I just didn't like it. Of course Wolverine is tormented from what he'd done in the past but that doesn't mean, we the audience need to be tormented from start to end. The Japan setting was a bit distracting as well and maybe thats a personal thing. I am not a big fan of Martial arts movies and there was an excess of martial arts settings and jargon here in the movie though it all did look good. Props were fantastic and the action sequences thick, especially the Bullet Train sequence is something to gape at.Hugh Jackman effortlessly steps into his Wolverine shoes for the 6th time and having worked with Mangold in Kate & Leopold did wonders for The Wolverine. This is the Logan we've all praised and been used to and Hugh easily slides into the role and storyline straight from X-Men The Last Stand albeit forgetting X-Men Origins Wolverine. But then again playing Wolverine would have become second instinct for Hugh by now. Supporting cast couldn't be praised for the same, most of them being just bait for the plot. Especially Wolverine love interest in the movies, I felt they had absolutely no chemistry. Rila Fukushima did an absolutely splendid job playing Yukio. I had huge expectations for Svetlana Khodchenkova who played the only other mutant in the movie, Viper but she just served for some eyecandy and wasn't even fleshed up to be a proper antagonist.For what its worth, The Wolverine is a splendid action movie which concentrates more on the character and the plot than heavy heavy action sequences. If you are an X-Men/Wolverine fan you are gonna love it and please do stay back after the credits coz there is a monumental end- credit to be seen there.","22 out of 43 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1430132/rw2927519/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Incredible spin-off","https://www.imdb.com/review/rw5272367/?ref_=tt_urv","masonsaul","https://www.imdb.com/user/ur94560739/?ref_=tt_urv","22 November 2019","Despite the third act being drastically different in tone to the previous two acts (but it's still fun and enjoyable), The Wolverine is an incredible spin-off that's thrilling and emotional, showing the effects of the events of X-Men 3 on Wolverine/Logan. Hugh Jackman gives a reliably incredible performance as Wolverine once again. Hiroyuki Sanada and Rila Fukushima both give great supporting performances. James Mangold's direction is great and the action sequences are fantastic. The music by Marco Beltrami is really good.","15 out of 20 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1430132/rw5272367/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Enjoyment will depend on familiarity.","https://www.imdb.com/review/rw2839140/?ref_=tt_urv","tdub154420","https://www.imdb.com/user/ur7486656/?ref_=tt_urv","26 July 2013","First and foremost I must say that I absolutely loved this movie. But as I will cover in my review it may largely be due to the fact that I have always held the source material of this film in very high regard. Having said that, I do recognize that their may be a sliding scale of enjoyability for this film. If you are a fan of the 1983 Claremont/Miller miniseries of Wolverine then this is the movie you have been waiting for. If you are fond of the character Wolverine and interested into delving deeper into his chronology and exploring his inner conflicts, you will certainly enjoy this movie. If however, you have no familiarity, or no desire to familiarize with the character of Wolverine, you may find yourself not caring about many of the slower moments and longing for a more evenly paced action film.Fans of Claremont's Wolverine rejoice, this Wolverine does it right. The film does its best keeping characters intact while deviating from the comics in the sake of a self contained story and grander character development. There are several of the shots in this film that are near recreations of the comic's original panels, and although story lines have been shifted and shuffled in some places, its all there. Mariko, Yukio, Harada, Shingen and Viper may develop differently than in the comic series, but their relation to each other and contextual significance is intact. As a Wolverine fan it was also nice to see a meaningful relationship blossom between Wolverine and Mariko, unlike the comics where it really is love at first sight. Instead here Wolverine falls in love not entirely with the character of Mariko, but rather with the idea of being a protector, a take that is a welcome addition to the Claremont storyline. The characters of Silver Samurai and Viper undergo the largest facelift in this film, but it isn't entirely out of place. Let us not forget they were involved in the X Men issues directly connecting to the Wolverine miniseries. Although their characters have undertaken slight adjustments in order to incorporate ideas from the Fatal Attractions storyline, the plot does well to take from Wolverine's side of this storyline because it was one of the few times in the series where Logan did feel vulnerable. Many fans will recognize that the plot device and character of Master Yashida cannot be found in any of the original comics, but one must keep in mind it serves as a useful device to connect all the developments of Logan's journey. All in all I think its the best character study of Wolverine that any fan could ask for. Wolverine struggles with his animalistic urges and his commitment to reform, he grapples to find meaning in his endless immortality, and he ultimately finds purpose and resolution that he had not before. None of these developments are significantly or profoundly discovered, rather they are slowly revealed, which may turn casual movie goers off from enjoying this film. As a thoughtful exploration of Wolverine's character and a grand homage to incredible source material though, how can any Wolverine fan say no to this movie? It is the best X-Men movie and one of the best comic based movies.For those who would not consider themselves fans, but are rather moviegoers intent on enjoying a superhero epic, be warned. This film is a character study, it does not grapple with any conflicts outside of Wolverine's internal struggles. The world is not being threatened, and not many lives outside of Logan's are even being threatened, so the storyline does not crescendo in epic suspense like the Avengers or the Dark Knight. So for those not invested in Wolverine's personal self discovery, some of the action can seem unmotivated and the pacing an obstacle to satisfaction. The film does its job in providing action sequences, but it intersperses several moments of symbolic soul searching, cryptic metaphors and relationship building that serve as pavement for Wolverine's self discovery. This movie can still be enjoyable without interest in Wolverine's inner conflicts however. With an outstanding supporting cast, a beautiful setting, and gripping and intense action sequences, it plays a lot like a token Bond film for those unfamiliar with Wolverine.Whether you are familiar with the original comics or not, this movie will certainly provide entertaining thrills and intriguing themes. If, however, you are a fan of the original comic books, this film is a wonderful achievement.","210 out of 392 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1430132/rw2839140/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Logan finally gets a stand-alone film to do him justice","https://www.imdb.com/review/rw2857966/?ref_=tt_urv","hbk_nwo33","https://www.imdb.com/user/ur5143396/?ref_=tt_urv","25 August 2013","Logan's latest adventure is undeniably a step-up from X-Men Origins: Wolverine but it falls short of the standard set by X-Men: First Class.It was great to see Logan out of his usual environment, and it was a fresh location for superhero films in general from their usual US base but for the most part, especially the action scenes, they could have been anywhere. The Japanese location felt underutilised in setting this film apart from others in its genre. The action scenes are good, even if they do raise a few continuity questions, and the last third of the film is certainly filled with action, twists and turns. James Mangold managed to succeed where Origins did not, he managed to introduce a whole cast of characters but they generally all felt developed and not just crammed in for the sake of it.The film's biggest disappointment though was that it felt like it slipped back into the comfort of it's western formula, taking it from achieving the potential the story had, especially when Darren Aronofsky was attached to direct. The source material presented an opportunity for Logan's darkest and edgiest movie yet, but what we gets feels familiar but in a new location. Where it does set itself apart from previous entries with its dream sequences, which vary from good to distracting, but at least they tried something new.Make sure you don't leave the cinema when the credits hit though, if you've not learnt the Marvel formula yet then you might want to consider doing so.Overall, The Wolverine is a fun film but one that falls short of its potential. Hugh Jackman is still a perfect fit for Logan, and it was a nice change to see the character in a new environment and in his own story (Origins was not really a solo outing).","20 out of 40 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1430132/rw2857966/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","Tremendously Smart and Engaging. A Joy To Watch!","https://www.imdb.com/review/rw2838173/?ref_=tt_urv","StarkTech","https://www.imdb.com/user/ur6842579/?ref_=tt_urv","24 July 2013","If there's one major element that truly sets this picture apart from any other standard ""solid"" comic book movie is the way through which the director communicates the experience of being Wolverine. His healing factor and the idea of out-living everyone you know is daunting and depressing. Finding purpose after facing true vulnerability adds so much to the character and FAR more than we've seen before. Tremendous visual and emotional imagery is presented throughout the movie and provides the viewer with greater insight into the hero and even the villains. This one screams quality from the opening through the amazing final act. I've seen it mentioned that the resolution deviates from the comic books but I honestly couldn't care less. What hits the screen more then works in movie form.For those going into this flick expecting simple fun, prepare to enjoy but prepare to be surprised. Fun is not the only piece of this pie. In fact, I think movie fans of all kind will be stunned at how many levels this movie delivers upon. This is an action packed but surprisingly deep film that, for me, really delivers. The Wolverine will leave your movie-going senses on high and I honestly can't wait to see it again.","67 out of 130 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1430132/rw2838173/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Simple but good","https://www.imdb.com/review/rw8822723/?ref_=tt_urv","Movie_Rating_n_Ranking","https://www.imdb.com/user/ur44965663/?ref_=tt_urv","24 January 2023","I like the fact that this movie feels like an anthology story, separated from the X-Men canon to show a standalone story with its own ups and downs.The film manages to eschew superhero clichés to some extent, staying for the most part in its first two acts as a pure action film, though finally falling into its rightful niche in the last act.Regarding the characters, Viper is a cartoonish villain who feels unnecessary and out of place in the story. If we took her out of the movie, we would have a better final product.Despite having flaws, it has good decisions in the direction. Also, it shows that there is a good budget behind it, because many technical aspects are of good quality.I don't know how faithful the movie is to the comics, but I was quite entertained. Simple, but good.","2 out of 2 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1430132/rw8822723/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
