"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"6","/10","Why wasn't she given a movie back in 2011 or 2012?","https://www.imdb.com/review/rw7522054/?ref_=tt_urv","cricketbat","https://www.imdb.com/user/ur6201371/?ref_=tt_urv","7 November 2021","After all these years, Black Widow finally gets her own standalone movie and... it's okay. I actually found Florence Pugh, David Harbour, and Rachel Weisz to be entertaining additions, but the story felt cobbled together and it was riddled with plot holes. I know Natasha is a very skilled assassin, for instance, but she's almost invulnerable in this. It probably would have been better to give Black Widow her solo film a year or two after Iron Man 2 came out.","99 out of 116 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3480822/rw7522054/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","It was OK--nothing more","https://www.imdb.com/review/rw7133879/?ref_=tt_urv","preppy-3","https://www.imdb.com/user/ur0463200/?ref_=tt_urv","17 July 2021","Black Widow ( Scarlett Johansson) must deal with a villain from her past and her long-absent family.LOUD, confusing and far too long. It starts off OK but quickly falls apart and becomes confusing and convoluted. The film is also way too long--it doesn't need to run over 2 hours. There's also tons of CGI at the end--way too much. The acting is OK. In short a long forgettable MCU movie.","195 out of 275 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3480822/rw7133879/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","They Should've Had More of These From the Beginning","https://www.imdb.com/review/rw8388728/?ref_=tt_urv","toseale","https://www.imdb.com/user/ur155171094/?ref_=tt_urv","31 July 2022","After many years and many movies, Black Widow, one of the original Avengers, finally got a movie. And while it wasn't anything groundbreaking, it was still a fun watch. Taking into consideration the splash of spy genre, a pack of new and interesting characters, plenty of action and intensity, I'd say this wasn't a bad movie. It's something exciting, while not totally memorable in the large expanse of the MCU. Scarlett Johansson and Florence Pugh both did great. David Harbor's character was good and definitely became a favorite in the movie, but I think he still has some things to unravel. The ending ""big reveal"" was kind of mediocre, but the final fight swept it under the rug mostly. Hopefully we'll get more of some of these characters in the future so they'll have the time they need to grow. Overall, if you haven't watched it and want a movie to watch while you're bored, I'd recommend this one.","29 out of 40 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3480822/rw8388728/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","It Lacks Depth. But Nice Backstory","https://www.imdb.com/review/rw9484890/?ref_=tt_urv","AngelHonesty","https://www.imdb.com/user/ur60965299/?ref_=tt_urv","9 December 2023","Yes, the movie is an average film. But I enjoyed it because finally, I get to see where Black Widow came from. It's nice to see some of what made her, her. It is a shame that they didn't get more into it. I think the movie really could have given us more about the ruthless training and experiences that Widow had to endure. A lot of the movie was implied but not shown.The plot was simple. It was nice to have some new heroes and villains. I really liked the cast and the jokes were fun. But as I said before the plot is very simple. Pretty much about killing a guy, a guy that we really didn't know or have any bad feelings for because we barely even got to see the man being evil. The movie lacked on showing the power of the widows. They had very spaced out and very few scenes of them.I did enjoy the sister dynamic of the two girls. It was fun to see them both in action and it was fun to see them bicker with each other. In a way it is a sad movie. With what happened in the previous film. Did it do the Black Widow Justice? Some. It really could have been better by showing more. It missed all the heart string moments. Giving us more of an eye candy film with not much depth.""Your pain only makes you stronger""","5 out of 5 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3480822/rw9484890/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Natasha Romanoff, aka ""The Black Widow"", finally gets to tell her story","https://www.imdb.com/review/rw7254787/?ref_=tt_urv","AlsExGal","https://www.imdb.com/user/ur15148330/?ref_=tt_urv","21 August 2021","I was expecting a typical, CGI-infused Avenger movie, and it certainly is that. Black Widow, though, has a lot in common with James Bond movies. There's even a scene in which 007 is playing on TV. The Black Widow must stop a Russian General called Dreykov, a sort of SPECTRE czar megalomaniac who ""rescues"" unwanted girls and turns them into super assassins, called widows. Widows go through extensive training. A select few get chosen. The rest are killed. This makes Dreykov a monstrous misogynist, in a movie, directed by a woman, Cate Shortland, which has unmistakable feminist themes. There are two main Black Widows: Scarlett Johansson's character, and Yelena Belova, played by Florence Pugh. Belova is impulsive where Romanoff is introspective. The two are sisters only in that they grew up as part of a Russian cell, in an Ohio suburb, along with Rachel Weisz as their brilliant scientist mother, and David Harbour, as Red Guardian, Russia's version of Captain America, as the dad.The action set pieces, and fight scenes were good, but no better or worse than your typical Marvel Avenger movie. There are the standard wisecracks, as Johansson and Pugh riff on each other. Yelena teases Natasha's signature landing move, with one arm extended behind, the other hand on the floor, and legs spread apart, a fighting stance Yelena finds diva-like and pretentious, and is disgusted with herself when performing the same pose. The chemistry between Scarlett Johansson and Florence Pugh is nimble and enjoyable. The scenes with David Harbour, arm wrestling people in a gulag prison, are also very funny. In summary, this is a solid, fun Marvel movie, with a hint we will be seeing more of Black Widow Yelena Belova.","58 out of 91 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3480822/rw7254787/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","More Disney-isation of Marvel","https://www.imdb.com/review/rw7125507/?ref_=tt_urv","gordon-mccrae","https://www.imdb.com/user/ur49848168/?ref_=tt_urv","15 July 2021","Marvel character finds a problem.Marvel character calls some friends for help.Marvel character finds out something they didn't know.Marvel character seems to have lost.Marvel character actually wins.Yep, standard Disney/Marvel recipe complete, put it out for people to watch, make a load of cash, rinse and repeat.I'm being really generous with my star rating because they had the guts to actually do a Black Widow movie.Still better than either of the Wonder Woman (I WONDER why I watched them) movies, but that's not saying much.It's like death and taxes now; there's bound to be an iffy Disney/Marvel movie or show along every six months or so. It's got to the point where it's like watching a soap opera because we're only still watching because we're invested in the characters.Soon enough the ""normal"" people will stop watching because they're not invested in the characters in the first place.","95 out of 158 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3480822/rw7125507/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","No clue why the hate","https://www.imdb.com/review/rw8166793/?ref_=tt_urv","seejackrunguitar","https://www.imdb.com/user/ur53211008/?ref_=tt_urv","22 May 2022","This is a super solid, fun, well choreographed action entry in the Marvel universe. Very similar feel to the winter soldier and civil war. Acting is great, fight scenes are awesome, and the humor is well timed and refreshing.","17 out of 22 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3480822/rw8166793/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Half good, half fine.","https://www.imdb.com/review/rw8234884/?ref_=tt_urv","tim-stjames","https://www.imdb.com/user/ur27921253/?ref_=tt_urv","13 June 2022","The film isn't likely to go down in Marvel history as much more than a footnote, nor does it tell us much about the studio's next phase. The pieces are great, but the execution leaves plenty to be desired. After an entire year of no Marvel movies on the big screen, it's difficult not to recommend this as worthy escapist popcorn fun. But that's it.","4 out of 4 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3480822/rw8234884/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"4","/10","If this is what the next phase of MCU is all about then I'm out","https://www.imdb.com/review/rw7123173/?ref_=tt_urv","andy-00846","https://www.imdb.com/user/ur64946980/?ref_=tt_urv","14 July 2021","There was a real opportunity with this film. It could have been a gritty backstory about a difficult upbringing. That would have been interesting. They could have made Natasha all Jason Borne'd up and showed her dark espionage skills. That would have been interesting. The training of an assassin and the emotional dichotomy of a paid killer. That too would have been interesting.Instead we got two hours of unimaginite ""plot"" with phoned in dialogue delivered by bored actors riddled with Clichés and borrowed scenes from other, much better movies (and I bever thought I would say that about Moonraker) . The only respite was being able to giggle at Ray Winstone's pitiful attempt at a Russian Accent. As he would say on the adverts. When the fun stops.... Stop.","10 out of 10 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3480822/rw7123173/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Pleasantly Surprised","https://www.imdb.com/review/rw7107271/?ref_=tt_urv","tymoody","https://www.imdb.com/user/ur118509515/?ref_=tt_urv","9 July 2021","I don't quite understand the hate the movie is getting. Too many people expected full comic book accuracy with Taskmaster, which would have been hard to accomplish and harder to fit in the story they were trying to tell. I understand the disappointment from fans who expected that full Taskmaster story, but do not think it means that this movie was a flop. Florence Pugh was excellent in the film and the chemistry between her and Scarlett Johansson was great. Good fighting sequences except for parts of the third act where the CGI was very noticeable. Plus that end credit scene was amazing. One of my only complaints is that Marvel stated you wouldn't need to watch the shows to understand the movies but if you hadn't seen falcon and the winter solider the end credits may not make a 100 percent sense. At least make it clear the shows are a must watch if you are going to make them necessary to understand certain things. Overall a great movie.","669 out of 1,145 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3480822/rw7107271/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
