"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"6","/10","Turn your brain off and enjoy...","https://www.imdb.com/review/rw3023735/?ref_=tt_urv","planktonrules","https://www.imdb.com/user/ur2467618/?ref_=tt_urv","27 May 2014","At this time, there are already 530 reviews for ""Now You See It"", so I'll try to be brief. The film is about a group of four magicians and mentalists who have been given a brilliant plan by an unseen genius. Again and again, the quartet perform seemingly impossible stunts and always seem many steps ahead of the police. And, in the process, they do HUGE magic tricks that are pretty much impossible. The presentation is VERY smooth and very slick and the overall production looks great. It has great music and effects. But, on the negative side none of this really makes a lot of sense and there is no way you can enjoy it if you think. This is especially true at the end (where there is a profession of love that comes from absolutely no where!!)--which is a gigantic cliché and made no sense whatsoever. The bottom line is that if you turn off you brain and enjoy it on a very superficial level, you'll enjoy it. If you try to make sense of it all, your head will explode. 'Nuff said.","77 out of 93 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1670345/rw3023735/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Watchable but lacks depth & substance","https://www.imdb.com/review/rw2808889/?ref_=tt_urv","pinkled5","https://www.imdb.com/user/ur6873646/?ref_=tt_urv","7 June 2013","This is one of those movies that is somewhat entertaining upon first viewing but is easily forgettable and has nothing of substance to make a second viewing possible to enjoy. The plot is convoluted as we don't know what the main characters are doing or why. In fact, everything we know about the 4 magicians is revealed in the first 10 minutes of the movie and after that there is ZERO character development! The entire movie appears to have been made solely for the sake of the ending and yet it was so cliché that I was actually a little angry about the way they did it. It's unfortunate that in the filmmaker's attempts to be clever they neglected the most fundamental elements of storytelling: plot and character.Like a magic show without magic, you may find yourself somewhat entertained but inevitably wind up disappointed in the end because they left out the most important part of the show.","670 out of 1,014 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1670345/rw2808889/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","trying desperately hard to be more intelligent than it is","https://www.imdb.com/review/rw2826520/?ref_=tt_urv","HelenMary","https://www.imdb.com/user/ur2655139/?ref_=tt_urv","6 July 2013","Overall a showman of a film. Flashy, loud with bells and whistles and big personalities, an exciting premise... illusionists rob banks using (supposed) magic but the four horsemen are just puppets in a game, but the hype is more than the substance of the film itself.You'd expect suspense, twists, intelligent plot misdirection and all sorts of thrilling viewing? No. This film tries to be a lot more intelligent than it actually is. Like Atlas (Eisenberg) says, ""Always be the most intelligent person in the room"" or something similar, this film thinks it is being intelligent but actually it's not challenging enough. It gives too much away, isn't as unpredictable as it should be (really, you couldn't see that ending coming?) and just isn't as clever as it promises. The tricks I really wanted explaining weren't... the ones that were more obvious, were explained. The ending actually isn't a denouement, as it's been laying clues all along - and anyone who's seen a lot of films can see the ""twists"" coming a mile away. I focus on the twists and reveal because as a heist movie, the end is the big reveal. But, unlike Oceans Eleven, for example, it has more or less handed it to you on a plate already.The actors were good. Morgan Freeman and Woody Harrelson stealing the show, of course, with Dave Franco doing a bang up job with some incredible physical acting, stunts and so forth. I'm afraid Jesse Eisenberg didn't convince in his character and was annoying after a while, Franco rather underutilised really. Isla Fisher was good but clearly the ""glamour"" rather than a serious character, which was a shame as she was good.This was supposed to be a big blockbuster film, big back drops, epic stunts and huge crowd scenes, but it failed to deliver. As heist/magic genre films go it's not that great, and The Prestige was far more cerebral and gripping. Entertaining to a point but I got a bit bored, and some of the scenes were too long - chases etc. If you are a fan of heist films or magic you'll enjoy it, or are a fan of particular actors, or will just enjoy it for what it is and don't want to be challenged intellectually, it's a great film. I think Hollywood endings are just too commonplace. 6/10 for me.","302 out of 449 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1670345/rw2826520/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","Promising idea sunk in key areas","https://www.imdb.com/review/rw2869000/?ref_=tt_urv","Wizard-8","https://www.imdb.com/user/ur0101706/?ref_=tt_urv","13 September 2013","""Now You See Me"" came out of nowhere and became the sleeper hit of 2013, getting good word of mouth during its theatrical run. Having seen the movie for myself, I am kind of puzzled by its popularity. Certainly, the movie is far from the worst movies I have ever seen - it's colorful, and doesn't have a dead spot despite running almost two hours long. But there were some things about the movie that annoyed me enough to prevent me from liking it. The biggest problem is with the characters. Except for Freeman's character, there is not one likable character in the movie. The law enforcement agents investigating the magicians are loud and obnoxious, and the four magicians come across as extremely smug. (Also, there is no attempt to give the magicians real and separate personalities - they all act alike.)The characters were the main reason why I didn't like this movie, but there were other problems as well. One other major annoyance is the depiction of the magic acts. They have been jazzed up with CGI and other special effects so they don't feel like REAL magic acts - they come across as artificial. Also, as the movie progresses, the various feats the magicians pull off slowly become more unbelievable (and not fully explained) that eventually I wanted to cry out loud, ""Oh, COME ON!"" Less slight of hand and a more realistic approach would have been a much better approach.(Note to Michael Caine fans: His role is really just an extended cameo appearance.)","42 out of 55 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1670345/rw2869000/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","more fun lose some strength at the end.","https://www.imdb.com/review/rw3567503/?ref_=tt_urv","miguelneto-74936","https://www.imdb.com/user/ur66355076/?ref_=tt_urv","23 October 2016","Now You See Me is a very entertaining movie, the cast is excellent, Jesse Eisenberg is very well, Mark Ruffalo for me is the best actor of the film, Woody Harrelson, Isla Fisher, Dave Franco, Melanie Laurent, Morgam Freeman, Michael Caine and etc., everyone is well, the direction of the film is good, most have some problems, I found the badly explained film, and the Plot Twist the film is somewhat predictable, has great moments in the film, the visual effects are good, the script even a little poorly explained, can sustain the film, the soundtrack is cool, plus the film loses some strength in the end, get well, more will lose some quality in the course of the movie, Now You See Me is a movie cool and fun, is a good pass time. Note 7.1","4 out of 4 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1670345/rw3567503/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Like a Vegas Show, Entertaining but Lacking of Much Else","https://www.imdb.com/review/rw2805460/?ref_=tt_urv","griffolyon12","https://www.imdb.com/user/ur6136793/?ref_=tt_urv","31 May 2013","Imagine Now You See Me as Ocean's Eleven meets The Prestige and you sort of get what director Louis Leterrier was going for with this film. Is Now You See Me as successful as the aforementioned films? Not necessarily, but it's a fun movie that deconstructs the acts of modern magicians.The story follows four Vegas magicians, known as the Four Horsemen, who rob a bank in the middle of one of their shows. What follows is a cat-and-mouse thriller where the FBI chases after these magicians, always one step behind, trying to figure out how they did it.Where Now You See Me works best is when Leterrier creates cinematic sequences showing us how these magicians used real-life magic tricks to befuddle and dupe both their victims and the FBI. As well, if you want a film with twists and turns, this one will not disappoint. While most of the major twists can be found out before revealed, there is still a joy in watching those twists unfold, thanks to Leterrier's Sherlock Holmes' style of visual deduction. However, the script often falters in one of the most crucial areas, that of character.Leterrier and company are constantly trying to balance the breakneck pace with the large cast of characters, and it just leaves the characters hanging out to dry. Character development is sorely lacking in Now You See Me, to where I never really cared about any of the characters. Part of this is because the film is constantly shifting points of view. The first thirty minutes follow our Robin Hood-like magicians, and then it switches to the FBI agents tracking them down, but then the film has the magicians constantly one step in front of the FBI to the point that it makes the FBI often come across as buffoons, and I find it hard to care for characters who are so easily fooled. Ultimately, I feel that had the film focused entirely on one set of characters, like the magicians or the FBI, the film would have been stronger and been easier to find a focal point, but as it is the film's core is often muddled.While Now You See Me may not be a grand slam, it's still entertaining, thanks to the thrills and visual style of the film. Bottom line, if you're a fan of the heist genre, you'll like this movie. For me though, it just lacks a further script rewrite to have become one of the best examples of the genre.I give Now You See Me an 8 out of 10!","318 out of 519 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1670345/rw2805460/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","A fun ride, but something's missing","https://www.imdb.com/review/rw2805384/?ref_=tt_urv","julianblunt","https://www.imdb.com/user/ur34246842/?ref_=tt_urv","31 May 2013","This is an interesting concept, surely not a genre played out much in Hollywood. The cast is jam packed with all stars giving great (but not their best) performances. The missing piece of the puzzle? Character development. That's not to say that there is any lack of interesting characters, each of the four horsemen bring a very unique style to the movie (besides Henley, she's rather weak as a character), and the sheer amount of Talent present in each scene guarantees that you'll be entertained. 10/10? Hardly. But definitely a solid 8 for me. Entertaining, fun, and definitely a concept worth exploring on the big screen. Just remember, the closer you look, the less you'll actually see.","198 out of 364 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1670345/rw2805384/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Wow.","https://www.imdb.com/review/rw8699855/?ref_=tt_urv","wms-92741","https://www.imdb.com/user/ur109753941/?ref_=tt_urv","28 November 2022","There are a lot of reviews already for this movie, so it is unlikely anyone will read mine. But I feel like I have to weigh in on this movie.This is the most fun I've had watching a flick in a very, very long time. This movie is a riot! It isn't quite as clever as it thinks it is. Most of the surprises weren't terribly surprising; off the top of my head I can identify at least three that I saw coming. But I don't care.It was fun! It was funny and engaging and I found myself simultaneously rooting for both sides. There is no shortage of action, the dialogue is peppy, and - unlike almost everything else I've watched lately - it's never boring.Do yourself a favor and don't analyze. Just sit back and enjoy the ride. Movies don't have to be life-altering.","7 out of 8 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1670345/rw8699855/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","The real magic is that they trick you to believe this is a good movie","https://www.imdb.com/review/rw2858799/?ref_=tt_urv","andr87","https://www.imdb.com/user/ur6722775/?ref_=tt_urv","27 August 2013","And I will not back up with this statement. It is a good movie, because it's not a boring movie, but it is that kind of movie that you watch once and walk away and forget all about it. First off, let me tell you why movies involving magic tricks don't work. Because magic is for live audience and everything made on camera loses the main purpose of magic. In order to enjoy it, we have to subscribe to things that defy plausibility, we are obliged to take unrealistic facts for granted. But let's say we're OK with that. The Illusionist or The Prestige worked that way. The real problem here is that the storyline is cynical and walks on a path of plain 'by the book' twist after twist after twist scenario, even though they lack of substance, motivation, trying to create an undeserved WOW effect. Plus, they forced in a classical fling to satisfy all viewers. There are major unrealistic events, but I guess the movie is not for us who try to find logic, but for those who just want to be entertained and see sparkles.","13 out of 21 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1670345/rw2858799/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Great Movie","https://www.imdb.com/review/rw8167511/?ref_=tt_urv","jmroto-21887","https://www.imdb.com/user/ur76595429/?ref_=tt_urv","22 May 2022","This movie was really fun to watch
Nice to see a clean move that is ver entertainingWoody Harrelson was excellent as is Morgan FreemanMark Buffalo is just a terrible actor especially in a crime setting like this. He lowered my overall scoreEnjoy.","5 out of 7 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1670345/rw8167511/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
