"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"7","/10","Better than its rating","https://www.imdb.com/review/rw5817178/?ref_=tt_urv","jljacobi","https://www.imdb.com/user/ur1864078/?ref_=tt_urv","12 June 2020","I'm not sure why such a low rating. This is easily one of the better Sandler flicks in my book, and there aren't actually that many I like. It's fun, nothing's taken too seriously, it's well-acted and well-directed, there's a minimum of the obligatory shock humor that seems to invade all of his movies. I mean, you could probably let the kids watch and that stuff will go over their heads. Maybe, maybe not. Watch it yourself first.I watched it a second time and still enjoyed it. That doesn't happen all that often.","67 out of 82 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2120120/rw5817178/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Highly underrated","https://www.imdb.com/review/rw4562208/?ref_=tt_urv","nicknic","https://www.imdb.com/user/ur2052542/?ref_=tt_urv","5 January 2019","A fun movie, with bright actors. Entertaining and authentic. Worth surely the view","95 out of 121 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2120120/rw4562208/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","Sorely underrated, most honest fun since Ghostbusters.","https://www.imdb.com/review/rw3359407/?ref_=tt_urv","amesmonde","https://www.imdb.com/user/ur1761695/?ref_=tt_urv","22 November 2015","Aliens in the guise of video game characters prepare to take over the world and a group of 80s arcade gamers re-team to stop the threat.From the director of Home Alone, Chris Columbus' Pixels plays as a mix of Wreck it Ralph, The Lego Movie and channels the likes of Independence Day and is reminiscent of Ghostbusters to name a few. This highly under-appreciated scifi comedy is a feature-length adaptation of Patrick Jean's video- game themed short. There's something for everyone but if you're a 30 something or more you'll find it hard not to like this retro game blast of a movie complete with arcade slot machine sounds. Opening in 1982 those with an appreciation of the late 70s and early 80s surely can't help but love the throwback gags. It then fast forwards to the present day with Adam Sandler, Kevin James and Peter Dinklage's characters all grown up. It's fast paced fun with aliens disguised as Hervé Villechaize, Madonna and President Reagan. The contemporary cheap quips about Gandalf and Harry Potter also hit the mark. As the grown up nerd gamers assist the President (James) to save the world it's good natured with a flood of one liners, fitting effects and a soundtrack emulating a bygone era. It's packed with references from StarWars to Tron, writers Tim Herlihy and Timothy Dowling induce nostalgia successfully.The supporting cast include the likes of Brian Cox, Sean Bean and Dan Ackroyd to name a few. There's also some celebrity cameos including Serena Williams and Martha Stewart. Characters from classic arcade games such as Paperboy, Space Invaders, Pac-Man and Donkey Kong among many others appear.Despite scattered anachronisms (who's checking) Columbus' Pixels is sorely underrated, it has great visuals and perfect comedy timing. It also has subtext about today's games. It's very entertaining, even if your 're not a retro gamer or and 8-bit lover, it still comes recommended.","26 out of 33 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2120120/rw3359407/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","I enjoyed Pixels for what it was","https://www.imdb.com/review/rw3291568/?ref_=tt_urv","tavm","https://www.imdb.com/user/ur11228318/?ref_=tt_urv","5 August 2015","Just watched this with my movie theatre-working friend who had watched this before and enjoyed it. I did too, though I knew this wasn't gonna be any greats shakes and it wasn't. There were some funny lines at the beginning and some of the video game gags did go a little well. Adam Sandler, Kevin James, Josh Gad, Peter Dinklage, and Michelle Monaghan did well with their roles. When I saw the arcade and all those video games during the 1982 sequence, part of me felt some nostalgia for the times I spent with my brother and his friend playing those games at that kind of place. About the ending sequence taking place one year later: lame. Though really, this was pretty enjoyable so on that note, Pixels is worth a look.","41 out of 64 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2120120/rw3291568/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","I enjoyed it because it reminded me my childhood.","https://www.imdb.com/review/rw3348794/?ref_=tt_urv","Reno-Rangan","https://www.imdb.com/user/ur20327151/?ref_=tt_urv","4 November 2015","There are plenty of movies related to the video games. The 80s movie 'Tron' was one of those first I have seen, followed by many. But the recent one 'Wreck-it Ralph' was the game changer in the modern animation/CGI which led to another similar flick, 'The Lego Movie'. Lego and 'Toy Story' are the toys, not the video games, but very close to this theme and I'm very happy that Hollywood made this film for the guys like me who grew up playing them.The film had a very simple story with the great visuals. Sometimes simple is very good rather going for hi-tech. Especially those who played these games in their middle-age back in the 80s could be now very old and they might suffer to understand the film due to the technology/terms/phrase gap, if it matched to the todays hi-tech hi-resolution video games. But the youngsters of the present era didn't understand that who are the backbone of any movie's success and that's why this movie sunk in the ocean of criticism.My childhood and teenage was the late 90s and early 00s respectively, So 8bit games are on the edge of revolution. My favourites were the races and brick games, especially 'Duck Hunt', because I get a gun, not joystick. So this movie really brought me those sweet memories. A decade ago I used those unique sounds and music for message alerts in my 2G mobile phone(s).I know recently Sandler had hit the rock bottom in his acting career, but, he's kind of lifted after the decent film 'The Cobbler' and excellent multistarrer 'Men, Women & Children'. This is not a massive comeback to what he's known for, comedies. But, sailing on average or above in better than falling downward in the career graph. To me this film was a better one, an above average, obviously not a masterpiece.Guest appearances were unexpected, but was not that effective, except Ashley Benson, who was so hot in her 2-3 odd minutes. This film is not for everyone. Youngsters and oldsters never understand it. If you were born in the 70s and 80s, then probably you will know what to expect. Even it does not deliver to your expectation, definitely gives satisfaction for bringing those lost memories of our childhood.7/10","19 out of 27 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2120120/rw3348794/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","So, after reading the reviews, I had to watch this.","https://www.imdb.com/review/rw3286455/?ref_=tt_urv","ioio32l","https://www.imdb.com/user/ur0374256/?ref_=tt_urv","28 July 2015","I enjoyed it, Pixels is much better than people say. It has some really funny parts, and if you grew up in the 80's and played some old games you will like this I am betting. Of course there are some silly parts, but that's how all Adam Sandler movies are. It reminded me a bit of Billy Madison or Happy Gilmore. It was fun to watch.Ignore the reviews from critics, the SJW's these days will find anything to complain about and they did with this movie too. They want everything, whether it be a movie, video game, or comic book to cater to them. Anything they find offensive immediately they claim to be insulting and they will overlook anything good about the movie just so they can talk negatively about it. Never listen to an SJW when it comes to reviews, they are awful critics.Watch a movie, and judge it for yourself.","172 out of 306 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2120120/rw3286455/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"2","/10","After hiring A-listers and paying for CGI, no money left for script","https://www.imdb.com/review/rw3288171/?ref_=tt_urv","peickelberg","https://www.imdb.com/user/ur53991066/?ref_=tt_urv","31 July 2015","Disappointingly bad movie.The CGI is kind of cool, but the performances are flat, the comedic timing is off, and Sandler just doesn't seem to be making an effort at all(although this may just be his style). In fact, I'm sure that part of the dialogue was either a first-take or else ad lib. How do you get Sean Bean, Adam Sandler, and a few other well-known actors to participate in something so lazy? They could have used a studio audience or a laugh track.I think I know where this movie came from. Someone decided to market a nostalgia film (1980s arcade games) to fathers who have boys aged 12-14. The humor is not sophisticated enough for a normally developed adult intellect, but it also is not appropriate for small children with all the adult themes. It doesn't work. I felt icky watching it.There are a number of 10-star reviews on here. Could the studio have hired people to write them?","51 out of 119 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2120120/rw3288171/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"1","/10","Worst film I have seen in a long time!!!","https://www.imdb.com/review/rw3391272/?ref_=tt_urv","stevejmackie","https://www.imdb.com/user/ur39220407/?ref_=tt_urv","9 January 2016","So, we decided to rent a film for our 11 year old sons birthday and it was this that he chose to watch. I decided to ignore the poor rating on IMDb and go for it anyway which proved to be a terrible mistake!! So we watched this film for around 1 hour and then all (Me, my girlfriend and our son) of us decided it was a complete waste of 1 hour of our lives (not to mention the £4.50 rental charge!) so had to turn it off. None of the comedy was funny to either us or the child, as the obvious jokes were being cracked on screen we were all looking at each other in disbelief at how cheesy and how much of a lack of effort was put into the writing of this film! Needless to say i will not be recommending this film to anyone, EVER!! I read some reviews on here after watching the film for the 1 hour that we survived and was expecting to find endless 1 star reviews and was so amazed that there was loads of 10 star ratings!!! I can't believe all these people were watching the same films as myself! Usually I do like Adam Sandler films (mainly the older ones).","22 out of 46 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2120120/rw3391272/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Why can't some people just have fun?","https://www.imdb.com/review/rw6119922/?ref_=tt_urv","chrisgilmer","https://www.imdb.com/user/ur111758283/?ref_=tt_urv","24 September 2020","I saw some bad reviews on here AFTER watching the movie, so I just thought I would add my own opinion. Why would you hate on a movie like this? Especially if you're my age and remember all these classic games.
The cameos were outstanding, and I didn't expect it to win any Oscars. Man, some people need to lighten up. Was Ghostbusters trashed like this?","57 out of 66 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2120120/rw6119922/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Caters to its respective season and nostalgia quite effectively","https://www.imdb.com/review/rw3284939/?ref_=tt_urv","StevePulaski","https://www.imdb.com/user/ur23483288/?ref_=tt_urv","26 July 2015","The immense hate for ""Pixels"" has me asking a serious question for those who hate the film, did you hate the concept or did you simply find yourself refusing any inkling of positivity or humor whilst watching the film upon seeing Adam Sandler as the top-billed actor? I ask this question as somebody who finds myself at odds with Sandler on most of his projects, but also somebody willing to admit his achievements and provide him with credit when he deserves it.I ask this because it seems the good majority of the public, and critics for that matter, have given up on Adam Sandler, ostensibly just waiting to hate the next project he's working on before it's even released. The negative buzz around ""Pixels,"" similar to ""Blended,"" Sandler's last feature, started early and never let up. While Sandler has given himself plenty of reasons (and films, for that matter) to dislike him and his work, I feel under the work of any other actor besides Sandler and his production company, ""Pixels"" would've at least garnered a handful of defenders.""Pixels"" is a brazenly silly sound and lights show, one that works predominately because of its willingness to exhaust its premise and use many actors with differing personalities to carry the entire show. That, right there, is about all I can say for the film: it's cheeky, it's relentlessly goofy, but it's also just funny enough and adventurous enough to recommend to anyone searching for that piece of entertainment in the cool multiplexes during this hot summer.The film opens with Sam Brenner and Will Cooper, two best friends who spend their days at the arcade, where Sam discovers his incredible skill for video games. Will encourages him to compete in the first video game championship of 1982, which will be recorded and sent into space by NASA, along with other artifacts. At the tournament, however, Sam winds up losing to Eddie Plant (Peter Dinklage), a cocky, professional video gamer.Decades later, Sam (Adam Sandler) works as an installer of software and his pal Will (Kevin James) goes on to be The President of the United States, still both very close friends despite their difference in power. One day, Will calls Sam into the office to observe an attack on a military base in Guam by what looks to be the video game pixels and characters from the arcade game Galaga. Baffled by the insanity of this possibility, Sam reconnects with Ludlow Lamonsoff (Josh Gad), a pudgy conspiracy theorist whom he met at at the video game tournament back in the 1980's. Ludlow shows Sam a video claiming to be sent from aliens that the video tape of the tournament was seen as a declaration of war, prompting the aliens to send the video game characters from classic arcade games to attack the world. The world gets ""three lives,"" so to speak, which are lost if one particular battle (video game) is lost. Three lost battles and the Earth is terminated.Desperate and out of options, Will orders Sam, Ludlow, Eddie, and his unique weapons specialist Lieutenant Colonel Violent van Patten (Michell Monaghan) to fight the pixelated monsters, which come in the form of Centipede, Pac-Man, and eventually Donkey Kong.It shouldn't take more than a minute of watching the trailer for ""Pixels"" to decide if you'd want to see something like this. Those who do, if they view the film as the basic summer entertainment that the film is trying to be, will find a perfectly acceptable and balanced dose of fun. ""Pixels"" also works as a showcase for a divisive array of talent. We have Sandler, who is surprisingly very relaxed and nonchalant throughout the whole film, James, who is toned down several notches from his usual self as well, Gad, who bears the same kind of energy Sandler did in his heyday, only with much more personality, and Dinklage, who's narcissism and brazen attitude effectively make his character.Finally, ""Pixels"" works because it doesn't take itself too seriously; it knows exactly what it needs to do to succeed and that is to be a nonstop display of action with a great visual scheme and characters that are at least somewhat fun to be around. This may not be a showstopper of a film, but it's something that definitely caters to a season of films where numerous other, lesser films find themselves being defended while ""Pixels"" sits and suffers in a ""guilt by association"" manner.","28 out of 49 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2120120/rw3284939/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
