"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"6","/10","Enjoyable but empty","https://www.imdb.com/review/rw8310329/?ref_=tt_urv","masonsaul","https://www.imdb.com/user/ur94560739/?ref_=tt_urv","7 July 2022","Thor: Love and Thunder does attempt to explore themes of love and loss whilst introducing the Mighty Thor and putting Thor on a journey of self discovery. However, it sadly doesn't work as well as it should due to a rushed pace and way too many jokes that are almost never funny.Chris Hemsworth is still going strong as Thor but the extreme goofiness is getting a little stale. Natalie Portman has never been better as this character and Tessa Thompson is still great as Valkyrie, even though she doesn't really get much to do.Taika Waititi massively overstays his welcome as Korg this time, who becomes very annoying really fast. Christian Bale is one of the better MCU villains with a good motivation and an unsettling presence but is let down by limited screen time.Takia's direction on the other hand is stronger, there's some nice visual imagery and the colour palette is pretty vibrant but the MCU grey is still present throughout sadly. The CG is consistently inconsistent from start to finish.The music by Michael Giacchino is fine, there's one new theme that's pretty memorable but the lack of Thor's theme is annoying. The soundtrack is really good, all the songs are classics that fit the tone and style well but some could have been used better.","1,846 out of 2,261 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10648342/rw8310329/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"5","/10","Too sily, feels like it's own parody","https://www.imdb.com/review/rw8323305/?ref_=tt_urv","gy-att","https://www.imdb.com/user/ur24010163/?ref_=tt_urv","10 July 2022","Movie is okay. Christian Bale is awesome, Chris still can't act, but we never liked him for his talent, rest of the cast brings what they have to the whole movie is an average Disney factory work, everyone knows their job and they execute is as they should. The story has too many silly jokes. I know Waititi's style, but now he feels like his own parody. Like those Scream parody Scary Movies.","1,143 out of 1,443 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10648342/rw8323305/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"5","/10","Bale good, the rest kinda weak.","https://www.imdb.com/review/rw8313357/?ref_=tt_urv","lawrencelawrence86","https://www.imdb.com/user/ur55434128/?ref_=tt_urv","8 July 2022","Fine seems to cover it, Disney has become fine, everything is fine. It has got to the point where if spending your time aimlessly going through your phone for 2+ hours or watching a marvel movie is a bigger waste of time.","1,364 out of 1,747 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10648342/rw8313357/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","Taika Waititi is not the right director for Thor.","https://www.imdb.com/review/rw8335730/?ref_=tt_urv","rh_0809","https://www.imdb.com/user/ur151701437/?ref_=tt_urv","15 July 2022","The ones who know a bit about norse mythology or at least have read some of Thor's comics know that he isn't just a jester guy with a hammer. Sadly in MCU Thor was only once really Thor and it was in Avengers: Infinity War, where we finally feel that he is the protector of Midgard and the God of thunder as in mythology. I'm not saying that Taika Waititi is a bad director, but the fact is he wrote and directed this empty movie with some jokes. He could maybe make a great Deadpool movie but Thor should have been more than this. Even Christian Bale's outstanding performance as Gorr couldn't save it. The real Thor fans aren't going to enjoy this movie.","162 out of 223 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10648342/rw8335730/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Marvel is Losing its Mojo -But Still Has Moments of Fun","https://www.imdb.com/review/rw8317856/?ref_=tt_urv","frommeltstephanie","https://www.imdb.com/user/ur123874777/?ref_=tt_urv","9 July 2022","While not the worst Marvel film, it is certainly not worthy of high praise. Ragnarok was a masterpiece but Taika falls incredibly short of expectations for a bar that was set high in the beginning phases of the MCU. I didn't hate this movie, but I didn't love it, and that is a trend with some of their recent offerings. I'm on the fence about a rating of 7, but my favorite MCU movies are in the 8-10 range.Characters:
Thor has been reduced to a joke and doesn't have the appeal he once had. Why does he look like a carnie ala Joe Dirt? Why is he so weak, dumb and needy?Valkayrie's character has been reduced to a lesser version of her former self and her rule of New Asgard was pitiful and lacked inspiration. Tessa's talent was totally wasted.Christian Bale's performance, while exceptional was a bit too Voldemort-esque.The appearance of the Guardians was lame -who would look up to Starlord? Chris Pratt came across as a white trash version of the character first introduced and has completely lost his likability. Rocket is the best character in the Guardians and he barely had any lines.The first battle was against hawklike chicken muppets riding Star Wars knockoff vehicles and they just weren't formidable in the least.The cameos were fun (Hella) and the goats were annoying when they didn't have to be.Music:
The use of music was ill-timed and not matched to the action -no offense to GNR, but why so much of their music? November Rain was the only song that seemed to be paired well with the action. There are so many 80's rock and metal songs that would have made a better fit .Plot:
Boring and drawn-out. Pay no attention to the commenters whining about ""wokeness"" and this has nothing to do with anything other than their own prejudice and intolerance. The humor was dumb, childish and just not that funny or witty, unless maybe you are a 8 year old boy raised by immature parents.I'm a huge Marvel fan but I have been so disappointed in recent offerings that are a result of Disney greed, poor writing and lazy directing.","30 out of 38 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10648342/rw8317856/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Wanted to see more Gorr","https://www.imdb.com/review/rw8309092/?ref_=tt_urv","parishah-63453","https://www.imdb.com/user/ur132674603/?ref_=tt_urv","7 July 2022","It is a decent movie, but it focus much on comic reliefs. Christian Bale is under utilized, Gorr should have given more screen time and the back story would make it a better relief.","198 out of 288 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10648342/rw8309092/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"2","/10","Christian bales great performance wasted in a joke of a film.","https://www.imdb.com/review/rw8309971/?ref_=tt_urv","rockingruby","https://www.imdb.com/user/ur80875364/?ref_=tt_urv","7 July 2022","Christian Bale is great, Russell Crowe has a good moment, Hemsworth is good but this movie cannot be saved from a terrible script, bad direction and stupid humour that overstays its welcome.","3,534 out of 4,280 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10648342/rw8309971/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Unique, maybe too much","https://www.imdb.com/review/rw8307338/?ref_=tt_urv","sojkaprokop","https://www.imdb.com/user/ur61730777/?ref_=tt_urv","6 July 2022","It's like no Marvel movie before. It is most likely going to upset many hardcore fans of the MCU. If you accept the theme however, you will find something very fresh. If you're tired of every Marvel movie being the same and you like the idiosyncratic style of Waititi, you will enjoy it. If you are a fan of the more traditional superhero movies, this one will probably make you furious at times.","76 out of 114 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10648342/rw8307338/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Decent film that could have been better.","https://www.imdb.com/review/rw8306473/?ref_=tt_urv","matthewynlin","https://www.imdb.com/user/ur141878751/?ref_=tt_urv","6 July 2022","A casual MCU fan would find Thor: Love and Thunder to be more than enjoyable, arguably having the most character development in any solo Marvel Project. I would assume the vast majority of fans would rank this film better than Dr Strange: Multiverse of Madness but worse than Spider-Man No Way home. It does not live up to the standard of the last Thor movie but sides as one of the better MCU films. Waititi 's iconic humor does not disappoint in this film and is filled with top notch action scenes; Bale's depiction of Gorr the god butcher is impeccable; However the film fails to move the MCU's broader narrative forward and leaves fan asking did this film have any impact on anything and anyone.","60 out of 90 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10648342/rw8306473/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Could have done better","https://www.imdb.com/review/rw8306291/?ref_=tt_urv","smkashan","https://www.imdb.com/user/ur147245914/?ref_=tt_urv","6 July 2022","Overall a good movie, brilliantly directed by Taika, manages to seamlessly move back and forth between hilarious comedy and dark moments. However it falls apart a bit towards the end as the ending was quite rushed, making the film feel like 10 minutes too short. Also No Way Home's multiverse exploration has skyrocketed everyone's expectations and we kinda want to see something about the multiverse in every Marvel movie now and when that doesn't happen its a bit disappointing. Apart from that this movie is good fun!","59 out of 91 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10648342/rw8306291/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
