"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"5","/10","Not worth 2 hours of your quarantine time","https://www.imdb.com/review/rw5596803/?ref_=tt_urv","kuarinofu","https://www.imdb.com/user/ur23858655/?ref_=tt_urv","1 April 2020","You know the drill. Sony arranged a board meeting:
I mean, I don't have to tell you, you know what it is. Another Sony ""masterpiece"" with a generic script based on a revenge plot. The humor was cringe-worthy, the action wasn't even that good (and poorly shot), the whole film looks like a rap video. The story makes zero sense and the ending is incredibly stupid and anticlimactic.Thanks for Michael Bay cameo though, and I guess the credit scene had Jerry Bruckheimer in it for some reason? Probably an inside joke.I never thought I'd say this, but damn I miss 90ties Michael Bay. If you have to milk these franchises, at least give him the directing spot so I can enjoy his slow-mo, non-CGI explosions, women objectification and American flags.","49 out of 69 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1502397/rw5596803/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Fun movie","https://www.imdb.com/review/rw6147908/?ref_=tt_urv","feliciaspr","https://www.imdb.com/user/ur98103785/?ref_=tt_urv","4 October 2020","A fitting end to the trilogy. It's funny and Entertaining","16 out of 22 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1502397/rw6147908/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"5","/10","Sad Boys.....","https://www.imdb.com/review/rw5523645/?ref_=tt_urv","s3276169","https://www.imdb.com/user/ur49392790/?ref_=tt_urv","3 March 2020","Sometimes its better to be remembered for what once was. Bad Boys for Life being a case in question.This film simply does not work. Its chief failing not the age of its key players but the fact they seem to be forever apologising, for the fact.There are men and women in their 50's in the force, so why all the lame jokes about grey hair, sagging physiques and more?Plus the need to drag on board secondary characters, apparently to carry the action side of this flick cause the lead characters are ""sooooo over the hill""? The result is a film that feels messy, that's only occasionally funny and has no central focus.What a shame. 5/10.","43 out of 68 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1502397/rw5523645/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","A pleasant surprise","https://www.imdb.com/review/rw5440061/?ref_=tt_urv","cardsrock","https://www.imdb.com/user/ur24373984/?ref_=tt_urv","27 January 2020","Bad Boys for Life is definitely better than you would expect. Returning to screens 17 years after Bad Boys II, Smith and Lawrence are still a terrific pairing with great comedic chemistry. However, this threequel manages to pack in more heart and maturity than its predecessors. Bad Boys for Life brings all of the explosive fun the series is known for, but takes the franchise in new and exciting directions by choosing to be more reflective in nature.","26 out of 46 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1502397/rw5440061/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","Best Comeback of the Last Century","https://www.imdb.com/review/rw5634362/?ref_=tt_urv","SachiBuri","https://www.imdb.com/user/ur67549398/?ref_=tt_urv","12 April 2020","Why so much hate? As I read the reviews I noticed most had nothing useful to say and I could feel pure hatred towards something else, other than the movie itself. So I did what any bored quarantined person would do.. I looked into it a little closer.1st. Batch of the feebs mentioned that they were disappointed in the directors Adil El Arbi and Bilall Fallah (some even were bothered that the directors are both Muslim).2nd. Batch of the feebs were on about ""the movie focuses too much on Feminism"". Are you friggin' kiddin' me? The women were awesome in the movie .3rd. Batch of the feebs were all bots. Rating 1-star and adding few lines of nonsense (I counted 103 bot reviews).4th. Batch of the feebs were just human beings with bad taste.Here is what you need to know without:
1. The movie is well directed.
2. The story wasnt perfect, but what is?
3. Acting crew is awesome! And did a perfect job.
4. Enjoy the movie.","19 out of 33 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1502397/rw5634362/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","A must watch!","https://www.imdb.com/review/rw6800365/?ref_=tt_urv","nxxnne","https://www.imdb.com/user/ur94729899/?ref_=tt_urv","10 April 2021","I've watched this a year ago. A pretty decent movie, definitely a ""FfUuUnN"" time for the whole family.","4 out of 5 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1502397/rw6800365/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","They Did It Again, For Life","https://www.imdb.com/review/rw5416580/?ref_=tt_urv","biggedy24","https://www.imdb.com/user/ur36316734/?ref_=tt_urv","18 January 2020","I wish they made 20, there chemistry is awesome yet again, great great movie, Really impressed me. Vanessa Hudgens was very hot and extremely impressive in her role, shock the heck out of me, many jokes had me in teers, can't wait to watch it again","14 out of 25 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1502397/rw5416580/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Not too old for that ...","https://www.imdb.com/review/rw5843033/?ref_=tt_urv","kosmasp","https://www.imdb.com/user/ur5876717/?ref_=tt_urv","21 June 2020","I'm not sure I can finish the quote on imdb. Swearing and all that. But that aside and not even close to comparing this to the Lethal Weapon franchise, the next entry into the Bad Boys series is here. Many have been waiting for this for a long time. Not sure why that was (many speculations about that), but let's just enjoy that it is here.It also feels like both Martin and Will never left ... the roles. It feels like they are those guys. Maybe some parts of them do match to their personality, who knows? Having said that, the movie is quite predictable, but also quite fun overall. I cannot be mad at some of the flaws and the convinient timing of certain events. Nor the added relationships and backstories that might feel detached to a degree. If you can just watch it, without thinking too much, it'll be ok. But I reckon it is time to rewatch the first two movies again ... (4 Life though? Shouldn't they have waited to use that for a sure to come part 4? I mean come on!)","13 out of 23 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1502397/rw5843033/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","Bad Boys for Life!","https://www.imdb.com/review/rw5503800/?ref_=tt_urv","harrisonjohnm","https://www.imdb.com/user/ur82155905/?ref_=tt_urv","23 February 2020","I walked in to the cinemas ready and prepared to watch and expect it to be another bad remake of a movie, and walked out satisfied with what I just watched. This movie was spot on with the environment and the comedy back to its old days. I would recommend this movie to anyone who wants to watch something with tons of comedy, and tons of action at the same time.Good job!","30 out of 44 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1502397/rw5503800/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Whatcha gonna do when they come for you?","https://www.imdb.com/review/rw6100288/?ref_=tt_urv","khandokar-shariful","https://www.imdb.com/user/ur124328724/?ref_=tt_urv","16 September 2020","Bad boys, bad boys, whatcha gonna do when they come for you?
Bad boys for life is the third bad boy's movie. I would say that was a fun messy movie a symphony of violence and comedy. There was a lot of violence and I lounged a lot. There was a some stuff in the third act I'm not gonna say what happens with the third action sequence is where myself the most and then it went completely jumped the shark and I was like that was fun. The movie has lot of funny moments, there was a lot of part where I chuckled I didn't laugh all everything the movie laughs there's almond. Which is surprising because considering they have not been in Bad Boys since 2003 and Lawrence has not been too active for the past decade because of unfortunate family issue. This movie is better then other ones because it has a much more structured plot and better direction with were it wants to go. I do not want to give away too much detail with the plot. However, you are getting yourself into any action movie with gunfights, chases and explosions. However, that may not necessarily sound appealing. But it definitely feels better if you watch the first two movies to see what you're getting yourself into, but this could also be your first one and you'd still fit right in the movie. The director for Bad Boys 1 & 2 was Michael Bay. Who is known specifically for the extreme quick action movies. Now the new director duo, Bilall Fallah and Adil El Arbi brought back some of Michael Bay's craziness. Nevertheless, they also brought a new angle were the movie is not so one-dimensional anymore and they has some real life problems which Mike and Marcus have to overcome. This makes this movie so much more satisfying. Because it has been a 17 years wait. If you are going to watch this movie, I think the fact that you should not take this too seriously and only to watch just for enjoying it. Because thinking too much and maybe looking for plot holes will make your experience sour. The way the movie ended there might also have a fourth Bad Boys somewhere in the future. Both of the main characters are facing suffering with Marcus Brunette consider retiring from the police force after becoming a grandfather and decided to focus on his family but Mike Lowery quickly realizes he's not what he once was, and he might have to leave from the police force. They both feel vulnerable which definitely something that I wanted is in the past movies. Because nothing felt like a threat to them. Their relationship was in deep trouble because they were making their ways of impression that they have been doing throughout their whole lives. They all did exceptional work in their parts, but in the past movies having Will and Martin taking too much of the movie. Overall, if we're talking a good action movie with two great action stars with phenomenal chemistry. If you're a fun of this franchise oh boy I cannot wait for you all to see this goodness. I cannot wait to see what the response is and if you're not a fan this could win you over and It is my favorite movie of 2020.","7 out of 11 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1502397/rw6100288/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
