"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"8","/10","No idea why it took me 2 years to watch it","https://www.imdb.com/review/rw5274516/?ref_=tt_urv","danielmanson","https://www.imdb.com/user/ur89745032/?ref_=tt_urv","23 November 2019","It's good. I had no idea what to expect in all honest. I am not huge fans of other movies by these actors, but this really worked. You could see the great chemistry between them all and it paid off.What I liked: I enjoyed how it didn't dither about at the beginning and got right into the action. Jack Black especially was brilliant and hilarious! All the actors/actresses were great but Jack Black stood out. Good mix of action and comedy throughout. I was on the edge of my seat (metaphorically) wanting them to escape the game.Negatives: not many to be honest, couple of scenes were slightly cringe, but not off putting. Same logic goes for a couple of scenes which felt dragged out.I think people need to forget about this being a remake of a classic film and treat it as a separate movie altogether. If you start comparing the 2 that's when it goes wrong.Ps.. Karen Gillan. Marry me please?Worth watching and will be going cinema for 2nd instalment.","113 out of 131 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2283362/rw5274516/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Unexpectedly fun!","https://www.imdb.com/review/rw5231344/?ref_=tt_urv","markovd111","https://www.imdb.com/user/ur55752007/?ref_=tt_urv","2 November 2019","When I saw new ""Jumanji"" movie is in the works and saw how does it look like, I was pretty irritated. I didn't see the need for it and couldn't possibly see it at the same quality and style as the first one. Expectations sank even lower when I found about the cast. And then, 2 years later, I finally watched and, surprise, it's fun. It isn't something that will make you rolling on the floor from laughing or make you cry, but it's an enjoyable ride, actors actually aren't bad and wooden, so you will find yourself grinning a lot, particularly at the male part of the cast, which is awesome, especially Kevin Hart. Watch it with a good friend or a loved one and enjoy. It's not a masterpiece, but it's not just a dumb Hollywood blockbuster either. 8/10","55 out of 68 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2283362/rw5231344/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Entertaining fantasy adventure comedy","https://www.imdb.com/review/rw6095057/?ref_=tt_urv","AlsExGal","https://www.imdb.com/user/ur15148330/?ref_=tt_urv","14 September 2020","Four high school students serving after school detention discover an old cartridge video game in the school's storage area. It's called ""Jumanji"" and when they play it, the game sucks them into its world, where they each inhabit a different character: nerdy Spencer becomes Bravestone (Dwayne Johnson), a musclebound action hero; football jock Fridge becomes diminutive sidekick Mouse (Kevin Hart); vacuous pretty girl Bethany becomes chubby middle-aged male scientist Prof. Oberon (Jack Black); and academically-driven Martha becomes Ruby Roundhouse (Karen Gillan) a sexy martial artist. The quartet learn that they have to complete the game to return to the real world and their real bodies, but they each only have 3 lives in the game; die 3 times in the game, and they die for real.I saw the original Jumanji movie back in 1995 and liked it a great deal and I was therefore dreading how a reboot would taint the memory of the original. I have to say I was pleasantly surprised by this one. The dichotomy of the characters in their real lives versus their in-game personas is funny and well exploited, and the conventions of video game storytelling and set-up are also lampooned with some wit. Johnson, Hart and Black are all performers who can be over the top, but the material calls for it here, and they all exceed, as does Gillan, especially during her hilariously awkward ""seduction"" scene. Even if some of the animal peril is blatantly more CGI cartoonery, it also fits with the videogame milieu. This strictly popcorn fare, but it isn't brainless, although it's a bit predictable. Still, it was much better than expected.","16 out of 18 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2283362/rw6095057/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Surprised how entertaining it was","https://www.imdb.com/review/rw5333386/?ref_=tt_urv","comps-784-38265","https://www.imdb.com/user/ur46420090/?ref_=tt_urv","19 December 2019","I took one look at the trailer and was certain it would be rubbishFinally watched it on TV and was surprised that it's good solid family entertainment.Not outstanding but a respectable 7 stars.","40 out of 53 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2283362/rw5333386/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","A movie with power packed smoldering intensity","https://www.imdb.com/review/rw4118985/?ref_=tt_urv","veeresh1209","https://www.imdb.com/user/ur46439746/?ref_=tt_urv","6 April 2018","Reboots can be tricky. While some click, most of them crumble under the pressure to shake off the barrage of comparisons that would be thrown at the movie. Last couple of years saw such horrible reboots like Jurassic World, The Mummy, Kong: Skull Island. But much like Spiderman: Homecoming, Jumanji succeeds to impress the viewers. 
Jumanji gets a modern age makeover where now instead of a board game it is a video game. Four teenagers with varying personalities are put together in a detention. Here they discover the Jumanji video game and enter the world of Jumanji as their avatars. Then starts the fun ride. There are enough plot holes like how did the video game end up in a high school from Alex's freak house. The movie uses time tested cliche - Four teenagers with some flaw realize their shortcomings when (literally) seen from some other's point of view. But the fun parts of the movie makes us forget them, at least till the movie ends.The movie does not take itself seriously, and that is a huge plus point. The plot of the movie is crazy, there are man eating albino (what?!) rhinos on one side and villainous henchmen with crazy mud racing bike skills on the other side. But such craziness has been ridiculed in the movie itself, which makes you fall in love with it more.The bigger plus for the movie has been the performance of the lead actors. All of them have created niche for themselves in the film industry. Jumanji has used such niche beautifully and built very funny characters. Parts where Dwayne Johnson(Spencer) stops to admire his own physique will have you in splits. Not to mention his hilarious display of 'smoldering intensity'. Kevin Hart is Kevin Hart and Jack Blake as a women in a man's body is perfect. Karen Gillan, who is this mean Nebula in MCU, comes up with a very charming performance.All in all, Jumanji is a movie that you can watch without any regret. It will make you gasp, wonder and laugh hysterically. It is definitely worth a watch.","90 out of 129 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2283362/rw4118985/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Worth escaping to","https://www.imdb.com/review/rw4171855/?ref_=tt_urv","TheLittleSongbird","https://www.imdb.com/user/ur20552756/?ref_=tt_urv","20 May 2018","Will admit to not expecting much. The advertising didn't have me completely sold, was worried as to whether it would be fun or turn into puerile immaturity and wasn't sure about the cast entirely. Saw it anyway being someone who wanted to see as many 2017 films as possible, who has seen their fair share and likes films intended to be escapist fun, who loves the Jumanji premise and who has fondness for the Robin Williams film.'Jumanji: Welcome to the Jungle' turned to be much better and far more enjoyable than expected. It may not be a masterpiece or great, but it clearly strived to be glossy escapist fun and succeeded very well in that. Do prefer the earlier film but other than the title and the basic premise 'Jumanji: Welcome to the Jungle' to me seemed like its own take and should stand on its own. Can see definitely why it won't appeal, and hasn't appealed to (though on the most part have seen more positivity than negativity), some. Didn't care for the first twenty minutes or so in the real world. It didn't have an awful lot of momentum in a first act that was just setting things up and took too long to do so, was awkward at times in the writing and the acting was far more comfortable and interesting once we got to Jumanji. Most of the performances are fine once the film got going, but for me Nick Jonas was very bland and while more subdued than he usually is Kevin Hart for me sometimes grated (though at other points he is amusing), the rapid loudmouth shtick is going to be a very acquired taste. However, 'Jumanji: Welcome to the Jungle' was highly successful in its aim of being glossy fun escapism. The film is two hours but once we're in Jumanji they fly by. Although the story can be extremely predictable and the outcomes not surprising, the lively energy, the exciting thrills, thrilling action and suitably nail-biting but not intensely so sense of peril more than compensates.As do the witty script, that has the right dose of humour and surprising heart and even with the profanity from Hart it doesn't ever get too crude or puerile, and ace visual effects. Jumanji is colourfully rendered and mostly the film is nicely shot and more than capably directed. The music is rousing and pleasant to listen to and the ending is cosy and surprisingly poignant, which one doesn't expect yet it doesn't jar too much. There's even a nice Robin Williams/Alan Parrish tribute/homage touch, that is worth looking for if especially observant.Dwayne Johnson smoulders in intensity and charisma, in terms of acting style it is very familiar territory for Johnson but he does it well and that's all that matters. Karen Gillen more than holds her own with the other leads, with a good deal of sass and charm (her flirting/dance scene after being taught to do it is one of the film's highlights). Bobby Cannavale is suitably formidable villain, if somewhat underused. Absolutely agree with everybody who says that Jack Black steals the show, he has the funniest lines and moments (which are plenty) and it is perhaps his best performance since 'School of Rock'. The character interplay, which the film is heavy on, really sparkles.In conclusion, fun and surprisingly good film if not a great one. 7/10 Bethany Cox","13 out of 17 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2283362/rw4171855/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","A Most Enjoyable Film Which Endlessly Pulls at the Corners of Your Face","https://www.imdb.com/review/rw4119988/?ref_=tt_urv","Her-Excellency","https://www.imdb.com/user/ur67432377/?ref_=tt_urv","7 April 2018","Who would have thought that the sequel to a much-loved classic would, in my opinion, turn into such a stand-alone powerhouse!?!Jumanji Welcome to the Jungle, does just that. Not only is it a virtual non-stop ride of hilarity and laugh-out-loud moments, and it is, but the chemistry among the adult cast members is practically flawless and lends to the easy banter and overflowing, genius, COMEDIC DIALOGUE which just SHINES. Every look, every gesture, every note from The Rock, Kevin Hart and Jack Black are perfection in that at no time do you doubt they are who they are supposed to be. Karen Gillan is adorable and gorgeous at the same time. The obvious fun they are having, despite what I imagine to be uncomfortable filming locales, is palpable, and as an audience member, _if you allow yourself to be_, you WILL be swept up and transported by it.So, why ANY low ratings?While the first Jumanji was 'fun', underneath the fun, there were dark layers. There is none of that here and perhaps, this is where some of the disconnect from its detractors comes from. Unlike the original Jumanji, Jumanji Welcome to the Jungle is a fun, and funny, film throughout. In closing, quite to the contrary of what a couple of reviewers are saying about Robin Williams, such as: 'he'd be rolling over in his grave (over this movie)', Robin Williams was one of those rare and amazingly special individuals who found joy and humor in most everything, and who chose to share that with those of us who are lucky enough to be witness to some of the favorites he left behind. Personally, I find it in very bad taste and verging on offensive, that those who seem to not share the capacity to laugh or live the way he did, or the ability to laugh with the rest of us, and who lack the gift of both being able to give or receive the very humor which exuded from Mr. Williams, would dare say he would be doing anything other than laughing riotously while munching on some popcorn and watching this film.Thank you, Robin Williams, for the precursor which was so fantastic, it brought about an equally wonderful sequel.You are missed.","365 out of 455 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2283362/rw4119988/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Jumanji Welcome to the Jungle: Exactly what you'd expect","https://www.imdb.com/review/rw4156473/?ref_=tt_urv","Platypuschow","https://www.imdb.com/user/ur57590728/?ref_=tt_urv","6 May 2018","To it's credit as you learn mid way through the film this is a sequel and not a remake. I'm thankful for this as I'm tired of the senseless reboots, seriously enough already.With a fantastic cast who are all bringing their A game Jumanji is a very generic Hollywood movie. What I mean by that is its predictible, it's flashy, it's loud and has all the usual tropes that you'd expect.Don't get me wrong I'm not saying that's entirely a bad thing, at least it has fantastic production values but sadly it means it lacks in originality and has no real identity of it's own.Telling the story of 4 teenagers who get pulled into Jumanji, yet this time it's updated and has become a video game!Plenty of comedy, both hit and miss, the stunning Miss Gillan on show and Jack Black for the first time in years actually reminding us why we used to love him.It goes without saying that I prefer the first movie but credit where credit is due Welcome To The Jungle did exceed my expectations as I think I subconciously went in expecting and perhaps wanting to hate it.Nothing special, all flash with little filler. But you can do a lot worse and there are some laughs to be had.The Good:All the 4 leads deliver on every frontThe lives thing is kind of neatThe Bad:Same villian, but changed so dramatically really?!Does exactly what it says on the tinNick JonasThings I Learnt From This Movie:Jack Black was a girl in previous life","16 out of 22 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2283362/rw4156473/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","You're Going to Need a SEATBELT","https://www.imdb.com/review/rw4122201/?ref_=tt_urv","ThmellyAthole","https://www.imdb.com/user/ur87143371/?ref_=tt_urv","8 April 2018","I used to have an IMDB account when I was a teen - or at least thought I did, but couldn't log on. In any case, I think I've visited here maybe twice in the last five years. Today though, after just getting back from watching this with my almost-grown kids, I had to make an account just to leave this review.To begin, I'll never understand people. I can't believe the negative reviews. How could anyone not have laughed like hell while watching this and still have a pulse? I didn't go in expecting much, but I came out with a smile on my face. The girl is hot, Jack Black ""owns it"", I've never been overly enthused about Kevin Hart, but he was fantastic. and The Rock just knocked it out of the park. I saw one review which reads: ""not a wrestling fan ever so to see 'the rock' in movies, instantly puts me off!"" Does anyone else want to vomit at the inanity, irony and ludicrousness of that statement? Then you have the user who out of 40+ titles he/she has reviewed in the past has only ever rated TWO above three stars. Seriously, if you don't enjoy films and find them so terrible, find a new hobby already. You've got one guy saying the shirt one of the kids wore was outdated. So, I'm guessing one can only wear clothing depicting the current year? Then you have the reviewers who maybe didn't understand the dialogue since they can barely communicate correctly themselves (such gems - I kid you not - as: 'averege'; 'what so ever'; 'family fair' (fare); 'are just wasn't'; 'due to it has'; 'all of there' {their); 'coz it is boring story'; 'no compare with'). Finally, you have the maybe half dozen reviewers who are so caught up in their bigotry that they can't relax and enjoy a film if it isn't whitewashed and who complain about the ""Hollywood liberal agenda of diversity"". Leave the politics at the door, man.
In short, Jumanji Welcome to the Jungle was a fantastic hour or more of rip-riding fun and laughs.Except for one very funny moment, Dwayne Johnson retires his wrestling persona for this film and instead, provides a smoldering and intense performance, riddled with good-natured hilarity as the lead in this film. Gillan was great in Doctor Who, and although I thought she was the weakest of both characters and actors in this film, she still held her own and looked fantastic doing so. She has one of those faces you can't help but love. Kevin Hart was fantastic as the diminutive valet and looking back, I think he was somehow involved in every funny moment in which I laughed the hardest. Finally, the master, the maestro (though I never really was a fan prior to this), Jack Black plays the teen beauty queen with 100% commitment and to perfection.10/10 and definitely a film I will be purchasing right after I click ""Submit"". You can never have enough laughter in life, and Jumanji, Welcome to the Jungle delivers barrels-full.","179 out of 247 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2283362/rw4122201/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Fun, Silly Twist on the Original. Watch with Your Kids","https://www.imdb.com/review/rw5236273/?ref_=tt_urv","mikayakatnt","https://www.imdb.com/user/ur108874341/?ref_=tt_urv","4 November 2019","This is such a dumb movie but honestly that's what makes it so great. Jumanji: Welcome to the Jungle is a fun movie that doesn't take itself seriously and it shows. Of course it's a twist on the original Jumanji movie that will never capture the same magic. But for everyone expecting it to be a giant flop, it ends up being pretty fun.3.5/5. Above expectations.","24 out of 37 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2283362/rw5236273/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
