"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"7","/10","Nice easy to watch adventure movie.","https://www.imdb.com/review/rw7483472/?ref_=tt_urv","deloudelouvain","https://www.imdb.com/user/ur58525162/?ref_=tt_urv","26 October 2021","If you like adventure movies like Indiana Jones, Romancing The Stone, Jewel Of The Nile, Jumanji and others in this genre you can't go wrong with Jungle Cruise. It's the same entertainment, a bit over the top, not always making sense, but that's hardly the point with these kind of movies. It's just a bit of fun. To me it's very relaxing to watch these kind of popcorn movies. The Rock or Dwayne Johnson might not be the greatest actor but I think he fits in this genre. He's okay to watch in non serious movies. Emily Blunt did a good job as well as did the rest of the cast. The CGI's were more than decent, they clearly had a big budget for these parts in the movie. Jungle Cruise is perfect to watch as a family movie or if you're just a big fan of easy adventure.","54 out of 72 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0870154/rw7483472/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Solid casting","https://www.imdb.com/review/rw7177622/?ref_=tt_urv","mridulish","https://www.imdb.com/user/ur118319309/?ref_=tt_urv","30 July 2021","Acting was very good. Story: a bit cliche. Not boring. It's very good for family and kids. If you want to spend good time then this is a good one. I watched it big screen and will recommend others to watch it in movie halls. The experience will be good.","268 out of 396 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0870154/rw7177622/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","See it because of Blunt","https://www.imdb.com/review/rw7440461/?ref_=tt_urv","roadrunnerz-96074","https://www.imdb.com/user/ur136742155/?ref_=tt_urv","14 October 2021","Was going to give it a 5 if not for the talented Emily Blunt who always makes things better. As always chemistry is on point with whatever actor she teams up with and Johnson is no exception. It is mostly fun but the story is iffy and yes there is memories of Pirates and The Mummy all throughout. The rating here on IMDb is pretty much spot on, audience on RT has inflated it to over 90 which it is not. Just have fun with it. I feel like the sequel which they have announced will be just a money grab. I won't be in a rush to see it.","31 out of 42 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0870154/rw7440461/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Jungle Cruise","https://www.imdb.com/review/rw7209404/?ref_=tt_urv","Prismark10","https://www.imdb.com/user/ur4569900/?ref_=tt_urv","8 August 2021","Jungle Cruise is an adaptation of a Disney Park ride that I can barely remember going to and I have been to both Disney parks in the USA.It also has five writers with various screenplay credits.Dwayne Johnson plays Frank. A down on his luck river boat captain who takes tourists for a ride in the Amazon.He is hired by adventurer Lily (Emily Blunt) and her uptight brother MacGregor Houghton (Jack Whitehall) who are on the search for the Tears of the Moon. The petals of a tree of life that can cure any illness. The Spanish were in search for it about 400 years earlier.Set in 1916, Lily finds that German Prince Joachim (Jesse Plemons) is also in pursuit at a time when the nations are at war. However Lily finds that Frank is a man who is hard to trust and he is full of cheesy jokes.This comedy adventure is a mish mash of previous movies. I found it more Romancing the Stone mixed with the Brendan Fraser The Mummy movies. There is also a hint of the Pirate of the Caribbean franchise.It harks back to two decades earlier when Disney were adapting their theme park rides rather than superhero movies or remaking their old cartoons as live action films.Jungle Cruise is a colourful romp that lacks originality.","46 out of 71 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0870154/rw7209404/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","A movie with Charm that will make you smile","https://www.imdb.com/review/rw7177923/?ref_=tt_urv","AustinTheMovieMan","https://www.imdb.com/user/ur59725484/?ref_=tt_urv","30 July 2021","I miss judged this movie from the trailers. The Rock and Emily both did a great job with their characters. This movie is to have a good time with a few laughs here and there. Was able to see this early at the exclusive Hollywood Premier at the El Capitan theater.","153 out of 265 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0870154/rw7177923/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Great cast, action & comedic bits, but a stale plot","https://www.imdb.com/review/rw7178709/?ref_=tt_urv","moviematthewh-60783","https://www.imdb.com/user/ur91998694/?ref_=tt_urv","30 July 2021","Perfect duo Dwayne and Emily, they were perfect for these roles and bought many comedic moments to the film. The action was great, well worth experiencing this on the big screen as I did. Only issue was the plot is very repetitive as in they need to find something that will help everyone etc, we've seen it in heaps of other films, so nothing special plot wise. I did see many resemblances to films such as raiders of the lost ark and the first pirates of the Caribbean film, which were great films to base ideas off of for this film around many aspects such as the adventure side of the film and the comedy. Overall it was an exciting and funny big screen adventure.","134 out of 236 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0870154/rw7178709/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Amazon adventure","https://www.imdb.com/review/rw7441939/?ref_=tt_urv","sleijeri","https://www.imdb.com/user/ur18434328/?ref_=tt_urv","14 October 2021","Quite good and balanced action and adventure film with mix of comedy.OK'ish background story, maybe a little too much of a fantasy side for my taste, but sure will work just fine for younger viewers.","28 out of 43 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0870154/rw7441939/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Disney delivers a mostly swinging comeback during pandemic times.","https://www.imdb.com/review/rw7387439/?ref_=tt_urv","HBSmith_Critic","https://www.imdb.com/user/ur65399748/?ref_=tt_urv","28 September 2021","Jungle Cruise is a delightfully fun adventure film that finds a compelling, if uneven, swing between old-fashioned adventure cinema and the modern blockbuster mechanics of films like Jumanji: Welcome to the Jungle or the post-Pirates of the Caribbean crusades from Disney. Dwayne Johnson is as charming as ever, and assisting him are the company of Emily Blunt and Jack Whitehall. Blunt has been apparently finding her path in Hollywood with well-crafted popcorn entertainment and more thoughtful films like A Quiet Place; I certainly hope she continues to go down this path of success.By the way, if Metallica was going to license 'Nothing Else Matters' to any composer to cover it for a Disney picture, Jungle Cruise definitely makes the most sense.Grade- 3/4 stars.","50 out of 73 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0870154/rw7387439/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Impossible not to like, difficult to love","https://www.imdb.com/review/rw7178129/?ref_=tt_urv","gillespiesan","https://www.imdb.com/user/ur3709611/?ref_=tt_urv","30 July 2021","Dwayne Johnson and Emily Blunt are their usual, hugely enjoyable selves and even Jack Whitehall isn't particularly annoying. The story zips along pleasantly enough, delivering all the necessary action as it does so and, before you know it, two hours have passed agreeably enough. And that's about it, really...You can't help but enjoy everything while it's happening but, once done, there's not an awful lot left on the bones to pick over. Hollywood being what it is, I'm sure a sequel is in the works. There really shouldn't be. They just barely managed to make this initial movie work, trying to repeat that process will, on the evidence of what we have here, be a very risky endeavour. Leave well alone and move on to the next Disneyland attraction would be my advice. Jason Statham in It's A Small World, anyone...?Kudos, by the way, for the excellent use of Metallica's ""Nothing Else Matters""....","98 out of 171 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0870154/rw7178129/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"4","/10","Very poor","https://www.imdb.com/review/rw7544426/?ref_=tt_urv","jclheyworth","https://www.imdb.com/user/ur100459947/?ref_=tt_urv","13 November 2021","Family really looking forward to this. All completely lost interest. My 10 year old even said ""I don't think there should be jungle cruise 2""! Think that sums up our opinion on this film.","12 out of 14 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0870154/rw7544426/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Jumanji Meets Pirates of the Caribbean","https://www.imdb.com/review/rw7375418/?ref_=tt_urv","Hollywood_Yoda","https://www.imdb.com/user/ur1596808/?ref_=tt_urv","24 September 2021","Jungle Cruise was more of a movie than I could have anticipated, it was much better than expected. Dwayne Johnson plays Frank, a steamboat captain who resembles Humphrey Bogart, which I believe was done purposefully. The story and settings made me think of a movie mashup of Jumanji and Pirates of the Caribbean. The only thing missing was Johnny Depp, but with his current legal issues, he may not be in too many Disney films going forward. Time will tell.However, for a film based on a theme park ride, Jungle Cruise is right up there with the original Pirates of the Caribbean: Curse of the Black Pearl. It was a fun watch, hardly ever boring. On another note though, the acting could have been better. It felt as though Emily Blunt was just phoning in her lines, like she really didn't care. Johnson, I felt out acted her. Disney has a winner on their hands with Jungle Cruise, but hopefully they won't overdo it with umpteen sequels!","37 out of 53 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0870154/rw7375418/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","jungle ride","https://www.imdb.com/review/rw7179188/?ref_=tt_urv","MB-reviewer185","https://www.imdb.com/user/ur118439842/?ref_=tt_urv","30 July 2021","This was a fun time watching, I loved Dwayne Johnson and Emily Blunt's dynamic and their chemistry together on the adventure.The cinematography in the jungle is really pretty and makes really cool shots, the effects looked pretty real and worked well with the scenes they are used in.The action scenes are really fun and there are funny scenes with the characters also the human villains are a little over the top but I still was entertained, the actual CGI creatures had creepy designs and worked well against the main characters.This movie made me think of the Pirates of the Caribbean movies and a bit of the Indiana Jones movies put together, and I mean that in a good way.","98 out of 172 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0870154/rw7179188/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
