"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions 2","btn","btn 2","actions 3","actions href","actions 4","actions href 2"
"6","/10","They forgot why we loved Jurassic Park","https://www.imdb.com/review/rw8229362/?ref_=tt_urv","josiahliljequist","https://www.imdb.com/user/ur61114145/?ref_=tt_urv","12 June 2022","When I go to a Jurassic Park movie, I want something above all else-hyper realistic dinosaurs in cool environments, seeing them frolic in natural habitat, defend territory, battle other dinos for dominance, hunt humans, and the like. From the opening island scene with the brachiosaurus to the T-Rex reveal in the rainstorm, dinosaurs were front and center in the original Jurassic Park, inspiring a sense of grandeur and awe. The dinosaurs were what mattered, and everything else was peripheral-even the plot to get off the island. We all wanted another glimpse of the T-Rex, or were anxious to discover where the raptors were lurking.So that was the first one. Now in this sixth installment, not only are dinosaurs relegated to a commercialized product that's seen on every tv screen in the movie, but they're demoted below the humans, genetics, and even mutated locusts in terms of importance. In a two and a half hour movie, one would expect dinosaurs to fill almost half that time, and yet they pale in screen time comparison to all the human characters. Instead, the director tried to insert cameos of the legacy characters in forced interactions and honestly cringey dialogue, shifting the focus away from the real meaning in the Jurassic Park franchise-awe for dinosaurs. The wonder is now gone.I have given it six stars in respect for the franchise and the limited appearances of some of my favorite dinosaurs, but I'm sad to see that the director forgot what made Jurassic Park so special in the first place.","704 out of 826 found this helpful.
                        
                        
                             |","Was this review helpful?","Yes","No","Report this","https://contribute.imdb.com/review/tt8041270/rw8229362/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","Permalink","https://www.imdb.com/review/rw8229362/?ref_=tt_urv"
"5","/10","Sorry It Was So Bad","https://www.imdb.com/review/rw8265997/?ref_=tt_urv","Hitchcoc","https://www.imdb.com/user/ur0278527/?ref_=tt_urv","23 June 2022","Before I went to this film (because my Grandson is nuts about this series of films) I read one newspaper review. It wasn't glowing, but it was positive. Unfortunately, this is a mess. Others have already talked about the issues I have. Granted, this is an empty headed summer movie, it could still have been done with some serious thought. I was hanging in there throughout with a new dinosaur attack every three minutes, and velociraptors going at fifty miles per hour and not getting tired. Humans being assaulted time after time and yet showing no fatigue. I also didn't see a scratch on any of them. But the best of all was the promise made to a baby dinosaur and his mother that precluded saving the world from famine. Not to mentioned the coincidences of everyone showing up in just the right places. I still don't understand how they got into that facility so easily. The return of the original cast was not helpful other than Jeff Goldblum's sarcasm. Anyway, it's all been said. This is a poor movie.","398 out of 506 found this helpful.
                        
                        
                             |","Was this review helpful?","Yes","No","Report this","https://contribute.imdb.com/review/tt8041270/rw8265997/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","Permalink","https://www.imdb.com/review/rw8265997/?ref_=tt_urv"
"","","80% revisiting old characters and scenes, no real story, predictable action...it feels spiritless","https://www.imdb.com/review/rw8207383/?ref_=tt_urv","sumtim3s00n","https://www.imdb.com/user/ur6890624/?ref_=tt_urv","5 June 2022","This movie consists mostly of us watching previously known characters doing whatever theyre doing now, meandering nowhere plot wise, while getting in random tight spots . For some reason they believed fans want to see a repeat of 1st movie and its characters instead of a new quality story and interesting content. Also EVERY SINGLE tight spot they find themselves in with dinosaurs is same formula.Its always exactly as it has been in every Jurassic film. Big problem all of a sudden, slow moving dino watching someone or breathing around them, then dino gives chase, uff! They barely escaped but escape they did!It is so dull and predicatable.Meanwhile we meet two new types of characters, a) those who are just inherently evil b) those who do evil stuff but are really good and moral. You can tell them apart easily by looking at what theyre wearing and whether its a rich straight white guy.The story is dumb and their evil plan so on the nose it is humorous. Zero imagination when writing the script. The length of it fits on half a napkin.After 80% of the movie is finished and we have gone over the revisiting our ""favourite"" Jurassic characters and our classic Jurassic scenes phase, the predictable ending occurs.And you realize the movie was as a wonderful and full of quality content as a dino fart.","1,568 out of 1,848 found this helpful.
                        
                        
                             |","Was this review helpful?","Yes","No","Report this","https://contribute.imdb.com/review/tt8041270/rw8207383/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","Permalink","https://www.imdb.com/review/rw8207383/?ref_=tt_urv"
"6","/10","Is anyone else tired of Chris Pratt and that damned hand?","https://www.imdb.com/review/rw8223092/?ref_=tt_urv","661jda","https://www.imdb.com/user/ur118397183/?ref_=tt_urv","10 June 2022","It's just amazing that no dinosaur hasn't bitten it off yet. In what promises to be the conclusion to the series, all the main cast members of the previous shows are here. ""Alan Grant....... Ellie Sattler"", I actually liked the new characters. DaWanda Wise and Mamoudou Athie better than the old ones - they are the only ones that come out of this unscathed. The special effects are, as expected, first class although really? A Gigilomopoloposaurus??? - they just keep getting bigger (the dinosaurs AND the names). Not sure that it's worth the Hollywood Blvd/Times Sq ticket prices ($20+) , but it's an okay way to spend a summer afternoon. I think tho, I'd wait til next weekend when the crowds will be 65% less.","524 out of 697 found this helpful.
                        
                        
                             |","Was this review helpful?","Yes","No","Report this","https://contribute.imdb.com/review/tt8041270/rw8223092/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","Permalink","https://www.imdb.com/review/rw8223092/?ref_=tt_urv"
"6","/10","Love the actors & nostalgia, but hated the story","https://www.imdb.com/review/rw8229472/?ref_=tt_urv","dylankbeam","https://www.imdb.com/user/ur77270510/?ref_=tt_urv","12 June 2022","This movie was so utterly predictable it was a little painful. Luckily the nostalgia nods were sprinkled throughout and mostly not forced. You can tell they tried to have some funny one-liners which fell flat a lot of the time. They need to take some notes from Marvel on those. The CGI and action was as good as you'd expect and offered favorable intensity. The story itself was somewhat lazy IMO. Did I mention it was totally predictable? I left the theater going...meh.","116 out of 153 found this helpful.
                        
                        
                             |","Was this review helpful?","Yes","No","Report this","https://contribute.imdb.com/review/tt8041270/rw8229472/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","Permalink","https://www.imdb.com/review/rw8229472/?ref_=tt_urv"
"6","/10","Too long, some neat set-pieces","https://www.imdb.com/review/rw8205477/?ref_=tt_urv","petra_ste","https://www.imdb.com/user/ur15445210/?ref_=tt_urv","4 June 2022","I will say this for Colin Trevorrow: unlike other Hollywood writers/directors, who seem to be actively spiteful towards the classic sagas they are writing sequels to, when Trevorrow says he is a fan of Jurassic Park, I believe him.That's why Jurassic World Dominion feels, for good and for ill, like the world's most expensive fan film, cramming in nearly every dinosaur known to man and every character, meme and in-joke from the previous five movies (button up your shirt, Malcom! Get your hat, Grant! Oh look, Nedry's old Barbasol can!).I'm betting that if the great Pete Postlethwaite had not passed away we would have gotten Roland Tembo rappelling from a helicopter to shoot an Oviraptor in the face.The movie is at least twenty minutes too long - Hollywood seems incapable to make a non-bloated blockbuster today, even Bond movies have the running time of The Thin Red Line - and it doesn't have a shred of the wit and intelligence of my beloved first Jurassic Park, but I did like a few set-pieces (the Therizinosaurus, the frozen lake...) and it's always nice to see the awesome Sam Neill back, so I guess the fan bait worked to an extent.6/10.","224 out of 333 found this helpful.
                        
                        
                             |","Was this review helpful?","Yes","No","Report this","https://contribute.imdb.com/review/tt8041270/rw8205477/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","Permalink","https://www.imdb.com/review/rw8205477/?ref_=tt_urv"
"2","/10","Astonishingly bad, long and boring","https://www.imdb.com/review/rw8363576/?ref_=tt_urv","stevelivesey67","https://www.imdb.com/user/ur17235488/?ref_=tt_urv","23 July 2022","Bad script, bad acting, stupid story, a new dinosaur every 5 minutes, too long, no suspense, Chris Pratt doing the hand thing, $160 million dollar budget for this, so many pointless dinosaur fights AND you took 2 and a half hours to tell me this garbage story.Frankly embarrassing to everyone involved.","711 out of 836 found this helpful.
                        
                        
                             |","Was this review helpful?","Yes","No","Report this","https://contribute.imdb.com/review/tt8041270/rw8363576/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","Permalink","https://www.imdb.com/review/rw8363576/?ref_=tt_urv"
"7","/10","Flawed but lots of FUN","https://www.imdb.com/review/rw8225895/?ref_=tt_urv","parksiet","https://www.imdb.com/user/ur73501762/?ref_=tt_urv","11 June 2022","""Jurassic World Dominion"" is a movie I genuinely don't know how to feel about. Parts of me really liked it, and other parts were very critical and disappointed in it. It's one I might have to see again to really firm up my opinion. Regardless... I had fun with this movie. I just want to make it clear it is nowhere near as bad as some people say it is; it's not perfect, but it is still lots of fun! However this is definitely the weakest in the ""Jurassic World"" trilogy, but I am someone who loved ""Jurassic World"" and for the most part really liked ""Fallen Kingdom"". I have to say, I did like this more than the original sequels to ""Jurassic Park"", and I thought this did serve as a nice finale to the series, even if it has changed substantially.I think my biggest issue here was how different it was from what I wanted and expected to see coming off the ending of ""Fallen Kingdom"", but I can't blame the movie for that. I feel like there were many more interesting stories that could've been told here, but what we got was okay. It just makes me want to see more from this world at this time, with the dinosaurs being out in the world it leaves a lot of potential stories open to be told! This story, however, was very poorly told. It was exceptionally weakly written, and was not compelling or interesting for much of the film. I normally get into films pretty easily, but it took me a good 45 minutes to get into this one. The script even felt like fan-fiction at times, and never really sold me on what was going on. The script has no emotion to it, the audience has no emotional connection to the characters (even the old ones) and I felt like I didn't really care what happened in multiple instances. The cloning problem... the locusts... Biosyn... it's just all sort of there... and the film is very much an overstuffed jumble of characters and plotlines.The most heinous crime however: the fact that this film normalizes dinosaurs being in the world. Because of this, we lose the awe and wonder of seeing dinosaurs alongside the characters, a feeling that has been present in every ""Jurassic"" film until now. Not only that, but we also lose the scare factor that makes these films so great. There's no suspense, no tension, just straight action. Every dinosaur scene doesn't feel as threatening as it should... and there's a moment in the finale that is a prime example of this. I also did not love the locusts plot... took way too much away from the dinosaurs. Like... this is a dinosaur movie right? In the (paraphrased) words of Ian Malcolm: Do you plan to have dinosaurs in your dinosaur movie? The script does not balance itself well either, the characters have no compelling drama or story and the dinosaurs don't either... it just feels hollow. Where are all the big ideas about genetic experimentation and natural consequences? I also found the film to be both too long and not long enough. There are way too many characters, and half are unnecessary, they just take up screen time. And one other thing... WHY WASN'T THE PROLOGUE IN THE FILM?! They released this great 5 minute sequence as advertising last year, saying it was the prologue to the film, and yet the movie instead starts with an abysmally executed ""last time on Jurassic World..."" kind of recap. Having the prologue in solves a whole ton of the issues I have with the film; it mirrors the end in interesting ways and sets up some conflicts, as well as shows an interesting scene that is mentioned multiple times throughout the film. Plus it's a much more entertaining way to begin the film.Okay... one more bad to go. Colin Trevorrow's direction. He genuinely did a terrible job here. It was so bland and had no style, it lost all Spielbergian charm he may have had when doing the first ""Jurassic World"". JA Bayona at least brought excellent gothic horror stylings to ""Fallen Kingdom"" which really made it feel horrific... and then we go to this bland, generic stuff. Nothing sticks out, it's just generic blockbuster filmmaking. Sure there are a few interesting visuals and a final montage that I love, but I'm sure under a different direction they would be even better.Now, you might be wondering: after all those criticisms, how did you still enjoy it? Well, despite it not being what I wanted and being a very flawed film, it was at least fun! I was entertained, there was some cool Dino stuff, some fun action set-pieces, and I loved that the production team committed to using more animatronics for the dinosaurs. It just helped make them feel more authentic! I also LOVED the return of the original cast, and was so happy to see they actually played major roles in the plot. Plus, the new cast from the current films wasn't half-bad either. I also loved how the human villain is technically from the first film, and there were some many great nods to the original ""Jurassic Park""! Speaking of the villain... Biosyn is literally an evil Apple, and Dodgson is literally an evil Tim Cook... right down to the look! I loved this sly critique of modern capitalist culture, and how many companies (especially in the tech sector) behave. There were also some really cool visual sequences, and the sound in this movie was great! I also loved Michael Giacchino's score! He did a lot of the heavy lifting for the emotion of the film, trying his best to make it resonate with music where the screenplay couldn't. And by god it worked! This score really did elevate so many moments for me, and used themes from all over!So while I do think this film is deeply flawed, I enjoyed it! I'm still not 100% sure how I feel about it, but I do know I liked it better than ""Jurassic Park 3""! I would definitely recommend seeing it, especially if you have enjoyed the rest of this franchise. I wouldn't even mind seeing more! There's still a ton of potential for future stories, and I think I would enjoy this even more knowing this is just the beginning of something new. While it is no ""Jurassic Park"", and definitely doesn't have suspense... it is a really fun action blockbuster! If you can get through the 1st act... the last 2/3 are a great time! I loved parts, but some didn't work for me, and yet I would still recommend checking it out! How could you say no to dinosaurs?","184 out of 296 found this helpful.
                        
                        
                             |","Was this review helpful?","Yes","No","Report this","https://contribute.imdb.com/review/tt8041270/rw8225895/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","Permalink","https://www.imdb.com/review/rw8225895/?ref_=tt_urv"
"7","/10","I had a good time","https://www.imdb.com/review/rw8219721/?ref_=tt_urv","Rainbowbeany","https://www.imdb.com/user/ur13163103/?ref_=tt_urv","9 June 2022","Was it perfect? No. Was it fun? Absolutely! There will be a lot of things people will pick apart this movie for. I for one didn't mind it. It was a solid closing chapter to the Jurassic World trilogy. It was a nice balance with the newer stars and the OGs. A lot of ""hey, I know you from such and such"". When the casts get combined I was so happy. I love my OG Jurassic Park crew. They were my main reason for being excited and I wasn't disappointed in that regard. A lot of fun sequences really helped keep me entertained. It could've been a bit shorter but I'm still happy with what I got from it. Go in to have fun. It won't do you any good going in expecting a masterpiece. Plus it has a ton of baby dinosaurs, they were sooooo cute!","144 out of 233 found this helpful.
                        
                        
                             |","Was this review helpful?","Yes","No","Report this","https://contribute.imdb.com/review/tt8041270/rw8219721/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","Permalink","https://www.imdb.com/review/rw8219721/?ref_=tt_urv"
"3","/10","A generic, lifeless adventure movie that happens to have dinosaurs","https://www.imdb.com/review/rw8222042/?ref_=tt_urv","FeastMode","https://www.imdb.com/user/ur104603847/?ref_=tt_urv","10 June 2022","If I were to list out all the things this movie focuses on, dinosaurs would be fifth or sixth, behind multiple storylines that range from bland to useless. I'm baffled by how little focus is on dinosaurs. And I don't just mean they are barely onscreen. The original Jurassic Park barely had any for the first hour. But everything leading up to that, the story, dialogue and themes, were all focused on dinosaurs.That's not the case with Dominion. The majority of the storylines are tangentially related at best, completely unrelated at worst. Imagine watching Taken but Liam Neeson has to watch out for dinosaurs... that's one storyline. You could replace dinosaurs with any scary creatures and it would make little difference to the plot.On top of that, they did a poor job of balancing so many storylines with different characters. Or maybe it's because every single one is uninteresting. And the moment when the different characters come together falls completely flat. I compare it to Stranger Things, when the stories converge and the crew is finally together, those moments are so impactful and exciting. They feel earned and elevate everything after. In Dominion, you don't feel any kind of magic.Some parts were so bad they made me cringe or roll my eyes. But that wasn't the case for the majority of the movie. So why such a harsh score? Because this movie, which is the definition of a popcorn flick here to entertain us, is unbelievably boring. I had 8 hours of sleep last night and drank a Red Bull, yet I was struggling to stay awake. I had to un-recline.All of the action scenes are forgettable. Literally. It's only been a few hours and I can remember maybe a couple cool moments. And one thing I couldn't believe, the climax action sequence is straight-up copied from one of the previous movies. I won't say which one, but I'm baffled they went this route. It's even sadder when you realize it's worse than what it copied in every way.As for the dinosaur effects, at times the animatronic dinosaurs look like toys. And the CGI dinosaurs look a bit off. I don't think it's poor CGI but something about it doesn't feel right.I am so disappointed this is what they gave us for their self-proclaimed ""epic conclusion of the Jurassic era."" Especially after Fallen Kingdom left us with such an exciting cliffhanger, the chaos that awaits the people of the world when dinosaurs are unleashed upon them. That's not at all what we get.I loved the first Jurassic World. And while the second is highly flawed, it's still entertaining and filled with tension and suspense. I felt none of that with Dominion. (1 viewing, opening Thursday UltraScreen 6/9/2022)","988 out of 1,215 found this helpful.
                        
                        
                             |","Was this review helpful?","Yes","No","Report this","https://contribute.imdb.com/review/tt8041270/rw8222042/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","Permalink","https://www.imdb.com/review/rw8222042/?ref_=tt_urv"
