"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"6","/10","A Remake of a Film that Never Needed to be Remade","https://www.imdb.com/review/rw0956979/?ref_=tt_urv","JamesHitchcock","https://www.imdb.com/user/ur2955724/?ref_=tt_urv","3 November 2004","If one wants to remake a movie, the best option is probably to choose and original that was good, but not a great classic. Clearly, any attempt to remake a concept that failed first time around is fraught with danger, but an attempt to remake a classic runs the risk that one's film will be unfavourably compared with the original. The original 1968 film of 'Planet of the Apes' is one of cinema's great science fiction classics. More than an adventure story, it touches on some of the concerns of the late sixties- the fear of nuclear war, race relations- and also raises more fundamental issues about the relationship between man and nature, the relationship between religion and science, Darwinism and animal rights. It was therefore a brave move on Tim Burton's part to try and remake it. The main concept of Tim Burton's film is basically similar to Franklin Schaffner's. An astronaut from Earth travels to a planet ruled by intelligent apes. Humans exist on this planet, but they are regarded as an inferior species, despised and exploited by the apes. There is, however, an important difference. In the original film, the apes are the only intelligent and articulate beings on the planet. Although they have only attained a pre-industrial level of civilization (they have firearms, but no power-driven machinery, and no means of transport other than the horse or horse-drawn vehicles), they are a far more advanced species than the planet's human inhabitants, who lack the powers of speech and reason and live an animal-like existence. In Burton's remake, humans and apes have similar powers of speech and intellect; it is only the apes' greater physical strength that enables them to dominate the planet and to treat the humans as slaves. It was this ironic role-reversal, with apes behaving like men and men behaving like beasts, that gave Schaffner's film its satirical power. That film was advertised with the slogan 'Somewhere in the Universe, there must be something better than man!', and the apes are indeed, in some respects, better than man. Their law against killing others of their kind, for example, is much more strictly observed than our commandment that 'Thou shalt do no murder'. There is no sense that the apes are bad and the humans good. Even Dr Zaius, the orang-utan politician, is not a wicked individual; by the standards of his society he is an honourable and decent one. His weakness is that of excessive intellectual conservatism and unwillingness to accept opinions that do not fit in with his preconceived world view. (In this respect the apes are very human indeed). Burton's film takes a less subtle moral line. It is a straightforward story of a fight for freedom. The villains are most of the apes, especially the fanatical, human-hating General Thade. The heroes are Captain Davidson, the astronaut from Earth, the planet's human population who long for freedom from the domination of the apes, and a few liberal, pro-human apes, especially Ari, the daughter of an ape senator. The apes are more aggressive and more obviously animals than in the original film; they still frequently move on all fours and emit fierce shrieks whenever angry or excited. There are some things about this film that are good, especially the ape make-up which is, for the most part, more convincing than in the original film and allows the actors more scope to show emotion. (I say 'for the most part' because Ari looks far less simian than do most of the other apes- Tim Burton obviously felt that the audience would be more likely to accept her as a sympathetic character if she looked half-human). The actors playing apes actually seem more convincing than those playing humans. Tim Roth is good as the militaristic Thade, as is Helena Bonham-Carter as Ari. Mark Wahlberg, on the other hand, is not an actor of the same caliber as Charlton Heston, who played the equivalent role in the original film, and Estella Warren has little to do other than look glamorous. (Heston has a cameo role as an ape in Burton's film, and even gets to repeat his famous line 'Damn you all to hell'). Overall, however, the film is a disappointment when compared to the original, a simple science-fiction adventure story as opposed to an intelligent and philosophical look at complex issues. It tried to copy the device of a surprise ending but failed. Schaffner's famous final twist is shocking, but makes perfect sense in the context of what has gone before. Burton's makes no sense whatsoever.Tim Burton can be a director of great originality, but with 'Planet of the Apes' he fell into the standard Hollywood trap of trying to copy what had already been done and remaking a film that never needed to be remade. It was good to see him return to form with the brilliant 'Big Fish', one of the best films of last year. 6/10","281 out of 359 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0133152/rw0956979/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Underrated","https://www.imdb.com/review/rw2409557/?ref_=tt_urv","on_the_can","https://www.imdb.com/user/ur4671065/?ref_=tt_urv","6 April 2011","In the spring of 2001 audiences seemed eager to see Tim Burton's retelling of the 1968 classic, ""Planet of the Apes."" By the summer of 2001 it seemed to be the movie everybody loved to hate. Were the criticisms fair? Not if you ask me.2001's Planet of the Apes' biggest downfall, in my opinion, is unfortunately also it's biggest strength. Unlike many remakes which often end up as nothing more than weaker rehashes of their predecessor's this version of 'Apes' dared to be different. The plot has been stripped down to its bare bones and then rebuilt into something completely new. This is refreshing, if you ask me. Especially when rewatching it now, because just a few short years after this film came out we launched into sort of a remake renaissance, where half the tent pole films that come out every year are the same lesser rehashes that I spoke of a second ago. This film does take a moment here and there to wink at the '68 original, but Burton and his merry band of screenwriters has created a world completely original...it could be watched next to any entry of that original series as a wholey different film.This is also the film's biggest flaw though, or at least financially speaking, because the original 'Apes' franchise has a cult following behind it that could almost rival that of Star Wars or Star Trek. The core audience for this film really only wanted to see their favourite story told with modern day effects and makeup. I don't think we needed that, but I'm not sure how many would agree with me.Now, if you want to compare the two films plots and decide which one is stronger that's a whole other debate. But I don't think that's fair, that's why I champion it for taking such a different approach. I don't think this movie should be compared to any other movie and with that mindset a much better appreciation can be found. To put it bluntly, this movie ain't bad...in fact it's actually pretty good.I won't deconstruct the plot for you...if you're interested enough to be reading this you probably at least know the jist of it anyway. But it's a solid and interesting plot that sets up a very fun and entertaining action adventure flick. Visually its in many ways a departure from typical Burton fair but his stamp is definitely evident in its art direction, and the atmosphere he creates in this jungle/desert/urban/high tech universe is really something to behold. The apes are not only impressive in terms of makeup but they are also creatively impressive from the choices of the species to match personalities, the incredible costumes and simply perfect performances by a cast who act through all that latex. And while I'm praising I'll also throw up a shout out for Danny Elfman's great score, which just might be one of his best.The only caveat I'll lay on the movie is that the twist ending, obviously conceived to rival the famous twist of the original, kind of falls flat. BUT...considering how many instalments the original franchise had I have no doubt that the producers had hoped to make a sequel had this film been more financially successful, and had that sequel been made maybe we would've learned the story behind this twist and all would've been forgiven.It's a little too late to say, 'long story short,' but I will anyway. Give this movie a fair shot. It may not be without its flaws but how many movies are? Try not to compare it to the original, just watch it with a bowl of popcorn and have fun.","165 out of 217 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0133152/rw2409557/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Escape from the Boulle planet.","https://www.imdb.com/review/rw0512523/?ref_=tt_urv","dbdumonteil","https://www.imdb.com/user/ur1219578/?ref_=tt_urv","29 August 2001","Visually,this film is sometimes a splendor;the light falls on a crepuscular world.The Apes' town is quite scary particularly when you see it from a distance ,as it stands out against an ominous sky.In the very beginning,the cast and credits are also successful,with an adequate martial music.The first third has some funny,parodic and sometimes politically incorrect lines.In the second third,the movie begins to lose steam,although the discovery in the wrecked spaceship is a rather good idea. But that's not all good news.First of all,the hero lacks charisma and the apes and their sensational make-up simply overwhelm him and drown him out.On the contrary,majestic Charlton Heston,even when he was in chains,displayed a Shakespearian grandeur in the first version.The last third consists in battles,a ""second coming"" and the ""astonishing"" ending without which..that would not be ""planet of the apes"".Actually,the new ending was borrowed from Pierre Boulle 's novel,but not without adding a mathematically unlikelihood which will give you headaches if you begin to think too hard:the least they can do:Everything ,even the proper nouns from the French writer's book have been removed,even if some characters recall some of the Boulle/Shaffner version.Shaffner had contented himself with changing the astronauts' name(eg:Ulysse Mérou=Taylor) Hats off to Helena Bonham-Carter who brings warmth and emotion in a rather vapid cast:in a part close to that of Kim Hunter/Zira,she really asserts her distinctive identity. Tim Roth is effective as well,but his part is less so.David Warner and Kris Kristofferson are wasted.As a tribute to Shaffner(?)both Linda Harrison (an unidentified woman captured with Leo) and Charlton Heston (moaning his curse,which is,admittedly,funny)appear unbilled.Tim Burton might be a director to remember.Although he has not made a genuine masterpiece yet,his filmography is already rich:""Sleepy hollow"",""Edward Scissorhands ,the marvelous ""Ed Wood"" (Martin Landau is unforgettable).But redoing ""planet of the apes "" was a hard task.Shaffner's movie followed a progression,it moved slowly,from the long introduction showing the three astronauts making their way across desolate landscapes to the stunning final shots with Heston and Harrison 's roaming down by the sea.Remember how long it took Taylor to convince Zira he was a thinking man!Here it seems natural to Ari almost as soon as she sees him,that Leo is no dumb idiot animal.And that's the last straw,even Tim Roth (some kind of cross between Shaffner's Cornelius and a pulp fiction baddie)pretty damn quickly believes too that that human is too clever for his own sake.Tim Burton's so-so remake epitomizes the dearth of good scripts.Pierre Boulle's book is a golden mine and one could have written a coherent story out of it,different from that of the first version.Why not,for instance,introduce the two ""astronauts"" whose scenes open and close it,and turn Leo's adventures into a flashback?What about showing the love between the hero and the woman-animal ?And the son they had?And the menace this son represented for the simian race? All these ideas were left over by Shaffner's script writers and could have built a strong new tale.The main flaw lies in the human beings:here,they speak -English!- ,they can reason,they can swim (!),they are (except for bubble head Warren)clever,so why the hell did the apes tame them?","58 out of 97 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0133152/rw0512523/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","As shallow as the water he crashlands in.","https://www.imdb.com/review/rw0512428/?ref_=tt_urv","seemore-3","https://www.imdb.com/user/ur0915374/?ref_=tt_urv","21 August 2001","After seeing Tim Burton's excellent Sleepy Hollow, and superlative Ed Wood, I was expecting much more of a character driven movie, with the characterization and spiritual philosopies that elevated the original movie out of the pure science fiction genre and into a cerebral adventure film with acutely observed social comments.Unfortunately, the film suffers from poor script and direction right from the minute the astronaut crashlands.They knew from the outset that they would never produce an ending to rival the original, and any cinema-goer in their right minds would never expect one.  But they could have at least got the beginning right.  Neither Mark Wahlberg's character nor the tension is ever developed, so when he is confronted by the apes: we feel nothing.The humans, though they have the benefit of increased intelligence and speech, are poorly utilized.  And Kris Kristofferson is criminally wasted.The make-up and effects are, as you would expect, fantastic.  However, despite improved flexibility in the make-up, there is little warmth in either the performances or direction that made millions of kids go ape-nuts in the seventies.  Bonham-Carter's Ari, whilst convincing, is not a patch on Kim Hunter's Zira.  Roth's quite brilliant performance as Thade virtually carries this film and makes it the one reason to stick with it to the end.Did I say end?  Well, the less said about that the better.","159 out of 226 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0133152/rw0512428/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Flawed But Still Pretty Good Overall","https://www.imdb.com/review/rw9678961/?ref_=tt_urv","HabibieHakim123","https://www.imdb.com/user/ur105506099/?ref_=tt_urv","15 March 2024","7.5/10
I really appreciate the different approach to the story from Tim Burton's as i really think this Planet Of The Apes remake was pretty good overall, but what lacking the most i think was that because i believe this is a pretty straight forward movie, it happens pretty quickly to the conflict that i felt what lacking the most was the characters development, i do felt in the first half of the movie there is not much of a personality in the characters specifically Tim Roth and Helena Bonham Carter characters, Thade i found quite annoying instead of terrifying in the first half until at the end i can admit that he was basically a mad ape, and Ari was just not as good of a character or sweet of a character as Dr. Zira in the original even if they didn't want to make her like it, but it's not like i hate the characters, they just flawed characters, and i'm finally fine with them towards the end, including the story which i thought again not as clever as the original but i still really enjoyed it and in fact the best thing about the movie, i like the makeup and the costume design, i like Mark Wahlberg in the film, Tim Burton's Planet Of The Apes remake takes on a very different but still interesting take on the story, flawed but still pretty good overall.","5 out of 6 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0133152/rw9678961/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","remake?","https://www.imdb.com/review/rw3027606/?ref_=tt_urv","kairingler","https://www.imdb.com/user/ur13401764/?ref_=tt_urv","3 June 2014","First off I haven't seen the original, so that leaves me free and clear of bias. I knew going into this movie however that Charlton Heston was in the original,, and he does make a cameo in this one,, Second, I've seen a few Tim Burton movies so I knew going in that some of the movie was going to be way out there, on a different level as most of his movies and ideas are. That said I just sat back and enjoyed the movie,, Mark Wahlberg,, aka,, Marky Mark. plays an astronaut on an American Space Station sent to do some research he has an ape with him,, and then they hit an electromagnetic storm and are sent crashing into a different planet in the future where apes rule the humans,, pretty fascinating concept if you ask me,, anyways, I enjoyed the movie,, mainly because I never seen the original,, so I didn't have time to sit there and judge one versuses the other,, maybe when I do see the original , I will change my mind,, but for now , I 'll stick with this opinion.","10 out of 15 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0133152/rw3027606/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"3","/10","Planet of Shallowness","https://www.imdb.com/review/rw0512736/?ref_=tt_urv","basrutten","https://www.imdb.com/user/ur1217890/?ref_=tt_urv","27 August 2002","Thank you Hollywood. Yet another movie classic utterly ruined by a cheap, shallow, effect-heavy and redundant remake. The original ""Planet of the Apes"" was an intelligent and thought-provoking movie with a very clear message. It was a movie that focused almost entirely on dialogue, which sounds very dull but was in fact very interesting. This movie, on the other hand, seems to have done away with pretty much ALL the dialogues. Instead of a great movie we get an incredibly stupid two hour chase movie. Dialogue has been reduced to a mere minimum, character interaction and development are non-existent and most of the time it's extremely hard to figure out what's going on. Instead, we get a bunch of pointless action scenes, some marginally funny one-liners and some very hollow quasi-intelligent conversations. The only thing worth mentioning about this movie is that it looks absolutely fantastic. The make-up of the apes is magnificent, and the sets and backgrounds are beautiful too. However, this does not distract from the fact that ""Planet of the Apes (2001)"" is a very shallow and simplistic movie, filled with paper-thin characters, stupid dialogue and a nearly non-existent plot. Please Hollywood, stop ruining great movies by turning them into senseless blockbusters.Oh yeah, the ending did not make ANY SENSE WHATSOEVER.
* out of **** stars, mainly for the visuals","297 out of 426 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0133152/rw0512736/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Not sure what the deal with the hate is but this is an awesome adaptation","https://www.imdb.com/review/rw6186265/?ref_=tt_urv","UniqueParticle","https://www.imdb.com/user/ur34836174/?ref_=tt_urv","18 October 2020","Mark Wahlberg was perfect this role especially with his physique! I'm the sure there could've been a better director but Tim Burton did pretty good with his own style; he definitely has done better. I feel like this Planet of the Apes deserves more credit despite any flaws! I'm one of very few that think the ending is brilliant and the way things play out is pretty solid.","11 out of 18 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0133152/rw6186265/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Didn't Live Up To The Apes Legacy","https://www.imdb.com/review/rw0512317/?ref_=tt_urv","Swampthing","https://www.imdb.com/user/ur0047361/?ref_=tt_urv","14 August 2001","Burton took the great 1968 heady drama and simply turned it into an action pic with tons of makeup, and I have the impression he missed the whole point of POTA.  It wasn't supposed to be an action-packed tour de force, but rather a thinking man's film.  What happened to the debates about man's role in this society?  What about the science and experiments conducted on man in the older movie?  I had other problems with the film too: Helena Bonham Carter seemed too overly obsessed with this human too quickly and for no reason.  Where the heck was Cornelius anyway?  So why did I give it a 7?  The makeup was truly fantastic, and the action choreographed well.  As a standalone movie, it would have been alright, but unfortunately, it has a legacy to live up to.  The second reason for the high score was the sexy, sensuous presence of Estella Warren.  It seems she was cheated out of a role here; why didn't she become romantically involved with him?What was her backstory?  Anyway, a fairly decent action flick worth the matinee price; not $8.25.","2 out of 2 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0133152/rw0512317/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Fun on its own terms ...","https://www.imdb.com/review/rw1897655/?ref_=tt_urv","Vic_max","https://www.imdb.com/user/ur5146276/?ref_=tt_urv","22 June 2008","For any sci-fi fan, it will be hard to resist watching this movie. The original Planet of the Apes (POTA) opened the door to this new world and made it interesting and believable.This movie is very different than the original. About halfway though, it is clear this movie is going in a different direction. Basically, a astronaut crash lands on planet populated by apes (the dominant species) and humans (the ones who exist in the wild, and as slaves). Soon after he is captured, he picks up the homing beacon to a rescue ship... and the story progresses from there.That's a pretty great setup, and the story progresses in a totally different direction than the original. I really appreciated that because it made the movie all the more interesting.The special effects were one of the big treats of this movie. Not only do we get scenes with the spacecraft, space station, etc. at the beginning (unlike the original), but the character makeup of the apes was fantastic. The variety of body builds, faces, personalities, etc. was very entertaining to watch. Somehow they made Helena Bonham Carter look ""sexy"" as a young animal rights activist/chimpanzee... and Tim Roth look more threatening and aggressive than just about any character I've seen in the movies. Brilliant work.The ape habitats were also kind of cool. If you want to know what an ape kitchen, dining room, bedroom, etc. looks like, you'll get a peek in side some of them in this movie.All the thematic hallmarks of the original are present (role-reversal, overt prejudice and cruelty, fight for equal-rights). While they are probably not as impactive as they were given how times have change, they still deliver a sting about who unpleasant such a society is.While I wouldn't say this is as strong a movie as the original, it is still a fun movie see and worth checking out.","20 out of 27 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0133152/rw1897655/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
