"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"5","/10","Written by a 12-year-old for other 12-year olds.","https://www.imdb.com/review/rw9493597/?ref_=tt_urv","judywalker2","https://www.imdb.com/user/ur1062771/?ref_=tt_urv","14 December 2023","Went to see this movie with my 17- and 11-year-old granddaughters. One is a Ms. Marvel fan and the other is now. For me I was hoping for something that children and adults could enjoy. But, no only kids will enjoy this silly mess.I enjoyed the Captain Marvel movie and thought the criticism was not warranted. I also loved Wanda Vision and the introduction of Monica Rambeau and I was hoping for at least a good continuation of her story. I didn't watch Ms. Marvel because I'm not a teen and I knew it wasn't for me; and after watching her parts in this movie I'm glad I stuck to that.All three actresses are good and of course Samuel L in always a pleasure to see, but none of the other characters including the so-called villain were the least bit interesting. Most of the scenes were just downright silly. I hope they continue Monica's story with better writing and I wish Marvel would stop being silly and go back to making movies for adults and kids.","385 out of 511 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10676048/rw9493597/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"5","/10","All over the place.","https://www.imdb.com/review/rw9423358/?ref_=tt_urv","drawlife","https://www.imdb.com/user/ur14294603/?ref_=tt_urv","8 November 2023","THE MARVELS is here and it's a mashed up film that is totally all over the place. It feels as if this film was edited and chopped into pieces during post and it shows.Couple things I enjoyed, I did like seeing Carol Danvers and Monica Rambeau resolve and acknowledge their relationship, but due to the nature of their characters being straight arrows, it allows Iman Vellani's Kamala Khan to be the audience just as Tom Holland's Peter Parker was in CIVIL WAR. I did not particularly enjoy the MS. MARVEL series, but I can see her being the shoutout for many.I think the script just touched on the surface of Brie Larson's Captain Marvel herself, so diving into her more is a plus, however the story did her no favors once again and I did feel like she was given like four or five pieces of direction to portray her character compared to the more one-note performance in the first film. Teyonah Parris is commendable. She was the more science-y of the trio.Samuel L. Jackson just feels inconsistent especially after SECRET INVASION. Feels like this Nick Fury is a variant. He's simply passing through in this film.Another thing I liked was the incursions (also briefly touched on in DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS). We all complained about the lack of planting seeds for the future leading into KANG DYNASTY and SECRET WARS. Finally, this film it at least preps and teases what's to come down the line.The MCU's villain problem is a long known fact, but here it only cements their problem even further. Now I'm a fan of Lee Pace's over the top performance as Ronan, but Dar-Benn played by Zawe Ashton is literally a copy and paste of Ronan, but female. Nothing new about it. Definitely up there as one of the worst villains in the MCU.The power swaps were kinda cool so I can give it that. Nia DaCosta does a good job executing the fight scenes, but again as one should expect, VFX is meh. Now if you cringed during the musical note duel between the two Doctor Strange, then wait till you see one segment of the film where it feels like a misplaced musical. Lots of quirky and annoying humor like one should expect in an MCU film.The Skrulls are in the film and as a fan we always think we can write the better film after watching it, but I just DO NOT understand why this sequel couldn't have been SECRET INVASION(one of the worst MCU Disney+ shows). SECRET INVASION honestly should have been an Avengers film or at the very least a Captain Marvel sequel co-starring some Avengers, kinda like CIVIL WAR. I personally feel like that dilemma could have furthered Captain Marvel's development due to her involvement with them and how she's equally to blame for not helping them out when she and Fury promised to find them a home. But instead she's stuck with this material.The mid-credit scene is arguably the best part. Once again teasing things to come. It's stuff that like that, that will maybe still garner interest in the MCU despite its current fall from grace. The end-credit scene is alright. Not particularly jazzed about that promise down the line.On that note, the recent Variety article published about Marvel Studios talked about their behind the scenes trouble. It was said that Kevin Feige and his creative committee partook in their yearly Palm Springs retreat to regroup and refocus, so here's hoping to next year being more consistent with quality. Seemed like he was spread too thin with the mandate to have more quantity than quality.THE MARVELS is a season 1.5 for MS. MARVEL and a CAPTAIN MARVEL sequel that we never saw due to the flashbacks and exposition to explain things. And let's be clear, at this point everything feels like homework. That was going to be inevitable moving forward after INFINITY WAR and ENDGAMGE, but especially when Disney+ was announced making Kevin Feige spread out too thin. But it only feels like homework because everything that has been released is below the standard of what Marvel set up for us.So to sum it up, while I did find it slightly more appealing than the first CAPTAIN MARVEL and QUANTUMANIA, that isn't saying much. Low expectations definitely helped. Is THE MARVELS one of the worst? No, but it definitely belongs way down below the list.5/10.","439 out of 762 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10676048/rw9423358/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Fun comic-book romp","https://www.imdb.com/review/rw9810062/?ref_=tt_urv","zvp74753","https://www.imdb.com/user/ur97102254/?ref_=tt_urv","26 May 2024","The Marvels is a fun, often silly, romp elevated by committed performances from the leads. Iman Vellani and her on-screen family were highlights of the often underwhelming Ms Marvel, so it's great to see them all again here. Brie Larson puts in another charismatic performance as Captain Marvel, nicely balancing her cockiness and rashness - clearly attributes she had even before she became ultra-powerful and unlikely to to be softened by it - with humour and endearing awkwardness. Teyonah Parris as Monica is the brains of the trio, and the chemistry and camaraderie between these three lead actors is what makes it so engaging. Plus Samuel L Jackson as Nick Fury is, of course, always ridiculously cool.It's probably the case that a lot of what happens here won't make a lot of sense if you've not seen a lot of the previous MCU adventures, particularly Captain Marvel, Ms Marvel and WandaVision. And despite the world-ending threat, it seems somehow insubstantial. But it doesn't take itself too seriously and has a wacky comic-book vibe, and I found it an enjoyable watch. There's been way too much MCU content churned out in recent years, and it seems likely that some of these characters won't get another outing as a result of a probably overdue cull, but I think that would be a pity. I do hope we'll get to see their continuing adventures.","4 out of 4 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10676048/rw9810062/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","It's the end of an era","https://www.imdb.com/review/rw9442270/?ref_=tt_urv","S3pt3m63r","https://www.imdb.com/user/ur81236291/?ref_=tt_urv","18 November 2023","Unfortunately if you haven't got Disney plus and you don't keep to speed with the tv series, then you this movie won't make much sense as it relies on you knowing what's going on in that universe so far, which I'm not up to date with and involves the Miss Marvels characters which haven't been introduced in the movies. Confusing.I had hoped that following Guardians 3 it could've get much worse for the Marvel universe, at least Guardians has Rocket😂It's hard to find any plot to this movie. Carol Danvers (Captain Marvel) does throw a lot of people through the roof but the plot is a quantum entanglement mess. The movie is blissfully short but feels longer as it's so bad and some people walked out of the theatre. I was so pleasantly when it ended.I think it's about to retire the whole Marvel superhero franchise as this phase is going badly.","194 out of 325 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10676048/rw9442270/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","I don't know why all the hate","https://www.imdb.com/review/rw9654685/?ref_=tt_urv","emilewis-82022","https://www.imdb.com/user/ur149575099/?ref_=tt_urv","2 March 2024","I really enjoyed this movie it better than a lot of the recent superhero movies in that i didn't start gaming halfway through. Sure there's some clunky dialogue in the last 20 minutes but overall I would watch again. I noticed some were moaning about Miss Marvel being juvenile but that's the point of her she's a teenager. My only eye roll came with the Bollywood world but even that wasn't awful it just felt a bit too unbelievable. Don't be put off by the reviews give it a spin and try and go in without prejudging it I nearly didn't and nearly missed an enjoyable couple of hours so grab a bag of popcorn and enjoy the movie.","27 out of 42 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10676048/rw9654685/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"4","/10","At least it wasn't three hours long.","https://www.imdb.com/review/rw9425894/?ref_=tt_urv","Sleepin_Dragon","https://www.imdb.com/user/ur15311310/?ref_=tt_urv","10 November 2023","Carol Danvers is attempting to save the universe, but her incredible powers become entangled with those of Kamala Khan and Monica Rambeau, they must unite to save the world.Ouch, what can you say, this is surely one of Marvel's lowest points, I honestly don't know who the target audience is, or who this is going to appeal to, young teens only maybe? Anyhow, this was an absolute mess.The writing was clearly problematic, it doesn't gel, it is genuinely all over the place. I do very much wonder if huge sections of this film cut? It can be the only answer, it just doesn't flow at all, and that short run time...Special effects, some were pretty good, some were poor, I just wish there was a greater focus on plot, it just seemed like 100 minutes of CGI, noise and random events.Brie Larson, I'm not sure about you, but to me she looked totally disinterested and bored by the whole thing, what I didn't see, was someone committed to the role. I thought Samuel Jackson was rather good, but again poorly served by the script.It didn't look great from the trailers, and in reality, it's another clunker from Marvel Studios.4/10.","1,029 out of 1,417 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10676048/rw9425894/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","If you liked Captain Marvel, you'll almost definitely like this","https://www.imdb.com/review/rw9609728/?ref_=tt_urv","escottf","https://www.imdb.com/user/ur0291622/?ref_=tt_urv","8 February 2024","As I say in the title, if you enjoyed the Captain Marvel movie you should enjoy this. It's not ""a work of art"" but I enjoyed it much more than a lot of the recent Marvel movies - and it is a lot more even than some of the recent ones. It's very character driven.The three main characters are delightful - and I had seen WandaVision and Ms Marvel to understand who Monica Rambeau and Kamala Khan were - but my wife hadn't and seemed to enjoy it too (no explanations of powers required - you could see them).The opening is bit confusing - but it was confusing for the characters too so that makes more sense - and the 3 characters soon settled in as a team. The story was basic but made sense and the ""antagonist"" was so-so. Nick Fury was a bit low-key so it was really the Marvels' film - which was nice.Seeing Kamala's family again was great too.I definitely enjoyed it - and it will be one of the Marvel films I probably will watch on repeat a lot.Yes, there is a brief part with a species who speak in song - but we have one of the best Star Trek TNG episodes with a species who speak in allegories so? I'm glad I ignored the low ratings because I'd heard the ""if you liked Captain Marvel you'll like this"" comment from multiple sources that I value and totally agree.","60 out of 106 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10676048/rw9609728/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"2","/10","Who is responsible for MCU Phase 4","https://www.imdb.com/review/rw9430667/?ref_=tt_urv","altugozhan","https://www.imdb.com/user/ur48745501/?ref_=tt_urv","12 November 2023","I just want to know who is responsible for MCUs phase 4 and how he or she can still be employedThere are 0(zero) good movies and only 1 or 2 tv shows that are watchable over a total of 20 productions and this is one of the bottom ranked ones. Marvel did a fantastic job over the decade, earned trust of fans besides billions of dollars and they are wasting it like there is no tomorrow.I don't know how a franchise can change so drastically from hero to zero.I have watched every marvel movie out there and this is equally as bad as she-hulk.Story is definitely boring, protagonists are boring, antagonist is boring, action is boring, battles are boring, some scenes are absurd and ridiculous.I have absolutely nothing good to say about this movie. Don't waste your money or your time.Looks like the movie is only made to make money in India.","702 out of 981 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10676048/rw9430667/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","A fun, funny mess","https://www.imdb.com/review/rw9594029/?ref_=tt_urv","cherold","https://www.imdb.com/user/ur0011762/?ref_=tt_urv","30 January 2024","After the bad reviews, and considering how many bad superhero movies have come out lately, I would have skipped this one if the trailer didn't look like so much fun. Fortunately, the movie fulfills the trailer's promiseIn the movie, three superheroes with related powers find themselves suddenly swapping places with one another. The proves to be a good gimmick for both action and comedy, as the three keep finding themselves in one another's battles. Eventually, they master the situation in order to take down a very angry villain with an unusually sympathetic backstory.The movie leans heavily - and for the most part successfully - into the comedy. A big chunk of this is fueled by the teenage Captain Marvel fangirl Ms. Marvel, who is from a TV series I found too pre-teen-oriented to enjoy. Ms. Marvel's an annoying character but for the most part I found her amusing in this.There's also a funny gag with alien cats.While I enjoyed this movie, I have to admit its a bit of an unfocussed mess. There are a lot of elements just tossed in, like a whole thing with Marvel #3, Monica, dealing with her abandonment issues. These occasional ""emotional"" moments don't much interest me.Anyway, a lot of people hate this, but if you like the trailer, I'd say chance the movie (I did not take a chance on the last Aquaman movie because unlike The Marvels, the trailer looked just as bad as people said the movie was.Going against the current, I say if you want a bunch of comedy and some fun action then you should watch this one.","55 out of 99 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10676048/rw9594029/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"3","/10","It's sad seeing the MCU come to be whatever the hell this movie was","https://www.imdb.com/review/rw9427246/?ref_=tt_urv","isaacsundaralingam","https://www.imdb.com/user/ur40254989/?ref_=tt_urv","11 November 2023","The MCU has absolutely overstayed its welcome. Post Avengers Endgame, these projects have been feeling more and more like content than cinema (except the rare surprises like GOTG 3). Superhero fatigue, they call it and this movie does practically nothing but to amp it up to 11.You watch the trailer, you know what happens. You bet on originality, you end up homeless. There's nothing new for me to say that I haven't already said about any of the other MCU content as of late. It's so generic that I'm confident a year from now, no one would remember this movie even existed. With every new MCU project, the jokes-per-minute ratio keeps getting worse, the villains are a writer's version of a stock photograph (I can't even remember the villain's name in this movie and it hasn't even been a day since I watched it), the CGI is so out there you can almost see the CGI artists' tears on screen, and it's getting more and more difficult to tell each MCU project apart cos they're all just the same.The only few positives I can identify here are actresses Iman Vellani and Brie Larson (Larson, who seems much more relaxed and settled into her superhero boots), and maybe the flashy action sequences. Otherwise, there's nothing here to watch, nothing here to experience and nothing here to enjoy. What a shame.","1,006 out of 1,424 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10676048/rw9427246/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","No where near as bad as people said","https://www.imdb.com/review/rw9619724/?ref_=tt_urv","rick-03460","https://www.imdb.com/user/ur61773825/?ref_=tt_urv","13 February 2024","I didn't get around to seeing it in theaters. I just watched it on Disney+ now that it's available and it wasn't terrible at all.Sure, it was more childish at times (following the theme of the show that includes the same child main character), but over all it was just a more goofy, fun movie. And it still had some great fight scenes. I think edge lords have gotten so used to the dark grittiness of some of the movies and forgot how to just enjoy movies. I gave up on taking these movies seriously a long time ago. Yes, it's not up to the standard of the early MCU, but it's never going to get back to that - if you're going to compare sequels to the same standard as originals (in any genre) you're just asking for disappointment. If you've got Disney+, there's nothing to lose.","22 out of 37 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10676048/rw9619724/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","See it for yourself, judge for yourself.","https://www.imdb.com/review/rw9621162/?ref_=tt_urv","jmljr-81488","https://www.imdb.com/user/ur65556473/?ref_=tt_urv","14 February 2024","Personally, I liked this little film. Were there flaws? Sure, but every film has them. It wasn't supposed to be Endgame or Infinty War. It served the purpose of being a tidy little piece of conjunctive tissue phases 4/5 have long needed. Was it fun and funny and little over the top? Sure but thank goodness it wasn't as dark and bleak as other film companies make when building out their superhero universes. Thank goodness for that I say. My largest challenge were equally two of my favorite things in the film. For those who don't watch Disney+ two (more actually) of the primary characters were unknown to theatre audiences. While a bit of help was given explaining the backstory of one, even less was given to the other (and her lovable family). I also found (again an issue derived from the streaming shows) Nick Fury's solitary leadership and different character (from his series) might have had the reverse effect for those who had watched Disney+. I have no way of knowing if this was a film where a committee overruled the film's Director or what happened in those areas. For what did work, I enjoyed a good deal. Somewhere in here was a much stronger film than we, the audience, were able to see. I realize much of the hate the film received came far before its theatrical debut as the usual crybabies who hate anything led with women or people of color were ready and waiting to review bomb the film no matter what loose ends might have been satisfactorily tied up. And for whatever reason the primary lead continues to draw their ire is ever a mystery to me. I enjoyed the performances of all of the cast. And even when the script was a wee bit wonky, it was still somewhat on track and eventually got where it needed to logically go.","24 out of 41 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10676048/rw9621162/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"4","/10","Who hires these writers?","https://www.imdb.com/review/rw9569900/?ref_=tt_urv","tibby_23","https://www.imdb.com/user/ur9439924/?ref_=tt_urv","17 January 2024","By far the worst Marvel movie so far, I am extremely disappointed. After the mess that Thor 4 was, I was hoping that Marvel learned its lesson, but it seems not. I am honestly happy this movie did bad at the box office, that's what you get for ruining such a great character (I loved Cpt. Marvel from the comics).What makes it bad:
I also found two good things eventually:
These writers should never be hired again.","172 out of 244 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt10676048/rw9569900/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
