"rating-other-user-rating","title","title href","username","review-date","text"
"5","Verona Parker is easily one of the worst characters ever written for the screen","https://www.imdb.com/review/rw9595050/?ref_=tt_urv","DocteurDream","30 January 2024","Verona Parker is easily one of the worst characters ever written for the screen, takes away everything this movie aspires to be. The actress also did a piss poor job and always had me cringing at the unrealistic and unreasonable choices she makes. If you'd delete that character entirely, this movie would've been a whole lot better in the long run.Subject wise it's a very nice concept of a revenge thriller against scam call centers- but again, the whole govt mumbo jumbo makes it feel a whole run of the mill action BS from Hollywood mid tier movies. If the story had been awhole lot grounded, it would've done a whole lot better imo."
"6","Good action, incredibly silly","https://www.imdb.com/review/rw9655137/?ref_=tt_urv","mikelpcl","3 March 2024","Statham knows how to fight. The action is great.The dialogs and the plot... oh my God. This was all written by a 15 year old as a weekend project.It's all beyond ridiculous.Even Statham's usual delivery can't salvage the ""zinger"" phrases in this movie. Not even that.Still, the action is good.Watch it for the action. With beer. With friends around, making fun of all the silly and teenage-amateurish dialogs.You'll walk out thinking that you should not have enjoyed this horrible movie, and that you can also be a Hollywood screenwriter. Easily.By the way, they spent 40 million to do this... I can only imagine Statham walked out of the movie loaded."
"7","Statham and action","https://www.imdb.com/review/rw9599080/?ref_=tt_urv","Jhissner-1","2 February 2024","Statham 8/10
Action 8/10.Story 6/10
Agent Parker 1/10The action and the story are great. Statham is fantastic.Unfortunately, after that the other actors are bad or worse. Agent Parker was horrendous, shocking that she was even cast. If you can put her acting aside, then it's a pretty solid and enjoyable movie.The Beekeeper is worth checking out if you enjoy action and Jason Statham. The movie is comparable to some of his better movies: transporter, the mechanic, crank, expendables. Again, for what it is and putting the bad supporting actors aside then it is enjoyable. Enjoy the action!"
"6","An entertaining, though fairly stupid movie.","https://www.imdb.com/review/rw9730623/?ref_=tt_urv","jbkzfhmh","11 April 2024","The Beekeeper is a decently violent , sort of moronic Jason Bourne want-to-be. In it we get a Jason Statham who's more entertaining than the turgid ""Wrath of Man"", but falls short of his' action comedies , like ""Snatch"", ""Expendables"", and ""Spy"".The action and violence are several notches above many other similar movies (though several floors below the likes of ""John Wick"" or ""The Raid"").The movie tries to pretend it's a cerebral thriller , with commentary on avarice and political dirty dealings, but for the most part is a pretty plain revenge film.The bad guys are annoying enough you look forward to their painful demises.If you're looking to watch Jason Statham wander around and kill people , you could do worse."
"6","Good action and stupidity","https://www.imdb.com/review/rw9674447/?ref_=tt_urv","ssvfolder-1","12 March 2024","Action flicks aren't known for their plots. That being said, is it possible to finally have at least somewhat plausible plotlines? I mean it's just so... stupid, I can't really .... My almost 80 year old parents know more about computers than these morons in the movies and many more examples of that.The action is great, as usual in Statham movies. That's why I even considered to write a review. It's everything one might expect from his action flick. As always he is the one who carries the movie throughout, and despite all the stupidity, it actually works. You probably need to be pretty drunk, but when you are, it's actually fun.So, as a one time entertainment, it's actually worth it."
"3","Awesome fight scenes, bad everything else","https://www.imdb.com/review/rw9556874/?ref_=tt_urv","FeastMode","12 January 2024","I seem to use that headline a lot. I guess it's better than a bad movie with bad fight scenes.Starting with the good, Statham is awesome as usual. And I loved all of the fight scenes. They are ridiculously fast yet completely clear. It's hard hitting, you can feel the blows. This is enhanced by the beastly IMAX speakers. And with the R-rating, it doesn't hold back. Although it's far from gratuitous.The bad? Sigh. The non-action scenes, which make up the majority of the movie, range from average to terrible. The quality level feels like a streaming movie, not a theatrical one. I spent much of the runtime uninterested and unengaged.Everything feels off. The dialogue is weird. The acting is questionable. And there are a bunch of dumb things that strain believability. Like the entire bad guy organization. Or a laugh-out-loud idiotic character decision during the climax. A true ""are you kidding me?"" moment.Even the cut to credits felt odd. Like the director just cut in the middle of a shot and said, ""screw it, let's go home.""(1 viewing, early screening UltraScreen 1/6/2024)"
"8","Statham goes full John Wick and full Equalizer","https://www.imdb.com/review/rw9558414/?ref_=tt_urv","banzoozalreviews","12 January 2024","David Ayer's ""The Beekeeper"" has Jason Statham going full John Wick and full Equalizer. This movie is 90 odd minutes of relentless, unhinged, pure escapist fun, with Statham doing what he does best - taking out bad guys like it's nothing and looking uber cool while doing it. He does that here in spades, in the most brutal and ridiculously entertaining ways. Yes, you need to throw believability aside, but if you are a fan of 80s and 90s action thrillers where it's one man against all, you will love this, just like I did. This movie really was a blast and a half, and then some. A great way to start 2024 movie season. I loved it. Pure escapist entertainment."
"6","The Beekeeper: 6.5/10","https://www.imdb.com/review/rw9569151/?ref_=tt_urv","tmhansen-22492","17 January 2024","Plot/Script= 5/10"
"8","Agent Parker is so gross","https://www.imdb.com/review/rw9772520/?ref_=tt_urv","parvesh-nehra","4 May 2024","Jason Statham is at his best - both action and acting. But the agent Parkers character is so gross, it makes you puke - for the misfit actor, her BS acting and the BS script.The concept of a Beekeeper program is actually great, but other than action, most of the movie is not worth anything. So many forces getting involved in such an otherwise beautiful concept ruined everything. Had it been a simple revenge without involving every damn agency, without the yuck Parker, it would been a great movie.I just hope they make a sequel by keeping the character and the concept of the beekeeper only, just like Equalizer, and write the other parts better, I'd definitely love watching that."
"1","Mindblowingly bad acting","https://www.imdb.com/review/rw9596304/?ref_=tt_urv","dam-24421","31 January 2024","They forgot to write a script? Or bring their head along in this movie?Nothing seemed to work, acting, storyline, everything was so rushed. The actors were incredibly bad, especially Parker. That must be some of the most cringe, b acting I have ever seen. It was unwatchable, I stayed in the cinema because I had my little brother with me, and wouldn't be rude and interfere with the other people in the cinema.This movies gets -3/10Way too cheesy and cringe. David Ayer this is a redo, better luck next time. My sincere condolences for the people watching.Just another movie for the money, so sad."
