"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions"
"6","/10","Lots of fun but G movies are becoming too cheesy...sigh","https://www.imdb.com/review/rw9716970/?ref_=tt_urv","jefzilla-28534","https://www.imdb.com/user/ur134865577/?ref_=tt_urv","3 April 2024","As a hard-core Kaiju fan of many years, I love that we are being treated to all of these Godzilla movies as of late. My opinion of the first two in this series (Godzilla and Godzilla: King of the Monsters) is that they were (somewhat) reality based and not obviously made for children. My criticism of G v K (the ending in particular) and this movie is that so much of it is far-fetched and fantasy based. Much more cartoonish.The bottom line is, they're making the monsters out to have too much human intelligence when they should actually be more animalistic. This was like watching a superhero movie and in my opinion, making the monsters out to be superheroes is a huge mistake. That's what happened when Toho did this in the 60's/70's which resulted in Godzilla movies becoming silly, low-budget kids movies, which has since been ridiculed for decades and has tarnished Godzilla's image. I understand the writers are trying to be creative and give the fans something different from all of the other monster movies out there, but this can be done without all the cheese. Please stop making the monsters so human!I enjoyed the movie but have to admit that I am somewhat disappointed.","124 out of 137 found this helpful."
"6","/10","Please, just remove humans from this","https://www.imdb.com/review/rw9704706/?ref_=tt_urv","FireJach","https://www.imdb.com/user/ur147170031/?ref_=tt_urv","27 March 2024","Monster = hurrah
Humans = garbageAnother Monster-Verse installment to the collection gave me another reason to visit my cinema. Luckily, I wasn't disappointed, I got everything what I expected which might be summoned by the two equations above.About humans:
If you want to watch the movie at home, don't waste time on humans subplot. It's completely pointless. The dialogues aren't funny or smart. They serve poor exposition which is painfully exhausting to watch. You see the monsters fighting and these ""characters"" are explaining in between: oh, he is protecting! - Come on, who wrote this? In my opinion if Legendary Studios wants to include humans, they should at least try making them just little interesting or just remove them completely. None of them is doing anything necessary, furthermore whatever they're doing doesn't make any sense. Why the hell are they in the Hollow Earth without protection? One guy is just in a Hawaiian shirt. The amount of dangerous monsters is not alarming, I guess... Paper Boy is filming everything but the British guy in a Hawaiian shirt says something like: It's better to keep it in a secret, this ancient civilization shouldn't be exposed to our world. The girl from Godzilla Vs. Kong (she is from that world and has weird X-Men power (?)) is among modern people, so the world already knows the underground world. What does he want to hide? There is more of this stupidity.About the monsters:
Kong is the lead. His journey is simple, he feels lonely, he wants to have a family of his kind. From the trailers you know, there is more giant apes, so I am happy to see them because I am Team Kong :) I'd want to appreciate the ""dialogues"" between Kong and this little ginger fella. They don't use words as we do but believe me, these two are more interesting than the humans. You will enjoy it.Godzilla and the rest are just monsters. Sadly Godzilla isn't intimidating in this movie, his only goal is to gain the pink level of nuclear power and then use it to fight the bad monkey. However, the fight scenes are awesome - this is why we are watching this type of movies, so if you're a fan of giant monsters, I recommend Godzilla x Kong: The New Empire... and don't expect to see raise of ""the new empire"" in this movie. It's a kinda awkward title generated by ChatGPT.","226 out of 282 found this helpful."
"7","/10","Project Powerhouse","https://www.imdb.com/review/rw9709061/?ref_=tt_urv","Slarkshark","https://www.imdb.com/user/ur24179951/?ref_=tt_urv","30 March 2024","Lots of Titans fighting. That's why we go to something like this, right?G X K is about the same for entertainment wise as G vs K, though I'd give the newest entry a slight edge for a couple of reasons. For one, there's a bit less silliness. There's comic relief of course, but it's not out of place or goofy. The 80's throwbacks with the tunes, synths, and vibes were great. And lastly, the Titans were back to being the bad guys instead of humans. I always find it a bore when you watch a movie about monsters fighting, but have to bare through a story of human villains and their idiotic ideologies.A side note, it's hilarious that these Titans seem to really enjoy having their royal rumbles in the biggest cities on the planet, or while destroying some of the world's most revered structures. Like really guys, you couldn't have thrown down in the middle of the Sahara? More destruction equals more entertainment I suppose. Also, Godzilla just casually murders hundreds if not thousands just walking around from point A to point B. I digress. Go pink Zilla!","132 out of 172 found this helpful."
"6","/10","A brainless, but (mostly) entertaining monster mash.","https://www.imdb.com/review/rw9707853/?ref_=tt_urv","vinayaksrivastava-20682","https://www.imdb.com/user/ur176477157/?ref_=tt_urv","29 March 2024","Releasing merely weeks after the critically and commercially acclaimed ""Godzilla Minus One"" won the Oscar for Best Visual Effects is a boon as well as bane for ""Godzilla x Kong: The New Empire"" - while more people are familiar with the behemoth radioactive lizard, there is an undeniable urge to draw comparisons between the two movies. Adam Wingard's second Monsterverse film following 2021's ""Godzilla vs Kong"" delivers satisfying Titan action, but overall, the film feels like a step back, largely owing to dull and tedious human drama.Personally, I found ""Godzilla vs Kong"" to be the best Monsterverse film. It embraced the absurdity and silliness of its premise and made the most of it to deliver one hell of a show, placing the Titans front and centre, while jettisoning any unnecessary human drama. ""Godzilla x Kong: The New Empire"" starts off much slower, with the actual plot taking nearly 20 minutes to kick in. Combined with an uptick in uninteresting human drama, this slows down the movie with certain portions feeling boring.Much like its predecessor, ""Godzilla x Kong: The New Empire"" struggles trying to the connect the stories of the two leading titans. Kong is the heart and soul of the movie, with Godzilla largely feeling like an accomplice or sidekick. The first half of the movie is almost entirely about Kong's exploration of Hollow Earth, the subterranean ecosystem where the Titans live. While learning about the mystical world was engaging and intriguing, it lead to a delayed introduction of the villain, leading to the third act feeling slightly rushed and less rewarding compared to the enthralling finale of ""Godzilla vs Kong"".The action sequences themselves are a whole lot of fun, with a face off in hollow earth with gravity slightly messed-up being one of my favourites of the entire franchise. The finale in Rio delivers plentiful excitement and fun too.""Godzilla x Kong: The New Empire"" is best suited for fans of the Showa era. For Kong fans(like myself), there is a lot to like about the movie, owing to the humanisation of the great ape. The action scenes are fun, colourful and campy, similar to it's predecessor, but an increased focus on human characters and a slower pace make this a slightly underwhelming entry to the Monsterverse.","96 out of 129 found this helpful."
"6","/10","This movie should be called Monkey X Kong, which is more appropriate","https://www.imdb.com/review/rw9711396/?ref_=tt_urv","harryxianjy","https://www.imdb.com/user/ur89372364/?ref_=tt_urv","31 March 2024","The movie features very few scenes with Godzilla, only a few fragmented shots, including the final battle. Godzilla's total screen time is probably less than 7 minutes. The movie is filled with monkeys throughout, making it more like an independent Kong film because it barely depicts Godzilla, with Kong having far more screen time than Godzilla. I feel like Godzilla's role was forcefully added and feels disconnected from the rest of the movie. Also, the portrayal of SHIMO is superficial, failing to showcase its power, while Skar King is portrayed as a clown; it can't even defeat King Kong one-on-one, lacking a strong antagonist that leads to a rushed conclusion of the final battle. Finally, I have a big question: why do the director and writers like monkeys so much?","55 out of 74 found this helpful."
"","","A bit of a Disappointment","https://www.imdb.com/review/rw9706191/?ref_=tt_urv","shakirshums","https://www.imdb.com/user/ur152996331/?ref_=tt_urv","28 March 2024","It serves up a berserk dreamscape with plenty of payoff to please the MonsterVerse faithful. Shame about the human stuff, though. Director Adam Wingard has a lot of fun with textures, colors, and camera work, and he's adept at giving fans the over-the-top monster action that they demand via an imposing new villain. Unfortunately, there's no time to spend on making things make sense or even matter all that much, and what few emotional punches are thrown lack the necessary wind up to connect, save for some very well done moments between Kong and his Hollow Earth kin.Overall didnt live up and the plot was mediocre at best.","37 out of 50 found this helpful."
"4","/10","When you want the human cast to die","https://www.imdb.com/review/rw9720741/?ref_=tt_urv","ste-plaza","https://www.imdb.com/user/ur80501083/?ref_=tt_urv","5 April 2024","More than the enemy monsters. They really added nothing to the film. Except annoyance dumb rehashed mcu jokes, not even remotely amusing. Not even in the same league as the masterpiece like Godzilla minus 1. This will be my last one of these types of Godzilla movies they toss out tripe like this on a regular basis like EA churns out GaaS games that ultimately get shut down within a year. Why because they are poop. The Cranston one was good, then the Farminga one wasn't bad, though the milly brown family aspect made it cringe. Soon as we got to the ones with ms hall and skarsgard they went down the pan and in the gutter. All flashy bright colors felt like we were watching iron man. Such a shame because Godzilla Kong and the creatures really tried to carry the human cast. But every scene these collection of humans were in we wanted them to meet a grizzly end. Such a farcry from Godzilla Minus 1 directed by Takashi Yamazaki.","67 out of 78 found this helpful."
"6","/10","Godzilla sells out to be more commercially viable","https://www.imdb.com/review/rw9706957/?ref_=tt_urv","dhk-51057","https://www.imdb.com/user/ur131240193/?ref_=tt_urv","29 March 2024","This movie has a real problem - It tries to cater to a wider audience by adding more 'Marvel type' action and storytelling rather than focus on doing what it could do really well and appeal to a more niche audience.The ""doing what it could do well"" part I am referring to is the BIGNESS of the Kaiju's / monsters. Not just their actions but their presence and size.. a bit of slowness in how they walk and move, to feel that ""thud"" when they take a step and the sheer overwhelming presence that they represent - Like in Pacific Rim or in Godzilla King of the Monsters. You FEEL the bigness and the size.A splash in the ocean can causes huge tide-waves due to the size.A resounding BOOM that is felt when two Kaiju's collide.Where is that?There is no respect paid to the bigness.It's just they took some superhero action sequences and applied them to giants and made them move like they were the same size as humans.There is no FEEL or BIGNESS - It's simply a 6 out of 10 movie because it caters ""enough"" to enough people because it goes for what's popular and throws a lot of it while giving away the depth and the ""feel"" of a big monster movie that is what godzilla is meant to be.","81 out of 126 found this helpful."
"4","/10","Ummm..what?","https://www.imdb.com/review/rw9709519/?ref_=tt_urv","jinxedmihai","https://www.imdb.com/user/ur174406934/?ref_=tt_urv","30 March 2024","What's with all these 9 and 10 stars reviewers?????? It's now they paying people to give movies high praise???I went to cinema and i feel so uncomfortable the whole almost 2 hours time.The comedic thing put on the movie make this looks so cringe and corny!What? They want to transform the Monsterverse into a joke like Marvel? And the humans in this movie are all cringe, whyyyyy? Why they allow to transform every movie into a bad cringe/corny comedy? I don't want to see cringe/corny, i want to se some seriously dark movie about big monsters.4 stars just for some very decent special effects and that's all! THE 2014 VERSION ""GODZILLA""(2014) WAS the best! As well as the Kong: Skull Island! Now they transform Kong and Godzilla into some bad comediants! Don't listen to these 10 stars reviewers!","156 out of 191 found this helpful."
"10","/10","Great representation of Showa Era!","https://www.imdb.com/review/rw9704687/?ref_=tt_urv","Mael777","https://www.imdb.com/user/ur160752463/?ref_=tt_urv","27 March 2024","In ""Godzilla x Kong: The New Empire,"" the epic showdown between these two legendary titans feels like a nostalgic throwback to the classic Showa Era of Godzilla films, where the focus was on thrilling monster battles. The film doesn't disappoint in this aspect, as the fight sequences are incredibly well-executed and visually stunning, capturing the raw power and scale of these colossal creatures.What sets this film apart is its ability to balance the spectacle of the monster battles with a decent plot that keeps the audience invested. While it may not break new ground in terms of storytelling, the plot serves its purpose by providing enough context and stakes to drive the action forward. It effectively sets the stage for the epic clash between the monsters, making their confrontation feel earned and impactful.One of the standout aspects of the film is its breathtaking visual effects. The CGI is top-notch, seamlessly blending the massive creatures into their environments and delivering jaw-dropping action sequences that truly immerse the audience in the epic battle between the Titans. From the destruction of cityscapes to the intricate details of the monsters themselves, the VFX work is nothing short of astonishing.After watching ""Godzilla x Kong: The New Empire,"" I'm left wanting more. The film delivers on its promise of entertainment, offering a thrilling cinematic experience that leaves a lasting impression. I'm already looking forward to revisiting the movie and eagerly anticipating future installments that continue to deliver the same level of excitement and spectacle. Overall, ""Godzilla x Kong: The New Empire"" is a must-watch for fans of monster movies and anyone looking for an exhilarating ride at the movies.","87 out of 164 found this helpful."
