"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions"
"5","/10","Can these get any more brainless?","https://www.imdb.com/review/rw7724730/?ref_=tt_urv","iquine","https://www.imdb.com/user/ur25312605/?ref_=tt_urv","5 January 2022","How many times can they repackage the same old formula? Find another dumb reason to:
-- Go back to the island.-- Wow, look, dinos! Aren't they...still...amazing?-- Dinos chase humans scenes.-- Evil person tries to implement exploitive agenda.-- Dinos eat some people and roar.-- Don't forget the dino eyeball close up!-- Will the main characters survive to make yet another movie? Perhaps, as I see one is slated for 2022. And yep, I'll probably watch it as I've seen them all.The tension and thrill of the original has never been replicated and nothing new is really ever brought to the table in terms of story or thrill. These must still just rake in the cash.","59 out of 72 found this helpful."
"5","/10","Preposterousaurus Rex.","https://www.imdb.com/review/rw7862498/?ref_=tt_urv","BA_Harrison","https://www.imdb.com/user/ur0945066/?ref_=tt_urv","13 February 2022","For decades, movie dinosaurs were realised either by some form of puppetry or stop motion animation. Then, in 1993, Steven Spielberg's Jurassic Park proved to be a game changer, amazing audiences with realistic prehistoric monsters created inside a computer. The problem since then has been in delivering that 'wow factor' - how can Hollywood keep on thrilling audiences when Spielberg's original set the bar so high? To be honest, I don't think they've found the answer yet.The special effects in Jurassic World: Fallen Kingdom are technically brilliant, but the film doesn't really do anything that we haven't seen before, making the film as a whole yet another underwhelming experience. In desperation, the film-makers have resorted to more outrageous set-pieces, as well as inventing bigger and badder dinosaurs that never actually existed, all of which requires way too much suspension of disbelief.And talking of pushing the boundaries of believability too far, the notion that velociraptors were intelligent enough to be trained is quite preposterous: they had pea brains, experts rating their intelligence on a par with a rabbit. Anyone stupid enough to try and become a veloci-whisperer would wind up as a meal for the ravenous lizard (except, of course, for the fact that velociraptors were, in reality, only the size of a large chicken!).Other things that had me rolling my eyes: Chris Pratt becoming an MMA fighter to plough his way through countless bad guys; a dinosaur that pretends to be asleep to catch someone off-guard; velociraptor Blue knowing only to attack the villains; the transportation of numerous ginormous dinosaurs to a mansion in the US without the knowledge of the authorities; and obligatory child Maisie (Isabella Sermon) ultimately releasing the captured beasts into the wild because she feels sorry for them. Duh!5.5/10 for the special effects, rounded down to 5 for annoying comedy-relief tech-geek Franklin Webb (Justice Smith) and for Toby Jones. There's never an excuse for Toby Jones.","44 out of 55 found this helpful."
"7","/10","Exciting if Implausible","https://www.imdb.com/review/rw6598558/?ref_=tt_urv","rogerhwerner","https://www.imdb.com/user/ur54873148/?ref_=tt_urv","15 February 2021","I don't believe that it's implausible to presume that the film's heroine is idealistic, even naive, in some respects, but she's certainly not stupid. The moment Claire lands on Isla Nublar and encounters mercenaries that should have tipped her off that ghere was a real problem. Nevertheless, she blithely goes along and so does the hero. And are we to believe that the mercenaries show up on a dino hunt armed with standard issue military issue rifles (5.56 mm and or 7.62x51 mm) and sleeper dart rifles? Granted, they didn't intend killing the animals but those guns aren't powerful enough for modern big game animals let alone animals with hides thicker then rhinos, hippos, or elephants. Mercenaries would know this. I don't understand why the film makers ignore such minor details. The fact that they get so many of them worng is annoying,","14 out of 18 found this helpful."
"6","/10","Far from perfect, but surprisingly good, and includes some of the most beautiful scenes in the franchise.","https://www.imdb.com/review/rw4202743/?ref_=tt_urv","Arm-Lizard","https://www.imdb.com/user/ur12581211/?ref_=tt_urv","14 June 2018","So, the first thoughts.A huge improvement over the corny Jurassic World. Far from perfect, but surprisingly good, and it includes some of the most beautiful scenes in the whole franchise. There are moments brought real tears to my eyes, and that has never happened to me before in a JP movie.The animatronics are back, and they are superb. They used them carefully and wisely to tell the story. T. rex is awesome. She is the most magnificent creature in the movie, and she got some really excellent appearances, in which she became a menace again.The movie starts with a great opening sequence, and it builds up tension slowly, then all of a sudden it turns into a non-stop roller coaster. The acting is well held this time, and there is little to no cheesiness at all.The nods to the first two films are subtle but well played. The movie is brimful of classic JP set-pieces and atmosphere. Bayona nailed it with set-pieces.As for the cons, the movie has got too loud sometimes, and this made me feel that I need a break. It also dragged for about ten minutes in its third act; these were the main two things that bothered me the most.All in all, it was worth waiting. Not great, but good, and really fun. It's suspenseful, scary, heartbreaking, wonderfully filmed, and visually resplendent. There are three scenes here any fan can consider them some of his favorite scenes in the franchise.Mister Bayona, after careful consideration, I've decided to endorse your park.Long live Jurassic Park.","25 out of 36 found this helpful."
"7","/10","What am I missing??","https://www.imdb.com/review/rw4198542/?ref_=tt_urv","sallyturner-54668","https://www.imdb.com/user/ur59712711/?ref_=tt_urv","10 June 2018","I'm sorry fellow reviewers who marked this film with 2s and 3s. Did we watch the same film? I really liked it. I found it gripping, heart wrenching in places, fast paced and clever in its many and various nods to the other films. The reviewer who (very boringly) listed the references-erm, I think you're missing the point mate, and there's no way this film is a 'mess'. Yes, the nervy comic relief bloke is annoying and Toby Jones is a cardboard cutout, but overall this film is worth a 7 and I'm looking forward to Part 3.","16 out of 22 found this helpful."
"8","/10","Better than the first reboot","https://www.imdb.com/review/rw5859711/?ref_=tt_urv","Chanty22","https://www.imdb.com/user/ur77870951/?ref_=tt_urv","27 June 2020","I went into this movie not expecting much, after not really liking the first reboot. I was a fan of the classic Jurassic Park and even read both books by Michael Chrichton. But i was positively surprised by this newest release of the series.Whereas the first reboot just tried to copy the original movie with a theme park idea and brought not much new into the series and was very boring overall, the second reboot makes alot different. For once the setting is different and not again on a secluded island. It is also alot more exciting with more suspense than the first movie. Also I liked the ending...I would give it 8-9 out of 10.","63 out of 90 found this helpful."
"7","/10","I like dinosaurs","https://www.imdb.com/review/rw4209147/?ref_=tt_urv","marcomaryred","https://www.imdb.com/user/ur24569480/?ref_=tt_urv","19 June 2018","I'm always conflicted whether I should vote with my head or my heart. In the end as you can see, heart always prevails. Realistically, the movie has some flaws but deserves at least a 6.5/7. The initial setup is even more absurd then the usual while the connection with the first movie gives you a vague sense of déjà vu, at least for the first half of the movie. The pacing between the first scene and the beginning of the action is slightly tedious and abound of poorly written dialogue. Sadly, the new dinosaurs still have no feathers. Again, the bad guys are evil businessmen who this time around, seriously, and I mean seriously undervaluate whatever they're trying to sell. The movie kicks off with a questionable ethical decision and ends with one that is even more questionable. If you can see past all of that, Jurassic Park 5 is a fun, abate slighty stale ride.
The dinosaurs look amazing. The setup for the closure episode is good and plenty of people get dismembered. What more could you ever want ?","96 out of 162 found this helpful."
"7","/10","Another successful addition to the dinosaur fantasy which treads the oft taken path for the narrative","https://www.imdb.com/review/rw4203512/?ref_=tt_urv","akhileshms","https://www.imdb.com/user/ur89144247/?ref_=tt_urv","15 June 2018","Much like its predecessors, the theme of the movie is still the same. 'It's man's greed that he wants to control nature, but he ultimately fails miserably'. With the enormous budget at their disposal, the narrative could have been far superior, yet in the producers opinion, milking the already exhausted cow is a safe bet! This has to be the single most infuriating aspect of an otherwise wonderful movie. Contrary to the popular belief about that the narrative follows a dull plot-line without much excitement, Jurassic World : Fallen Kingdom does have its highs and lows. The movie began with the most scariest entrance to the franchise, but gradually fizzed out as the movie progressed, however a few exceptions peppered in-between, gets the audience to jump up from their seats and makes great efforts to grasp hold of the audience's interest even when the movie deviates from its actual plot. All this added with the technological advancements ensuring that we are served with a wide spectrum of colourful dinosaurs, does make it a wonderful movie to reckon.
In the end, Jurassic World : Fallen Kingdom, would definitely end up as a super hit, both commercially and critically with a better narrative, amazing performances by the complete cast and of course the actual Jurassic Kingdom. However, it might not end up as being the best Jurassic Park movie not just for the generation that grew up on dinosaur fantasy but even the generation that has been catered with a wide range of CGI movies.","28 out of 42 found this helpful."
"7","/10","OK Watching...","https://www.imdb.com/review/rw4200846/?ref_=tt_urv","dhiresh-mistry","https://www.imdb.com/user/ur27557266/?ref_=tt_urv","12 June 2018","After watching whole series, this do not excite me a lot. Somehow it is very predictable movie. Knowing the key characters; we know that nothing going to happen them. Individual actor's reaction and acting is very predictable. None of the action thrills any audience in cinema hall. Some character are always meant to end their journey which is understood right their introduction in the movie. I guess nothing more thrilling than original ""Jurassic Park"" and part II. Watching these classics today also gives a excitement.","19 out of 27 found this helpful."
"5","/10","Great CGI, Terrible plot!","https://www.imdb.com/review/rw4206737/?ref_=tt_urv","peter_w82","https://www.imdb.com/user/ur13165018/?ref_=tt_urv","17 June 2018","Like a lot of others are saying the first part of the film, where they are escaping from the island is great and quite exciting and sets the film up pretty well.However once the major action scene is over and they have to focus on the main story things start to go downhill. I think what bothers me the most is that a lot of the writing is just lazy and not well thought through or truely creative. Instead we get more of the same themes from the original JP films plus some more from JW. (Mutant dinosaur + evil corporate guys)All of the main characters stories are pretty unbelievable and there isn't enough investment in developing their individual personalities / backstory so we understand why they behave the way they do. Sometimes I feel like the major action scenes were thought up first and then the story was just sort of inserted between them as a glue so we have a way of getting from one action scene to the next.If you go and see this film you will probably enjoy it and it will most certainly entertain you for a while but after the moment has passed I am not left with the sense that I have seen something truely groundbreaking. Unfortunately I can't help but compare it to the original Jurassic park film and consider how it doesn't even come close to the terrifying moments of suspence and the brilliant portrayal of the different characters we got in JP1.Given that there are so many 9+ reviews on here maybe i am in the minority but I just feel like we are letting Hollywood get away with lazy writing, which contains numerous plot holes just so we can marvel at some cool CGI. We really should'nt be satisfied with this state of affairs. We should all be demanding better, more creative writing that continues to offer us something new and exciting. This will only happen if we stop rating these mediocre generic blockbuster films so highly. Was it was entertaining? yes without a doubt, but this is nowhere near a 9/10 film and you all know it. When rating these films please be honest with yourselves and send Hollywood a message. Don't let them think that lazy writing is ok. We aren't idiots and we do value a well written and interesting story.","663 out of 1,111 found this helpful."
"10","/10","Amazing for what it is","https://www.imdb.com/review/rw4216911/?ref_=tt_urv","tristaeckman","https://www.imdb.com/user/ur73016867/?ref_=tt_urv","26 June 2018","Everyone is rating this movie so poorly because the second Jurassic Park movie was not great either. This movie exceeded expectations for the new story line. Loved it.","48 out of 70 found this helpful."
"7","/10","Entertaining","https://www.imdb.com/review/rw6540682/?ref_=tt_urv","Abdulxoxo","https://www.imdb.com/user/ur106279729/?ref_=tt_urv","29 January 2021","One of the best things about this movie is the little horror feel. The tension created in one scene where a dinosaur is creeping up on a child was fantastic. There were a few other moments inspired by the horror genre. I wish there'd been even more. I enjoyed the action sequences in Fallen Kingdom. The frustrating thing however is that the use of CGI was still too often an unwelcome distraction. Not all of the dinosaurs were convincing. As far as the storyline is concerned, that was a real let down. Enough time wasn't spent on the island. I think the idea behind the conspiracy was not very convincing. There was a subplot involving a little girl that I didn't think was necessary; but given that it was included, I'd then say that enough time wasnt spent on it. The creativity of the writers as for the need to create a brand new dinosaur to be the big threat is questionable. Creativity in general was kinda lacking actually. The performances were definitely better. Howard was better than last time. Chris Pratt also improved. There was a scene where he was coming out of paralysis, his physical performance was hilarious. He was also great in any of the scenes that involved Blue, his pet-like velociraptor. It shared a little similarity with the relationship between Dwayne Johnson and George the gorilla in 'Rampage'. As far as the villains are concerned, they failed to make much of an impression. Rafe Spall was ok at best. Toby Jones was sinister, but in more of a cartoonish villain sort of way. Also Ted Levine looked like future dino food from the moment you met him.
In conclusion, this movie was slightly disappointing. However, there were some individual moments that's enjoyable. There were some really impressive action sequences; and most of the dinosaurs looked great. the acting much better; and most of all, the elements of horror in the movie were fantastic. These darker scenes were the highlights.","22 out of 32 found this helpful."
"2","/10","Yawn...","https://www.imdb.com/review/rw4230072/?ref_=tt_urv","wolframknoblach","https://www.imdb.com/user/ur2828241/?ref_=tt_urv","8 July 2018","This is the first time I got bored during a Jurassic movie and kept looking on my watch to see when it would be over. A lot of noise and spectacle but almost every scene a weak variation of ideas from previous films topped by the most ridiculous motivation for the heroes. The end of Jurassic World 1 promised a more interesting story. I am definitely not looking forward to another sequel.","591 out of 989 found this helpful."
"7","/10","Life found a way to my heart","https://www.imdb.com/review/rw4204683/?ref_=tt_urv","will-mcnamara64","https://www.imdb.com/user/ur51933002/?ref_=tt_urv","16 June 2018","Very entertained. Movie leaves you wanting more, but doesn't tease a specific cliffhanger for once. Middle feels rushed, but there's enough nostalgia to satisfy without overwhelming you.","22 out of 32 found this helpful."
"7","/10","Part 2 is improved by new, interesting action scenes, and impressive set pieces - gotta experience it in the theatre!","https://www.imdb.com/review/rw4325779/?ref_=tt_urv","TYContact1","https://www.imdb.com/user/ur89225840/?ref_=tt_urv","7 September 2018","The original Jurassic Park is iconic, so let's not compare this to that: it's a different era with different technology, and different actors available.Most Part 2 movies have the pitfall of rushed dialogues (assuming all audience have watched Part 1), recycled action scenes (using Part 1 props save $), dragging philosophical review or weepy flashbacks of Part 1 (padding screen time), bizarre sudden change in characters' casting/ personality, or a confusing head trip into the future or some incomprehensible scenarios that makes you wonder if this ""Part 2"" is related to the original Part 1 story at all.Fallen Kingdom manages to avoid most of the pitfalls: the gyrospheres feature again, but under water; this time, dangers on the island include volcanic eruption - it's not just dangerous to humans, dinosaurs have to flee as well (stampede alert!). Without specific references / spoilers to particular scenes, let's just say volcanic eruption has played a role in some intense, touching and/or hilarious scenes. Some plots are predictable, such as ""evil scientists"" shipping off / selling / researching on dinosaurs, an environmental subject explored in Part 1. However, Part 2 spins some humour into the rescue mission. The new characters Webb and Rodriguez are welcome addition to Grady's team.I do not find the plot twist near the ending forced, because I picked up the hints from the scientists' conversations. Part 2 did a good job carrying on the events on the island from Part 1. The storyline is actually more defined and all the missions and side characters have a clear purpose, whereas Part 1 felt experimental, loosely focused, and took awhile to kick into action (no one knew if the reboot would succeed, so understandably Part 1 couldn't afford to make a tight script with non-stop actions). I look forward to Part 3 - hope it won't be a messy ending with mindless explosions...","40 out of 63 found this helpful."
"7","/10","As a HUGE Jurassic Park fan, I liked this movie honestly!","https://www.imdb.com/review/rw4255242/?ref_=tt_urv","elijahbutler-40119","https://www.imdb.com/user/ur75898660/?ref_=tt_urv","27 July 2018","Now listen up, before I talk about Jurassic World: Fallen Kingdom, I just wanna say that I am a HUUUUUUGE Jurassic Park fan and I honestly didn't want to get too excited about Jurassic World: Fallen Kingdom and after seeing it I thought that it was pretty fun. Jurassic World: Fallen Kingdom was a fun enough sequel, but in my opinion it is not as good as the classic Jurassic Park, The Lost World or Jurassic World, but I thought it was way better than Jurassic Park 3! There were a lot of elements of Fallen Kingdom that I appreciated and others that I didn't appreciate and most of that has to do with the 2nd act of the movie and the characters. Chris Pratt and Bryce Dallas Howard are good in this movie and honestly Bryce Dallas Howard has a lot more things to do in this film! I could've lived without some of the new characters they decided to throw into the film, but they were fun enough and some of them were useful and others were just there to be a comedic coward, but the villains.....WOAH let me tell ya about the villains in this movie! Not good, at all and they honestly feel almost like cartoonish villains in a PG-13 movie. However, I thought the Indoraptor was pretty cool and a little better than the Indominus. I liked how the film didn't go to overboard with showing the genetic hybrid that much and only showed in the scenes that it should be in. And I also like how the film's called ""Jurassic World: Fallen Kingdom,"" because there are elements of this movie that give this movie the perfect title and I'm not spoiling any of these elements! And in my opinion, Jurassic World: Fallen Kingdom is not going to be for every Jurassic Park fan or even everyone in general. Because of the choices the creators made in this film and the direction by J.A. Bayona, this film is it's own story that knows it's not similar to the other Jurassic Park movies, so there will be a mix between a lot of people who love this movie and a lot of people who hate this movie. I personally enjoyed Fallen Kingdom and I can't wait to see it again and I actually would recommend watching it, even if you think it might be bad, because I think that EVERY movie deserves a chance to be seen by audiences before its judged. I'm gonna give Jurassic World: Fallen Kingdom an 8/10!","54 out of 88 found this helpful."
"10","/10","Another best jurrasic world installment","https://www.imdb.com/review/rw6297016/?ref_=tt_urv","resvita","https://www.imdb.com/user/ur66315178/?ref_=tt_urv","22 November 2020","Now that the dinosaurs has roaming the united states and the world.
I cant wait for the next jurrasic world movie.","90 out of 138 found this helpful."
"7","/10","On the best sequel's ever list.","https://www.imdb.com/review/rw4249639/?ref_=tt_urv","nickportanova","https://www.imdb.com/user/ur34965477/?ref_=tt_urv","23 July 2018","Don't listen to the miserable, jealous people who have a problem with everything and accomplish nothing. This movie is great.","79 out of 133 found this helpful."
"10","/10","Amazing film.","https://www.imdb.com/review/rw5614634/?ref_=tt_urv","smiley-73165","https://www.imdb.com/user/ur90477189/?ref_=tt_urv","6 April 2020","Like the adventure of the movie, keeps you on your edge of seat, yet pretty funny as well.","110 out of 171 found this helpful."
"","","The Weakest of the Series","https://www.imdb.com/review/rw4271443/?ref_=tt_urv","Michael_Elliott","https://www.imdb.com/user/ur13134536/?ref_=tt_urv","6 August 2018","Jurassic World: Fallen Kingdom (2018)** (out of 4)With the remaining dinosaurs about to be killed off by an active and large volcano, activist Claire Dearing (Bryce Dallas Howard) agrees to take a mission back to the island to try and save them. She talks Owen (Chris Pratt) into going with her but soon they are forced to make some decisions about the dinosaurs and especially when they realize that they've been double crossed.JURASSIC WORLD: FALLEN KINGDOM isn't the bomb that some are making it out to be but at the same time there's no question that it's the weakest film in the series and that's really too bad because there was an interesting story here that director J.A. Bayona just couldn't reel in. It's really too bad because this very well could have been the best of the series but the lackluster direction and lack of suspense really ruined it.I thought the best stuff happened on the island when our leads must try to rescue the dinosaurs as well as survive the volcano. I really enjoyed the scenes dealing with the volcano and I must admit that I think the film would have been much better had it stayed on the island. It unfortunately heads back to land and we get into the second half of the film that deals with poachers and an auction sale of the dinosaurs. The entire third act just didn't work for me due to a number of reasons.I understand movies like this need the viewer to follow the ""suspension of disbelief"" but to me this only works when what you're watching keeps you glued to the screen. You're so caught up in what's going on that your brain doesn't think about some of the things that you are watching. If you're bored with what you're watching, as I was with this film, then you mind starts to wonder and you start picking apart what you're seeing. I mean, how did all of these dinosaurs fit into this one mansion? Wouldn't their weight destroy this place? There are countless other examples where I was just rolling my eyes.Pratt and Howard are in good form but it's Ted Levine (Buffalo Bill in THE SILENCE OF THE LAMBS) who steals the picture playing bad as only he can. He was certainly very entertaining and I'd say he easily stole the film. As you'd expect the CGI was wonderful looking as was the score and cinematography. Technically speaking the film was good for what it was.However, the problem remains that the direction was rather lackluster and the lack of any real suspense just killed things. I really didn't think the second portion of the story worked and at the end of the day there's no question that this is a very flawed film that is also the least entertaining of the series.","59 out of 97 found this helpful."
"1","/10","Terrible","https://www.imdb.com/review/rw8211716/?ref_=tt_urv","finkgeek","https://www.imdb.com/user/ur132730873/?ref_=tt_urv","6 June 2022","The story is garbage.The new characters are cringe.The kills and violence have been toned down despite being marketed as darker.The indoraptor was a joke.After dominion I hope they reboot.Just watch primal or play dino crisis.","12 out of 15 found this helpful."
"7","/10","Bayona continues the rich legacy of Jurassic series","https://www.imdb.com/review/rw4192441/?ref_=tt_urv","pranayjalvi","https://www.imdb.com/user/ur62249628/?ref_=tt_urv","6 June 2018","Being a fan of Jurassic movies, it was already in my anticipated movies list and yes I liked it (even though not so exceptional). It was more thoughful and interesting than its predecessor. J.A Bayona did a decent job in maintaining the legacy of this series and not letting its characters as well as its plot loose. This movie may be your worth a while for this weekend, especially for the Fans of Jurassic series.","50 out of 81 found this helpful."
"7","/10","Action-Packed but Lacking a Meaningful Story","https://www.imdb.com/review/rw4201895/?ref_=tt_urv","ChakraSense","https://www.imdb.com/user/ur89100512/?ref_=tt_urv","13 June 2018","Jurassic World: Fallen Kingdom was rich in action and suspense complimented with brilliant special effects and great production. Unlike its predecessors, this film was filled with dinosaurs throughout - around 95% of the screening time, I would say.However, the praise ends here. The story was bland and the acting was atrocious, almost cringe-worthy. Certain characters felt forced and didn't need to be included in the film - especially, Maise Lockwood. There were several plot holes and moments that left me very confused - I left the theater with an empty, unfulfilled feeling. The ending was rage-inducing and it's certain that a third Jurassic World is on the horizon (much to my distaste). I feel that this franchise is being milked of every last penny.All 7 stars are given solely for the extraordinary action, something which no other Jurassic Park movie has done.","27 out of 41 found this helpful."
