"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions"
"7","/10","Movie within a movie, stuntman within a stuntman","https://www.imdb.com/review/rw9767271/?ref_=tt_urv","FeastMode","https://www.imdb.com/user/ur104603847/?ref_=tt_urv","2 May 2024","The Fall Guy is a movie about making a movie. Aaron Taylor-Johnson plays an action star who's stuntman is played by Ryan Gosling... who has a real stuntman doing his stunts. The Fall Guy is filled with this type of third-degree meta-ness. I found it amusing.The intro to the early screening called it a love letter to stuntmen. This is an accurate statement. Everyone who loves movies, action fans specifically, owe so much of their enjoyment to stuntmen. The movie showcases so many beautiful stunts. It truly is a celebration of that profession.This is also heavily a love story. I normally don't go for that, but this one hit me in all the right ways. I felt all of the emotions they wanted me to feel.I think most people will enjoy The Fall Guy. But the ones who will love it the most are people who are fascinated by the artistry of in-camera action, or fans of romantic comedies. Also, we need an Oscar for stunt work asap.(1 viewing, early screening EMX 5/1/2024)","95 out of 128 found this helpful."
"7","/10","A Movie That Appreciates Hollywood Oldies.","https://www.imdb.com/review/rw9677555/?ref_=tt_urv","eziukwuuprightness","https://www.imdb.com/user/ur158016051/?ref_=tt_urv","14 March 2024","In an era where blockbusters often demand homework, with their intricate universes and complex lore, ""Barbie"" emerges as a delightful outlier. Movies today, from the sprawling epics of ""Dune"" to the interconnected sagas of the MCU, seem to require a viewer's full dedication-and maybe even a notepad to keep up. This isn't to diminish their artistry, but it's clear that the pure joy of cinema, the sort of effortless fun Hollywood once peddled so well, has become a rare find. A film that welcomes you without prerequisites, ""The Fall Guy,"" seeks to reignite that spark of unadulterated entertainment. It aims to dazzle with the sheer magnetism of its leads, thrust into a whirlwind of romance and adventure, harking back to the days when stunts were real and filmmaking was a team sport, offering a joyride that's as heartwarming as it is thrilling.Hollywood's narrative-rich turn hasn't dulled the magic of star power, a fact ""The Fall Guy"" embraces wholeheartedly, reminiscent of a time when the charm of icons like Burt Reynolds was all the spectacle one needed. Ryan Gosling proves his mettle as a jack-of-all-trades, winning hearts even in the most casual settings, his performance in this film further cementing his versatile appeal.""The Fall Guy"" also champions the unsung heroes of cinema: the stunt performers. Through breathtaking feats and daredevil escapades, it pays homage to the risk-takers who've silently shaped cinematic history, although it's not without its critiques, especially in how it sidelines some of its stellar cast in the latter half.Yet, beyond the adrenaline, there's a poignant commentary on the digital age's challenges to authenticity, making ""The Fall Guy"" a vibrant counterpoint to the prevailing trends of faceless, CGI-dominated blockbusters. It's a film that doesn't just want to entertain; it wants to remind us of the value of genuine connection, both on the screen and in the stunts that make us hold our breath. In doing so, it doesn't just invite audiences to have fun; it demands it, championing the kind of cinema that's been overshadowed by the gravitas of today's tentpoles.","171 out of 248 found this helpful."
"6","/10","Thin plot strung over some excellent stunt work","https://www.imdb.com/review/rw9755111/?ref_=tt_urv","timothywalton-31924","https://www.imdb.com/user/ur153983000/?ref_=tt_urv","25 April 2024","The Fall Guy acts best as a glorious ode to the art of stunt work. Perhaps never before have a film been focused so much on the unseen heroes behind many great films - the stunt doubles delivering shockingly realistic portrayals of the action. And in that respect The Fall Guys succeeds- it's action sequences are delivered flawlessly, and are breathtaking to behold. They climax to a crescendo at the ending, where a several vehicles crash, flip and explode, all in sync with action involving a helicopter in the sky with our main character. Praise should also be given to the films two charismatic leads. Emily Blunt and Ryan Gosling share palpable chemistry and are simply endearing to behold. They are affable, amiable, and funny. But ultimately my problem with this film is that it is unevenly paced, lacks enough humour, and has too thin a plot to retain an audiences full attention. The films firstly takes too long to get its plot started, resulting in a laborious introduction, a sped through mid section, and a bombastic but slightly rushed ending. The film also does not exert its full potential of comedy. The film does not make use of action comedy(as best exemplified by the Jackie Chan films) or a particularly witty script. Indeed the script is rather dull, sometimes trite, and altogether not very sharp or exciting. Then there is the films plot. I can comment not much other than that it is the recyclable convoluted B-grade plots which are common in movies. It is predictable, ludicrous, and quite inexcusable. So at the end of the day, The Fall Guys is a good comedy that acts as a wonderful tribute to the art of stunt work, bolstered by strong, effervescent performances between its two leads. But for movie watchers who do not care much for the films impressive stunts, The Fall Guys will prove to be a rather empty watch. Serviceable, but unexceptional.","134 out of 201 found this helpful."
"6","/10","Not as great as one expects, but quite entertaining","https://www.imdb.com/review/rw9789833/?ref_=tt_urv","giorgioglobe","https://www.imdb.com/user/ur47233248/?ref_=tt_urv","14 May 2024","Well, what can I say?! It's entertaining, but surely not as much as I expected. Ryan and Emily are excellent, what really can't be said about any among the rest of the cast. There is a bit of action, but surely not as much as one expects according to the title and the fact of the movie being based on the old series of the same name. There is also some comical romance, but nothing really too convincing. The last 15 minutes plus the credits showing the ""making of"" scenes to one side of the screen, are the most enjoyable, especially as there are some (somewhat expected) cameos for movie lovers. 6/10 points.","42 out of 61 found this helpful."
"6","/10","Chaotic and messy","https://www.imdb.com/review/rw9760149/?ref_=tt_urv","lunamercury23","https://www.imdb.com/user/ur162992221/?ref_=tt_urv","28 April 2024","The whole movie is like a lot is going on yet it's all very flat. Some scenes are just too cheesy. The pacing was somewhat weird but i guess it is very likely to happen when you try to blend chunks of romcom, action, and crime scenes altogether into a 2-hour movie.Was kinda surprised by Aaron Taylor-Johnson though. Have always thought of him as a great actor but never realized he can be good at playing a silly cartoonish and very stereotypical character also. He was hilarious! !Overall it's not to my personal taste at all but this is an okay movie. If you're looking for a no-brainer fun movie you can go for it but don't expect too much.","129 out of 213 found this helpful."
"9","/10","More of these movies please","https://www.imdb.com/review/rw9769306/?ref_=tt_urv","kobrasec","https://www.imdb.com/user/ur28087363/?ref_=tt_urv","3 May 2024","Just back from the cinema and can't remove the smile from my face. This genre of movie has been really lacking lately. Silly, cheesy, action packed movies that are just fun.I'm a fan of the original television show and while this is it's own thing it definitely gives a nod here and there to the 80's. The casting is great, the stunts are brilliant, the plot is fairly thin but hey, it's a popcorn movie. Not everything has to be Oscar worthy.I'd really love to see more movies like this released. Very little CGI, good stunts and just fun. The homage to the stuntmen at the end of the movie was a really nice touch too. Job well done.","257 out of 332 found this helpful."
"","","4/10 Frustratingly Underdeveloped","https://www.imdb.com/review/rw9772250/?ref_=tt_urv","wheeelertron","https://www.imdb.com/user/ur51764184/?ref_=tt_urv","4 May 2024","I'd love to get behind this as a thrilling stunt showcase and worthy campaign for stunt-performance film-awards recognition, all tied together with a witty and self-aware central rom-com performance from two top quality actors with top on-screen chemistry, I did love the trailer, I did find the concept appealing. However for a project like this to work satisfactorily, regardless of the talent involved, it must be written well, it must be directed well. This is written badly and it doesn't hold together, and the direction is poor, it's a stupid story that doesn't work.That accepted I enjoyed many elements, the stunts, some of the jokes, the sometimes ridiculous neon hair-shimmering slow-motion cinematography, the ultimate man-cave sequence, Ryan's jackets, Emily's catsuit-belt-combo (with invisible holster), the on-set movie-making exposition-demonstration-magic similar to HBO's Irma Vep...the behind-the-scenes stunt-reel over the end credits...until that last bit.Look, I'm glad everyone is enjoying themselves, I just think it is also possible to make a good story out of a fun concept, so we can all enjoy it, and somehow that's not what happened here.","94 out of 163 found this helpful."
"7","/10","Stuntmen injured so that Tom Cruise could shine","https://www.imdb.com/review/rw9744291/?ref_=tt_urv","iamianiman","https://www.imdb.com/user/ur58447224/?ref_=tt_urv","19 April 2024","The Fall Guy acts as a homage to all the stuntmen and stuntwomen out there. This is a love letter to the stunt team, a film dedicated to showing the grittiness and the roughness of the industry and how the movie industry will fall apart without them. Not only that, this is also a film for anyone who loves films or filmmaking in general.Just like how Barbie was meta for the toy industry, The Fall Guy is meta for the filmmaking industry. Plenty of subtle and hidden messages that were incorporated in the script. Ex: There was one scene that spontaneously mentioned on how the stunt team didn't get any recognition at the Oscars. There was even distinct mentions or references of Taylor Swift, Dune, Kill Bill and Miami Vice amongst many others. Plenty were about the movie industry that if you spotted those things, you would truly have a good time in the cinemas.Marketed as an action rom-com, this film didn't fill its promise with the comedy. It's an element that's just lacking from beginning 'til the end. Of course, it wasn't empty, it had its moments but for a comedy film, it didn't achieve the bar it was supposed to. You might be smiling or left out a few chuckles, but they weren't anything that were just worth bursting out loud. Again, comedy is extremely subjective.The Fall Guy did very well the first 30 minutes of the film. Everything you wanted it to be was conveyed really well. David Leitch opened the film about a film who's working for that film. It fully maximizes everything exciting regarding this subject. The main focus was about filmmaking and the stunt community. It shed light on these unsung heroes, showcasing their dedication and talent in bringing action-packed scenes to life. And damn, it is very good and entertaining.When the second act came in, we started to lose a bit of interest in this movie. Mainly due to its shift of focus that it somehow turned into a murder mystery genre. First act was very good that it talked a lot on filmmaking, and almost every scene was located in a production set. The dialogues were also heavy on that. But the middle part focused more on the murder mystery and romance. While they still included a lot of the meta elements here but they turned its way into a more generic film when it could have been so much more.Even most of the dialogues during the romance scenes were just not as good as the rest of the script. They just didn't maximize the stuff they were talking about. Some dialogues felt meaningless. Some were just flat out boring. Some have meanings but if only they could polish them, this movie would have been so much better.Luckily, Ryan Gosling and Emily Blunt sparked a good chemistry on set. Even with a moment of no dialogues, just when they're looking at each other, you'll know well enough their chemistry is just electrifyingly good. There were moments they weren't physically together, but the film showed them on a split screen and etc. But the palpable connection between them remained strong.The movie redeems itself at the third act. It's a very epic ending and you rarely see this kind of ending in an action rom-com movie. The action and the scope were big and the messages were all very on-point with the whole theme of the film. It's bombastic but it's lovely at the same time. It's less on fighting or punching, but more on the performing of stunts. 2-3 scenes felt and looked like they came straight out from old classic films. There's just a certain way that the ending was shot that it gave a homage to old action movies. It's indeed a sight to behold.Verdict: A love letter to the unsung heroes, The Fall Guy pays homage to the stunt community, exploring their hardships behind the scenes through the lens of both a director and a stuntman. While it falls short on delivering promised comedy, its first act shines with interesting filmmaking commentary. Despite a weak second act, strong chemistry between Ryan Gosling and Emily Blunt along with an epic finale elevate the film, delivering a visually stunning tribute to classic cinema.P. S: There's a mid-credit scene! Stay tuned!","93 out of 163 found this helpful."
"8","/10","An ideal start to the 2024 summer movie season","https://www.imdb.com/review/rw9770765/?ref_=tt_urv","masonsaul","https://www.imdb.com/user/ur94560739/?ref_=tt_urv","3 May 2024","Whatever problems The Fall Guy has really aren't an issue when the final product is this much fun. It's a loving tribute to the never ending selflessness of stunt people wrapped inside of an endearing romantic comedy and meta action film. If David Leitch and 87 North did all the action in cinema the world would be a better place.Ryan Gosling achieves new levels of perfection by merging the reserved stunt man character of Drive with his natural Kenergy. His version of Colt is just so lovable, especially because he's completely unafraid to be open in his vulnerability which makes him more relatable whilst being really funny. His comedic timing continues to be faultless, proving he can make any joke land.Emily Blunt thankfully also gets a lot to do. Any scene she shares with Gosling is effortlessly charming and she has her own brand of bona-fide movie star charisma. Winston Duke is a great movie referencing support to Gosling, Aaron Taylor-Johnson does a hilarious McConaughey impression and Hannah Waddingham's cartoonishly over the top producer really works.David Leitch's direction plays squarely to his strengths and after the disappointment of The Gray Man, it's extra satisfying to see Gosling be given some actually good fight scenes. Stunt designer Chris O'Hara and the whole stunt team really accomplished some breathtaking feats that are only made more impressive by seeing how they shot them during the credits.","148 out of 214 found this helpful."
"6","/10","The Fall Flat Guy","https://www.imdb.com/review/rw9831233/?ref_=tt_urv","comps-784-38265","https://www.imdb.com/user/ur46420090/?ref_=tt_urv","7 June 2024","Blunt and Gosling do drag this film up, but even with their presence and acting, they are unable to disguise the plot is weak.It's glossed over that he gets injured and then, some how, ends their relationship for some reason, but 18 months later instead of a camera operator, Blunt is now the director.It's these jumps, and leaps, to other scenes that just don't mesh with the audience. And they continue on, the 'stars' producer wanted Gosling in the film . (Why?)The 'star' dissappears' on a drug related issue.All vague and jumping about as a plot, mixed in with lots of good action scenes (stunts for the film in the story) that don't have much to do with anything.Dissappointing 6/10.","5 out of 6 found this helpful."
"10","/10","Pure entertainment","https://www.imdb.com/review/rw9772641/?ref_=tt_urv","chappy-69103","https://www.imdb.com/user/ur163904208/?ref_=tt_urv","4 May 2024","While watching this movie, I found myself smiling nearly the entire time. If you are looking for pure, unfettered fun (in the form of romcom action of course), then this is the movie for you. The plot was fun, the acting was solid, the situations that the characters found themselves in were hysterical, the action was on point, the cinematography was nice, and the romance was entertaining. Upon leaving the theater, I couldn't think of any complaints. Again, I was just smiling. Sure, there may be some ambiguities about the context and background of the antagonist's intentions, but I was too involved in the fun to care. 10/10 film.","159 out of 232 found this helpful."
