"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"6","/10","It's a 6,5 and that's probably too much. Main problem: The PLOT.","https://www.imdb.com/review/rw6875848/?ref_=tt_urv","ThomDerd","https://www.imdb.com/user/ur73053202/?ref_=tt_urv","3 May 2021","Marvel has spoiled us fans in the past. But this series is just not as good. Its not because of politics or of political correctness or of racial mentions; its because of the PLOT.Which kinda sucks. Inconsistent and at many times just pointless, the plot seems uninspired and forced, in order to make this series' story move forward.Here's a few: What exactly was Carly's main motivation? What makes the GRC so bad for Carly? Why don't they work more on the idea of the shield as a mantle? That could have been a great opportunity here.Why get into the power broker story arc in the first place and not further develop it?And why spend so much time in the political issues? Is that because the script is just non-existant? Maybe...
The dialogue at times is also incredibly stupid...which makes me wonder about the way marvel/disney approach their audience nowadays.Wandavision was not perfect but it was smart and well made with good dialogue and world building. But this one is more closer to a messy, character-lacking and backstory-missing series.Now why 6,5? 1-The action sequences are good and the start is impressive. Also there is a few more action sequences further on which are worth it. 2-Stan and Mackie are good action actors and look alright on screen, so its fun watching them and their chemistry is ok. 3-because i m a fan like most people here and i still like watching these stories and I appreciate the effort needed to get these done.I would just like this one to be better...
6,5/10 for the action.","553 out of 662 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9208876/rw6875848/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Half way through and it's...NAWT GOOD. Sorry Marvel, you need to try more!","https://www.imdb.com/review/rw6746743/?ref_=tt_urv","ThomDerd","https://www.imdb.com/user/ur73053202/?ref_=tt_urv","26 March 2021","Oh Marvel you spoiled us in the past, but this series is just NAWT GOOD. Still a few episodes to go, but it does not look promising.I hope they 'll improve it. I guess this is just a sneak peak of what marvel has planned for the future and i do hope it gets much better than this series.So I am willing to overlook the somewhat incredibly stupid dialogue moments and just go with it.I give it a 6 because it's bringing back the action and the avengers/captain america films mood. The action sequences are visually stunning, well made and will keep you invested. 6/10.","216 out of 290 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9208876/rw6746743/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","Looks like Falcon needs a GoFundMe","https://www.imdb.com/review/rw6744378/?ref_=tt_urv","butcherbob","https://www.imdb.com/user/ur115607122/?ref_=tt_urv","26 March 2021","So this guy is one of the heroes who saved not just the world but the entire universe...but he doesn't get paid enough to get a bank loan. I know superhero movies are unrealistic but this is just taking the piss and mocking the struggles that real people have.","1,123 out of 1,565 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9208876/rw6744378/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Fire the writers. Nevermind it's too late, they've ruined it","https://www.imdb.com/review/rw6830529/?ref_=tt_urv","jeffgmck-24766","https://www.imdb.com/user/ur70439414/?ref_=tt_urv","19 April 2021","Just meh. Action scenes are good. Writing... Not so good.","338 out of 519 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9208876/rw6830529/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Pretty Good","https://www.imdb.com/review/rw9485220/?ref_=tt_urv","Supermanfan-13","https://www.imdb.com/user/ur6387867/?ref_=tt_urv","10 December 2023","The Falcon and The Winter Soldier is everything I thought it would be and more! We learn more about these two characters in the first episode than all the movies they're in combined! Anthony Mackie (The Falcon) and Sebastian Stan (The Winter Soldier) are both phenomenal here! If you didn't like this it's because you didn't want to because it's exactly what's been advertised in the trailers. It feels more like a movie than a tv show as it has the same look and feel of Captain America: The Winter Soldier. I've enjoyed all the Marvel shows, some more than others, and this is definitely one of the better ones. I hope they make another season because this one was pretty good.","69 out of 76 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9208876/rw9485220/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Leave the politics for the news...","https://www.imdb.com/review/rw7012102/?ref_=tt_urv","bertaveira","https://www.imdb.com/user/ur48527871/?ref_=tt_urv","8 June 2021","So much potential. The visual effects are stunning, the chemistry between Bucky and Falcon is pretty nice to see and the fight scenes are on point.I really like to see more of Bucky and his internal struggles. He is such a badass and interesting character. Also the fight scenes from Bucky are so good that I had to watch them on repeat later on youtube.Now what ruins the show is the constant intention to smack us in the face with politics. I agree and support the movements but I prefer not to be constantly reminded of all that. I don't need all the TV to be a politically correct advertisement and statement from Disney. I am ok for some subliminar messages but every episode talking about it and centring everything around that is just annoying and takes away from the story. Also the constant dialog about the Black Lives mater movement seemed so cringe. The actors themselves seem to think it to be unnatural and strange. You could literally hear in their voice how unnatural it was for them to say the lines.For me it ruined the TV show.","75 out of 107 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9208876/rw7012102/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Entertaining","https://www.imdb.com/review/rw9442596/?ref_=tt_urv","Rob1331","https://www.imdb.com/user/ur115536310/?ref_=tt_urv","19 November 2023","The Falcon and the Winter Soldier is a must watch for any marvel fan and a great addition to the MCU! While it's not quite as good as Loki or WandaVision it's still a really good show! It's an action packed thriller from start to finish. This show will grab you and pull you into their world from the very first episode. You'll have so much fun watching this show that before you know it you'll have binged the entire season. Every episode is incredibly written. It had such high expectations and not only met those expectations but surpassed them. There's really nothing else I can say about this show that hasn't already been said.","62 out of 70 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9208876/rw9442596/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","WAY too political","https://www.imdb.com/review/rw6841109/?ref_=tt_urv","LoveofLegacy","https://www.imdb.com/user/ur56948422/?ref_=tt_urv","23 April 2021","I don't even disagree with their politics but it's way too much. It detracts from the storytelling and completely pulls me out of the moment. They should've found a more healthy balance.","466 out of 757 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9208876/rw6841109/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","One episode gave Sam and Bucky more development in 45 mins than in 6 movies","https://www.imdb.com/review/rw6727130/?ref_=tt_urv","wiltonharry","https://www.imdb.com/user/ur130653374/?ref_=tt_urv","21 March 2021","As of writing this there has only been 1 episode released, but I feel confident in saying that this show could very well be one of the best MCU projects ever!The sheer fact that this one episode has made Sam and Bucky both feel like less of the sidekick character or the cool action character. We see a sophisticated story line with Bucky coming to terms with his past and Sams family.I thought this show would be carried by its action but if the other 5 eps are anything like this, it will be completely character driven and purely amazing.This will definitely be better than WandaVision...","256 out of 442 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9208876/rw6727130/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","I don't get the negative reviews","https://www.imdb.com/review/rw6795862/?ref_=tt_urv","samantha-domenick","https://www.imdb.com/user/ur34981400/?ref_=tt_urv","9 April 2021","This is right on par with Marvel. You need to look at this like an extended movie. As the episodes go on it gets better and better. I'm so impressed with the acting here! Wyatt Russell has been fantastic in his role, especially in this latest episode! Daniel Bruhl also has been awesome! I like that we see more drama and sorrow with Sam Wilson and Anthony Mackie has done awesome at exploring that. Sebastian Stan once again shows how great he is at expressing without words. The first scene in this newest episode was both heartbreaking and beautiful and I too my hat to him.I'm looking forward to the rest of the season and I am just confused by the reaction on here. The first episode was slow, but it has picked up rather quickly. And you cannot compare to Wandavision! It's a totally different type of show.","241 out of 425 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9208876/rw6795862/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
