"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"7","/10","I didn't know people hated this movie","https://www.imdb.com/review/rw6141220/?ref_=tt_urv","gtenalokes","https://www.imdb.com/user/ur67325954/?ref_=tt_urv","2 October 2020","It has it's issues (show me a movie that doesn't) but it's overall very much watchable and enjoyable","81 out of 100 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw6141220/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","The sequel of Transformers is improved in direction, cinematography, effects, action, plot, duration, transformers, but is worse in seriousness compared to the 1st one.","https://www.imdb.com/review/rw6697108/?ref_=tt_urv","Mivas_Greece","https://www.imdb.com/user/ur126240095/?ref_=tt_urv","15 March 2021","Fantasy/action movie. The sequel to Bay's great franchise, Transformers. The 2nd film further enhances the action, the effects, but also the overall budget, since we are transported to the desert and foreign countries. Also, Steve Jablonsky's excellent selection in the music of the film and in the songs the top New Divide from Linkin Park continues. The second film is longer in plot and duration than the first, but Bay's lack of seriousness is also unfortunately reinforced in this film. He also makes reference to another of his great film, Bad Boys 2, through a large poster in the film, while in the first he mentioned the Armageddon. The threat of bigger, and more dangerous transformers, and generally all the elements are improved in this film, only overall it is less serious than the first, especially in dialogues and some characters. Better in action, effects, directing, but inferior in dialogues, so it remains at the levels of the first, perhaps a little below, but for different reasons.","45 out of 60 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw6697108/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Amps up the action at the cost of almost everything else.","https://www.imdb.com/review/rw6007550/?ref_=tt_urv","maxglen","https://www.imdb.com/user/ur63442719/?ref_=tt_urv","18 August 2020","I'll start by saying this film has FANTASTIC action sequences, better than the first even. Problem is, everything that made the first film so decent is basically gone here. The story is extremely formulaic and not really gripping in any way. Useless scenes and subplots are sprinkled throughout, especially during the college portions of the film. Shia does a good job as Sam once again but the rest of the original cast are either sidelined or written so badly you don't really care about them anymore. Megan Fox is especially exploited in this film, similar to the first Transformers but much more sleazily. Speaking of sleaze, the edgy humour of the first has carried over but where in that film it was fun, it has been toned up to borderline vulgarity. This film also adds quite a few new characters, some are cool, most are annoying and a handful are blatantly offensive. I'd give this film a 4 but the action really is worth a couple points. It's more of the first film but better, it's just a shame it's in a less consistent package than the first movie. Strong 5 to a light 6 from me.","22 out of 28 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw6007550/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","An alright sequel..","https://www.imdb.com/review/rw6691649/?ref_=tt_urv","JWick23","https://www.imdb.com/user/ur100048372/?ref_=tt_urv","14 March 2021","Micheal Bay said aight what does the audience need more of. And the audience's wishes were certainly fulfilled in this sequel.An ok story had lazy writing and a bad atmosphere. The humor is getting a bit overused and felt stale and more immature. Half the college footage was unecessary and the flim could have been a bit shorter. The characters and their development fell of by a mile in this sequel and the new characters were annoying, such as that roommate and the autobot twins. And the romance between Sam and Mikaela was a bit too cheesy and had no depth whatsoever. The visuals and the music were amazing as usual.Overall a semi-enjoyable film.Memorable: No Rewatchable: No","16 out of 21 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw6691649/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","A good sequel","https://www.imdb.com/review/rw6805384/?ref_=tt_urv","adamjohns-42575","https://www.imdb.com/user/ur116970440/?ref_=tt_urv","11 April 2021","I personally think that this one is slightly better than the first, because it doesn't have to establish all of the characters. Having said that, the story is a bit lacking and I really had to pay attention to try to understand what was going on at times. There could have been a bit more of the every day Sam to counteract the more apocalyptic elements and give a bit of balance. It all happens very fast.I also think that there was too much ""Comic Relief"". We already had The Witwicky's and Simmons and to some degree Sam himself, the addition of The Twins, Jetfire and Leo was fine, but they didn't need to be so comedic too.At times it is difficult during battle scenes to see who is who and which ones are winning.It is a good film though and an enjoyable watch for anyone who likes cars and things being blown up.","23 out of 31 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw6805384/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"1","/10","Very sad, very bad","https://www.imdb.com/review/rw2089673/?ref_=tt_urv","lolavideola","https://www.imdb.com/user/ur2419695/?ref_=tt_urv","2 July 2009","Most people before me have said this already. This movie stinks. When I heard that Michael Bay was at the helm of the first Transformers movie, I was very worried but then by some fluke of nature he actually managed to pull off a watchable movie, perhaps because he was kept on a tight leash by the studio.This debacle of a sequel is another story. Bay must have been given full power over this one due to the success of the first. Big mistake. This guy can’t make a decent, realistic and entertaining movie. He makes action/soft porn trash. A good script, story or dialog are just inconvenient afterthoughts for him and it shows. He probably thinks he can distract the audience away from these gaping holes by adding a lot of nonsensical action and unfunny humour.Sorry Mr. Bay you can’t fool people all the time and the people who grew up with the transformers are absolutely hating this movie. I heard that you didn’t want to make the first movie because you didn’t even like the transformers but you became very keen for the sequel after the first movie made so much money for you. Here’s a tip: lay off the third and let a real director and a real team make that one for us because you have just totally trampled on the transformers legacy.","519 out of 1,052 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw2089673/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","vfx treat","https://www.imdb.com/review/rw3033002/?ref_=tt_urv","Bigdreamsjay","https://www.imdb.com/user/ur53348282/?ref_=tt_urv","13 June 2014","transformers main lead is optimus prime and other autobots or whatever robots are there.Fans here to see robot action,epic visual,blast,loud sound effect,visual effects and all in all Micheal bay style.This film bring all together.Micheal bay is underrated by critics, i don't understand critics at all when i saw reviews of other Oscar nominated movies u will see some say entertaining,masterpiece bla bla bla its all lies last time i saw a Oscar nominated film after see their review i wasted my money and time they are zero entertainment even worst so please see it and judge it your self.After see all the negative reviews this film is blockbuster worldwide still we wanna see transformer 3 and now transformer 4 it already create hype when it first announced, so lets just agree we love transformer and Micheal bay films please don't follow critics its worth watching 2 hours 30 min just passed by just like that this is called entertainment 10/10","48 out of 58 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw3033002/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Decent way to pass the time","https://www.imdb.com/review/rw5979016/?ref_=tt_urv","briancham1994","https://www.imdb.com/user/ur5788055/?ref_=tt_urv","9 August 2020","Yes, this film is incredibly stupid and loud, but that's what you are getting yourself into. It's a purely entertaining popcorn blockbuster with exciting action and not much of a plot. For sure, the jokes are dumb and not much makes sense, but if you just want to pass the time, this film is a good way to do it.","23 out of 31 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw5979016/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"1","/10","one of the worst","https://www.imdb.com/review/rw2087334/?ref_=tt_urv","jozerd","https://www.imdb.com/user/ur15005383/?ref_=tt_urv","27 June 2009","No more Michael Bay, no more Shia Labeouef, maybe no more Megan Fox. When you attach your name to a project like this, hopefully fans will not give future projects done by these people record breaking box office feats. I'm embarrassed that I supported the cause.One of the poorest acting, directional, and written efforts I have seen in a long time in modern cinema. The scoop: This movie is good for a couple of scenes where the audience might be like 'cool!' due to CGI effects. There is a couple of cheap laughs from some other scenes. If that entertains you, great, there are lots of action movies out there for you. However, if you're reading a review on IMDb, you've likely separated well done movies from poorly done movies, and at least seen a couple in the top 250. To the reader, don't see this.I left the movies mad. I wonder what other directors think when they see a screening of this film. The story is near non-existent, there are so many plot holes, or unexplained courses of action this movie takes... it really is unbelievable that the script was given an okay by any film studio. Here's the thing : the target audience is obviously young kids or early teens. I think back to when I was 11 or 12 and I saw Men in Black in the theatres. I was entertained then, it's at least plausible that 12 year olds could be somewhat entertained by this now. However, I am still entertained by 'younger'generation stuff like spongebob, south park, and even beast wars. This didn't do it for me at all. Similarly to how family guy uses the strategy 'hey people love our interchangeable jokes in early episodes, let's overload our new episodes with the same jokes'.... Michael Bay employs 'hey people love the cgi and megan fox in the first one... let's overload the film with sex overtones, explosions, and fight scenes'... and then at the last minute tried to fit a story around it.This is the kind of film that makes a person angry that they aren't in Hollywood directing films, because most could do better than this.","304 out of 616 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw2087334/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","i love this!!!","https://www.imdb.com/review/rw3622686/?ref_=tt_urv","lylejr","https://www.imdb.com/user/ur71571606/?ref_=tt_urv","19 January 2017","i love transformers lol i would never give any transformer movie a bad rating XD i also cant wait for transformers five the last knight i think i was 5 or 6 when this came out in theaters and the 1st movie when i was like 3 or 4 years old gosh i don't know why this movie is the 2nd most downrated of all 4 of them, following age of extinction i love that movie, i love all 4 movies, this movie has mixture of humor swearing fighting and explosions and stuff but i don't care about explosions i love michael bay. this should be at least a 7 rating or probably even more higher, i love this movie to the fullest but i don't really know if it wouild be legal to give this movie a all the way up to 10 rating","30 out of 36 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw3622686/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"2","/10","Cinema in full perversion","https://www.imdb.com/review/rw2084379/?ref_=tt_urv","trento-2","https://www.imdb.com/user/ur20127171/?ref_=tt_urv","21 June 2009","Make no mistake, a great number of people will be entertained by this flick and it offers, well, to say the least, a few aircraft carriers full of special effects for your money. Sadly, that's about everything good there is to say about ""Transformers: Revenge of the Fallen"". Not only was the huge number of negative reviews for this film justified, but the second cinematic installment in the ""Transformers"" series is really paradigmatic of everything movies should not be.It all starts with the sub-par acting of Shia LeBeouf, which, by now at least, no longer comes as a surprise. Megan Fox, who plays the admittedly hot Mikaela Banes, doesn't really help either, as her role seems to be limited to bumping into stuff, falling and subsequently finding herself in ready-made bikini model poses, cleavage wide open. The story, if that is what we can call what little is left when we subtract 140 minutes of explosions from the film, is so blatantly drenched in in-ya-face product placement that even the most bullshit-resistant viewers will find it hard to look away.Now you might say: ""Fair enough, but wasn't the first 'Transformers' just the same?"". Well, here's where the real problems of ""Revenge of the Fallen"" start. While the original ""Transformers"" had some genuinely original, funny and gripping moments, ""Revenge of the Fallen"" largely lacks these elements. Most of the transforming and warping sidekicks are simply robotic versions of stale clichés, the humor has taken a turn for the worse and hardly any suspense builds up at all. It is this general lack of originality that makes for the new ""Transformers"" film to be so much less than good and entertaining popcorn cinema.150 minutes of random stuff blowing up without any real substance to the plot, cliché upon cliché, bad actor upon bad actor, and every so often a pseudo-moralistic lecture given to the audience by some over-sized pile of talking CGI-rubble - I can do without that kind of wisdom! Even just thinking about how many more people are going to watch this movie rather than one of this summer's real cinematic gems, such as Charlie Kaufman's ""Synechdoche, New York"", makes me a little sick!","255 out of 517 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw2084379/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","What I expected","https://www.imdb.com/review/rw2133803/?ref_=tt_urv","lukalele","https://www.imdb.com/user/ur14862057/?ref_=tt_urv","29 September 2009","I'm amazed at some of the reviews on here. Seriously, what did people expect outta this film? Shakespeare? The English Patient? You go to see this for the ridiculous action, awesome special effects and just to have a good time, which is what I had. Yeah, it did seem to overindulge slightly and was slow in parts. Yeah, the humour's cheesy, sometimes painfully so. No surprise there though, let's remember we're watching a film based on kids' toys, not a Bronte novel. It ain't perfect, but if you expected it to be, I'm glad you're feeling let down. For me, it didn't try to be anything it shouldn't have and what it needed to do right, it did.Mindless, thoroughly enjoyable fun, just like the first one.","184 out of 302 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw2133803/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","Transformers","https://www.imdb.com/review/rw5528208/?ref_=tt_urv","0U","https://www.imdb.com/user/ur87850731/?ref_=tt_urv","5 March 2020","This second installment of the Transformers series wasn't as fantastic as the first one but it was still pretty good. Shia LaBeouf, Megan Fox, and the rest of the cast did a great job in this movie. The plot to the movie was pretty good and the action scenes were pretty cool. A lot of people didn't like this movie, but I did and I would recommend it.","24 out of 39 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw5528208/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"1","/10","Just awful","https://www.imdb.com/review/rw2110851/?ref_=tt_urv","f_mckissack","https://www.imdb.com/user/ur10111559/?ref_=tt_urv","13 August 2009","This film has more of everything from the first movie, such as: insulting racial stereotypes, pointless throw-away dialogue and incomprehensible action sequences.If you handcuffed eight maladjusted monkeys to type writers you would probably get a better script. And as for the ""action,"" go to your nearest toy store, get the latest line of Transformers action figures, cram them into a blender and switch it on. That's what you'll get in a nutshell. Oh, and people running from explosions in slow motion. John Woo's action films seem to be in fast forward compared to this. Just because it is in slow mo it doesn't make it cool... unless you're Zack Snyder.It is hard to imagine anyone enjoying this film on any level, even the recently lobotomised. From the previews and hype, Michael Bay appears to be trusting the success of this film on the marketable qualities of Megan Fox's heaving bosom. Yes, gratuitous close ups of her chest abound.Michael Bay is a contemptible hack. He has single handedly set science fiction back a few years, undoing the good work done by the recent masterful science fiction films, up to and including Alien. Do the world a favour and stop watching this tripe so that we can put an end to Michael Bay's reign of crap!","99 out of 194 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw2110851/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Not bad...","https://www.imdb.com/review/rw5963338/?ref_=tt_urv","Thanos_Alfie","https://www.imdb.com/user/ur33907744/?ref_=tt_urv","3 August 2020","""Transformers: Revenge of the Fallen"" is an Action - Sci-Fi movie and the sequel of ""Transformers"", in which we watch Sam leaving Autobots and his previous life behind him in order to be another ordinary teenager. Soon he will realize that something strange is happening since his mind is full of cryptic symbols and the Decepticons are after him.I liked this movie because it had an interesting plot and it was a good continuation of the first movie of Transformers but it was not as good as the first one. The direction which was made for one more time by Michael Bay was good and he had mostly the same style as in the first movie. Finally, I have to say that ""Transformers: Revenge of the Fallen"" is not a bad sequel but it could be better with some changes and some additional information that could make it more interesting.","14 out of 18 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw5963338/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"1","/10","Drivel. It's shameful that this will be remembered in the Transformers legacy","https://www.imdb.com/review/rw2093791/?ref_=tt_urv","matchitehew","https://www.imdb.com/user/ur1834114/?ref_=tt_urv","10 July 2009","Well, I enjoyed it as it happened, but after some reflection...I've come to the understanding that this film is very, VERY messy.A lot of people defending this film are saying the action scenes are spectacular. Sure, they're spectacular...if you like trying to figure out just who's who and what's going on. Most of the time the characters are so obscured by objects/smoke that you can't see the ""action"" that everyone's raving about. When they're not behind something, the camera's changing every five seconds that you can't focus on the mess before you. The only cool part about these action scenes is the intense way some of the Transformers are disfigured.The over-all plot, story, and script of this thing comes together in the most ugly way possible. Most people are complaining about it being too all over the place, or that there wasn't one at all. Unfortuneatly, it's hard not to agree on both fronts. There was no flow, no suspense, no build up, no up, no down, just one flat line of point a to point b to point c. The intense battles would have been made more intense had they been preceded by some sort of build up, but they just kind of...happened. The plot in and of itself has the makings of something epic. MULTI-FILM EPIC. The script used to flesh out this story was mediocre AT BEST. It could have been so much more than what it was, it could have spaced apart plot points by delving into the characters (specifically: the transformers). Instead, the film was littered with unnecessary, and often crude jokes.Heck, this overly cartoony humor was barely present in the first film. Now it's been ramped up to over 9000, and it severely offsets any emotional impact the film might have had. Most of it would have been better suited to something like Aqua Teen Hunger Force, at least there crude humor comes off clever. It's really sad we had to put up with all of that instead of enjoying some actual quality time with our favorite machines.And, speaking of which, the lack of Transformer character development presents itself yet again. You would think after fans complained about the infrequent amount of Transformer screen time in the first, then things would have been different now. Nope. We still don't know what they're thinking, who they are as living beings, or really anything about them except that they shoot at the opposing force. And why would they just sit around in car mode when they were hidden? They came from a planet where they walked around freely, one would think they'd enjoy being able to just be themselves.The annoying liberties that were taken here in the name of artistic licensing are nauseating. I understand this is an ""adaptation"" and that things aren't going to be 100% to the source material. However, completely rewriting a character's personality is like killing off a loved one and replacing them with someone completely different. They also went waaaay to far with appearance, as well. Being a fan of a character from the series isn't' going to matter much here because there's a good chance they've been overhauled beyond recognition. Heck, the only one that barely made the transition from cartoon/comic to this blight of a film is Optimus Prime. No one else even remotely resembles their previous incarnations. From personality to appearance, this piece of work tramples all of the work of those before it...AND the fans they had sought to please.The film's treatment of characters like Sky/Jetfire is utterly appalling. It's proof that the people involved in this film don't actually give a crap about the characters in their movie. Then again, the lack of character development makes that just as obvious.The character design here is also noticeably different from the previous film. In the last film, all of the machines were quite bulky, a little more humanoid. The new ones here all seemed to be cartoony or very streamlined. The mini transformers all seemed to sport bug eyes, where as the ones last time around did not. Why would this new batch, decepticon and autobot alike, differ so much from the others? It's not like they were all brand new, they'd been around as long as the others. I dunno, different art direction from film to film grates on my nerves, especially when it comes to character design.And, for the love of sanity, WHY can't they treat women like people? If I wanted to gawk at girls who were just there because they're pretty I would look up questionable material online. I honestly feel sorry for her and any other actress who doesn't actually get a chance to show off any acting talent they might have. I don't have a problem with them showing a girl as being pretty in the film...but if that's all they concentrate on then they can just get right the heck out.The rest of the talent on hand might as well have been treated the same way. No one was really given an opportunity to actually do much acting, it was all jokes and running.The movie's fun, but if you have a brain you'd better shut it off or your going to find yourself wanting to bring some pain to the creators of this drivel. And for the love of pete, just because it's an ""action"" film doesn't mean the film can't have substance. It's possible to have a load of brain-flexing story AND explosions.","151 out of 305 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw2093791/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Could have been better, but could have been much worse!","https://www.imdb.com/review/rw2089265/?ref_=tt_urv","hugh_booth","https://www.imdb.com/user/ur14190226/?ref_=tt_urv","1 July 2009","For the most part, this film is the decent thrill ride that the movie going audience is looking for. As an action moving, it has scenes to astound and thrill any avid fan. As a science fiction movie it stands reasonably well. It doesn't over-explain things and doesn't throw in concepts as central plot points that are blatantly impossible (super novas that threaten entire galaxies, I'm talking about you Star Trek). The movie also does relatively well on a comedic note, and from a standpoint of general plot. Though others have complained about the central importance of Sam's role being unlikely and a retread of the first film, it follows through logically from where the first film left off.Though the film is a lot of fun, it does have its flaws. Unfortunately the humor descends to the low brow a little too often. Also the Autobot twins that Michael Bay apparently loved so much were frightfully annoying. They did also lean towards offensive cultural stereotypes a little heavily. It is unfortunate because a couple of their funnier lines could have been delivered just as well by completely different characters. In fact they might have been funnier coming from a more straight laced Autobot. The use of the twins in pure Jar Jar Binks fashion (though not quite as irritating) was unfortunate given how many underused robots there were. The comment about Sam's roommate's bravery could have been unexpectedly hilarious coming out of Arcee.Most of the other glitches in the film were relatively minor and not worth mentioning, though the writers could use a geography lesson. If you enjoy action films and don't need a deeper artistic message, Revenge of the Fallen is well worth the watch.","100 out of 161 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1055369/rw2089265/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
