"title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href","rating-other-user-rating","point-scale"
"Wakanda: It felt like forever!","https://www.imdb.com/review/rw8681201/?ref_=tt_urv","Kevin-42","https://www.imdb.com/user/ur0076091/?ref_=tt_urv","18 November 2022","Sorry, but this was boring. Mind-numbing boring. Sleep-inducing boring. ""Are we there,yet?""-boring.Dang, I liked Mr. Bozeman and they pay some propper respect to his character in the first couple of minutes and it really hits you in the feels but after that we are let known that Wakanda have mastered the technology of exposition dialogue. If that is their main achievement then I say we forget vibranium and let them slink back behind their stealth shield and call it a day.They could have done so much with this movie and show Africa as a vibrant place full of ideas and hope in the face of many problems. Maybe explore Ubuntu philosophy, or visual art. Unfortunately, Wakandan culture is reduced to a song&dance number for the day-trip tourists in cinema seats.This was a missed opportunity and almost a missed movie if not for a good double espresso I had before it.","761 out of 933 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9114286/rw8681201/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","",""
"Phase 4 MCU's average movie to end an average phase","https://www.imdb.com/review/rw8774552/?ref_=tt_urv","Benjamin-M-Weilert","https://www.imdb.com/user/ur100116496/?ref_=tt_urv","2 January 2023","As the last film in the fourth phase of the Marvel Cinematic Universe (MCU), Black Panther: Wakanda Forever (2022) proves that there was no plan for this phase other than to clean up the remains of the Infinity War saga. To its credit, though, Wakanda Forever was burdened with finding an in-universe replacement for the titular Black Panther after the untimely passing of Chadwick Boseman. However, considering how most of Phase 4 was passing the mantle from one hero to the next generation, it fits well within this theming.There's a line in Avengers: Endgame (2019) where Naka (Lupita Nyong'o) states that Wakanda is aware of an anomaly on the ocean floor near their country and that they were handling it. This throwaway line was likely played for laughs, but it's peculiar how Wakanda was woefully unprepared for the invasion of their land by underwater enemies, even though they clearly knew about it three years ago. Phase 4 of the MCU has highlighted how difficult it is to maintain continuity in a franchise as huge as it has become.Even though Marvel has introduced new characters in movies outside their own standalone works since the early Phases, I would have liked something more dedicated to introducing Ironheart (Dominique Thorne) considering how influential Iron Man was to the MCU. I also would have appreciated action sequences that weren't so dark or hard to follow, because I can't honestly recall any of them that happened in this movie. Overall, I felt the end of the MCU Phase 4 was average-which aligns with the MCU Phase 4 as a whole. Here's to hoping the next Phase actually goes somewhere.Phase 4 MCU's average movie to end an average phase, I give Black Panther: Wakanda Forever 3.0 stars out of 5.","196 out of 259 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9114286/rw8774552/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","6","/10"
"A Boring Waste Of Time As Its A Lousy Storyline That Had No Depth To It Whatsoever!","https://www.imdb.com/review/rw8743662/?ref_=tt_urv","silicontourist","https://www.imdb.com/user/ur84677252/?ref_=tt_urv","18 December 2022","The only reason this is scoring a five from me is because of the good CGI, magnificent costumes and wonderful scene shots. Sadly none of that could save this terrible story which the director made it look like he was clueless as what to do with it. Not his fault really as it was woefully lacking in worth, tension, excitement, interest or quality in any way. My personal thoughts as I sat watching it (fighting hard with myself not to just switch it off) was that if they had no creative outstanding story for a sequel then Hollywood should have stopped just trying to cash in on what they thought would be a successful film franchise; whereas instead they made one of the most disappointing rubbish sequels of a film.They spoilt the memory of a great Black Panther and this will most likely do so bad at the box office that there may not be a third film being made in the future. Its the typical cash in if you can, from people involved in the putting together of the fans heroes, from directors and studios who don't give a toss about the Marvel/DC heroes and heroines; they are there too see if they can amass better wages and high end film contracts.In straight forward simplistic words, ""This was a bloody disgrace and only did damage to a superhero that has never had enough exposure!","372 out of 526 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9114286/rw8743662/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","6","/10"
"A big challenge that Ryan Coogler overcame!","https://www.imdb.com/review/rw8664025/?ref_=tt_urv","Matt-Canalcon","https://www.imdb.com/user/ur15712795/?ref_=tt_urv","9 November 2022","I want to start by saying I haven't been the biggest fan of this Phase 4 by Marvel that started with Black Widow in 2020, it's been hit & miss for me so I was nervous for the sequel to Black Panther. I'm happy to report that Black Panther: Wakanda Forever is a success. I think Ryan Coogler and his team hit a home run with Wakanda Forever by paying tribute to Chadwick Boseman and moving the story forward respectfully.I won't go into spoilers, but the movie starts with an emotional bang. Wakanda Forever builds on the great fondation that was established in the first Black Panther, a visual feast with breathtaking production design, fantastic costumes and impressive action sequences. The music from Ludwig Goransson is once again phenomenal, he creates a signature to this film that gives us the iconic sound of Wakanda while incorporing new themes for this sequel.Similar to the first film with Wakanda, there's a lot of world-building with the newly introduced Namor and the underwater world. This allows director Ryan Coogler to let his vision shine on the screen, it's spectacular to look at and the way they filmed the underwater sequences was truly astonishing. Ironically, most of superhero movies depend on their villains in order to succeed, they nailed it with Killmonger and what they did here is just as good, if not better.I don't think it's a perfect film, with a hefty runtime of 161 minutes, there are some moments that were dragging in the middle for me, but I think it was necessary for this film to be a bit longer than usual. Every character has their shining moments, Shuri is at the heart of this movie but Nakia, Okoye, M'Baku and Queen Ramonda all get their shining moments and a solid story arc that is rewarding by the end, so I don't really have an issue with the movie being this long.I have some other nitpicks that are spoiler-y, so I cannot really discuss them at the time. Everyone's motivation is clear and the main story is so engaging that I didn't really care for Marvel doing their usual ""laying the ground for the future"" stuff with certain characters (without getting into details). However, I can say that Namor was a terrific character, I absolutely love what they did with him storywise and visually. He absolutely slays during the action sequences, Tenoch Huerta is a great actor that fits the role perfectly, no surprise with the spot-on Marvel casting there.This is a movie to see on the big screen, without a doubt this is the best film the MCU has delivered in the Phase 4. The scale is epic but the film feels very intimate and personal because of what happened with Chadwick. The fact that they incorporated his passing into the story beautifully was so important & crucial. Ryan Coogler is probably the best director working for Marvel right now and I'm very excited to see what he does next after this big win.8/10.","405 out of 899 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9114286/rw8664025/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","8","/10"
"Overall, weak","https://www.imdb.com/review/rw8683831/?ref_=tt_urv","Chanandler-Bong","https://www.imdb.com/user/ur22963396/?ref_=tt_urv","19 November 2022","This film had some great stuff in it, there's no doubt of that, but I felt it was overall weak. I can't imagine how hard it was for everyone in the film to come back without a lead, and most importantly, their friend. Chadwick's passing is unbelievably sad but it did leave a gap for Marcel to fill, and they could have done it so well. But they didn't.Firstly, the good. All the emotional scenes were well-scripted and well-acted, and I have to commend Angela Bassett and Letita Wright for their fantastic acting. I never cry in the cinema but this film really had me going because it felt from the heart in some scenes, and I am sure it was.I also enjoyed the costumes - wow were they beautiful. The only one I didn't like was the Midnight Angels (or whatever they were called). They didn't feel like they fit. Some of the fighting was great as per.The rest of the film felt slow, boring almost. I've just come from the cinema and I am struggling to remember much of it.The story was gaping with holes and so much was skipped over with little explanation. The beginning when T'Challa dies felt cold and rushed. That should have been the pivotal moment for the story, but it was brushed over. However, maybe it was too hard for the cast and crew to linger on.The Talokan/Atlantis story was odd to me and felt so disconnected from Wakanda. I didn't enjoy that storyline. They could have made it so much better.Anyway, it was enjoyable and I'll maybe watch it again. But I won't rush to do that.","304 out of 428 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9114286/rw8683831/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","6","/10"
"Extremely Emotional Movie About Loss, Legacy And Healing!","https://www.imdb.com/review/rw8664018/?ref_=tt_urv","MiroslavKyuranov","https://www.imdb.com/user/ur57827313/?ref_=tt_urv","9 November 2022","""Wakanda Forever"" is MCU's 30-th movie and is phenomenal! The most powerful project of Phase 4. I can not understate how masterful the score is from start to finish. There are no weak links in the cast, but I have to give a special shoutout to Angela Basset and Letitia Wright's Shuri. Letitia is quite the beating heart of this film. And Tenoch Huerta? They couldn't have found a better Namor.""Ryan Coogler's emotional movies is about loss, legacy and healing. The story is intimate, but vast with global power struggles and palace intrigue. Tenoch Huerta's Namor is a force, better than I hoped. So much can be told...The scope, the camera work, the acting, and the raw emotions on and off screen can be felt throughout! Fantastic sequel and a great movie. I knew it'd be emotional and it was. Expect your eyes to leak.Immensely powerful story of forging forward-shattering at times, but also beautifully cathartic and heartening, still cannot get over how well the film earns that title.If Chadwick could see this movie, he'll be proud as much as I am right now!","473 out of 1,123 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9114286/rw8664018/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","8","/10"
"Underwhelming, But OK","https://www.imdb.com/review/rw8679686/?ref_=tt_urv","slightlymad22","https://www.imdb.com/user/ur4465293/?ref_=tt_urv","17 November 2022","I just got out of Black PantherI found it pretty underwhelming. It's a better put together movie than both Thor: Love & Thunder and Doctor Strange & The Multiverse of Madness, and there is no sense it was butchered in the editing room, like both of those movies. That said I probably had more fun with those two.The Chadwick Bosman stuff was touching, but I expected more. Disappointed not to see at least, Bucky there. When I heard there was a cameo, I expected it to be someone at the funeral. I DID NOT see that cameo coming. I thought the Marvel logo was a nice touch.Letitia Wright and Angela Bassett are both good, but I'm not sure where this Oscar nomination talk is coming from. Then again, I didn't think Black Panther should have got a nomination for Best Picture, so she could get one. Winston Duke was a bit wasted as Umkaku, disappointed by what he did at the endThere is no reason for it to be as long as it is. I was bored a few times. I was especially bored during the story between Martin Freeman and Julia Drefuss, it was really weak and unnecessary. Was it just there to put some white people in it? I didn't like the scientist girl, she irritated me and had awful dialogue. Some of the CGI/Green screen work was not the best, too.I can safely say, with the exception of Spider-Man: No Way Home, nothing from Phase 4 will be rewatched, never mind find its way into my collection.Overall I found it OK.","284 out of 413 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9114286/rw8679686/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","6","/10"
"Not Interesting","https://www.imdb.com/review/rw8843939/?ref_=tt_urv","marc5477","https://www.imdb.com/user/ur43600791/?ref_=tt_urv","1 February 2023","No need to beat a dead horse, so ill summarize it as bad plot and generic copycat characters.This movie really pushed my boredom to the limits. They spend too much time on ceremonies and fantasy lore and almost no time developing the plot. The spent an inordinate amount of time on character development but I still felt nothing for any of them.This reminded me a lot of the new Dune where the acting seemed ok, and certainly, the movie looked great, but I couldnt care for any of the characters in any way. I felt similarly about Namor and his mermaid people who seemed more like empty plot points than real adversaries.Id skip it.","363 out of 464 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9114286/rw8843939/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","3","/10"
"I liked it a lot","https://www.imdb.com/review/rw8668496/?ref_=tt_urv","Jeremy_Urquhart","https://www.imdb.com/user/ur26226712/?ref_=tt_urv","11 November 2022","Phase 4's MCU comes to a close with Black Panther: Wakanda Forever. It's been a truly inconsistent run of films. There was the good (Shang-Chi, Spider-Man, some of Dr. Strange 2), the eh (other parts of Dr. Strange 2, Black Widow and Eternals), and the ugly (Thor 4, which is easily the worst MCU movie so far). If this movie had been bad, it might have been enough to make me bail on keeping up with the MCU's movies, and truth be told, I've already bailed on the Disney+ series', because WandaVision, Falcon & Winter Soldier, and Loki really didn't do it for me.If you're expecting Black Panther 2 to wrap up Phase 4, you might be disappointed. But then again, there hasn't been a consistent narrative to the last two years of Marvel releases, so there's really nothing to conclude, overall. Importantly, it's just a very good movie, and that's enough to ensure it ends Phase 4 on a high. It's not a total slam-dunk, but there's a great deal about Black Panther 2 that's extremely effective, and enough great stuff that I feel the overall movie is a strong one.I think the pacing is its greatest strength. I really didn't feel the 2 hour 40 minute runtime. The opening half-hour doesn't flow the best, but there was a need to adjust after Chadwick Boseman's passing meant T'Challa died, too. Once the movie establishes this and sets up its main plot, it's pretty smooth-sailing, and unlike many Marvel movies, it saves its most emotional moments and best action scenes for its excellent final hour.It's a very emotional movie, and the way it pays respect to Boseman and T'Challa is essentially perfect. With good action, a solid story, a very good new antagonist (Namor and the whole underworld were great), and fantastic music (maybe the best Marvel score so far?), this was a very good MCU movie, and gives me a little more hope for the franchise going forward.","416 out of 984 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9114286/rw8668496/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","8","/10"
"Disappointment in every aspects","https://www.imdb.com/review/rw8844815/?ref_=tt_urv","alexpeychev","https://www.imdb.com/user/ur14782607/?ref_=tt_urv","1 February 2023","Most boring Marvel movie yetWe understand that Black Panther: Wakanda Forever won't be the same as what it used to carry but still thinking of some flashy action scenes or a few mesmerizing displays of characters which the movie failed to do so.__ The movie felt like more or less a family drama with no strong plot for why the agony started in the first place. So if you want to see people just being emotional while wearing costumes, this movie is just for you._ Also if you are expecting some interesting turns of events that will disappoint you also. The movie goes in the usual MCU ways and does not significantly represent the way a Black Panther movie should be.__ So if you have seen the trailer, you already have seen the whole movie and would find nothing new.A depressing end to a disappointing Phase 4.","340 out of 437 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9114286/rw8844815/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv","2","/10"
