"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"6","/10","Standard Rock film","https://www.imdb.com/review/rw7548454/?ref_=tt_urv","chunkylefunga","https://www.imdb.com/user/ur8554198/?ref_=tt_urv","14 November 2021","The Rock plays the Rock and Ryan Reynolds plays Ryan Reynolds.A Sunday afternoon kind of movies. Not amazing but ok for tv.Imagine a sequel will be made.","213 out of 251 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt7991608/rw7548454/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"5","/10","Very Meh","https://www.imdb.com/review/rw7545383/?ref_=tt_urv","Calicodreamin","https://www.imdb.com/user/ur29385135/?ref_=tt_urv","14 November 2021","Not as good as I was anticipating. A few good jokes and fight scenes, but the script was bland and the visuals looked fake. An all star cast but no substance to the story or characters.","686 out of 833 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt7991608/rw7545383/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Netflix has Money Burn","https://www.imdb.com/review/rw7567923/?ref_=tt_urv","vic-56352","https://www.imdb.com/user/ur127116327/?ref_=tt_urv","20 November 2021","When Netflix has money to burn, it can afford to spend a fortune on A-listers for a movie that cranks out one liner's at the speed of a Gatling gun, in a high polish production with no other redeeming value. The costumes and sets were terrific, though.","68 out of 77 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt7991608/rw7567923/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","What happens when you put three attractive & charismatic lead actors in a movie with a cookie-cutter plot?","https://www.imdb.com/review/rw7587965/?ref_=tt_urv","cricketbat","https://www.imdb.com/user/ur6201371/?ref_=tt_urv","26 November 2021","Red Notice is an interesting experiment to see what happens when you put three attractive and charismatic lead actors in a movie with a cookie-cutter plot. As it turns out, it's pretty enjoyable. And while the twists and turns don't really make sense, I still found myself smirking at the jokes and allowing ridiculousness because I was having a good time. Red Notice doesn't break any new ground, but it's a safe bet if you're looking for an action comedy to pass the time.","48 out of 63 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt7991608/rw7587965/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Just have fun with it","https://www.imdb.com/review/rw7545761/?ref_=tt_urv","jonathanconti","https://www.imdb.com/user/ur64167010/?ref_=tt_urv","14 November 2021","Look, if you go into this hoping for Skyfall, ya you're gonna hate it. But come on, this thing is clever! It's got a good pace to it, beautiful set pieces, and true Hollywood star power. It's cool. Don't hate, just enjoy the thing for gods sake!","67 out of 93 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt7991608/rw7545761/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","Unbelievable plot","https://www.imdb.com/review/rw7667578/?ref_=tt_urv","Gordon-11","https://www.imdb.com/user/ur0035842/?ref_=tt_urv","21 December 2021","There are far too many convenient events in the film, it is just not believable. It's one unlikely event after another, that it really challenges logic and reality. I didn't quite enjoy the film as a result.","52 out of 73 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt7991608/rw7667578/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","fun, action, but annoying somehow","https://www.imdb.com/review/rw7578799/?ref_=tt_urv","trashgang","https://www.imdb.com/user/ur12844960/?ref_=tt_urv","24 November 2021","Weird flick, even as it has a lot of action and funny moments still it wasn't really my thing.Dis I laugh yes sure I did especially with the car/motorbike chase and in some situations but the problem I had, the acting was well, how do I say. The main leads were all doing what they do best, and espescially with the Ryan jokes it reminded me a lot of Deadpool.It's not that the acting was bad, guess it's the script.So overall a family flick...typical netflixGore 0/5
Nudity 0/5
Effects 4/5
Story 2;5/5
Comedy 1,5/5.","59 out of 84 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt7991608/rw7578799/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Stupid but fun","https://www.imdb.com/review/rw7563735/?ref_=tt_urv","mjb301086","https://www.imdb.com/user/ur13863190/?ref_=tt_urv","19 November 2021","This isn't going to win any awards but it was enjoyable and pretty dam funny. I love the cast which helps. Would watch a sequel quite happily. 7.5/10.","26 out of 32 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt7991608/rw7563735/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Midly entertaining","https://www.imdb.com/review/rw7571664/?ref_=tt_urv","ferna-navarrohp","https://www.imdb.com/user/ur25153228/?ref_=tt_urv","21 November 2021","It is an Indiana Jones wannabe with the cultural -historical element to rob and, of course, the nazis once had it. It is funny but due to Ryan Reynolds's character being a projection of deadpool.The CGI is too noticeable and it bothers me.","26 out of 36 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt7991608/rw7571664/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"3","/10","A bland and charmless adventure romp","https://www.imdb.com/review/rw7571617/?ref_=tt_urv","eddie_baggins","https://www.imdb.com/user/ur8462477/?ref_=tt_urv","21 November 2021","It's been a few days since I sat down and watched Red Notice, yet despite only mere hours passing in time I find myself struggling to recall anything of note in a film that fails to create a spark of imagination or excitement.Costing $200 million to make and starring some of the entertainment industries most well-liked stars, Notice is a flashy Netflix exclusive that recently became the streaming services biggest day one hit but despite its high quality coat of paint, Rawson Marshall Thurber's lifeless and charmless action/comedy romp is an instantly forgettable and an incessantly bland blockbuster that is merely coasting along at all times.Spanning a global collection of locales, that often are infused with a seriously distracting amount of poorly done green screen due to the film having to shoot through the Covid-19 pandemic, Notice should be a fun and frantic jaunt across the globe as we follow Dwayne Johnson's Interpol agent John Hartley (proving once more he loves a dress up more than anyone), Ryan Reynolds (wouldn't have guessed it) smart mouthed thief Nolan Booth and Wonder Woman herself Gal Gadot as the mysterious Bishop as the trio hunt down some priceless egg artefacts and try outsmart each other along the way.Utilising a well-trodden path that was experienced by cinema fans with the likes of the Indiana Jones and early The Mummy franchises, Notice sadly lacks any of the smarts or style those type of entertaining romps possessed as Thurber struggles to bring much to the table when it comes to the action stakes, with many set pieces looking like a glorified video game rather than a top notch cinematic production, while his cast can't salvage the film from the boredom it will induce with fairly pedestrian turns that do nothing to enhance their reputations as Hollywood heavyweights.Recently announcing his break from Hollywood for the foreseeable future after a number of years plying away busily in a number of productions, Notice marks a new low for the career trajectory of Ryan Reynolds in particular who has become a walking and talking caricature of his real life persona mixed with Deadpool's initially charming boundary pushing and wisecracks.Trying little too do anything he hasn't done in his last handful of big films, Reynolds seems content to sleepwalk through his roles of recent times and his lethargy in bringing the potentially entertaining Booth to life here is a key example of just how tiresome and unenthusiastic this heist/adventure is, with Reynolds lame turn but one component of a film that does nothing too distinguish itself from the pack and seems content with merely existing rather than finding a reason to make us care or wish for more of where this came from.Final Say -A sadly typical Netflix waste of money, Red Notice should be a mindlessly entertaining and exciting ride but it's nothing more than a tiresome and trite example of modern day blockbuster film-making, the type of film-making that may get nice numbers to report on in regards to streaming performances but does nothing else worth remembering.1 1/2 Vin Diesel audition tapes out of 5.","158 out of 207 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt7991608/rw7571617/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
