"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"8","/10","A Superhero Spectacle with Improved Characters and Witty Action!""","https://www.imdb.com/review/rw9199033/?ref_=tt_urv","pawanpunjabithewriter","https://www.imdb.com/user/ur54077131/?ref_=tt_urv","18 July 2023","In ""The Suicide Squad,"" the action-packed sequel to ""Suicide Squad,"" the thrill starts right from the beginning. Set in a lush jungle on a mysterious island, the movie immediately captivates the audience with its promising backdrop. The second installment outshines its predecessor in various ways, particularly in the realm of characters.While Will Smith's performance in the first movie was rather commendable, Idris Elba takes the reins in part 2, displaying his immense talent and becoming the perfect leader for the squad's perilous missions. The addition of Peacemaker brings a refreshing dynamic to the team. Harley Quinn's character undergoes significant development, making her role even more delightful. Unlike the first movie, where some superheroes seemed out of place, each character in ""The Suicide Squad"" has a well-justified presence, contributing to a greater character arc.Engagement and entertainment remain consistent throughout the film, with very few dull moments. The writers skillfully follow a classic approach, bringing the story full circle by ending with a scene that harks back to its origins. Among the diverse cast of superheroes, Bloodsport shines as one of the best, while ratcatcher 2 also impresses with her captivating performance.While the script is engaging overall, there was one instance that seemed implausible even in a lighthearted context. A character's head is chopped off, the peculiar part was that his eyes continued to move. Although this added an element of dark humor, it might have stretched the bounds of believability even within the superhero genre.In conclusion, ""The Suicide Squad"" surpasses its predecessor by delivering a gripping and action-packed adventure. With improved character development and a smart balance of humor and action, it keeps the audience entertained. Director James Gunn masterfully crafts a superhero spectacle that fans and newcomers alike thoroughly enjoy.","44 out of 58 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt6334354/rw9199033/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","The Dumbest Squad Just Made the Greatest DCEU Film EVAHHH!!!","https://www.imdb.com/review/rw7200780/?ref_=tt_urv","iamianiman","https://www.imdb.com/user/ur58447224/?ref_=tt_urv","6 August 2021","Remember when James Gunn was 'temporarily' fired by Marvel Studios and we were all disappointed by the decision? Well, it turns out that was a blessing in disguise when Warner Bros. Booked him for a slot of this movie and months later, he was reemployed by the giant-sized company for GOTG 3 and he just killed two heroes with one stone. 2021's The Suicide Squad is indeed, THE Suicide Squad that we all deserve!The most outstanding thing about this latest squad is the way they blend and mix in everything into the recipe. It's like you're watching a bunch of genres; comedy, dark comedy, fantasy, action, thriller, drama, superhero, spoof and commentaries; political, social contexts, world revolving issues all together and yet, it tastes très bon! Often enough, movies that try to do everything together fail big time but not this one. This is a cinematic achievement.James Gunn, who also directed Guardians of the Galaxy, knew that the Marvel/DC films have rehashed their materials multiple times; basic origin, romance, giving up, final battle. Hence, Gunn develops a non-formulaic approach that seems suicidal at first but triumphantly creates something unique and unpredictable. From the get-go, Gunn's vision is unconventional but polished, enough to make the audience feels they have never seen anything like it before.Talking about unpredictability, it indeed is what it is. You never know what will come next, who will die or survive. There are a few times that Gunn uses the head fake technique to deceive viewers from its sequential but engaging storytelling. Like Deadpool, something unexpected happens at the moment when you least expect it.The juxtaposition of both the 2016's and 2021's is evidently visible. While 2016 has its moments, almost everyone could agree it was disappointingly bland af. The 2021 entry has a strong direction and far better pacing, let alone twists that are fully captivating. The only couple of things that 2016 did it better were the trailers and the soundtrack.The Rated-R is straight up hardcore to the face. It's superbly gory, darkly comical and unabashedly funny, all without pulling its punches. This is how DC films should be, not as dour as Zack Snyder's but not as light as Marvel's either.When it comes to flaws, albeit its powerful opening scene, I feel that they waste many of the potential characters here insofar some of them never even got the chance to show their abilities, skills, talents or superpowers.I am also not impressed by the intensity of the movie's brightness particularly on the background in some scorching white scenes. It defaces the texture of the film and should dazzle some viewers, left distorting of what could have been an iconic scene like the slo-mo segment.All in all, 2021's The Suicide Squad makes for a suicidal task with flamboyantly sheer colourful characters that collectively sign up for one thing amidst this pandemic chaos; blasting out loud the volume of fun and violence, subsequently climbing to the top as the best DCEU Film ever made.","940 out of 1,476 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt6334354/rw7200780/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Wanted to hate it...","https://www.imdb.com/review/rw8011549/?ref_=tt_urv","Moviedude90","https://www.imdb.com/user/ur22966552/?ref_=tt_urv","27 March 2022","...but this has all the imperfections and grit I want in an ADULT superhero movie. As odd as this seems, I saw ""Invincible"" animation series, and this reminded me of an IRL version of that.The comedy is actually funny and not cheesy or cringy, the superheroes outside of Cena don't all look roided to be powerful, and there's actually good acting.Marvel is for kids, DC is for adults-hate it but if you're honest you'd agree.","94 out of 146 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt6334354/rw8011549/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","I enjoyed it","https://www.imdb.com/review/rw7181921/?ref_=tt_urv","Mr_Wobbly","https://www.imdb.com/user/ur27221135/?ref_=tt_urv","31 July 2021","I am in two minds about this film.On one hand, I really did enjoyed it well enough.However, I'm in no rush to see it again and it was rather... dull... in places.Not something I thought I'd ever say about a James Gunn movie.The beginning is great fun, and I don't know where else they can take the Harley chatacter after this (other than maybe a prequel?), and there are plenty of funny moments with some great action beats.It just felt a little... I don't know.Maybe because Gunn was clearly let off the leash he didn't have to restrain himself and so moments that may have been handled with more care were allowed to simply explode?There is a lot of blood and gore, which is not necessarily a bad thing.As I said, I enjoyed it, and I will watch it again someday, I'm just in no big rush to revisit it.A generous seven out of ten.I've read the Suicide Squad and DC comics for a very long time, and all the low reviews with the 'restore the Snyderverse' hashtag can go away.","160 out of 309 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt6334354/rw7181921/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","It Gets Better and Better.","https://www.imdb.com/review/rw7636810/?ref_=tt_urv","Her-Excellency","https://www.imdb.com/user/ur67432377/?ref_=tt_urv","12 December 2021","The first time I watched The Suicide Squad it was with a number of other people and I have to admit that I really didn't get much from it. It was just OKAY to me.A couple of months later, my husband and I watched it and I really listened and paid attention, and I thought it was excellent - apart from the dumb / gratuitous harm to the birds (what the heck was that about, anyway?) and the ridiculous villainous ""thing"" (I won't say more in order to avoid a Spoiler tag). The 'twist' early on, and the comedic flow, especially between Elba and Cena, was fantastic.The thing is, although I normally do not find many movies to be rewatchable, we just got through watching it (for me, a third time) with family, and if anything, I found it even funnier than the last time! My rating of 9, is for the times I laughed just today.","193 out of 259 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt6334354/rw7636810/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","What am I watching?","https://www.imdb.com/review/rw7237596/?ref_=tt_urv","tbkcpi","https://www.imdb.com/user/ur128690146/?ref_=tt_urv","17 August 2021","I feel like I'm missing something profound but all I can get from this is stupidity. A good movie keeps you from noticing you're watching it. This keeps bringing to mind the same question... What am I watching?","131 out of 262 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt6334354/rw7237596/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","The Complete Package","https://www.imdb.com/review/rw7576268/?ref_=tt_urv","movieburnerentertainment","https://www.imdb.com/user/ur71500888/?ref_=tt_urv","23 November 2021","The smartest move DC ever made was to quit concerning themselves with cinematic world building and focus on making (mostly) standalone films that were simply entertaining...and didn't require a master's degree in Snydernomics to appreciate.Their second smartest move was nabbing James Gunn for The Suicide Squad, and not just because the first film was terrible. Material like this needs Gunn's flair for irreverence, clever dialogue and, most importantly, instilling characters with engaging personalities. He may not have created Suicide Squad, but this adaptation has his stamp all over it.And for the first time since his directorial debut, Slither, Gunn is unbound by the restrictions of a PG-13 rating, something else the material really needed. Hence, the film is vivid, violent and vulgar, yet at the same time, seldom feels pandering or gratuitous. Punctuated by gobs of gags and hilarious dialogue, the movie earns its dismemberments and f-bombs along the way. In fact, the whole thing plays very much like Guardians of the Galaxy without a filter.And like Guardians, it's ultimately the characters that matter. Ironically, the one we're most familiar with - Harley Quinn (Margot Robbie) - is the least interesting, perhaps because she's already been established with two previous films and there isn't much more Gunn could do with her. But everyone else is wonderfully realized and played perfectly by the ensemble cast. As Bloodsport, the de-facto leader of this new team, Idris Elba strikes the right balance of stoicism and uncertainty, while John Cena (as Peacemaker) once-again demonstrates he's more adept at comedy than pure action. Polka-Dot Man (David Dastmaichian) and Ratcatcher 2 (Daniela Melchior) are also fun, each with amusing backstories. But King Shark steals every scene he's in, a perpetually hungry manfish who manages to be both monstrous and endearing (and a role Sylvester Stallone was born to play).With the exception of Task Force X director Amanda Waller (Viola Davis), the antagonists are perfunctory. Their plan, however, is gloriously insane; the dictator of Corto Maltese plans to wipe out America using a 30-year-old experiment gone wrong: Starro, a giant extraterrestrial starfish that spawns face-hugging offspring to re-animate & control the dead. This leads to a final act that's as hilarious as it is grotesque, aided by amusing visual effects.Unlike the first film - which was mostly just bells & whistles - The Suicide Squad is the complete package, delivering an abundance of action, humor, violence and well-realized characters. James Gunn's playful approach is just what was needed, making it the best - and maybe the smartest - DC film since Christopher Nolan hung up his spurs.","61 out of 92 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt6334354/rw7576268/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","The REAL ""academy award winning"" Suicide Squad","https://www.imdb.com/review/rw7174916/?ref_=tt_urv","hotrobinproductions","https://www.imdb.com/user/ur46169466/?ref_=tt_urv","29 July 2021","I remember as if it was yesterday my utter disappointment in 2016 when I purchased my tickets to watch Suicide Squad back then. No hate towards David Ayer, the studios definitely meddled with his film to the max, I would LOVE to see his version but nonetheless, what we got was such a terrible film.... Fast forward 5 years & Warner Brothers turns the tables and makes what is probably one of the GREATEST comic book movies of all time. The film is very ballsy, violent & full of heart. The characters are eye candy & I'm VERY happy that James Gunn kept what worked in the original. Because it was a bad movie but there were some good in it. This film James really respects David Ayers film by keeping what worked while just sticking to what needed to be done. The R Rating was needed, I'm also glad the studio acknowledged that. I'm VERY Tired of seeing studios go for a PG-13 rating so they can get more views. Like cmon now, grow a pair please. Sony doing it with Venom & all other types of examples of studios fearing the R Rating... I think ever since Joker Warner Brothers has discovered that they can really get the same numbers if not more regardless, Then Birds Of Prey happened, which I enjoyed too. BUT my point is ALL of this led up to this movie RIGHT HERE. So again, kudos to Warner Brothers for the R Rating!!! Now first things first, The action is GREAT & the twists are even more magnificent. The Comedy is SPOT ON, and lands when it needs to, the use of dark comedy and balance of character development is done so well that it doesn't feel out of place or that one is taking over the other. BloodSport carry's this movie, his performance was SCREAMING Will Smith for me, (meaning the role just looks like it was meant for him because he had daughter issues too) but I gotta say, Idris Elba grew on me more than Will Smith did. His performance is GREAT and he has amazing chemistry with another character and it just feels special. Polka Dot man was absolutely hilarious yet gave me a bittersweet taste in my mouth, but in a good way. King Shark was an amazing joy to watch on screen. Peacemaker was awesome too. Now what I mean by awesome is off their importance, performance and role in the movie. Some of these characters are not like able... mind you... and some things will happen over the course of events and make you not like characters more and that's where this movie shines. It's VERY unpredictable. And when you feel like you think you know where the movie is going it pulls the rug from under you hard. Very enjoyable ride. When it was over I wanted to watch it again.*Pros*
Well written characters / performances
Comedy/Action (is not repetitive)
Effects/CGI
Story / plot / script*Cons*
Thinly written Villain
Climax for the ending felt just a bit thin wish it would have required more ""teamwork"" and not one character being the reason they won (you'll see what I mean)
Some Characters I felt died a bit too soon and would have liked a little more depth before they went.WB needs to keep this up and we will continue to want more. If they understand the character they should know the direction needed to continue the character. Superman doesn't need to be dark and suicide squad should never be PG13. Not saying these are ""impossible to do"" but just saying if you REALLY understand the character you should know what works and what doesn't, and as far as I see it... this is the RIGHT direction for The Suicide Squad Peacemaker show is something to look forward to! And I will be more than happy to call this Film an ""The REAL Academy Winning Suicide Squad"" because it deserves the title more than the 2016 one... #releasetheayercut.","790 out of 1,362 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt6334354/rw7174916/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","THIS IS HOW A SUICIDE SQUAD FILM SHOULD BE","https://www.imdb.com/review/rw7204092/?ref_=tt_urv","Aziz24","https://www.imdb.com/user/ur105044330/?ref_=tt_urv","7 August 2021","Before I talk about the film, let me talk a bit about DCEU. The difference between DC and Marvel (and why Marvel is more successful than DC) is the people behind them. The people/company behind Marvel (Disney) know and plan everything. They even planned this whole MCU thing ever since 2008's Iron Man. They know what they are doing, where they are heading with their characters, stories, and films, and how to do them and write them right. That's why their Universe is more successful. But, for DC the people/company behind it (Warner Bros.) are ruining this beautiful universe that's filled with great characters by bringing the wrong people to direct/write their movies which brings chaos to the films and world of the DCEU. Or they create issues with the right director like Zack Snyder (which we all saw how he was building that big/creative universe in Zack Snyder's Justice League (2021) and where it was going). However, this time DC choses James Gunn to write & direct this film which if you're not familiar with, he directed Marvel's Guardians of the Galaxy Vol. 1 (2014) and Vol. 2 (2017). And this is the second proof (after Snyder's) that when having the right person/people behind a film, they will kill it. And THIS IS HOW ""The SUICIDE SQUAD"" STORY SHOULD LOOK LIKE. And that's all thanks to James Gunn.So happy that the film got an R rating because the suicide squad story should be like that. It should be full of blood, comedy, craziness, violence, disgusting action scenes, and curse words. Thank god they didn't care about the film being PG 13+ or whatever so more people could see it. And I feel like James Gunn was behind that part. It's not a suicide squad film if there were no sexual, bloody, violent, and disgusting content.The cinematography was beyond amazing and the film presented some new ideas. Like, in one scene (dw no spoilers) two characters were fighting and we were seeing it through the reflection of a helmet. Or in a specific fight scene, instead of ""blood"" coming out of the bodies, it was ""flowers"" which made the 3 or 5 min action sequence very colorful and fun to watch. The camera movements were also great and felt that they sometimes were steady handheld which was so unique. Also loved how the film picks slow motion in certain times only to show the chaos that's happening around and they were very limited which is a good thing.For the third time, Margot Robbie proves that she is the best portrayal of Harley Quinn and I cannot imagine anyone other than her as Harley Quinn. She presents the beauty, craziness, and wildness of the character. Idris Alba really surprised me. His character was very well written and Idris played it so right. The real surprise was John Cena. Personally, I don't like Cena's acting. But, in this film his acting was alright and the thing that helped him is how good his character (Peacemaker) is written. Especially that Peacemaker has a huge impact on the story of the film and the future of DCEU. Daniela Melchior gave the film such a warm/soft vibe and her acting was well done especially in the emotional scenes. The whole cast was just amazing and each actor/actress played their role perfectly.Really loved the music in the film. And if you have seen Guardians of the Galaxy (2014) you'd know that it has the same style/vibe. The costumes were brilliant and loved how James kept the original costume of each character from the comics which made the film/character even more special & real. Also, loved how the film jumps back in time suddenly to explain where a specific character is or how things ended up that way and there was something different about it which I can't tell what it is.My rating is 8/10
WATCHED: in an IMAX Theatre.","478 out of 831 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt6334354/rw7204092/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","Terrible","https://www.imdb.com/review/rw7210257/?ref_=tt_urv","maclock","https://www.imdb.com/user/ur4645244/?ref_=tt_urv","9 August 2021","This movie is terrible. Maybe it's because I'm unfamiliar with the comic book characters it features, but I fell asleep more than once while watching it. In my experience, that's the hallmark of an awful movie. I'd pass on The Suicide Squad if I were you.","17 out of 31 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt6334354/rw7210257/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
