"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"8","/10","Thor Rocks.","https://www.imdb.com/review/rw4818047/?ref_=tt_urv","scifier-32295","https://www.imdb.com/user/ur99348774/?ref_=tt_urv","30 April 2019","I know this film has been ragged on by many people, but I really enjoyed it. Was great seeing Asgard, and how Mjolnir followed Thor around was wonderful. Hey, Thos has always been one of my favorite characters, and Hemsworth plays him so well.","42 out of 66 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1981115/rw4818047/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","Thor","https://www.imdb.com/review/rw5505998/?ref_=tt_urv","0U","https://www.imdb.com/user/ur87850731/?ref_=tt_urv","24 February 2020","Is this a huge stepup from the original ""Thor"" movie. No, unfortunately not. Is it another watchable, fun superhero movie; yes, definitely. It's a really good movie and if we look at the way Alan Taylor directs this movie, it's actually not that much different from what Branagh did back in 2011. Chris Hemsworth is good as usual and Tom Hiddleston is more wonderful than ever as Loki, but the villain Malekith, played by Christopher Eccleston, unfortunately, is a bit of a disappointment, mostly because of the lack of motivation.","41 out of 66 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1981115/rw5505998/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Thor: The Dark World (Short Movie Review)","https://www.imdb.com/review/rw4898655/?ref_=tt_urv","Cirene404","https://www.imdb.com/user/ur103663848/?ref_=tt_urv","30 May 2019","Positives:
Negatives:","8 out of 12 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1981115/rw4898655/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Good movie","https://www.imdb.com/review/rw4168742/?ref_=tt_urv","djfrost-46786","https://www.imdb.com/user/ur69910557/?ref_=tt_urv","17 May 2018","It's a good movie. Like that Natalie Portman was still in it. Too bad she wasn't in Thor Ragnarok. The bad was they tried to go funny at parts. It wasn't very funny.","18 out of 33 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1981115/rw4168742/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","A good entry into the Marvel Universe","https://www.imdb.com/review/rw2896320/?ref_=tt_urv","kuuk3","https://www.imdb.com/user/ur8378692/?ref_=tt_urv","29 October 2013","Having just watched a premier screening, I am delighted to come away from the cinema to write a positive review. Thor Dark World is a spectacular special effect driven film, much of which is set in Asguard.I was worried that including Loki yet again might become a little repetitive, but in this film he excels as a great character, I only hope however that they don't overdue his presence in the Marvel Universe. How many times can this guy come back from the dead?There isn't as much character development as the first film, and Thor's friends are nowhere near as interesting as the Avengers. I guess they simply needed these characters to all remain as they were so as to keep continuity within the Marvel universe, but its noticeable how little impact the storyline will have on anybody.The armies of Asguard were noticeably lacking in fire-power and weapons (even though they have an armoury), which is made even more evident when an entire guard division bring knives to a laser-gun fight. Their turrents were the only defense they had against an Ariel assault and proved to be practically useless. You would expect them to be better prepared.The healing powers of Thor, Jane, and even a smashed alien space-craft become a bit of a running joke as well. But at least they get hurt, even if it only takes them a scene to heal. And if smashing every column holding up a building is still not enough to take it down I'm not sure what will be. Christopher Eccleston played a competent bad guy, although his intentions for what he was doing was still unclear as to why. Its simple to say he was insane and just wanted to kill everybody, but when a threat of that magnitude appears and planetary alignments are in effect, you expect half the Universe to show up and stop him or take advantage of the situation, or come looking to take the power for themselves. I also expected to see the entire army of Asguard come to help out at the end like they apparently did in the past. Not just Thor who appears there by mistake.The scientist with the miraculous plot saving devise is also a little hard fetch to take in, especially when he creates a remote control for cosmic anomalies. Along with Loki's illusion power which also serves as a convenient plot-saving devise at times. I'm willing to overlook these but there's no denying what they are. Overall its a good enjoyable superhero movie, which you will want to watch several times and is a decent entry into the Marvel Universe.P.S. Watch it in 2D, The 3D added little of worth.","217 out of 404 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1981115/rw2896320/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Action Packed Fantasy Romcom?","https://www.imdb.com/review/rw2898625/?ref_=tt_urv","philip-554-602536","https://www.imdb.com/user/ur38511774/?ref_=tt_urv","3 November 2013","Well I was so looking forward to seeing this movie when I went last night, and although it was reasonably good it was not at all what I expected.Watch the official movie trailer and you see what looks like quite a dark fantasy, so you can imagine my surprise when throughout the movie the audience was laughing out loud at the stupid one liners. Yes I know this is entertainment, and this movie was moderately entertaining, but once again the makers have tried to please everyone by adding a bit of everything; action, special effects, romance and humour, just far too much of the latter for my taste in a genre that does not require hilarity to succeed.Although it has a lower IMDb score I much preferred the 2011 Thor, a stronger storyline, darker and no laughing matter!","10 out of 17 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1981115/rw2898625/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Loved it!","https://www.imdb.com/review/rw2897051/?ref_=tt_urv","lukewakeman44","https://www.imdb.com/user/ur44025220/?ref_=tt_urv","31 October 2013","For starters, I loved this film! I was a fan of the first but this one is superior in every way. The actions scenes are better, the plot is better and there is great banter throughout the film. Due to these factors it is entertaining and has more than enough in it to keep you interested. The acting is fantastic, especial by Chris Hemsworth and Tom Hiddleston, as they work great together and appear to have a great understanding of each others roles. I just can't understand why people don't like this film unless they are not a fan of superheroes. After seeing this film last night I read through a few of the reviews afterwards and was shocked as some people were giving it lower than 7. These people are clearly boring and have no idea about an entertaining film and enjoy watching films that just depress you and have no idea about what a fantastic superhero film this is. I recommend you watch this immediately as you won't be disappointed.","121 out of 221 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1981115/rw2897051/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"4","/10","All style, no substance","https://www.imdb.com/review/rw2902794/?ref_=tt_urv","ff9000","https://www.imdb.com/user/ur43619884/?ref_=tt_urv","10 November 2013","The acting was solid. The production value was superb. Everything else was really poor.The back story and character motivations are laughably sparse. Most of the characters are completely one-dimensional, with the possible exception of Loki. The plot is the most boring and typical of all action plots - some ""bad dudes who happen to be really ugly"" decide to ""destroy the world for no reason other than being evil"" and ""only our hero can save us all"", etc. Moreover, it was lazy writing - whenever an absolute miracle needed to happen, it conveniently did, every time. Of course this is a mindless blockbuster Marvel movie so we shouldn't expect much. But the thing is that these kinds of films CAN be made with a reasonable plot, pacing, and character development. The writers were obviously just going through the motions to cash in on the surefire moneymaker sequel, and from a business perspective it is hard to fault them. But it says a lot about the sad state of Hollywood in 2013 that this film currently has a 7.7 on IMDb.","502 out of 680 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1981115/rw2902794/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","Well, that was a surprise","https://www.imdb.com/review/rw2896575/?ref_=tt_urv","newtonpost","https://www.imdb.com/user/ur2330480/?ref_=tt_urv","30 October 2013","Just got back from seeing this and thought I'd put in my thoughts.This is by far the most intricate and thoughtful of the Marvel films to date, with a great story and some superb performances, particularly Hiddleston's as Loki. The characters from previous Asgard related outings are there, but thanks to some good writing, are more 3 dimensional and therefore, interesting. This is one of the few films that would have benefited from an extra 15 minutes or so to explore further the motivations of the key protagonists. There is plenty of large scale action, as well as some laugh out loud humorous moments that help to keep this kicking along.I am both surprised and delighted that this is not only the best superhero movie to date, (even eclipsing Spider-Man 2), but currently the best movie I've seen this year.Don't miss this!","234 out of 451 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1981115/rw2896575/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Sigh...Zzzz...","https://www.imdb.com/review/rw2926836/?ref_=tt_urv","maleficarus","https://www.imdb.com/user/ur29092806/?ref_=tt_urv","22 December 2013","I was never a really big fan of Thor to begin with and this movie just proves it to me again. This movie was so slow and boring. The first hour I almost fell asleep a few times. The special effects were really well done but other then that I really do not think this was a great movie. I gave this movie a generous 6 out of a possible 10. Normally these types of movies at least earn a 7 from me but this one at best was a 6 only.You can tell that this sequel was made for the sack of making some more money off the very boring Thor. I for one will not waste my money on a third that is for sure. They really need to stop wasting everyone's time with Thor. He is boring and other then his looks has very little going for him. Good day!","24 out of 49 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1981115/rw2926836/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
