"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"8","/10","The Spider-man Film That The Comic Fans Will Love But Sam Raimi Fans Will Hate","https://www.imdb.com/review/rw2642841/?ref_=tt_urv","AmbushBug26","https://www.imdb.com/user/ur5867816/?ref_=tt_urv","15 July 2012","Being a Spider-man comic book fan I can say that a lot of the stuff that happens in this story is true to the comic book Spider-man. Spider-man has web shooters, Spider-man likes to joke a lot, Gwen Stacy was Spider-man's first love, etc. So Anyone who is a fan of the comics will respect this movie on that merit, the merit that it was faithful to the source material while bringing in new stuff without losing what made Spider-man who he is.People who've only seen the Spider-man films and never bothered to read any of the comics. Won't like this film as much. They'll say the same old stuff. ""Why was this made? We've seen this already?"" Blah blah blah.Let me go off saying that behind Spider-man 2, this is probably the best of the Spider-man trilogy for one reason.....it avoids all clichés that the original trilogy didn't. In fact the film pretty much avoids all clichés at all. I'll try and explain a few without spoiling the film.Well first of all the woman in this film aren't morons. One of the main problems I had with Sam Raimi's films was the fact that all woman were pretty much portrayed as objects that Spider-man can save. None of them do anything helpful. Sure Mary Jane tried to hit Doctor Octopus with a plank in the second film, but she couldn't even do that right. That's not the case here. Gwen actually has a confrontation with with villain and she doesn't screw around, I won't say what she does but when I saw it happen I couldn't help but cheer. Finally a Spider-man film where the woman have a brain-stem.The second cliché it avoids is being predictable. The original films basically have Spider-man going through the motions. Girl gets kidnapped, Spidey saves girl, Spidey defeats villain or jumps out of the way so the villain can do harm to himself. That is not the case with this film, a lot of the time you think one thing is going to happen but then it doesn't and the opposite happens.The third cliché it avoids is having silly moments. The first trilogy had a lot of them, yes even Spider-man 2 (The raindrops keep falling on my head scene). Going back an having re-watched the Sam Raimi trilogy before seeing this one, the films are more like popcorn films. Sam Raimi is the master at making B movies and that's what the original trilogy was, an epic scale B Movie. With this film, they get a little more serious. There's not really any goofy moments that I can think of and if there are then it's usually played for laughs.Also THANK GOD They got Flash Thompson right. Sam Raimi used Flash so he could be the stereotypical bully, and at the beginning you think that's what Marc Webb plans to do, but then he shows that Flash isn't as big a douche as he makes himself out to be. Flash is one of my favourite Spider-man characters in the comics, and I'd like to say ""thank you Marc Webb for avoiding the cliché of him just being a bully and actually making him a human being with depth."" The film also does other things right besides avoiding clichés. The actors all do fantastic jobs and I will go on record saying that Andrew Garfield is the perfect Spider-man and a great role model for young boys even though he has his flaws. Martin Sheen was great as an Uncle Ben who is kind, understanding, but at the same time doesn't take any crap. Emma Stone was great as the kind of jokey but intelligent Gwen Stacy who is a strong positive role model for young woman. The Guy who played the villain was great, The girl who played Aunt May was good in the few scenes she was in. Not a weak link in the bunch.So I've done nothing but praise this film so far, so why is it still behind Spider-man 2 in my books? Well the film does have flaw, mainly two. One it's rushed, the only one who really pays for it being rushed is the villain who only gets one line of dialogue to explain his motives and even then we're not sure why he's doing that. The second flaw is that it doesn't have this big epic feel that Spider-man 2 had, it doesn't feel like it was made to be a big summer blockbuster, instead it was made to be an Indy film with a big budget....although maybe that's why I liked it so much, it focuses more on characters than action.....hurm.....I'm still on the fence with that last one.The Amazing Spider-man is a good film. It avoids most if not all clichés, it's fresh, it's interesting, it's got characters you love to see and actually feel for played by fantastic actors, it's a great Spider-man film and it's sad that a lot of fans seem to be hating it right now. I honestly can't see what's to hate.Good film, go see it.....oh by the way.....I wouldn't recommend seeing it in 3D, there are a few moments where you're like ""Whoa cool"" but not much.","224 out of 282 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0948470/rw2642841/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Nothing special really","https://www.imdb.com/review/rw2638759/?ref_=tt_urv","amalank","https://www.imdb.com/user/ur19762555/?ref_=tt_urv","7 July 2012","The Amazing Spider-Man is supposed to be a reboot of the Spider-Man movie franchise. Tobey Maguire is replaced by Andrew Garfield in the protagonist role of Peter Parker. His main love interest switches from Mary-Jane Watson to Gwen Stacy, and the villain in this installment is Dr Curt Connors aka Lizard. As expected, this reboot goes back to the beginning when Peter Parker becomes Spider-Man only it is told in a rather different way to the 2002 movie. This time they also try to add a bit more character oriented storyline.Is it a good movie? Yes, particularly since I saw this movie in IMAX. This made the action scenes more exciting to watch. It also uses a villain that hasn't been used in the previous movies so at least it does make it different from the previous movies.Is it a successful reboot of the franchise? In my opinion, not really. It's been five years since the last Spider-Man movie came out, and ten years since the movie franchise was first introduced. Even when they made the announcement of this movie being made, I was questioning it because it's just too soon to make a reboot. For the same reason, this reboot is not refreshing. Without trying to give anything away, you can recognise that this movie takes some of the elements from the 2002 movie. The character oriented storyline doesn't add that much meat to the character of Peter Parker as its supposed to. Its easier to count this as another installment only with different actors playing the roles.I really enjoyed the first three Spider-Man movies, and yes that includes Spider-Man 3. This new Spider-Man movie is also enjoyable but it fails to refresh the series. It seems that I was right in thinking that its too soon to do so.","251 out of 419 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0948470/rw2638759/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Not as bad as everyone says it is","https://www.imdb.com/review/rw7653937/?ref_=tt_urv","kxsinc","https://www.imdb.com/user/ur130735861/?ref_=tt_urv","17 December 2021","So when I watched this movie for the first time (way after it had come out), I was under the impression that it was a pretty forgettable movie by the Marvel fandom and I just needed to watch it so I could understand what would happen in No Way Home. So I have it watch.Honestly, it was better than what I thought it was, but definitely one of the weaker Spider-Man movies. There are things that don't work in this movie - personally, Peter Parker as a skate kid didn't do it for me, a couple unsolved plots, and Uncle Ben (where was the famous line??) but there were good things tooThe action and design of this movie was phenomenal. The swinging action is still the only movie that fully captures the agility of Spider-Man (the newer MCU ones don't really have these action shots) and the fight scenes are so cleverly made. Andrew Garfield got the Spider-Man half right - he captured the clever and witty personality of Spider-Man better than Maguire did. The second thing, really what stood out about this movie is the chemistry between Gwen and Parker. Something about their relationship connected and really made me think they were destined to be together. It's better than any other marvel ship that comes to my mind and thus just made the ending so satisfying for me.","12 out of 15 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0948470/rw7653937/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","A Fresh New Start","https://www.imdb.com/review/rw2641912/?ref_=tt_urv","RatchetJak94","https://www.imdb.com/user/ur26750211/?ref_=tt_urv","13 July 2012","Spider-Man is my favorite super-hero of all time. I've read the comics (mostly the Ultimate comics, but some of the 60's comics as well), played some of the video games, and watched the cartoons (The 1994 and 2008 series being some of my favorite animated shows of all time).I enjoyed Sam Raimi's Spider-Man trilogy (yes, even Spider-Man 3). When I heard that the series was being rebooted, I wasn't happy to hear about it. My expectations were neutral as time went by and when I walked out the theater, my expectations were blown away.I don't want to compare this movie to the original trilogy, but I think it's necessary to see where this movie improved from the originals.Let's start with the casting. Andrew Garfield is a great successor to Tobey Maguire. I can really relate to him like I always do with other incarnations of the web slinger. Emma Stone as Gwen Stacy is even better than Kirsten Dunst as Mary Jane Watson. Gwen is a much stronger character and the chemistry between her and Garfield as Peter Parker is believable. Rhys Ifans is great as Doctor Connors (a.k.a. The Lizard) and I like how he is a ""Jekyll and Hyde""-type of villain (kind of like a few other villains... yeah). Martin Sheen and Sally Field as Uncle Ben and Aunt May, respectively, are also great as well. All the characters are portrayed very well and are believable.The visual effects and the action scenes are good as usual, but nothing new.The musical score by James Horner is also great, although I prefer Danny Elfman's score in the original trilogy because they felt more memorable and left a lasting impression. But, who knows? James Horner's score may grow on me over time.If I have to name some complaints, it would have to be that some parts were rushed (although it's a minor nitpick) as well as a couple of parts not evaluated much. I think an extended cut of the movie would be necessary when it's released on DVD, but that's just me.Overall, ""The Amazing Spider-Man"" is a fresh new start on the franchise. It has superb acting, thrilling action scenes (especially the climax), an amazing score, and being faithful to the comics but at the same time taking liberties to make it more interesting. Best Spidey movie ever? It's too early to tell but maybe. It's definitely worth watching and I am looking forward to the sequel.","31 out of 46 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0948470/rw2641912/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","I really don't get all the hate!","https://www.imdb.com/review/rw2702031/?ref_=tt_urv","TheNorwegianGuy","https://www.imdb.com/user/ur35642927/?ref_=tt_urv","10 November 2012","I admit that I too didn't exactly get that excited when I heard that this was in the making. The Sam Raimi trilogy was a fun ride, and the idea of making another Spider-Man movie with a completely new cast seemed strange and unnecessary. When the cast was announced, I got a little bit curious, but nothing more.However, when I watched it, I got a whole other impression. I really liked it. The atmosphere was great, and perhaps a little darker than the Sam Raimi movies at times. I know many of you who read this will hate me for saying this, but I actually think this movie was a LITTLE bit better that the previous ones. Not much, but just a hint better. One thing is the cast. I really didn't like Tobey Maguire as Spider-Man that much. I didn't have a huge problem with him back then, but now when I saw this, I must say that I like Andrew Garfields ""version"" better. He's a little more tougher, both physically and in personality. Also, I think Emma Stone did good as Gwen Stacy. I liked her better as Peter Parker's girlfriend than Kirsten Dunst. The Villain, too, was great. I won't say more about him, not wanting to spoil anything.When I read many of the reviews in here, I don't see much positivity about this movie. I think that's unfair. At least, it's mediocre. Giving this a 1/10 is criminally wrong. At least I think so. If you wonder if you should see this or not, at least give it a chance. Don't let the bad reviews scare you away.","269 out of 360 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0948470/rw2702031/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","One of the best adaptations.","https://www.imdb.com/review/rw2691142/?ref_=tt_urv","corneliussenespen","https://www.imdb.com/user/ur24209688/?ref_=tt_urv","19 October 2012","Having realized I'm a sucker for all these comic book adaptations, of course I had to see this one as well. I never did like the earlier Spiderman movies, being the main role or the supporting ones, I'm not sure; but they still stand among the movies I'm not eager to watch again. But this one, on the contrary, was actually quite entertaining. Not was it only packed with really great CGI, but it had a great flow built up on both action, drama, romance and humor.At least for me this is what makes a good movie. I never once thought ""Oh, my goodness that was lame"" (which I often actually do), instead I was rather surprised I was laughing out loud in more than one of the scenes.All the actors did a MARVELous job, meaning all the jokes, the depth of the drama, and the sincerity of both the romance and the action stood solid throughout the movie. Speaking of the actors: the casting was brilliant. All of the main actors (and I guess most of the supporting ones) was perfect for their roles, and must have made the script it self proud.","35 out of 57 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0948470/rw2691142/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","The 'BATMAN BEGINS' of Spider-Man films, I'd go as far as to say it's amazing!","https://www.imdb.com/review/rw2639560/?ref_=tt_urv","Hellmant","https://www.imdb.com/user/ur15977902/?ref_=tt_urv","6 July 2012","'THE AMAZING SPIDER-MAN': Five Stars (Out of Five)The 'BATMAN BEGINS' of Spider-Man films, this reboot to Sam Raimi's blockbuster trilogy doesn't disappoint and I'd go as far as to say it's amazing! Director Marc Webb (who made his debut with 2009's critically acclaimed hit '(500) DAYS OF SUMMER') takes over the franchise with Andrew Garfield (of 'THE SOCIAL NETWORK' fame) replacing Tobey Maguire as Peter Parker, a.k.a. Spider-Man. The film was written by James Vanderbilt, Alvin Sargent (who also co-wrote 'SPIDER-MAN 2' and '3') and Steve Kloves (who wrote every 'HARRY POTTER' film). This film focuses entirely on Peter's high school years while he learns to first develop his powers as well as cope with the disappearance of his parents and who his father really was (unlike the original Sam Raimi film). It's also a little more faithful to the comic, in some ways, by having Parker develop artificial web-shooters that he uses to swing around on, rather than being able to produce them physically as part of his super powers. It also goes back to having Gwen Stacy (his original love interest from the comics) as the object of his affection rather than Mary Jane (like the Raimi films). Gwen is played beautifully by 'it girl' Emma Stone (the object of Jim Carrey's obsession). The movie, despite treading on some old ground, is thoroughly entertaining and powerfully well made. This story begins with Peter as a young boy (Max Charles) being left in the care of his Uncle Ben (Martin Sheen) and Aunt May (Sally Field) by his parents (Campbell Scott and Embeth Davidtz), who disappear without ever being heard from again. Peter grows up to be a somewhat awkward teen (Garfield, who's way too old to play a teen) but is much cooler than Parker probably should be; he rides a skateboard and actually flirts (successfully) with his high school crush Gwen Stacy (Stone). One day he finds his father's old briefcase which leads him to seek out his father's old associate, a scientist by the name of Dr. Curt Connors (Rhys Ifans). Gwen actually works at Oscorp with Connors, which is where Parker stumbles into a lab experimenting on genetically modified spiders and is bit by one. He of course develops spider like powers and when his Uncle is killed makes it his mission to fight crime and get revenge. In this film he must deal with Dr. Connors' alter ego, the genetically mutated monster 'The Lizard' (which is the first time the classic Spider-Man villain has graced the silver screen), as well as the police, lead by Gwen's father Captain Stacy (Denis Leary).The movie does go over a lot of the same plot points as the original Sam Raimi hit but it delves a little more deeper in to them. I thought the first two 'SPIDER-MAN' films had a great amount of emotional drama and character development (which is why they're two of my favorite films) but this installment manages to outdo them. It really gets in to the character of Peter Parker, on a relatable level to almost every high school nerd (present or past) and Garfield plays him amazingly. I thought Maguire was about as good a Spider-Man as they could have casted but somehow Garfield manages to outdo him, mostly with passion for the role (he says he cried the first time he put on the costume). Stone is a little cuter and more adorable than Kirsten Dunst, I wouldn't say she's a better actress but it's definitely easier to fall for her character than Mary Jane's (due to Stone's likability). Sheen and Field are classic like always and Ifans makes a memorable insane villain. The acting is definitely a little better in this film but the script is also smarter and more complex and Webb's direction is impressively fitting. I wouldn't say he's as good a director as Sam Raimi but it's nice to see a different take on the series. Besides all the material that's already been done there's definitely enough new stuff to make the film interesting and thrilling. I'd say it's a better reboot film than 'BATMAN BEGINS' even, it's no 'THE DARK KNIGHT' but it is better than Nolan's original Batman film. If you're a fan of the series or the character (and Spider-Man is my favorite superhero) you're sure to be thrilled.Watch our movie review show 'MOVIE TALK' at: http://www.youtube.com/watch?v=AhcS7Q-CkYE","65 out of 97 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0948470/rw2639560/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Had this come out 10 or 15 years ago, I would have loved it...","https://www.imdb.com/review/rw2664327/?ref_=tt_urv","planktonrules","https://www.imdb.com/user/ur2467618/?ref_=tt_urv","25 August 2012","I can't take credit for the summary--my oldest daughter said that when we left the theater after seeing ""The Amazing Spider-Man"". That's because with all the many, many super-hero movies out in recent years, this one loses a bit of something--especially since there are clearly better films of its genre (such as ""Iron Man"" and ""The Avengers""). It's decent but there are better products out there.First, let's talk about what I loved. The CGI was incredible and for the first time it really looks like Spider-Man is flying. It's very seamless and looks brilliant. Also, the Spider-Man costume and movements are all great.What I thought was lacking in the film. It's ALL CGI and special effects--and nothing much more. The characters and dialog just didn't seem all that important. And because of this, it's spectacular to watch but nothing more....nothing. And, while I think about it, why, oh why didn't they include THE most important line in any Spider-Man film--Uncle Ben's line ""With great power comes great responsibility""?! It is the perfect summation of who the character is and according to Stan Lee it is Spider-Man...so why is it missing?!","42 out of 74 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0948470/rw2664327/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"5","/10","The Amazingly Unnecessary Spider-man","https://www.imdb.com/review/rw2643837/?ref_=tt_urv","Ben_Horror","https://www.imdb.com/user/ur22233817/?ref_=tt_urv","17 July 2012","With the success of the first X-Men movie in 2000, Bryan Singer pretty much paved the way for all the comic book movies we see today. That included a certain super hero movie made by Sami Rami in 2002 where a nerdy guy (Tobey Maguire) gets bitten by a radioactive spider and inherits superhuman powers. If Singer had paved the way, then Rami provided the icing on the cake: a faithful, smart, well-acted super hero flick that had as much heart and sincerity packed in as it had all those set pieces. It also lead to a superior sequel and the much maligned, though underrated, third episode.Which brings us to what we have here: while not a beat for beat remake, you get the same story more or less with a different love interest and villain. Peter Parker (Andrew Garfield) sneaks into a research facility and gets bitten by a radioactive/genetically enhanced spider. He gets super powers and becomes Spider-Man. Meanwhile, a doctor (Rhys Ifans) working at the same facility, is being forced to close down his research into tissue regeneration. In desperation, he injects himself with an untested self-generating lizard vaccine and becomes a half man/half lizard thing. Spider-Man is then forced into action to stop him from spreading this contagion throughout the city of New York. Gwen Stacy (Emma Stone) is the damsel in distress/love interest and plays a role in trying to stop the crazed beast.First things first: this is not a bad film. It's well acted by all the principals, has good effects, a scary and menacing villain, some nice action sequences and web swinging effects that are generally slightly more realistic than the Rami version. Parker is more evidently scientific and intelligent here. Also the police's notion that Spider-Man is a menace to the public is more clearly defined, especially in the scene where he disarms an officer. The new idea is that Parker can hear the movements of spiders and it's a good addition. So where does it all go wrong? The short answer: it's just that it's so pointless. We had already seen the story before. There was absolutely no reason to tell it again. This movie could easily have been Spider-Man 4 with Andrew Garfield filling in the Spidey spandex instead of Tobey Maguire. But Marvel – in their infinite wisdom – just chose to tell the same story a second time. Going by that rationale, presumably Andrew Garfield will be cast aside like a disused sock when they inevitably choose to 'reboot' the franchise again in ten years or so. It is a scarily unimaginative tactic and it is one they will continue to do until there is a massive financial failure.This movie follows the same set up as the 2002 version: Parker being picked on, getting advice from his sage-like uncle (Martin Sheen), being bitten, getting his powers/climbing walls, and turning his back on a situation which unfortunately has tragic consequences for a family member. It's all a case of been there, done that. If you want to compare it to the Rami original, then the short answer is; as good as Andrew Garfield is, Tobey Maguire was better. Maguire filled the suit better; on occasion, Garfield is prone to looking thin and scrawny during several scenes. Even the suit looked better in the Rami movies. And those earlier movies had a heart and sincerity – especially in the relationship between Peter and his aunt and uncle that you don't see here. Again we ask: why does this movie exist?And there are holes: there's a massive lizard running around, wreaking havoc; yet the police are more preoccupied with pointing their guns at Spider-Man – despite the fact that he saved a child in a (surprise, surprise) rehashed scene set on a bridge taken from Rami's first movie. In another part, the citizens of the city (once again - in a bit taken from Rami's movie) unite to help Spider-Man cross the city using tower cranes – despite the fact that there are buildings all around him. Heck, even the villain is initially a do-gooder like Norman Osborn and Dr. Octavius – again from the Rami movies.It also seems to pull inspiration from another super hero movie: Christopher Nolan's Batman Begins (2005) in that it's slightly darker, tells such a large origin story that just like Batman Begins, Spider-Man doesn't actually show up on screen for the first hour. So if you take two parts Batman Begins and add a touch of Rami's Spider-Man, the result is what you have here. Additionally, the introduction of the web shooters, while being faithful to the original comics and emphasizing Parker's intellect, is a bit of a mixed blessing. The notion of the web being an organic material rather than being fired from mechanical devices actually made more sense.It's not that reboots are a bad idea, they're not. In certain situations they can work well, provided for example, enough time has elapsed. But there is no point in retelling the same story if the initial release is still relatively recent. In addition, it helps if the story wasn't covered well the first time, or it was a bad movie to begin with. Going by this criteria, Marvel's latest cash cow is unnecessary on all three accounts.In closing, if you haven't already seen the Rami movie from 2002, go watch it instead. If you have seen it, then this probably won't live up to it and you will be left feeling a little underwhelmed. It's fair to say that for anyone over the age of eighteen, this movie will seem rather half-hearted and senseless; for those under eighteen, this movie will probably be the greatest super hero flick ever. Yes, it's a movie that will divide opinions, primarily on the sole reason for its existence. Not a bad, or a badly made flick, by any means just a pointless one.","553 out of 840 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0948470/rw2643837/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Predictability, uninteresting action sequences, and an awful soundtrack keep this film from being on par or even setting its self apart from the previous decade's Spiderman.","https://www.imdb.com/review/rw2647493/?ref_=tt_urv","disgruntledjigglypuff","https://www.imdb.com/user/ur33697461/?ref_=tt_urv","22 July 2012","First off, this is only my opinion, but really my biggest issue with this film was that it was just kinda boring. About 30 minutes in, I already knew fundamentally everything significant that would transpire in the film. Now that in itself might be a given some might argue, however at that point in the movie, I assumed I would still enjoy it as I expected some spectacular action. Had I been impressed with the fight scenes and jumping around being Spiderman I don't think I would have cared as much about the boring story because it would be redeemed in another aspect. However, the action and special effects in the film were also...kinda...boring. In fact the most spectacular visual moment in the entire film where Spiderman jumps of the top of the tower antenna, and it falls with him as he saves himself was already shown to us in the trailer. I won't go into the fight sequences but for me there was just never really a moment that made my heart race. Lastly the soundtrack was terrrrrrrrrrrrrrrrible, feeling very out of place in many parts, most notably the fight between the Lizard and Spiderman in the High School. I would normally assume in a scene like that, which is Spiderman and the Lizard's first real physical confrontation, for the music to be more menacing, however it opts for a very happy and victorious theme music. Considering Spiderman doesn't exactly whoop the Lizard there, it's a little out of place. There is however a memorable humorous scene in that altercation.So...this is just kinda boring and not very exiting, as far as movies like this, I personally enjoyed more ""The A Team"",""Red"",""The Avengers"",""Thor"", the first two Spidermans, (Spiderman 3 was terrrrrrible).","141 out of 283 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0948470/rw2647493/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
