"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"8","/10","The Day I Stopped Trusting Critics","https://www.imdb.com/review/rw6400430/?ref_=tt_urv","Hussein763","https://www.imdb.com/user/ur127045296/?ref_=tt_urv","25 December 2020","This movie was dishonestly mauled by critics and reviewers simply because it was directed by Snyder. Watching this again in 2020, I have to say this will go down as a classic in years to come. It's an absolute blast from start to finish and is one of the most loyal adaptations and faithful to the Superman lore found in DC comics. One of its greatest achievements was the magnificent depiction of Krypton and giving Zod the gravitas and motivation that he lacked in Superman II. You felt empathy for him. Shannon was outstanding in his portrayal of Zod; up there with Ledger's Joker.I remember people actually complained about the level of destruction in this movie and the excessive use of special effects, but for me this is what makes a Superman movie. Take off your nostalgia tinted glasses and watch this with an open mind. This is the greatest Superman movie bar none.","590 out of 676 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0770828/rw6400430/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Ignore the critics","https://www.imdb.com/review/rw7398727/?ref_=tt_urv","Sergiodave","https://www.imdb.com/user/ur47204983/?ref_=tt_urv","1 October 2021","I am old enough to have seen the original 2 Christopher Reeve Superman movies, and the idea of combining them is great. Henry Cavill is a better Superman, Amy Adams is a better Lois Lane, the script is far stronger, the baddies are more believable, I honestly can't understand the negatives; with the exception of the first 20 minutes, which just didn't work. A great attempt, far better than most DC movies, except the Nolan ones.","131 out of 158 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0770828/rw7398727/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","Best Superman to Date","https://www.imdb.com/review/rw5623792/?ref_=tt_urv","insearchof-38402","https://www.imdb.com/user/ur116279971/?ref_=tt_urv","9 April 2020","I love Superman. Every version. I'll defend Superman 4 if you want? But this is the definitive version. The version I've always dreamed of seeing - the version I'd write if I could have. Challenging, thought-provoking, insightful. Not there to be a poster child, but rather to be an inspiration. Inspiration comes through internal struggle and strife, not through BANG BANG, POW POW. I wish DC had more faith in this storyline - cause it was clearly going somewhere wonderful. #ReleaseTheSnyderCut.","371 out of 443 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0770828/rw5623792/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","The soundtrack is epic.","https://www.imdb.com/review/rw7588797/?ref_=tt_urv","vessalalizadeh","https://www.imdb.com/user/ur118772758/?ref_=tt_urv","26 November 2021","Henry Cavil is my Superman. He's the best Superman ever. Interesting story, with deep meanings and realism. The camera work is not so good, some parts is good but others it feels like a Michael Bay film. The action sequences are pretty intense and excessive. However the soundtrack is probably the best thing of the movie. I've told it again, Hans Zimmer is a brilliant worker in music. The music names of the movie that I really love is:Flight
Sent here for a reason
If you love these people
What are you going to do when you're not saving the world?Look to the starsJust beautifully pieces in my ears. Overall the movie could have been much better, but I appreciate that it's underrated. For me, the best scene of the entire movie is when Superman learns how to fly in the first time. Just, a masterpiece scene.","40 out of 56 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0770828/rw7588797/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","Criminally Underrated","https://www.imdb.com/review/rw6190874/?ref_=tt_urv","sivam-66902","https://www.imdb.com/user/ur125342709/?ref_=tt_urv","20 October 2020","It is the most criminally Underrated superhero movie ever. It's also the movie that made me love Superman .Zack Snyder best work and Hans Zimmer was amazing. Visuals , Storytelling and Action scene were top notch .Too bad this movie did not get a proper sequel","230 out of 278 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0770828/rw6190874/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Better than WW84","https://www.imdb.com/review/rw6431751/?ref_=tt_urv","dannysaiz","https://www.imdb.com/user/ur64391325/?ref_=tt_urv","1 January 2021","I was really happy with the origin story aspect of this movie... although I would have liked to see more of Kevin Costner's character. I didn't see this until New Year's Eve 2020 and had heard a lot of comments about the movie... positive land negative. Exceeded my expectations.","32 out of 46 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0770828/rw6431751/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","Ahead of its time","https://www.imdb.com/review/rw6396924/?ref_=tt_urv","deanmalakiy","https://www.imdb.com/user/ur119900260/?ref_=tt_urv","25 December 2020","I never had the opportunity to see this film in theatres, though, after my first viewing at home, I was instantly blown away by the tone, visuals, soundtrack, story, performance, thriller and action to this film.Man of steel truely felt as though it was an alien invasion film set in our present time.Superman has literally searched to find himself and when he does, he must learn not only learn his origins, though his abilities and how to use them.He was bound to question himself and make mistakes along the way and following his journey is something I'm extremely excited for.Most certainly a superhero film for adults.","234 out of 284 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0770828/rw6396924/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","A Brand New Superman You've Never Seen Before","https://www.imdb.com/review/rw2812176/?ref_=tt_urv","chrysoberylz","https://www.imdb.com/user/ur23577940/?ref_=tt_urv","13 June 2013","This is not like all the previous Superman movies. This is not ""Smallville"". This is not the sequel of ""Superman Returns"". This is ""Man of Steel""! This movie is awesome.I am not a big fan of Superman but this is the best Superman movie I've ever seen. (Christopher Reeve's version is also good, but this Man of Steel is better. And.. the Brandon Routh's version? Naaaaah...) The plot is really structural. Not so many flashbacks, so you won't get confused. The whole storyline is just really simple. It told the very beginning of Superman and then, yeah, his adulthood.The special effects here, I think it is as awesome as Marvel's Avengers. Yeah, alien and superheroes, what do you expect? Battle scenes are good, I can feel Zack Snyder ""300"" sensation in here.Henry Cavill succeeded bringing a whole new version of Superman to the big screen. He wiped out all our knowledge of the previous Superman movies and replaced it with a darker version of Superman (Nolan's kinda ""darkness"") This movie is enjoyable. See? There's still hope for DC Comics' superheroes movies.","603 out of 1,085 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0770828/rw2812176/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"5","/10","Remember that sinking feeling you had watching The Dark Knight Rises?","https://www.imdb.com/review/rw2812625/?ref_=tt_urv","arthurcooper","https://www.imdb.com/user/ur13518369/?ref_=tt_urv","13 June 2013","I wanted to like this movie. Admittedly, I went in with high expectations, but I thought the names behind the movie, the actors and the beautiful trailer justified my high hopes.And - at first - I thought it was all going to work out. For the first 40 minutes or so, this movie is awesome. Krypton, an ALIENated Clark Kent doing odd jobs on earth, a confused boy trying to cope with his powers...Some reviewers have bashed the movie for being too serious, but there's nothing wrong with a little seriousness, or a little reverence towards the character. In the first half, I think the tone is perfect. A little dark, sure, but it all feels like we're building up towards something truly awesome. Then, kind of suddenly, the main story with Zod and the action starts. And, as much as I love action movies, I really wished it hadn't.When the serious actions starts, all coherent story telling stops. In the blink of an eye the movie goes from feeling like a sci-fi Batman Begins to Transformers 3 minus the nuanced story telling. Suddenly Superman is here and we get these big sweeping beautiful scenes, and they're just completely boring and out of place. And I don't even want to talk about the totally contrived Lois Lane - Superman romance. (Lots of sighs, and ""WTF?"" comments at the theater I was in).I kept waiting for it to recapture the tone of the first half, but the action just keeps getting bigger and dumber. In the middle of the unending action spectacle of the second half, I actually nodded off.This movie had the creative talent, and the actors to make something really great. And I feel like without a Michael Bay explosion quota maybe they could have done it here... But in the end this is a missed opportunity.","1,056 out of 1,862 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0770828/rw2812625/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","What's with all the hate?! I LOVE MAN OF STEEL!!!","https://www.imdb.com/review/rw6083663/?ref_=tt_urv","russellquisenberry","https://www.imdb.com/user/ur76726852/?ref_=tt_urv","11 September 2020","Am I one of the few people who actually love this movie? Man of Steel has beautiful visuals, an amazing cast ensemble, and action scenes to blow you away. The story is better than that awful Superman Returns movie and it's like the actors are doing their best. It's no Wonder Woman or Aquaman, but its a very fun watch and completely unforgettable!!","201 out of 249 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0770828/rw6083663/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
