"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"8","/10","Too realistic...but it had to be!!","https://www.imdb.com/review/rw3358409/?ref_=tt_urv","techno_lime28","https://www.imdb.com/user/ur19849358/?ref_=tt_urv","20 November 2015","I always saw The Hunger Games' movies as a thrilling representation of the corruption and tyranny that's invading this world, and as a young Egyptian who lived through two recent revolutions, we know a great deal about the consequences of civil war, and how dirty the fight can be over political power. This movie hits right home with this theme in a way that democratic and luxurious societies won't understand or enjoy.Mockingjay pt2 delivers a suspenseful and emotional ride as Katniss and the other rebels set out on a mission to kill the ruthless president Snow. The film plays heavy on its politics, showing the ugly side of revolutions. It would have been easy to make a pure good vs. pure evil scenario, but the movie shows a lot of gray areas and stresses on the fact the no one is incorruptible, which is far more enjoyable in terms of storytelling.The film also does justice to its characters in their final journey, and has great performances by its two leads. J.Lawrence excels in portraying a determined Katniss fighting to subdue her tortured emotions for the sake of a bigger cause, she perfectly balances the strength of making sacrifices and becoming merciless in war without losing her humanity. Hutcherson gives his best acting shot as a confused Peeta fighting battles both on the ground and within his mind, and his monologues arrive with several meaningful moments that remind us of what 'The Hunger Games' were all about. However, its D.Sutherland's and J.Moore's sickening performances as two similar nemeses, that elevated this young-adult film to a whole new level.But the film is anything but flawless, it has several problems which we can blame on the editing team, the slow pace of the film focuses too much on Katniss and her group that makes you forget about the outside war, and when the time came when the size of the rebellion showed itself, you don't get enough of it, which in my opinion is the biggest issue with the film. However, this was never meant to be a full scale war film, it was always, presented from one person's point of view, which is understandable. Another issue I found was in how the movie had several deaths of main characters but doesn't spend enough time to pay tribute to them, not as much as they did with Rue in the first film. Nevertheless, instead of lingering on the imperfections, I applaud Mockingjay Part 2 for the bigger message its trying to convey, for creating a satisfying resolution to one of the strongest and most enduring heroines in cinema, and for respecting its audience and not sugarcoating anything. People are complaining about this final chapter being too grim, my parents thought it was too realistic, too similar to what's happening in our country and so many others, but to me...that was necessary. I can only wish that movies like this will in some way contribute in making a wiser next generation of political leaders, which is what the film offers ultimately as consolation; a last sense of hope for the future.","61 out of 96 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1951266/rw3358409/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","The dystopian world of Panem loses color and gains a lot of life in the process.","https://www.imdb.com/review/rw3358533/?ref_=tt_urv","Diogo_Costa","https://www.imdb.com/user/ur11421587/?ref_=tt_urv","20 November 2015","What began as a funny 'Battle Royal' for teens comes to a conclusion as one of the best blockbusters in recent memory. It's almost unbelievable how the tone progressively changed from the colorful brutality of the first film to the grayscale palate of a very real world portrayed in Mockingjay - Part 2. The conclusion to 'The Hunger Games' saga is slow, dark and heavy. Starts gloomy and goes downhill from there. It feels anti-climatic and manages to achieve levels of tension only grasped by the previous films. All at the same time. The fascinating thing about the film is how unexpected and unforgiven it is. The struggles feel real as do the consequences, and hopelessness permeates all of it.The film has its shortcomings. It starts slows, drags a little on some scenes and contains some lazy writing, but other than that it's almost perfectly executed. Jennifer Lawrence is flawless as Katniss and majestically leads the devastating journey towards its conclusion. Part 2 is bold and devastating. It may not be the conclusion some fans wanted, it sure wasn't what they're expected, but it's a way better conclusion than one could hope for. A thank you note to Francis Lawrence for the eerie sewer tunnel scene, which plays as the love child of ""Alien"" and ""The Descent"" - very unusual in tone and something no one is expecting to watch in a blockbuster​ of this size.","53 out of 88 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1951266/rw3358533/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Epic end to Hunger Games","https://www.imdb.com/review/rw3357998/?ref_=tt_urv","saulvitner","https://www.imdb.com/user/ur63897230/?ref_=tt_urv","20 November 2015","I just saw the movie last night and I've gotta say it was an epic end. Really emotional and has a strong theme. I was reading through some reviews and saw people who say it was rushed and I don't know what they were talking about. How is a story divided in two 2 hour parts in any way rushed? If anything it was dragged out. One thing I found a bit off though was how most deaths were completely bloodless, which wasn't the case in the books at all. It did keep true to the book for the most part which is always good when making adaptations. The beginning started pretty much where the last film ended. The ending was satisfying and bittersweet and did not disappoint. Probably both the darkest and the most epic of all Hunger Games films. Overall it's a great movie and epic end to the franchise. I recommend it for all Hunger Games fans.","35 out of 57 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1951266/rw3357998/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Katniss, Thank you Forever!","https://www.imdb.com/review/rw3354405/?ref_=tt_urv","CineAutoctono","https://www.imdb.com/user/ur60657951/?ref_=tt_urv","13 November 2015","Maybe even it takes a week of its release but want to leave my last words to Katniss and company. Although still not be released will be very convinced that this last part will be fantastic and memorable, where the first gave yourself as a volunteer to protect your sister , to deliver everything in the Hunger Games to survive, when you showed courage for the things Snow that has made against you , because you supported your friends , do feel the incredible book adaptation Collins has become an unforgettable adventure.I want to congratulate Jennifer Lawrence by this magnificent role of Katniss , where I play an actress of world class and one of the heavyweights of Hollywood , which never ceases to amaze with its distinctive and unbeatable talent, I also congratulate Josh Hutcherson, Liam Hemsworth , Woody Harrelson and Elizabeth Banks, and even Phiip Seymour Hoffman who is in heaven , and at least congratulate Donald Sutherland for the role of villain hated by fans of the saga, and i commend especially the director Francis Lawrence and his team for what he has shown us in this amazing story .Katniss, Thank you Forever!","34 out of 59 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1951266/rw3354405/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Certainly has Many Great Moments, but an Overall Disappointing Finale,","https://www.imdb.com/review/rw3362584/?ref_=tt_urv","lesleyharris30","https://www.imdb.com/user/ur23055365/?ref_=tt_urv","28 November 2015","The Hunger Games: Mockingjay- Part 2 is a good movie with a well developed storyline and a terrific cast. It's a reasonably pleasing finale to the four part series, all of the character archs are wrapped up quite nicely, and there's some good twists throughout, even one that had me jumping off my seat. The chemistry between all the main cast members is still evident and it's sad to think this is the last film where we'll see them portraying these characters. Admittedly, I expected better, the first part of Mockingjay is very slow paced, but I could forgive it because I was expecting this part to be an action packed, intense adventure, and it's a little underwhelming in the end, the story dosen't move around as quickly as it should, lingering on certain plot points for far too long, and our interest in Katniss's relationship between Gale and Peeta begins to ware thin. The best scenes in this movie are certainly Lawrence's confrontations with President Snow, played miraculously by Donald Sutherland, he's great in the other movies as well, but here he really gets to shine as the sinister, evil character he really is. My biggest problem is that they decided to break Mockingjay in to two parts in the first place, it may have worked out well for Harry Potter but that's because it felt like they genuinely wanted two movies to wrap up the story properly, here, however, it just feels like they did two movies to make more money, and because of that, instead of getting one outstanding finale to the series, we get two that are both disappointing sequels to their predecessors. It may be a bit underwhelming as a finale to the series, certainly not as good as Hunger Games or Catching Fire, but The Hunger Games: Mockingjay- Part 2 is still worth the watch because of its impressive special effects and terrific performances, and if you're a fan of the previous movies then I don't have to tell you to go see it, any fans of action should get a kick out of it. Katniss must lead an army against President Snow as the destruction of other districts increases. Best Performance: Jennifer Lawrence","24 out of 43 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1951266/rw3362584/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Amazing ending to The Hunger Games.","https://www.imdb.com/review/rw3356951/?ref_=tt_urv","mistoppi","https://www.imdb.com/user/ur46804064/?ref_=tt_urv","18 November 2015","I love The Hunger Games trilogy mostly because it is so dark and brutal, and even if Katniss does what she has to do, she still suffers from everything that has happened. In a badly written version of the novels Katniss would behave like nothing ever bothered her, which would make her just seem violent and rash. When we know everything has gotten to her, we know what she is sensitive, we know that everything has actually touched her. The most horrifying thing is when you realise how young Katniss actually is. The original point of the novel series was how kids were forced to fight in the arena, and how a kid actually became the most important person to the resistance. Think about when you were 17, would you have been able to unite people against your oppressors? That's a really horrifying thought - and that was the point Collins was trying to make. Jennifer Lawrence is excellent as Katniss. She portrays her social clumsiness well, but also her emotional weaknesses and her bravery. She's a great actress, but there should've been someone else playing her, someone younger (and Native), because then it would look as terrifying at it was meant to.Not all the events from the novel were included in the Mockingjay part 1 or 2. It's understandable especially when it comes to the part 2. For example, Katniss, Finnick, Johanna and Peeta being trained for the war? It would take too much time to show everything, considering how long the film already was.Some people are complaining about how they should've made the Mockingjay into a one film. I disagree. It is one film, but in two parts. And it works this way, because the second part starts so well - it starts exactly where it should start considering what happened in the end of Part 1. It works as two parts, and there was no need to wrap the story up any more. It was very dense already - things happen quickly but there is still time for important dialogue.The music in these films is almost unreal because of how beautiful it is - and it still is astonishing in the last one.The Hunger Games: Mockingjay part 2 is dark and brutal, but it has hope, some amazing hope that after all that darkness makes everything better. It's an amazing finale for the best young adult science fiction stories I have read or seen.I feel weird that it's all over now. Suzanne Collins has created amazing characters who were portrayed so well over the years - or left out, as the case may be. Thanks for the ride, it has been amazing.","80 out of 138 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1951266/rw3356951/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"5","/10","Ends with a whimper rather than a bang.","https://www.imdb.com/review/rw3590450/?ref_=tt_urv","BA_Harrison","https://www.imdb.com/user/ur0945066/?ref_=tt_urv","2 December 2016","Reluctant symbol of the revolution, Katniss Everdeen (Jennifer Lawrence) leads a small group of freedom fighters into Panem to try and assassinate the wicked President Snow (Donald Sutherland).When they split Mockingjay into 2 parts, presumably for no other reason than financial gain, there was always the concern that the story would be far too drawn out (as with The Hobbit). And despite several decent action scenes (including booby-trap pods, a tidal wave of tar, and a mutt attack) that's precisely what has happened: at a whopping 137 minutes, this last film in the series feels like the proverbial dead horse has been well and truly flogged.I watched purely for the sake of completion, but at no point did I feel involved in the story or engaged with the characters. I just sat there waiting for the whole thing to end so I could move on to something else. A shame, because if they had taken the good bits from both Mockingjay movies and combined them into one (slightly longer) film, it might have been the best of the series and a fitting finalé for Katniss and co.","66 out of 83 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1951266/rw3590450/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","A fitting finale to The Hunger Games franchise.","https://www.imdb.com/review/rw3362547/?ref_=tt_urv","Anurag-Shetty","https://www.imdb.com/user/ur31646645/?ref_=tt_urv","28 November 2015","The Hunger Games: Mockingjay - Part 2 concludes the adventures of Katniss Everdeen(Jennifer Lawrence). After the events of The Hunger Games: Mockingjay - Part 1(2014), Katniss, Peeta Mellark(Josh Hutcherson), Gale Hawthorne(Liam Hemsworth), Finnick Odair(Sam Claflin), Boggs(Mahershala Ali), Cressida(Natalie Dormer) & the rest of the Rebels will have to take down President Snow(Donald Sutherland) & the evil Capitol, once & for all. As the war of Panem spirals out of control, & the Capitol attacks any district that opposes them, Katniss' life & the lives of her allies & loved ones are at risk. The Hunger Games: Mockingjay - Part 2 is a fantastic film. It is a satisfying & emotional end to The Hunger Games series. All the action set pieces are top notch. The special effects are superb. The underground set piece is one of the highlights of the film. Don't worry though. This film is not just a mishmash of action scenes. There are plenty of heart touching moments too. This movie takes all the best aspects from The Hunger Games(2012), The Hunger Games: Catching Fire(2013) & The Hunger Games: Mockingjay - Part 1(2014), to become my favorite film in the franchise. There are so many twists & turns in the film that will keep you guessing right till the end(if you haven't read the books, of course). The suspense factor is a welcome addition, that didn't feature in the previous three films. A minor flaw would be the 3D. Although it works in a few scenes, overall the 3D is unnecessary. Just watch the movie in 2D, if you have an option. Director Francis Lawrence has given fans a perfect end to The Hunger Games movies. Jennifer Lawrence is outstanding as Katniss Everdeen. Josh Hutcherson is spectacular as Peeta Mellark. Liam Hemsworth is brilliant as Gale Hawthorne. Woody Harrelson is awesome as Haymitch Abernathy. Donald Sutherland is menacing as President Snow. Philip Seymour Hoffman is good as Plutarch Heavensbee. Julianne Moore is great as President Alma Coin. Willow Shields is impressive as Primrose Everdeen. Sam Claflin is superb as Finnick Odair. Mahershala Ali, Jeffrey Wright & Jena Malone are effective as Boggs, Beetee & Johanna Mason respectively. Stanley Tucci & Elizabeth Banks are super as Caesar Flickerman & Effie Trinket respectively. Natalie Dormer & Elden Hensen are awesome as Cressida & Pollux respectively. The supporting cast are great as well. The Hunger Games: Mockingjay - Part 2 is a must watch.","55 out of 95 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1951266/rw3362547/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","The Hunger Games: Mockingjay - Part 2","https://www.imdb.com/review/rw3358328/?ref_=tt_urv","abouhelier-r","https://www.imdb.com/user/ur30136144/?ref_=tt_urv","20 November 2015","As the war of Panem escalates to the destruction of other districts by the capitol, Katniss Everdeen, the reluctant leader of the rebellion, must bring together an army against President Snow, with all she holds dear hangs in the balance. So here we are, we made it to the end of The Hunger Games movies and I most definitely not enjoyed all of them. For all fans, this is the moment they've been waiting for. The films, first of which was released in 2012 have ranked in more than $2 billion worldwide at the box office and made a global star of their leading lady: Jennifer Lawrence, perfect mix of fury and resignation. In fact, The Hunger Games movies - on their own, separated from the books - have been a true phenomenon, let's be honest. It's almost weird that the four of them came out so quickly to each other. This sudden burst of popular culture that is now over.If you haven't seen Mockingjay - Part 1 there's nothing to catch you up on the events of the first half of this movie, or for that matter, the first two movies. By now you either know what is going on, or you came to this film with a friend and you don't care anyway, so moving on. Part 1, as I wrote back then was all setup and no payoff. It was truly disappointing. Though, I really should know when a film has a ""Part 1"" tagged onto it, I'm not going to get a complete story out of what I came to see. Still, here viewers finally get their payoff. It's by far the most polarising instalment of the saga. They took all that time to build compelling characters in Part 1 just to allow some subtle character's moments. Indeed I liked some of the direction they took with the characters, especially Peeta, he's genuinely messed up and his character development made him as deep as he's ever been. Before he was just one of the guys in the love triangle. Plus, this time it was a similar feeling as earlier this year with Furious 7. Even though an actor we liked was no longer with us, we'd still get to see him one last time: to say goodbye. In this case it is the last time we'll see Philip Seymour Hoffman. And even though I thought I had myself mentally prepared, it's still pretty shocking. Looking at Hoffman on screen, I couldn't help but whisper to myself ""Man, this guy will be missed..."" While being ""sort-of"" heroic, Katniss Everdeen is frightened all the time. She spends the whole story being forced into situations she doesn't want to be in. nearly always she acted out of naive sense of what was right, starting with her decision to take younger sister Prim's place in The Hunger Games. However here, like little Frodo Baggins, crushed by his heavy burden over the course of three films, she's not quite the same person - for the first time - she was when her adventure began. Jennifer Lawrence skillful performance holds the centre, letting everything the dialogue doesn't say play across her face. Katniss seems to understand the symbolic weight she's been asked to carry. If only it didn't have to hang so heavy... At the end of the day Katniss can only rely on one person: herself. If I'm being completely honest Katniss Everdeen, by herself, is not really an interesting person to me. We all love her and we are all rooting for her; but Katniss as a person is just boring.In comparison to Part 1, Part 2 feels almost like non-stop action. In fact, Part 1 was a very unnecessary movie. I really don't think this final chapter needed to be split in two film, as it was very slow paced and sometimes we can find little shades of that left over in Part 2. Yes, there are parts of this film that are deathly snail paced slow, and for some parts it's working as some sequences are meant to be very serious and poignant. Nonetheless, the production values are still above grade. The series has veered far from the realm of traditional YA entertainment; for all intents and purposes, Part 2 is a war movie. This is a overly dark and sad film, there's barely a ray of hope coming through the cloud throughout the entire runtime. Halfway through we even get an elaborate underground sequence that almost feel like something out of a zombie movie but certainly not The Hunger Games. Or maybe something more out of the director's prior film, I Am Legend. At this point, you might even start to wonder how a YA audience will handle scenes scary enough to make you long for the relative mutant-free safety of The Martian (Matt Damon may be 50 million miles from home, but at least he's alone). The gradual building of suspense during the actual siege of the Capitol and all the traps were grand, they are everything you would imagine game makers of the actual Hunger Games would make but in a city. Finally, director Lawrence does allow enough room for audiences to process what is unfolding before them, working at a classical pace for the saga. You get excited for a second and then it goes back to this crushingly slow pace which doesn't raise high stakes. At least, the script is clearly more concern with the mass-media manipulation of combat footage than what is actually happening in the trenches.Overall most of The Hunger Games fans will find enjoyment in this last chapter of their beloved franchise as it is actually an enjoyable movie with some exciting action; but as the final instalment, it doesn't really justify everything you walked through to this moment.","13 out of 23 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1951266/rw3358328/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"4","/10","Yes,they managed to do it.Worse than part 1.","https://www.imdb.com/review/rw3428643/?ref_=tt_urv","panayiotisblack","https://www.imdb.com/user/ur50361292/?ref_=tt_urv","9 March 2016","OK,it's not that part 1 was good,you actually knew it would suck,but the 2nd really grinds my gears. You have in your hands a civil war,the final battle into the heart of the capital,and you spent 2 hours of your life watching your main character taking a walk in a war zone. And with all that time strolling,you have no character development,for none of them,just a few moments that the movie is like ""Ok,from now on,that's how things are"". I watched this for closure,i wish i hadn't.I didn't expected it to be a great movie,just a good action one,and it failed.Miserably. For goodness sake,London has fallen had more character development than a book based quadralogy,LOTR had less walking..good riddance to the series.","380 out of 562 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1951266/rw3428643/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
