"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"7","/10","Not his best shot","https://www.imdb.com/review/rw8735282/?ref_=tt_urv","LonelyGhost","https://www.imdb.com/user/ur3920999/?ref_=tt_urv","14 December 2022","The visual effects are amazing. But Cameron should be better than this.I'm a big fan of Mr Cameron. Not only for his directing skills, but also for his screenwriting skills. But this time he seemed to have missed the goal. I know he rarely does sequels. But is this the best he could do? The story has not changed anything compared to the previous episode. Repeated crises, repeated enemies, repeated conflicts,and wait a minute,WHAT? Even repeated Titanic. Are you serious?As a director, he also did not reach his previous level. For a long time, the pace of the film felt too slow. Yes, the underwater scenes are phenomenal. But this is not the Blue Planet, this is a sci-fi action movie. At least it's what most audiences expect from the film, isn't it?","278 out of 416 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1630029/rw8735282/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","CONTINUE TO BE A VISUAL SPECTACLE, BUT...","https://www.imdb.com/review/rw8735256/?ref_=tt_urv","loikwonghung","https://www.imdb.com/user/ur107895580/?ref_=tt_urv","14 December 2022","With over a decade of technology improvement, the movie provides even better visuals, more believable CGI(not that the first one didn't), it also continues the beautiful cinematography.But, the script is far inferior to the last one. The movie tries to focus on ""family"", and with Jake and Neytiri already had a movie, this one focus heavily on the children. But most of the plot lines fall into the trap of being a set-up for sequels. A few plots left unanswer in the end and a few plots begin after the mid point and already wrap after just after being introduced. Some of the charcaters are downgraded into 1 dimensional and some do not learn anything meaningful throughout the story. And the focus of the movie shifts completely once entered the third act which diminishes all the set-up from before.In conclusion, definitely a must watch, better visuals but slightly worst script.","172 out of 254 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1630029/rw8735256/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Damn James Cameron...","https://www.imdb.com/review/rw8735920/?ref_=tt_urv","Dory_Darko","https://www.imdb.com/user/ur14277539/?ref_=tt_urv","14 December 2022","He did it again. And I don't even really understand how. He has some kind of mysterious, special power that he secretly wields over us and we don't even notice. That's how he keeps tricking us into spending all our hard-earned money to see his movies, so much so that we've made him the most commercially successful director of all time. Because these are James Cameron's most typical trademarks, for pretty much all of his movies, which he has once again dutifully employed in Avatar 2:~ The story is paper-thin.~ The dialogue was written by a 16-year-old intern.~ The soundtrack is unbelievably cheesy.~ The lead actor has no discernable acting skills.~ The bad guys are all 100% completely evil, and the good guys are all but entirely saintly.~ The message and moral of the story are about as subtle and nuanced as a jackhammer.And yet.....IT'S SO DAMN COOL.The world he and his visual design team have created is truly a work of art... It's stunningly beautiful, creative and inventive and it makes you want to be there so badly, it hurts. The action sequences are reliably awesome as always, and there are some truly heartfelt emotional passages. In all honesty, the story is awfully predictable, and an almost step-by-step rehash of the first movie. But it's damn near impossible to be bothered by this, because the magic is there, and it's real. And the whales... Oh my god, the whales. Or whale-like creatures, anyway. Absolutely spellbinding. The familiar characters are precisely the same as they were before, and it makes the past 13-year wait seem like nothing at all. It's like meeting with friends you haven't seen for a while. I especially love Zoe Saldaña, she was always the shining star of Avatar, and she's just as mesmerising here, even if her screentime is a bit shorter. The new characters are all good, strong additions to the whole. Cliff Curtis is very powerful as the Sea People's chief, and Kate Winslet is absolutely unrecognisable as his mate, which is as big a compliment as I can think of.But the biggest, and most pleasant surprise, are Jake and Neytiri's children. All but one, played by young, virtually inexperienced actors who all understand their assignments perfectly. They are, without exception, lovely and engaging and very real. They each have to deal with their own respective troubles that come with their coming of age, and all these young performers were cast perfectly. I loved them. The ""but one"", however, is one of the most surprising character/performer pairings I've ever seen. Sigourney Weaver plays a 14-year-old. Yes you read that right. And it's amazing. She's amazing, it's all amazing...Damn James Cameron. If he was a superhero, his name would be Magic Movie Man.","1,053 out of 1,679 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1630029/rw8735920/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","A movie worth going to see at the cinema","https://www.imdb.com/review/rw8735049/?ref_=tt_urv","Harkonnen2","https://www.imdb.com/user/ur32541501/?ref_=tt_urv","14 December 2022","The movie while not fantastic storywise was very enjoyable and well worth going to see it. The visuals where beyond fantastic and makes this years other blockbuster CGI look like a joke. Would recommended strongly seeing it in 3D, while its mostly a novelty that because in most cases its done cheaply as a gimmic. Not in this case .The biggest suprise was how they returned some of the characters from the 1st movie which just fit right in.You either go see it in the cinema (biggest screen possible) or don't bother watching it at all. If your thought is to wait and stream it, save yourself 3hrs and don't bother (unless you have a great home theatre (even then....)","617 out of 1,003 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1630029/rw8735049/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","James Cameron's triumphant return","https://www.imdb.com/review/rw8735171/?ref_=tt_urv","Jeremy_Urquhart","https://www.imdb.com/user/ur26226712/?ref_=tt_urv","14 December 2022","It's hard to believe the sequel to Avatar has actually come out. After 13 years and what feels like half-a-dozen delays, it's officially here.As someone who was surprised by how much that 2009 movie held up on a recent viewing, and therefore had high expectations for a sequel, I'd say it lived up to the hype. Maybe it's a little less great, but I'd have to sit with it a little while longer before I could be sure.First of all, this movie is long. 192 minutes long. I didn't feel the length, in all honesty. I got wrapped up in the movie and how it looked and sounded so much that it probably could have gone on another hour and I still wouldn't have felt restless. It's one of the best-paced 3+ hour movies I've ever seen... and you could argue it's even paced a little too fast in the first act, thanks to a time-skip that means the viewer has to be caught up to speed quickly.Visually and effects-wise, it's perfect. Numerous expensive blockbusters are released every year, but few are given the time that Avatar 2's clearly been given. As such, it looks leagues better than any other $100 million-plus movie released in the last few years. The 3D is great (not something I'd say often), and it finds stunning new areas of Pandora to explore, thanks to the extensive underwater scenes.Story-wise, I'd say it's a little less predictable than the first, which has a story that seems to bother some people. If anything, James Cameron might only be criticised for borrowing too much from himself - introducing child characters made me think of Aliens and Terminator 2, while parts of the action scenes in Avatar 2 will look a little familiar to anyone who's seen Titanic, The Abyss, or even Terminator (1984).There's a little corny dialogue, a couple of slightly clunky scenes early on, and a lack of a definitive climax, seeing as there are more sequels planned. There are problems, but they barely matter. The strengths of this movie are overwhelming, and make this a must-watch in cinemas. It just felt great to see a blockbuster like this again; it's been a while.","1,196 out of 1,989 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1630029/rw8735171/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Sink or Swim: Why 'Avatar: The Way of Water' Fails to Make a Splash","https://www.imdb.com/review/rw9009121/?ref_=tt_urv","daredevilx90","https://www.imdb.com/user/ur58141747/?ref_=tt_urv","22 April 2023","""Avatar: The Way of Water"" is a disappointing sequel that fails to live up to the high expectations set by the original film. While the movie boasts stunning visuals and a unique underwater world, it lacks the emotional depth and compelling storyline that made the first film so memorable.The biggest issue with ""Avatar: The Way of Water"" is its lackluster storyline. The plot is thin and predictable, with little to no character development. The film relies heavily on clichéd tropes and predictable twists, leaving the audience feeling underwhelmed and uninvested in the outcome.Another problem with the movie is its pacing. The movie is slow and meandering, with scenes that drag on for too long and fail to move the story forward. The underwater scenes are beautiful, but they can also be overwhelming and repetitive, leaving the audience feeling numb rather than immersed in the story.The characters in ""Avatar: The Way of Water"" are also disappointing. Despite the efforts of the talented cast, the characters are one-dimensional and lack the depth and complexity of those in the original film. Even the villain is cartoonish and uninteresting, with no real motivation or backstory to make them compelling.Overall, ""Avatar: The Way of Water"" is a lackluster sequel that fails to capture the magic and emotional resonance of the first film. While it may appeal to fans of the original for its stunning visuals and familiar world-building, it ultimately falls short in terms of storytelling and character development.""","12 out of 12 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1630029/rw9009121/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","Film making at its finest","https://www.imdb.com/review/rw8745293/?ref_=tt_urv","yogesh-palai","https://www.imdb.com/user/ur49596552/?ref_=tt_urv","19 December 2022","This is an art. You may not be moved much by the story. But you cant deny the experience.I'd goosebumps 10-15 times atleast just by looking at those mind boggling beautiful frames.Talking about the story, it may appear like lot of build up right from start, the end action sequences almost lasted for an hour and boy, oh boyy those beautifully transitioning frames will ensure your mouth remains open just because of its sheer beauty. At times it looked soo beautiful I almost cried a little.You may feel I'm bit exaggerating, may be I am. But 1 thing I'd bet on is, you can't deny the experience.THE EXPERIENCE is why I'm rating this 10/10.","58 out of 85 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1630029/rw8745293/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Another technical achievement for James Cameron but the story is simple and forgettable","https://www.imdb.com/review/rw8736298/?ref_=tt_urv","jaysonpajaronvistal","https://www.imdb.com/user/ur158145467/?ref_=tt_urv","15 December 2022","I decided to rewatch the first Avatar last night before watching Avatar 2 and I am always in awe of how stunning the visuals are; it was a crowd-pleaser and more agreeable for the general audience. However, with the first Avatar, the story was basic and simple---it was rather forgettable. The thing is, the Avatar franchise has a simple story but it was told grandly. 'Avatar: The Way of Water' was a captivating visual feast, with every attempt beautifully framed via painstakingly flawless CGI, but the message about protecting your loved ones is not new to us, but it was ingenious. James Cameron's level of perfectionism translates to the audience; the details of every frame are precise and I can't help but wonder how on earth he has done that. It is the simple plot accompanied by such technical achievement that has always been the formula for almost all of Cameron's movies, not just Avatar. Simplicity is not a bad thing.Just like in the first Avatar, characters are established a lot, and there is not much emotional attachment during the first half. However, the thrill and excitement peaked during the second act were worth it---This is the trick for most highly-budget films, they will entice you with visual and technical achievement, but the story is not that grand nor special for the audience to keep talking about it in the next 5 years. The Pandora world Cameron takes us to is excellent and magnificently conceptualized, but the story is missing the emotional draw that made this film a pretentious masterpiece. Though the visuals are still magnificent, it's difficult this time not to recognize the repetition of the story and the limited character arcs the movie presented. You will remember Avatar---aside from blue people---as a movie with impeccable and out-of-this-world visuals, but the story remains forgettable.Some films are just pure escapism and sometimes that's what audiences need, and this is what Avatar 2 delivered. Avatar 2 doesn't necessarily check all those boxes to become a great film, but what it does right will offer viewers moments of astonishment, full-body immersion, and beauty. You can easily watch the movie and points out its mistakes and flaws, but it is hard to resist the fun and adventure the film delivers throughout its 192 minutes runtime. It is clear that James Cameron is making this movie for a general audience, and while imperfect, it certainly seems to serve its purpose.","283 out of 456 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1630029/rw8736298/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"4","/10","Messy and Inconsistent Plot Points, Over bloated With Teen Melodrama, But Pretty Visuals","https://www.imdb.com/review/rw8834199/?ref_=tt_urv","dommercaldi","https://www.imdb.com/user/ur96338646/?ref_=tt_urv","29 January 2023","Pros:
1. For the most part, the movie has exceptional visuals and produces some stunning scenes, especially in the water. This film definitely serves as a love letter from James Cameron (Director) to the ocean.2. There are some touching scenes when it came to Jake (Sam Worthington) and Neytiri (Zoe Saldana) caring for their family, and teaching them to care for each other.3. There are some entertaining action sequences that are engaging.4. The strong emphasis on family, and the importance to said family, is refreshing and a positive message to take away.Cons:
1. Plot-wise, this film was pretty much a rehashing of the first one as the evil humans come to conquer Pandora, but are beaten back by the virtuous Na'vi's.2. The run-time is far too long, and the script definitely isn't expansive enough to effectively fill out the 3 hour runtime. At least an hour could have been shaved off, especially with the boring teen-melodrama between the Jake's kids and the water tribes' kids.3. There are moments where the animation looks a little janky.4. Jack Champion (Spider) cannot act, and his character is both annoying and pointless. Spider just exists as a weak conduit to humanise Quaritch.5. Quaritch (Stephen Lang) and his marines are supposedly deadly and well-trained, but they pretty much lose every conflict, no matter how big or small, that they're engaged in. Moreover, the whole point of them coming back to Pandora as Na'vi was to infiltrate the world and get closer to Jake to kill him. However, they retain their marine get-up and weapons (which makes them stick out like a sore thumb), and their tactics used to flush Jake out, consists of them laying siege to Na'vi villages, torturing and killing the villagers, and then setting said villages aflame.6. Jake is depicted as virtuous and brave as he decides to leave the forest to protect his people from Quaritch, but he has no problem in seeking sanctuary with the water people and putting them in danger. He just saves one people at the expense of others.7. It seems almost every drama and conflict is initiated by Neteyam (Jamie Flatters) and Lo'ak (Britain Dalton) disobeying Jake. It quickly becomes a tired and overused plot device to move the story along.8. The pro-environmental message is far too preachy and in your face. It also lacks subtlety in presentation like the anti-colonial messaging in the first movie.9. There's no nuance at all. The humans, who have actually travelled to Pandora in order to seek survival for humans, are portrayed as unequivocally evil, polluting and selfish, whereas the Na'vi are noble, courageous and in touch with nature. A deservedly more balanced viewing of the motivations of the humans could have added a lot more depth and intrigue into the story.10. This film ret-cons one of the most interesting plot points of the first movie, wherein the humans needed to link their live bodies to a machine which would transfer their consciousness to a Na'vi avatar. In this film however, it's revealed that humans have invented a microchip which allows them to upload their thoughts, emotions and personality traits to it. This not only now makes their second invasion of Pandora redundant as they're effectively immortal now, but it removes a big source of tension that the first movie had when Jake's human body was being hunted down by Quaritch. Moreover, as established in this film, they had invented this technology during the timeline of the first movie, so why didn't they use it?","357 out of 437 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1630029/rw8834199/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","What a a ride!","https://www.imdb.com/review/rw8744996/?ref_=tt_urv","accsailgl","https://www.imdb.com/user/ur160155061/?ref_=tt_urv","19 December 2022","Take the movie for what it is, a beautiful story, stunning visuals, and a call for harmony. Just enjoy the ride, it truly is a feet of visual engineering that has never been rivaled. The world building is amazing. The story is not absolutely perfect, the dialogue is rough in spots but the story as a whole makes up for the lack of complex writing. The action sequences are long and complex but they never lost my attention. Definitely one of the best films of the year. I can not wait to see what's next for this series. There are so many options for the future directions of the films. With no doubt, just bye in,","8 out of 9 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1630029/rw8744996/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
