"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"8","/10","Hated it at first, I like it more each time I re-watch","https://www.imdb.com/review/rw2902167/?ref_=tt_urv","shangsta","https://www.imdb.com/user/ur15272836/?ref_=tt_urv","9 November 2013","The first time I saw this movie I really didn't like it, I had just come off the high of ""The Avengers"" and let me make it clear, this one isn't as good. That said it is significantly better than Iron Man 2 and that's because the story is deeper and direct. There's a lot less focus on explosions and fancy effects (although there is plenty of that) and more on dialogue and character development.One thing I like about this movie is that you get to learn more about Tony Stark, as much as I loved his arrogance in IM1, 2 at the end of Avengers he was humbled and that continues in this one. On the one hand I love the suits and the fancy technology but it's Robert Downey's sarcasm and wit that make him so great for this franchise.Yes there is a big plot twist but it by no means ruins the movie and while I was not a fan of the ending, you can see where things are going towards Avengers 2.It may not be for you, my only advice is to make sure you watch it again. I was angry the first time I did and thought the movie was a joke, each additional time I've watched it I take something more from it and enjoy it a little more.","136 out of 171 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1300854/rw2902167/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Usually the third movie in a series is a let down","https://www.imdb.com/review/rw6051445/?ref_=tt_urv","JayPatton88","https://www.imdb.com/user/ur67826053/?ref_=tt_urv","31 August 2020","Not in the case of Iron man III in the Iron man trilogy.","36 out of 50 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1300854/rw6051445/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","Overall, Iron Man 3 will divide many avid comic book fans, but is still a fun, exciting, and damn entertaining conclusion to the trilogy.","https://www.imdb.com/review/rw2949057/?ref_=tt_urv","hasserbond","https://www.imdb.com/user/ur50180847/?ref_=tt_urv","25 January 2014","Heres the story; playboy billionaire industrialist engineer Tony Stark, aka Iron Man, is recovering from his battle in New York against aliens with the help of the Avengers, Marvels cannon of action-prone and muscle bound heroes. He's previously rebuilt his body after being held captive by Middle eastern extremists, in the process created a metal, enemy pulverizing suit, equipped with flying jets and energy blasters of course, defeated his crazy competitor, a vengeful, bird loving Russian, and now an alien race. Bottom line: the man's had his fair share of ass-kicking. This understandably, is beginning to effect him. He's having anxiety attacks and the fact that a supposed terrorist labeled the Mandarin is targeting civilians, and maybe even some friends of Mr. Stark, isn't helping. Sure enough as the story progresses, his pals, president, prodigy, love, and life are on the line. With out giving away many of the films twists and turns, Tony ends up somewhat back where he started and must find the tools to save his fate before time runs out and you know the story. Or do you...? The good: Iron Man 3's action sequences dazzle with ""Marvel-ous"" (sorry couldn't help myself) visual effects, but the real show stealer is the films extremely clever, frequently hilarious, and awesomely self aware humor. Shane Black peppers the script with so much chewable wit and varying, unexpected twists that you can't help yourself from having a great time amidst the violent chaos, even though some may find the jokes distracting. I beg to differ. RDJ owns the role and steals the show as Iron Man once more. Per usual, he adds in his perfect mixture of narcissistic snakiness with evolving dramatic struggles, but never takes it all to seriously. Not only does he do well, but the entire cast all are fairly strong and add their fair share of laughs, deliciously evil or humorously likable moments, and seem to be having a good time as well. The story is thick but presented in a well paced and orchestrated fashion and it strings together the explosions in a clean juxtaposition (oxymoron?) with it's reveals and character developments. The special effects are top notch and immerse the audience into the fast paced action sequences, and they also carry the torch on from The Amazing Spiderman in which the SFX are a slight notch more realistic and crisper than previous Marvel outings of the past 3 years. And now for the direction, while Shane Black doesn't completely steal the show visually, he sure as hell puts his personal stamp on the film, and I welcome it. He has taken the previous material and blended it with his different style and humor and created what I believe to be a more unique and quirkier superhero flick that delivers much of what it promises, but surprises as well in areas you wouldn't expect. Many die hard comic fans will be angered or even infuriated by the liberties Black takes with the source material, but again as a non-comic book reader, you won't hear any complaining from me. I love his ambition and some of the daring choices he makes along the journey. In conclusion I think that he has tied an equal parts goofy but still satisfying bow on the explosive trilogy, and has made me excited for more Marvel outings to come. As a side note, go into it with an open mind, stay after the credits, you won't be disappointed!","15 out of 23 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1300854/rw2949057/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","An enjoyable film that in the end will leave you with a big: ""Thats it?""","https://www.imdb.com/review/rw2789148/?ref_=tt_urv","lickisgxt","https://www.imdb.com/user/ur36309498/?ref_=tt_urv","28 April 2013","Spoiler free review:Its not really worth going much into detail, after all this movie follows the classic RDJ - Stark formula. For me and the audience, it was just as good as it was first presented in Iron Man 1. It keeps you entertained along the movie, some good laughs here and there, cool tech, Decent action sequences, etc. You can't really hate the character, his quirks and gadgets regardless of the plot.The trailer and the first part of the movie sets you in a dark atmosphere not seen and experienced in the 2 previous installments. You know that very soon things will get serious and bad for our main characters, the downfall is imminent. But then as the movie progresses, one keeps expecting some real trouble; a ruthless, merciless and powerful villain to reign over the story...And it happens of course, (without revealing anything), it just that is really nothing special, really. The plot ends being flat and its just as rewarding as Iron Man 2 plot. Positive aspects: -New tech and gadgets: It is shown and comes across the story in unpredictable moments and ways. Really fun -I liked the soundtrack, it gave the movie more depth and feeling. I think it was better than previous installments, only it got repetitive at the end of the movie -A+ visuals and effects -Bad ass Suits and actionsNegative: -A lot of the plot aspects are left behind mid film. Some of them are poorly handled and explained and are just thrown or taken out of nowhere to keep up the pace of the film -villain does not delivers 100%: A superhero movie is not only about the main hero, the villain is just as important.Comic reader or not, it will be fun film. Just don't expect anything big that will leave you talking and thinking about the matter for a couple of weeks. When you walk out of theater you will be pleased for sure, the movie is worth it after all. It just that its not what many expected and it will just leave you with a big: ""Thats it?","163 out of 326 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1300854/rw2789148/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","🌠 RDJ Is His Entirely { Expected } Utterly Spectacular Self, Along With ( Every ) Other Principal.. But Kingsley & Paltrow { -""Dazzle""- } ..With A Sheerly Blinding Light 🌠 .","https://www.imdb.com/review/rw5580065/?ref_=tt_urv","Radio-1s_Mr-MovieMad-Ami_104-1FM","https://www.imdb.com/user/ur77586437/?ref_=tt_urv","26 March 2020",""" A { - Mini - } Review "" .{ Tony Stark sets a fire in a Diner's kitchen to keep Brandt out. To his horror, she walks right thru, & just keeps coming at him } .
Tony : "" You walked right into this one : I've dated hotter chicks than you... "" .
Brandt : { Scoffs } . "" Is that all you've got ? A cheap trick & a cheesy one liner ? .
Tony : "" Sweetheart, that could be the name of my autobiography "" .
{ Tony suddenly 'dashes' out of the kitchen door, as his hidden booby trap ""Spectacularly"" blows up the -( entire )- kitchen, killing Brandt ...""Instantly"" } .So this Review is about "" Seven years too late "" , your'e thinking ? . Well you're spot-on . . . . . But, quite frankly, So What ? ! ! This picture's a Wonderful, Meaningful, & indeed "" Fun Drenched 🤣❗"" Grand Finale to the Globally Beloved ' Ironman Trilogy ' . The Producers , Director Shane Black 🌠 , & of course Robert Downey Jr. Himself.. ' Well And Truly Shine ' ...in their - entirely - Remarkable effort to give Tony Stark's Ironman as much of a { - "" Human Face "" - } as possible... as against just 'hiding' him inside one of his - phenomenally - Formidable Iron Suits for a ( potentially ) disproportionate length of screen time. To those who may say that the whole ' Extremis ' aspect of the plot is Just { - Too - } "" Far Fetched "" ...I need only remind you of the following ....{ - Fact - } .This film, which is essentially based on a whole bunch of Marvel Comic-books, is... { Like ( - All - ) other such films } ....'At the end of the day' . . . . . { A science "" Fantasy "" } . Enough Said . Separately, I want to extend a 'Huge & Hearty' Thank You 💐 to { - All - } 3 aforementioned parties for keeping the movie so "" Impressively Honest "" . By that I'm ( quite specifically ) referring to things in the film such as the Mandarin's ' Deliciously ( 😅❗) Brutal "" Great Satan Takedown Rants "" . . . . . ( - All - ) of which were at the very least - "" Based On "" - Solid, Undeniable, { - Historical - } . . . . . Truths 💎 . And finally... look out for some Absolutely "" Mesmerising "" - { Acting } - from Ben Kingsley's ' Mandarin ' & Gwyneth Paltrow's ' Pepper Potts ' ....who ( - Both - ) have a few completely { - Massive - } Surprises .....in store for you 🔥 😉 .My Summation : This Is "" As Close To Perfect 💯 "" As ...What Is Essentially... A { - "" Fantasy "" - } Film Could Ever Get . It Is , All Said And Done..... Vivaciously, Ridiculously And "" Deliriously 😍 "" .....Enjoyable . A { - "" Wildly "" - } Wholehearted , Exuberant 13 Marks Out Of 10 😉 💥❗.","150 out of 208 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1300854/rw5580065/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","It grew on me","https://www.imdb.com/review/rw6258428/?ref_=tt_urv","SebMoz","https://www.imdb.com/user/ur118818818/?ref_=tt_urv","11 November 2020","I was a little worried when going into this movie, as the third movie is rarely the best of a trilogy. And sure enough, I felt a little disappointed when I was done. And then I sat down to think about it. And the more I thought, the more I realized what a good movie I had just watched. I think what put me of at first was the lack of Iron Man, as in the suit. This movie is more about the character of Tony Stark dealing with his personal issues, and I think that was the right call. His character and his relationsship with Pepper is expanded on in a natural way, and his struggles feel realistic and like a logical progression for him as a character. The movie suffers a bit from a few unnecessary characters and scenes in the middle of the movie, and there are some other pacing issues, but for the most part, the movie is well-structured. It also has a villain with a pretty cool design, even if he is rather bland and boring as a character. The action is well made and has a decent amount of tension as well. This is definietly a step-up from Iron Man 2, and while it's not as good as Iron Man 1, it's definietly a fun time that I don't regret watching.","3 out of 3 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1300854/rw6258428/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Mediocrity abounds.","https://www.imdb.com/review/rw2795924/?ref_=tt_urv","PWNYCNY","https://www.imdb.com/user/ur6458242/?ref_=tt_urv","11 May 2013","This movie has lots of special effects and lots of noise and lots of excellent actors, but it forgot to include one thing: a story. Well, actually, there is a story, of sorts, but it is so superficial as to render it moot. This movie is proof that special effects alone do not make for a good movie, or for even a fair movie. When Miss Penny has to bail out Iron Man, that's a sure sign that the script department is desperate. But that aside, the story is so shallow and the bad guys so predictable that the movie loses dramatic power, rendering it stale. Of course, this can happen when a comic book story is transposed onto the screen. If not portrayed correctly, the story will not be taken seriously, and the movie tanks. Iron Man 1 and 2 managed to avoid that problem; this movie does not. As a result, we have an Iron Man who offers nothing new and is dealing with bad guys who are laughable. Ben Kingsley's performance is a joke. Robert Downey Jr. is, as usual, excellent as Iron Man, but without a viable script, his presence cannot save this movie from its mediocrity, and who wants to watch mediocrity?","139 out of 280 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1300854/rw2795924/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","A risk-taking third solo outing for 'Iron Man' with plenty of payoff","https://www.imdb.com/review/rw2913948/?ref_=tt_urv","Movie_Muse_Reviews","https://www.imdb.com/user/ur2496397/?ref_=tt_urv","30 November 2013","How will Marvel's universe ever be the same after ""The Avengers""? There's bound to be a vocal percentage of viewers who walk out of ""Iron Man 3"" thinking, ""why didn't he just call his superfriends in the end?"" It's a good question, one that Drew Pearce and Shane Black's script doesn't ignore, but never satisfyingly answers. Yet that doesn't seem to matter. The bigger question that Marvel has addressed is whether it could effectively narrow the scope of its universe again after ""The Avengers"" blew it open—and the answer is yes.Tony Stark (Robert Downey Jr.) hasn't been the same since his near-death experience in a intergalactic wormhole at the end of ""The Avengers."" In fact, the words ""New York"" have become a trigger for his newly discovered anxiety attacks. He has spent his funk by building an inordinate amount of Iron Man suits, and specifically a remotely operated suit that he can summon through a biological tracking system. When a terrorist named the Mandarin (Ben Kingsley) emerges, hacking U.S. airwaves to spread fear and causing thermal explosions, Tony calls him out on his cowardice, a move he immediately regrets.As the script continues to introduce all the players in this third iron-clad outing, from Guy Pearce as Aldrich Killian—a think tank manager Tony spurned 13 years ago—to Don Cheadle's Col. Rhodes who has a new gig as the stars-and-stripes-studded presidential bodyguard Iron Patriot, the film appears as a sloppy mess likely to meet the same fate as ""Iron Man 2."" Only when Tony begins to pursue the mystery of the terrorist bombings do all these seemingly disparate pieces begin to come together into what's actually a rather clever story.Story structure aside, the script does boast plenty of Stark quips in case you worried the directorial turnover from Jon Favreau to Shane Black would alter the tone of the franchise. Not even close. If anything, the ""Kiss Kiss Bang Bang"" director pushes the boundaries of political correctness with some of the dialogue, especially in the scenes in which Tony finds himself teamed up with a 12-year-old boy.""Iron Man 3"" digs deeper into the psychology of Tony Stark, at least more than you'd expect from a blockbuster. Rather than open with an action sequence to get the ball rolling, we get a flashback to when Stark met Pearce's Killian as well as a genetic engineer named Maya played by Rebecca Hall. Things don't really begin to pick up until Tony has his mansion blown into the ocean.Not unlike ""Iron Man 2,"" the film's action is largely reserved for the grand finale. Still, the amount of special effects shots is probably tripled, and the action sequences when they do come were written to be as unique and memorable as possible, with a skydiving sequence taking the cake. ""Iron Man 3"" hits big whenever it makes the effort to do so, proving again how Marvel Studios holds a quality entertainment standard rivaled by few.The ""Iron Man"" films (and this is partly fault of the comic) lack truly excellent villains. This film sets up Tony Stark's greatest nemesis in the Mandarin, but complicates it in a way you'll never see coming considering how studios and writers have flocked toward villains in the mold of Heath Ledger's Joker from ""The Dark Knight.""The movie gambles in that way and in other ways not all audiences will recognize. Take the boy for example. If the film failed on the whole, it would forever be remembered as ""the 'Iron Man' movie with Tony Stark and that kid."" That's dangerous territory. If ""Spider-Man 3"" had worked, everyone wouldn't refer to it as ""the one with emo Peter Parker.""Nothing gambles more than the script, which spends a lot of time setting up the premise for what it hopes will be an effective payoff. So much of the film seems anecdotal until you see how the pieces fit. Even then, there's no guarantee the audiences will be compelled by the completed puzzle, but ""Iron Man 3"" goes bold enough to surprise in a good way.The humor definitely misfires at times and the sense of danger doesn't pervade the film from start to finish, but considering how must third installments have sputtered (""Spider-Man 3,"" ""X-Men: The Last Stand""), it's testament to a number of quality components at work behind the scenes, not excluding ""The Avengers,"" which clearly reenergized Iron Man as a solo character. Without it, no way ""Iron Man 3"" opens with nearly $175 million after the critical disappointment toward the second.Few actors have truly created and owned a character like Downey Jr. and Tony Stark. Without him, Iron Man is just a second-class superhero in Marvel's canon. He single-handedly launched Phase One of Marvel Studios' plan and gave audiences a multi-dimensional hero with both despicable and lovable qualities. If he powers down the suit after ""The Avengers 2,"" it'll be the end of an era.~Steven CThanks for reading! Visit moviemusereviews.com for more","46 out of 68 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1300854/rw2913948/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","A new type of Iron Man movie","https://www.imdb.com/review/rw3074617/?ref_=tt_urv","bowmanblue","https://www.imdb.com/user/ur1406466/?ref_=tt_urv","24 August 2014","The third instalment of the highly-successful Iron Man franchise goes off in a different direction to its predecessors. I'll assume that 'part 3' (not including the Avengers) won't be people's first helping of Iron Man lore and they'll probably have a shrewd idea of what to expect from the previous episodes.However, the film-makers have decided to go in a slightly different direction with this one. I can see their point. It may have felt a bit 'samey' to have yet another villain wearing a suit of armour to battle our sarcastic hero Tony Stark, so they decided to downplay the suits of armour for the better part of the movie. Instead they focused more on 'the man' himself, utilising his deductive powers, rather than just blasting baddies with his lasers.And, to be blunt, while some people loved it, others hated it. So if you're looking for yet another superhero movies with larger than life baddies and plenty of high-tech, suit-wearing, destructive action, you may feel a little cheated. There is plenty of action (and a suitably explosive climax), but a lot of it involves more hand to hand fighting from Stark.Personally, I thought it was quite a refreshing turn for a superhero film. Tony Stark always has been and always will be, Iron Man. If I just want to see him in the suit itself, I have parts 1 and 2 to watch. Nice to see something different. Roll on part 4 (and the Avengers 2).http://thewrongtreemoviereviews.blogspot.co.uk/","46 out of 69 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1300854/rw3074617/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","""Unbelievable""... but not in a good way.","https://www.imdb.com/review/rw2792204/?ref_=tt_urv","discard001","https://www.imdb.com/user/ur36215896/?ref_=tt_urv","4 May 2013","This was a Disney/Marvel collaboration. Perhaps one problem was that it was too much Disney and insufficient Marvel.The thing I was conscious of at many points throughout the movie, was that in ridiculously violent fights between unarmored and unprotected simple flesh and blood humans... no one gets hurt. In Road Runner cartoons, when the anvil flattens the Coyote, it's quite funny due to its ludicrous overstatement. But the real parts of a movie involving humans -- which are intended to be believable -- really need to remain believable... or it's asking too much from a mature audience.As a Science Fiction lover, I am more than willing to suspend my disbelief for the sake of immersion into a new idea. I loved the first IronMan, and have watched it many times. So I will gleefully imbue a robotic suit with any levels of strength and power the story may require. That's fine. Bring it on. Thrill me. But I know the limitations of an unaided human body. We all have one. And what I saw far too much of, against human flesh, was a level of coyote-flattening violence that was utter nonsense.Despite the fact that I have no doubt IronMan will break US domestic box office records, as it already has overseas, I think that ""Oblivion"" was the far better movie so far this summer./Steve. (@SGgrc and http://www.grc.com)","144 out of 295 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1300854/rw2792204/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"4","/10","Iron Man 3 is not the best in the trilogy but is still an entertaining movie","https://www.imdb.com/review/rw2810712/?ref_=tt_urv","Simionski","https://www.imdb.com/user/ur10487540/?ref_=tt_urv","10 June 2013","Iron Man 3 is, for me at least, one big letdown. It is not a bad movie but it certainly is not what you'd expect after The Avengers. Robert Downey's charismatic take on the character was the big reason of the success of the previous movies in the franchise and he still hasn't lost his charm. He delivers his lines as witty as he can but at one moment the jokes become one too many. The movie derails from what it should be and becomes a comedy. And not in the good way. Most of the jokes are out of place in moments which should be dramatic and thus the scenes cannot be taken seriously.Ben Kingsley is great but the weak script doesn't do any good to the main villain. And a superhero movie needs a good villain which Iron Man 3 hasn't.Don Cheadle's character is mismanaged and doesn't contribute to the plot or the movie in any way.One of the good things in Iron Man 3 is Tony and Pepper's relationship which is handled really well and the chemistry between the actors reflects on the screen.The ending is forced in a way but after all the film ends on a high note. It certainly could have been better but given as it is Iron Man 3 is a good continuation to the story of Tony Stark that leaves you with wanting more and we all know at some point Robert Downey we put on the suit again and maybe we'll get a movie on the level of the original.","51 out of 89 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1300854/rw2810712/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Iron Man 3: The Human Side Of Tony Stark","https://www.imdb.com/review/rw2943784/?ref_=tt_urv","CMTiago","https://www.imdb.com/user/ur44841124/?ref_=tt_urv","17 January 2014","After being totally thrilled by The Avengers, I didn't expect exactly the same amount of greatness in ""Iron Man 3"", yet I still needed a solid story to keep me interested. There were two things that I was certain were going to satisfy me: Robert Downey Jr. 's performance and the special effects. Granted they did not disappoint, however aside from that, I either accepted all other aspects or felt they were done in a messy fashion.The plot consists of a terrorist called the Mandarin threatening America's safety and teaching its president and people a lesson. After his friend Happy Hogan is put into a coma thanks to one of the Mandarin's attacks, Tony vows to strike back. But after an attack from his enemy leaves him homeless and weaponless, Tony must find a way to stop his foe's plans while reevaluating his troubled existence. Downey Jr. hits the ball park once again with his Stark character showing his usual playful charm, but also his vulnerability at times. The events that took place in The Avengers take a heavy toll on the character and RDJ plays it quite professionally. Other characters were sort of a bore to me with Pearce's Killian as an exception. The plot once again fails to make sense, making it more comparable with the second rather than the first. Overall the film entertains and the visuals combined with the leading man's appeal make for an enjoyable time, however when it comes to the story it doesn't come close to Marvel movies like the first Iron Man and The Avengers.Rating 8/10","17 out of 28 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1300854/rw2943784/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","Wonderful! They absolutely played this one just right.","https://www.imdb.com/review/rw2786382/?ref_=tt_urv","stargatesam","https://www.imdb.com/user/ur5128916/?ref_=tt_urv","22 April 2013","I love the fact that Marvel knew ""we can't go bigger than we've just gone."" Meaning that to try and follow Avengers with bigger wild action would have been futile. So, they went in a unique, deeper and more powerful direction. Sure there are stunning action sequences but everything is in context of a greater theme and the entire story. They absolutely played this one just right. They let The Avengers sit on its own and didn't do anything but feed off the momentum and actions of that film. Everything here is focused on Tony Stark and his immediate universe. Avengers 2 is the last thing on anyone's mind watching this and, as much as I loved Avengers, that's a good thing. Everything needs to kind of re-set and take a breath. This movie is NOT concerned with being connected to anything larger or having Nick Fury come in and solve or oversee anything. The events in The Avengers are addressed but only felt as to their effect on Tony's psyche. This movie is about Tony Stark's journey after we've seen him last. It really does perfectly explore his character and develops him deeper than we have seen since the first act of the very first film. It really is the perfect way to go and everything is exceptionally well done.","46 out of 94 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1300854/rw2786382/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
