"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"8","/10","I don't understand the bad reviews","https://www.imdb.com/review/rw5810239/?ref_=tt_urv","km-equines","https://www.imdb.com/user/ur50150727/?ref_=tt_urv","9 June 2020","This movie was actually really good! I thoroughly enjoyed it, the characters were great, storyline was intriguing, and acting was good. I expected a 6.6 movie, but got one way better than that.","46 out of 56 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1731141/rw5810239/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Not enough space...","https://www.imdb.com/review/rw3424011/?ref_=tt_urv","jlajdova","https://www.imdb.com/user/ur3130665/?ref_=tt_urv","29 February 2016","I hesitated to watch this movie for a long time - reason being my endless love for the adapted book, which is my absolute favorite. It is needed to be said in the review, because even with all the effort it is impossible for me to review the movie without influence of the book.Movie did actually better job than I expected. I liked the cast of the main characters, Harrison Ford and Asa Butterfield. Both did very good job. A big positive surprise for me was the visual aspect of the movie, I liked it actually so much, it is the main reason, why I keep my rating for the movie so high despite the negatives.The biggest problem of the Ender's Game adaptation is the race against the time. The movie tries to squeeze huge amount of information in a short time and it just does not work. I cannot imagine, how I would feel without having any background information from the book. Even if we can discuss whether the ""Earth"" sideline with Ender's siblings has to or doesn't have to be in the movie (it does not), there is the main storyline describing Ender's time spend in Battle school and it is handled so shallowly and quickly, it hurts. This story just needs more space. Without it there is almost no character development. No emotions towards side characters, like Bean or Petra or all the others, barely recognizable for the viewer. Even the great ending is ripped of emotions partially because of it. I felt all the aspects of the movie are more handled as trailers to that aspect than actually diving into it. And it is a pity.It was still a nice experience, seeing the universe come to life.Remember, the enemy's gate is down!","38 out of 46 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1731141/rw3424011/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Needs an extended version","https://www.imdb.com/review/rw2953503/?ref_=tt_urv","Jerghal","https://www.imdb.com/user/ur1866601/?ref_=tt_urv","2 February 2014","The box-office failure of big budget (110m$) book adaptation 'Ender's Game' doesn't bode well for the future of my favorite movie genre. Writer Orson Scott Card has had many offers since the book release in 1985 to turn it into a film. He rejected many of them because of creative differences and because most Studios insisted on making Ender older (in the book he's 6 to 10 years old). There were plans in 2003 by Warner Brothers to let Wolfgang Petersen have a go at it with a script written by Card himself. Card's script was a fusion of 'Ender's Game' and 'Ender's Shadow'. In 2010 Gavin Hood got attached as director and screenwriter and the script became based on the first book again with plans to make it into a franchise or a TV series if successful. Unfortunately EG made only 112m$ worldwide (although it opened first place in the US with 27m$) so all future plans have been put on ice. It's really a shame because as far as science fiction flicks go this really is one of the better ones. The VFX were done by Digital Domain who also co-financed the film and they look absolutely stunning. This film will a good 4K showcase Blu-ray when they finalize the format at the end of 2014. The film follows the book quite closely but because of the time constraints of the film medium a lot of events had to be compressed and some subplots where eliminated. 113 mins really is too short, an extra 40 mins or so would have let more room to expand on Ender's training etc. Altogether I think most fans of the book will be happy with the end result but it it just lacks the depth the book had to offer. So hopefully they make a 3 hour extended version (depending on how much material they shot) on BD to give the story more time to breathe.","62 out of 79 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1731141/rw2953503/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Science fiction semi blockbuster","https://www.imdb.com/review/rw3047847/?ref_=tt_urv","seany-exton","https://www.imdb.com/user/ur53878687/?ref_=tt_urv","10 July 2014","I went into this movie with no preconceptions at all.The only thing i'd heard about this film was the title.I'm so glad i didn't read up on it first because i think this would have spoilt it for me.For the best part of the film its shot in space which credit where credits due is filmed fantastically what with the like of Gravity not long coming out and stealing all the limelight for its display of life in space and hands down it certainly deserves its merits.With that aside Enders Game is a marvel in itself.Great direction and production in this leaves you happy that you took the time out to watch this.A good cast of young actors who lead the movie very well and you can easily bond with these characters they portray.Iv'e given this movie only a 7 because with all its positive ingredients and an interesting plot line it still lacks something that i can't put my finger on.With that aside its still a must see for any science fiction fan.","27 out of 33 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1731141/rw3047847/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","The book, the movie and a video game","https://www.imdb.com/review/rw2904448/?ref_=tt_urv","antcasq","https://www.imdb.com/user/ur3018496/?ref_=tt_urv","12 November 2013","When I watched the Ender's Game trailer for the 1st time browsing the IMDb and I though: Here's a Sci Fi movie that I will probably see. My life went on and a few months later I saw the trailer again mentioned in a space video game called Skyjacker (Skyjacker - Starship Constructor update 20 in August). I got curious enough and decided to read the book first and watch the movie in November. Then I discover that there wasn't only one book, but a bunch of them. The Ender's Game saga!I'm a bit lazy when it comes to reading, so I decided to listen to the audio books instead :) I got lucky, since from the author's point of view this is the ideal medium for enjoying the story. The author also had some concerns about making a movie since:1- In the book the narrator is inside the character head. Making a movie with 3rd person speaking the thought of another one all the time would not work very well for the viewer.2- The kids must be very young about 6 to 12 years old and it's very hard to find outstanding actor at that age that can give the required dramatic performance.3- There should not be a love story and Hollywood tends to take advantage of the teenager feelings to do thatI was skeptical about the movie and unfortunately I was right. However they were able to do somethings right:What's wrong with the movie then?-- The training should take years, not days-- Ender's ascension to power is not credible. He fought too few battles to be promoted to commanderThey should have taken special attention to the cast. If the Bonzo character supposed to be funny, I assure you that none of the Ender's Game books fan laugh when saw him!The movie should have been split into two parts, in order to develop the Ender Wiggin personality and make is ascension on the Battle School credible. Also since they had Bean from the beginning why not develop him too? With a 2 parts movie everybody would have won. The producer would sell 2 movies for the price of producing 1. After the 1st movie the book would sell as hell and people would still be interested to see the 2nd part of the movie.Last, but not least, I must say that Human fleet looks good, although compared to the Skyjacker video game fleet it just feels shortTaking all into account I gave this movie a generous 7, when it had the potential to be a 9 or 10, if the had done it right!","5 out of 7 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1731141/rw2904448/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Tragedy the sequel was never made","https://www.imdb.com/review/rw7923430/?ref_=tt_urv","bbosma-24403","https://www.imdb.com/user/ur124830183/?ref_=tt_urv","6 March 2022","Apparently Enders Game was considered a flop and only just broke even. Hard to understand, because it's a truly excellent movie. The plot is very good, the cast outstanding, the production top quality and even though it's science fiction, it's very believable. And something else; it was very poignant. Overall far better than the Maze Runner and Divergent series. Oh, and Harrison Ford was perfect for the part.","55 out of 67 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1731141/rw7923430/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Very enjoyable movie that doesn't do justice to the book","https://www.imdb.com/review/rw2898001/?ref_=tt_urv","clark44","https://www.imdb.com/user/ur9272474/?ref_=tt_urv","1 November 2013","As a fan of the book, I really wasn't sure I wanted to see this movie. Great books hardly ever adapt into good films. But my friend wanted to see it, so I agreed to tag along on opening night. I have to say, as a movie, it is genuinely enjoyable. The visuals are starkly entrancing without being distracting. The casting is pitch-perfect - Harrison Ford and Asa Butterfield, in particular, do a great job. The ending is particularly well done (don't worry - it wasn't really spoiled by the trailer). The problem is, it's really just a caricature of the book. The drama in Battle School moves too quickly, the characters of Peter and Valentine are almost completely absent, and even Ender's video game is sadly underdone. I'm not usually a fan of splitting books into multiple movies, but this is one where two films would have done it justice. Also, the kids are just too old - there's an ironic moment in the movie where two officers talk about how conscripting kids under 15 ""used to be illegal"", yet all the actors playing the kids look 15 or older!Still, it's a fun ride, and if you hadn't read the book these flaws really wouldn't be apparent. Definitely see it in the theater if you can - the battle room scenes are best on a big screen.","228 out of 345 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1731141/rw2898001/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Fun & exciting. Geared toward teens but adults will like it as well. The violence isn't anything for parents to be worried about","https://www.imdb.com/review/rw2911763/?ref_=tt_urv","cosmo_tiger","https://www.imdb.com/user/ur23018536/?ref_=tt_urv","25 November 2013","""In the moment when I truly understand my enemy. Understand him well enough to defeat him, then in that very moment I also love him."" After an attack on Earth by an alien race the International Military Academy will do anything it take to keep it from happening again. Colonel Graff (Ford) is in charge of training and finding the future leaders. When he watches a young soldier named Ender Wiggin (Butterfield) he thinks he has found the future. I will do this review in two parts. First of all this is a fun and exciting movie that is geared toward teens but adults will like it as well. The effects are great and the violence isn't anything for parents to be worried about at all. For then entertainment factor alone I recommend this for all families. The second part is about a deeper meaning. I could be reading way too much into this and I don't mean to get political but the movie is kind of a metaphor for the Iraq war. I don't want to give anything away but if you go into it with that mindset you will see what I mean. I know the book it is based off of is older then the war but when you watch it you will see what I mean. Anyway what I'm trying to say is that this is a good family movie that I recommend. Overall, exciting and entertaining and me and my son both liked it. I give it a B+.","3 out of 4 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1731141/rw2911763/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","A warning about the obscenity that is militarism.","https://www.imdb.com/review/rw3832855/?ref_=tt_urv","lomd","https://www.imdb.com/user/ur1849554/?ref_=tt_urv","16 October 2017","I have read the first two Ender books years ago, so I knew what to expect from the movie. And it delivered. ""Ender's Game"" is a deeply disturbing tale of a child made into a monster by the fears of his society. Much like ""Neon Genesis Evangelion"" at its most puissant, it makes one wonder what is there in humanity worth protecting, and at what price.","31 out of 49 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1731141/rw3832855/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Stunning but Rushed","https://www.imdb.com/review/rw2927431/?ref_=tt_urv","Nevele","https://www.imdb.com/user/ur5957032/?ref_=tt_urv","23 December 2013","I won't make this a long review. Ender's game was a highly enjoyable movie to watch. The surroundings, the spaceships, the planets, all is absolutely stunning and great to see. The casting and acting are well done. The movie feels very rushed and chopped though. You're going through a great story with light speed, and none of us could shake the feeling that this movie could've done with at least half an hour more. The speed in which this story is told doesn't leave enough room to establish the characters, and certainly not to see their progress through the story.I will eagerly await the 3,5 hour during directors cut in a year or 2, hopefully.","4 out of 6 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1731141/rw2927431/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
