"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"7","/10","Underrated","https://www.imdb.com/review/rw8549850/?ref_=tt_urv","breneff","https://www.imdb.com/user/ur71174029/?ref_=tt_urv","17 September 2022","I personally feel like this movie is very underrated. It's not as jokey or flashy as any of the other Marvel movies but that's kind of why I like it. It felt less like a superhero movie and more like an art film about gods and what it does to your psyche when you live for such a long time on the planet that's not yours.There's a lot of different diverse personalities in this and it shows interesting ways of how these characters and not only cope with their longevity but also take advantage of the world around them. Even though the characters seem wooden in the beginning of the movie as time goes on you start to at least in my opinion connect with them and their relationships to each other. I love the fact that the humor isn't over the top and one is there it's to help you understand the characters more instead of just being goofy for the sake of being goofy.The main point of the movie is basically about the passing of time and what it does to people. Hence the song played over the marvel logo being Time by Pink Floyd. As time goes on these characters change how not only how they feel about each other but humanity all together, for better or for worse.There are also twists in the movie that I did not expect that were pretty surprising. Without going into much detail I like the fact that all of these characters are kind of in the gray and aren't 100% good guys or bad guys. It feels more like a Snyder film in the sense that it's less about superheroes being quippy and trying to save the day and more about imperfect gods trying to figure out what there purpose is.To a lot of people this felt like a huge step backwards for the MCU. For me this was a refreshing change of pace for these movies.The only negatives that I will say is that I did not care at all about the romance between Ikaris and Sersi. There was absolutely zero chemistry between them. Also, personally, I can't stand Sprite. She is an insufferably selfish character she just came off as super annoying.","102 out of 137 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9032400/rw8549850/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"5","/10","Eternal was the Runtime","https://www.imdb.com/review/rw7540315/?ref_=tt_urv","view_and_review","https://www.imdb.com/user/ur3670492/?ref_=tt_urv","12 November 2021","I'm not going to give a long winded review though the movie was long. ""Eternal"" was the runtime. There were parts that were good and parts that weren't. One of the biggest issues is that a movie of this nature presents more questions than it answers. The very existence of eternal beings existing on planet Earth, sent there by their creator in order to protect human life from Deviants, begs a lot of questions. And the more they strayed from their prime directive, the more questions they presented. The eternals were human in every aspect with the exception of their powers and their lifespan. The fact that such humanlike and very fallible beings (as in not entirely obedient) were sent to protect humans is just a start of the questions.""Eternals"" was unnecessarily long. There were plenty of scenes that could've been left on the cutting room floor. Marvel bit off a lot with this metaphysical, beginning of creation movie. It was very emotional and slow at many points. Even the comic relief failed to garner the laughs it intended. But, there was applause in the theater after it was over. Honestly, I don't know if that was based upon how good the movie was or simply MCU diehards paying their obligatory tribute.","564 out of 846 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9032400/rw7540315/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","I don't understand the hate","https://www.imdb.com/review/rw7868189/?ref_=tt_urv","justin-marshall5","https://www.imdb.com/user/ur24195159/?ref_=tt_urv","15 February 2022","Not really sure why this movie got so much hate. It's introducing a swath of new superhero's and doesn't really converge with any other Avengers plot lines save for a few mentions of Thanos, Thor and some other hero's. That job on its own isn't an easy one and I think they did a fantastic job of giving us a new storyline. The shear scale of the movie was well done both in terms of time periods and in general how epic and massive everything felt. Loved the diversity of the characters - every one of them added something to the story. With that being said - and this is coming from just your average Marvel fan with no knowledge of the comics - the Eternals powers all seemed a bit underwhelming. Maybe it's just that they were trying to display how powerful the deviants were but even Ikaris couldn't take down one on his own. Other than that the movie was absolutely beautifully shot - maybe the best looking Marvel movie to date. Again, I'm not sure what the hate is about but I thoroughly enjoyed watching it.","79 out of 116 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9032400/rw7868189/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","Neither Intrigues Nor Entertains","https://www.imdb.com/review/rw7756979/?ref_=tt_urv","CinemaClown","https://www.imdb.com/user/ur20018357/?ref_=tt_urv","14 January 2022","The 26th instalment in the Marvel Cinematic Universe marks the arrival of a new brand of superheroes into their ever-growing family and further expands the horizons of its shared universe with its grand scope. However, being one of the lesser-known properties the way Guardians was back in 2014, Eternals needed to create an intrigue & curiosity to make us care & invest in its mythic world but the film as a whole simply falls flat at it.Co-written & directed by Chloé Zhao (The Rider & Nomadland), her latest effort opts for a slightly different path that at times avoids or escapes the familiar trappings of a standard Marvel fare but then its attempts to forge its own identity is executed with such blandness that there is no life to it. The film is devoid of the fun & fascinating qualities of its studio's finest works and neither its storytelling nor its ensemble compel us enough to give a damn.It is an ambitious undertaking no doubt that intends to explore a few interesting ideas but Zhao goes for it without working out the fundamentals first. She aims for the intimacy with surface-level digging into these superpowered beings but with there being no incentive for us to even bother, the emotions & warmth don't shine through. Add to that, the story is needlessly overlong, tediously paced, and is filled with characters without camaraderie with one another.Overall, Eternals is a dull, lifeless & forgettable addition to Marvel Studios canon and also happens to be one of their rarest gambles that doesn't pay off the desired dividends. While the diverse ensemble is a welcome move from the inclusivity standpoint, the actors are more or less wasted in their roles and aren't given anything interesting to leave their imprint upon. It remains to be seen how this chapter plays out in Marvel's Phase 4 plan but as a standalone entry, Eternals is mediocre at best.","150 out of 229 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9032400/rw7756979/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Not as bad as everyone thinks","https://www.imdb.com/review/rw8529840/?ref_=tt_urv","newyorkjetsafc","https://www.imdb.com/user/ur40964160/?ref_=tt_urv","10 September 2022","I think this movie got such a trash review because people thought it was too ""woke"" with casting. Which is nonsense by the way. That is how the real world is. It does have its flaws but it's not nearly as bad as people rate it. These 2 & 3 ratings are nonsense. Those people who wrote those might want to try watching movies from a long ways back were they did put out some good movies but also put out tons of trash. This is most certainly not trash. It's pretty good. Decent humor, good action and a good story. Pacing and some of the dialogue is subpar. I will Also say that its run time is a bit much. I actually enjoyed this movie though and I'm very much not disappointed or think that it was a waste of time. It's a very unique take on the internals. I will say that Sercy and Icarus chemistry could've been better. It has its flaws but if you want to sit back and watch a unique interpretation of a comic book Then give it a shot.","51 out of 75 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9032400/rw8529840/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"3","/10","Dire.","https://www.imdb.com/review/rw7634450/?ref_=tt_urv","Sleepin_Dragon","https://www.imdb.com/user/ur15311310/?ref_=tt_urv","11 December 2021","I've read several critical reviews applauding this film, however having sat through it twice I have to point out that this is a very poor film.Almost two and a half hours long, and every single minute of this film was an effort. How on Earth did they think this would appeal?It's a lifeless watch, it rambles along at a torturous pace, and sadly half the cast seem totally disinterested, giving very wooden performances.Special effects vary, some look good, some look very poor, when you look at the budget this film had, it should have looked flawless, it doesn't.I love Gemma Chan and Richard Madden, but neither of them look totally at home here, I only hope this turkey of a movie doesn't halt either career.I don't think a second will follow somehow.Awful sadly, I did give it a second watch to be sure, but there you are, it's a shocker, 3/10.","1,925 out of 2,682 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9032400/rw7634450/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Underestimated","https://www.imdb.com/review/rw7509460/?ref_=tt_urv","stormpasawat","https://www.imdb.com/user/ur60704576/?ref_=tt_urv","4 November 2021","I like it since the beginning of the story. It's been cool to see eternals through the ages, but the past-to-present contrast isn't that smooth. The characters are cool and their powers are awesome, but it's frustrating in some scenes. But overall, it's actually a good movie, so it shouldn't be underestimated like that, the scale is big, it's epic, the visual work is very beautiful, very spectacular, want to see it again to enjoy the visual work.","75 out of 114 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9032400/rw7509460/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Magnificent to look but it's pretty much lifeless with boring actors playing boring characters","https://www.imdb.com/review/rw7545293/?ref_=tt_urv","Sir_AmirSyarif","https://www.imdb.com/user/ur24207434/?ref_=tt_urv","14 November 2021","Chloé Zhao's direction gives Marvel Cinematic Universe a much needed breath of fresh air, but 'Eternals' doesn't quite come together. Despite the fact the film claims to have a far more thought-provoking theme and a plethora of philosophical concepts, it fails to elaborate on them sufficiently to create a more compelling experience. The movie is still magnificent to look but it's pretty much lifeless with boring actors playing boring characters.","168 out of 268 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9032400/rw7545293/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"4","/10","Watching this movie felt like an eternity","https://www.imdb.com/review/rw7528645/?ref_=tt_urv","cricketbat","https://www.imdb.com/user/ur6201371/?ref_=tt_urv","8 November 2021","Shang-Chi gave me hope for Phase 4 of Marvel. Eternals dashed those hopes. This is probably my least favorite Marvel movie. This film is too long and crammed full of overly complicated plot points, yet it's also completely predictable. It seems the filmmakers were too busy trying to check off boxes rather than create a good story. It's also a downer. People watch MCU movies to have fun, not to have existential crises. Perhaps the Eternals should have stood on the sidelines a little longer.","698 out of 993 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9032400/rw7528645/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","A Breath of Fresh Air in the Marvel Cinematic Universe","https://www.imdb.com/review/rw7535474/?ref_=tt_urv","sairohit-95","https://www.imdb.com/user/ur38295704/?ref_=tt_urv","11 November 2021","I went in with little to no expectations and I was pleasantly surprised by what the movie offered. Multiple relatively unknown new characters and their dynamics, their stories spanning centuries.It was definitely not a typical Marvel fare that at least I'm acclimated with. Watching this movie, it didn't feel like it's an MCU movie. It was different, something unexpected.I do understand some people not liking this movie. I have some criticism too, like the editing in the beginning seemed a bit sloppy. And watching it in IMAX, the transition between aspect ratios was not smooth, very apparent and a bit distracting. The visuals on the other hand were amazing. Some of the action sequences were really good and were executed perfectly (like the usage of hand held camera during a fight scene between a deviant and Ikaris in Amazon).Overall, it felt nice to witness something very different from MCU. I am eager to see them try new things and take their world to different directions and keep it interesting and unpredictable.","31 out of 45 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt9032400/rw7535474/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
