"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"7","/10","Not your typical ""superhero"" movie, but still good","https://www.imdb.com/review/rw1902563/?ref_=tt_urv","KoondoggSaints","https://www.imdb.com/user/ur1541173/?ref_=tt_urv","1 July 2008","I was lucky enough to go to a pre-screening of Hancock last night and I really enjoyed it. I don't understand all of the criticism this movie is receiving. Everyone take a second and realize this is not a Marvel or DC comic book superhero movie. Now think about that again. It is a different story entirely and has some very unique elements.Hancock isn't action packed. It doesn't have a Superhero vs. Supervillan plot. I would probably describe it as a character study of the superhero. I think this movie does a better job of addressing some of the issues (and vices) a superhero probably would have if they existed today. The biggest conflict in the movie is within Will Smith's character's attitude, not necessarily good vs. evil.I think much of the criticism I have read about is motivated by expectations that were not met, which isn't fair at all. If you watch Hancock with only the expectation of being entertained, you will leave happy. Its a good movie, don't jump on the bandwagon of not liking it just because you can. Give it a chance and take it for what it is, a July 4th action/comedy.","401 out of 548 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0448157/rw1902563/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"5","/10","Brilliant idea and great idea, but a classic example of the first half being much better than the second","https://www.imdb.com/review/rw2533732/?ref_=tt_urv","TheLittleSongbird","https://www.imdb.com/user/ur20552756/?ref_=tt_urv","17 December 2011","What drew me into seeing Hancock in the first place was its idea, which I found one of the most interesting for a film in a while. I am in all honesty not a big fan of Will Smith, but he has given some solid performances so I thought why not.I have to say that I didn't think Hancock was a bad film as such, it was somewhat underwhelming and I'm sorry to say I do understand the criticisms against it.Hancock does have a fair number of good points. It is stylishly filmed, with some well above average special effects, the music is dynamic and the directing is solid. The best asset about Hancock is the acting of the three leads.Will Smith is very commanding, with a lot of subtlety amongst all the wisecracks/gags that don't feel forced(ie.flying under the influence). Charlize Theron shows a glowing presence while also showing a sympathetic side, and Jason Bateman's dry humour contrasts perfectly too.However, Hancock is a very uneven film. I loved the first half, it was well paced, the script was witty and fresh and the scene where the titular character brings a speeding train to a halt as he can't be bothered to lift the car up from its path is one of the better and relevant scenes of the film.It is in the second half where Hancock is less than successful. Here the film starts to drag, the script becomes soapy and heavily melodramatic and the film has one of the daftest twists of any film not to have M Night Shyamalan's name on it.The story's tone isn't the only asset to feel uneven, the script is too, it has wit and freshness in the first half, but becomes mawkish in the second. I also felt that there were only three likable characters(Smith's, Theron's and Bateman's) and the others I barely noticed, with the villain especially flat.So all in all, an uneven film but not a necessarily bad one. 5/10 Bethany Cox","46 out of 59 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0448157/rw2533732/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Classic case of great idea, mediocre execution. Strong performances are marred by weak CGI and a lack of a central villain.","https://www.imdb.com/review/rw1902887/?ref_=tt_urv","The_Amazing_Spy_Rises","https://www.imdb.com/user/ur4506876/?ref_=tt_urv","1 July 2008","Will Smith. That's all you've got to say, and you're guaranteed a big opening at the box office. Well, from the looks of it, Smith also guarantees you at least a mildly entertaining film, which is what we get in his latest movie, Hancock. In the hands of any other leading star, Hancock would probably end up being a below average film. It's Smith's charisma, charm, and unwavering likability that ultimately save the film. He can make you laugh, cheer, cry, and even root for his character (who is a total ass, as he is reminded a number of times throughout the movie) no matter what kind of shenanigans he may cause.Hancock is not the generic superhero film and is probably one of the more ingenious ideas to come across a producer's desk in quite some time. To me, what it seems like is that the writers of the film loved the idea, started off extremely strong, and then began to realize that how hard it is to sustain a simplistic idea over the course of a full length motion picture (and it is because of this that Hancock is relatively short). The writers' plan to solve this problem is to throw in a totally unnecessary and badly handled plot twist to keep the audience guessing. The lack of a central villain also hurts the movie a lot. The character that serves as Hancock's enemy in the finale isn't even well acted. The person is laughable.This is an action movie, so it should come as no surprise to see well done and original action in the movie. However, I felt the effects could have used a few more weeks of polishing in the editing room. The camera is also quite crampy. I also have problems with the film's score, as it does not add an epic feeling to the film like it should have. I felt like something was missing in the climax of the film (which is not the end). The action scenes, while entertaining and original, were not long enough to engage the audience like say, The Incredible Hulk, nor were they as jaw dropping as those in Wanted.The film's strength rides on its three stars. Action veterans Will Smith and Charlize Theron both deliver winning performances as usual, and that should come as no surprise. Smith's charisma is enough to make anyone happy, and it's so easy to see why so many people love him. Theron is always a sight to behold (except in Monster, lol), and this film is no different. I enjoyed her performance the most, especially in the second act and the beginning of the third. Jason Bateman, who seems to be the bridge connecting the performances of Smith and Theron, is great as usual, and likable, marking a change from his recent turn in ""Juno"". There really isn't another performance to note, and part of Hancock's weakness is that there are really only three main engaging characters. It should also be noted that the kid who played Bateman's son was absolutely adorable.Hancock is the classic case of great idea, and mediocre execution. I can see this idea being remade years from now, and pulled off even better. It's not a fault of Peter Berg, the film's director, as the real weakness is in the screenplay, which falters after an excellent and wonderful opening act. It's not a bad film by any means, nor is it great. It's in between ""okay"" and ""good"".","422 out of 607 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0448157/rw1902887/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Go see it - it's not that bad","https://www.imdb.com/review/rw1904891/?ref_=tt_urv","canadell","https://www.imdb.com/user/ur17678481/?ref_=tt_urv","5 July 2008","*** MAY CONTAIN SPOILER ***I NEVER write on these opinion boards but I might start with this one. I felt as though I needed to stick up for the movie after reading all the horrible reviews. I went to see it on the 4th, mainly because the trailers looked entertaining and because I enjoy Will Smith. This movie is not at all what I expected. There is a surprising turn of events that I did not see coming. Will Smith, in his usual style, is quick, funny, witty, and charming and I thought the timing between he and Jason Bateman was perfect. If you are expecting to see a movie along the lines of Hulk, Iron Man, Batman, etc, don't go because you won't enjoy it. If you are going because you like the cast and are ready to be entertained for 1 hour and 20 minutes out of your life, then it is definitely worth the price of admission.","171 out of 284 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0448157/rw1904891/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Fix the final Act PLEASE!!!","https://www.imdb.com/review/rw1888800/?ref_=tt_urv","cmcmanus60","https://www.imdb.com/user/ur6226261/?ref_=tt_urv","8 June 2008","I also was at the test screening in Peoria AZ. The film was spot on for the first hour. Jokes were hitting left and right, Smith and Bateman displayed good chemistry, and the special effects, though not always finished, were eye popping nonetheless.Without giving it away, the final half hour was flat, straying from the comical nature that had preceded it and instead tried to get philosophical and introduce a week paint'by'numbers villain. I spoke with director Peter Berg after the film and he seemed fully aware of the issues relating to the final act. Hopefully the recent ""re shoot"" will polish up that last act, making Hancock one of the must see blockbusters of the summer. In the form I saw it; it still has a ways to go.","336 out of 613 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0448157/rw1888800/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Enjoyed","https://www.imdb.com/review/rw8203732/?ref_=tt_urv","beverleyhunniford","https://www.imdb.com/user/ur80320551/?ref_=tt_urv","4 June 2022","A film I remember watching years ago, re-watched 2022, enjoyable. Obviously more than the first time as I've increased my score from 5. There have been so many superhero movies since this, it's come up in my estimations.","3 out of 3 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0448157/rw8203732/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Hancock Signs Off","https://www.imdb.com/review/rw1902732/?ref_=tt_urv","moutonbear25","https://www.imdb.com/user/ur1982210/?ref_=tt_urv","1 July 2008","It isn't fair to write a film off in the first few minutes but you can sometimes get a pretty good sense as to what you're in store for from the way the film introduces itself. The film opens on an L.A. freeway, where four punks are being chased in their van by countless police cruisers while they fire their semi-automatic weapons into the air. Where's Spider-Man when you need him? (Right, I forgot  Spidey's a New Yorker.) Cut to a passed out bum on a park bench. Who is this man? Of course, we know it's our hero, Hancock (Will Smith), because we know a thing or two about the film before sitting down to watch it. Director, Peter Berg, takes this for granted though and it soon becomes apparent that convention and presumption will drive this unconventional tale. In HANCOCK, Berg, and Smith team up with writers, Vincent Ngo and Vince Gilligan, to debunk superhero iconography as well as the genre itself. The goal, and a noble and exciting one it is, is to rip the superhero out of the sky, strip him of his glory and send him hurdling toward the earth. Only Hancock is pulled down to an earth that is an awful lot more like a movie than the world I know.It wouldn't be so terrible to set this enormous Hollywood action film in typical scenarios if Berg weren't trying so hard to give the film a decidedly un-Hollywood look. The aesthetic is often shaky and unstill, crossing back and forth between odd close-ups and frames finding their focus. Berg seems bent on giving HANCOCK a gritty, guerilla film-making tone but the erratic style is at odds with the predictability of the plot. The borrowed independent style works in its original context because independent films are, ordinarily, about something deeper. Removing the gloss from a Hollywood feature only allows the viewer to see how little there is underneath it all. In HANCOCK's case, the man beneath the lacking luster is a reluctant hero who would rather waste his days drunk in a dive than diving into the action itself to save the day. There is some loose discourse on realizing your destiny but little else. Again reluctantly, Hancock agrees to some help from a struggling public relations person (Jason Bateman) and is set on the path to making the most of his life and abilities. Hancock is such a complex character (lonely, disinterested, depressed) that it would seem ripe with possibility but this is mostly squandered in favor of half funny humour and sometimes hokey special effects that it feels at times like a over produced Nike ad.Luckily for HANCOCK, the film is still somewhat enjoyable thanks to the strong performances of all its leads. Smith continues his streak for picking complicated characters with broad appeal and he also continues his streak of pulling them off. After a heartbreaking turn that pushed his dramatic abilities in THE PURSUIT OF Happiness and his commanding yet vulnerable turn that pushed his presence in I AM LEGEND, Smith plays a character we don't ordinarily see him as. His impossible-not-to-like face is covered in stubble and his physique is hidden by baggy, dirty clothes but his eyes are what give away his disenfranchised soul that shows his hurt for being shunned by society and disinterest in placating to that same society. Smith is joined by the modern master of comedic timing, Bateman and Charlize Theron, as Bateman's wife, who is simultaneously frightened and intimidating. This trio of talent is HANCOCK's salvation. Their grasp of their characters in unfailing and they pull the elements of the film together despite how flimsy the elements are to begin with.HANCOCK is occasionally astounding but mostly mundane. Above all, it is a disappointment. This original premise has been sloppily slapped together and most of its potential was squandered in the process. It didn't show me that superheroes are people too. If anything, it just made me miss the real deal. If the goal was to truly bring the superhero down to earth, then there was still a long, long way to go before this guy would have touched the ground.","66 out of 137 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0448157/rw1902732/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","I guess some people just can't take a switch in tone.","https://www.imdb.com/review/rw1905475/?ref_=tt_urv","The_Dead_See","https://www.imdb.com/user/ur0281853/?ref_=tt_urv","5 July 2008","I've read a lot of the reviews here complaining about the film flagging in its final act. I respectfully disagree.Hancock is most definitely DIFFERENT in it's last half - it drops off the comedy significantly and introduces some fascinating superhero mythology that is almost like an ancient Greek myth in its context. It also introduces some pretty tense and violent moments that really made me wonder if they should be marketing it as the kid-friendly summer blockbuster that they are. However, both halves have their own merits - the first being the humour, and the second being the (almost tragic) origin mythos. I suspect if you are prepared for the switch in tone, rather than shocked when it arrives, you might enjoy Hancock as much as I did.","328 out of 479 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0448157/rw1905475/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","""It's you! Handjob!""","https://www.imdb.com/review/rw1908964/?ref_=tt_urv","Smells_Like_Cheese","https://www.imdb.com/user/ur1293485/?ref_=tt_urv","11 July 2008","The moment I saw the preview for Hancock, this just looked like the most ridicules movie that could be made, I was sure that it was going to flop or get horrendous reviews. But after talking to people who saw it, it was half/half of either they loved it or hated it, so I guess this was just a movie I had to see for myself. So I watched it yesterday, I am dumbfounded, I'm the half/half, I loved it and I hated it. I felt like the beginning was just silly and rushed, not to mention that the villain was just under developed and didn't have any depth to why he was so bad. But however, I did like the little twist they had, which I refuse to give away, even though I did predict it sadly, it's one of those things you'll have to see. But I also did enjoy the originality, it's not just a typical super hero movie with all the stereotypes, it was John Hancock(which by the way should've taken place in Chicago after it's famous building).John Hancock is a homeless bum who just has a bad attitude along with a horrible drinking problem, he also is different, he is a super hero. The only problem? He causes a lot of damage when he ""saves the day"" and doesn't care what people think. But when a failing advertiser, Ray Embroy, is saved by John, Ray offers John a chance to look good and be the ultimate super hero. But Ray's wife, Mary, isn't so excited and has a little secret about her and John. But Ray is determined and will make sure that Hancock is a great super hero for the whole city.Hancock is over all an alright film, it's not bad by any means, but I feel like it could have been so much more with a better script. Not to mention some of the camera angles were a little extreme, there were times where I thought the cameraman was on a tilt-a-whirl and I felt sick. But for the story I'll admit that it was original and fun at times, Will Smith is a good actor, I will always admit that, but it seems like his movies(which are always released around the fourth of July, you notice) have become like a love letter to him and how great he is. Hancock is worth the look, but I'd recommend the rental, it's just a notch under a great blockbuster.6/10","26 out of 50 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0448157/rw1908964/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"5","/10","Well, the first half was good...","https://www.imdb.com/review/rw1908433/?ref_=tt_urv","baba44713","https://www.imdb.com/user/ur4119395/?ref_=tt_urv","10 July 2008","-Terrific! We're seriously up to something. Let's write! (scrib scrib scrib... hours pass..) (scrib scrib.. hours pass)","98 out of 150 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0448157/rw1908433/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
