"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"7","/10","Luc Besson's 'Lucy'.","https://www.imdb.com/review/rw5568189/?ref_=tt_urv","swordsnare","https://www.imdb.com/user/ur37874877/?ref_=tt_urv","22 March 2020","I enjoyed this for the most-part. The momentum in combination with the 90 minute runtime, kept myself entertained for the entirety. It's far from perfect, but it's entertaining. Then again I didn't labour over the science to over complicate the overall enjoyment. The climax is probably the most contentious and unfavourable issue, but I appreciate the intent of Luc Besson's vision.Note: It's probably best to ignore the super low-scoring trolls, who create accounts to downvote and spread negativity. If you don't have some constructive criticism, don't say anything at all. Any 'Not helpful' downvotes on this review are probably by the aforementioned.","143 out of 180 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2872732/rw5568189/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","What Is The Limit Of Your Imagination?","https://www.imdb.com/review/rw3093687/?ref_=tt_urv","TheAnimalMother","https://www.imdb.com/user/ur18519281/?ref_=tt_urv","27 September 2014","In my view this is the best film Besson has directed since 1997's The Fifth Element. The film in certain ways is a lot like Limitless, but at the same time it takes a very different overall approach and look on the subject of human evolution. I'm sure that many people will not care much for this film since it is filled with a lot of mystical/spiritual references and ideas and even some false science, however those with an open mind and an active imagination will likely be very glad they saw the film. This is clearly a work of fiction people, but there is no one saying you can't relate fiction to reality either, and actually learn something from it once in a while too. Our limitless imaginations are part of what makes human beings so extraordinary, we are best off using this gift and appreciating it. Fictional films can still be very thought provoking, and this one definitely fits that category. 2001: A Space Odyssey isn't scientifically accurate in many ways to our current knowledge, but it's still a monster landmark of a film nonetheless. Lucy is certainly not 2001, however they both ride that same imagination rules line that can spark the internal fires of unique creative thinking. In my view Lucy is a sci-fi trip worth taking. 7.5/10","45 out of 62 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2872732/rw3093687/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Interesting flick","https://www.imdb.com/review/rw6808489/?ref_=tt_urv","TJFrisbee","https://www.imdb.com/user/ur71997127/?ref_=tt_urv","12 April 2021","Scarlett Johansson in a Asian country should be a genre on its own.","23 out of 32 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2872732/rw6808489/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Spectacular superheroine movie packed with suspense , frantic action , and state-of-art FX","https://www.imdb.com/review/rw8432868/?ref_=tt_urv","ma-cortes","https://www.imdb.com/user/ur3270789/?ref_=tt_urv","12 August 2022","This impressive comic-book style tale brought to big screen contains thought-provoking science-fiction , fantasy , noisy action , battles , thrills , violent fights and results to be pretty entertaining . Lucy (Scarlett Johansson) is a smart , feisty college student who suddenly finds herself involved into a horrific drug and human trafficking situation . Later on , her brain is permanently altered when the fantastic drug CPH4 is released in her body . Lucy being re-animated due to the incredible synthetic drug , getting superpowers , breathtaking force , fast healing and undergoing unimaginable changes. When she gets a kick to her abdomen, the drug starts to leak into her body , and she begins using more than 10% of her brain and finds that she has less than 24-48 hours to live . With her new abilities , as soon as Lucy comes to learn that not everything he learns can be trusted , subsequently executing a merciless revenge . She's a slain woman and when his memories flood back and recalls the man that killed him , she gets away of the facility hellbent on vengeance , only to discover that there's more to the conspiracy than she originally thought . Along the way , Lucy finds the one neuro-scientist and professor Norman (Morgan Freeman) who can help capture her super brain phenomenon for the world , before the nasty villain , Mr. Jang (Choi Min-sik) , kill her in the process. She has the Power ! . The average person uses 10% of their brain capacity. Imagine what she could do with 100%. Open your mind, expand your potential, evolve !.Nail-biting superheroine flick with thrills , chills , plot twists , struggles , high body-count , moving scenes , dazzling production design and latest generation special effects . Based on the character created by Luc Besson himself and heavily influenced by Superheroes Comic Books . This is a dynamic , fast- paced , entertaining and fun movie . It packs a brief message about the extreme dangers of the drugs and science, as our starring gets a tremendous strength thanks to a peculiar drug , she becomes a superhuman , a killing machine , resulting in fateful consequences . But it was really made to appeal to wide range of audiences , so the plot wasn't so complex , but Scarlett Johansson as the prominently featured super-power heroine was absolutely believable , and there was no other actress at the time who could have played the role asides from her . Nohing more fun to watch than to see her running here and there while seeks vengeance going after the man who previously killed her , or at least, who he believes killed . It also helps that it usually has a relatively good storyline to go along with it . This show has one really good thing going for it and that was a perfectly cast . Scarlett Johansson is nice , playing in her usual style as the two-fisted , serious girl brought back to life by an advanced technology that gives him the ability of super human strength , it would spin to transform into a relentless superheroine , armed with a invincible force that can stop any bullet , while regenerating his vital organs. Being well accompanied by other fine actors , such as : Morgan Freeman as Professor Norman , Choi Min-sik of Old Boy , Choi Min-sik , Amr Waked , Julian Rhind-Tutt , Pilou Asbæk , among others.It displays a stinging and rousing musical score by composer Eric Serra . As well as colorful and brilliant cinematography by cameraman Thierry Arbogast . The motion picture was professionally directed by Luc Besson , though it has some flaws , gaps and shortfalls . Lavishly produced by Eurocorps (Besson Production Company) and nicely made by Luc Besson with his ordinary visual pyrotechnics . Luc often casts Jean Reno (though here doesn't appear) and music always by Eric Serra . Besson is the greatest producer and director from France with hits as ¨Leon¨ , ¨Joan of Arc¨ , ¨The fifth element¨ , the ¨Taxi¨ series , ¨Big blue¨ , ¨Arthur and the Minimois¨ , ¨Nikita¨ and many others . Rating : Acceptable and passable, 6 . This is a highly amusing and frequently fun action-adventure romp with a witty script, sensational special effects and accceptable performances from main and support cast .","18 out of 25 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2872732/rw8432868/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Great Imagination is this film","https://www.imdb.com/review/rw7775443/?ref_=tt_urv","akc-03850","https://www.imdb.com/user/ur90681816/?ref_=tt_urv","19 January 2022","Just like a human has been given priority to itself, this film do so, after have watched it feels human is infinite and can do anything and no any other species would be able to do so, this film start with a myth humans use very little part of its brain, and finely depicts what if a human will be able to use 100 percent of his brain, well no doubt this film is a metaphor but really funny and amusing,
Great imagination, I salute directors thought,
Everything is in a great sequence and should watch by everyone it's a great film.One more thing none can imagine it's climax until it happens itself, great climax.Thank you.","18 out of 26 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2872732/rw7775443/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"4","/10","Starts well, finishes poorly","https://www.imdb.com/review/rw3095903/?ref_=tt_urv","bobbymcgonigle13","https://www.imdb.com/user/ur55531266/?ref_=tt_urv","30 September 2014","Disappointing movie towards the end. Starts off well, everything makes sense, everything is clever, logical and interesting. After a certain point in the movie everything becomes ridiculous, unrealistic and not enjoyable to watch. The idea behind the movie was good, execution was not. The characters were also a little bit boring in my opinion. The situation the main character found herself in had an array of extraordinary things to do and take advantage of but didn't. Not a lot out of the ordinary happened, main character worrying throughout and not taking advantage/playing around with the situation she was in. If you're a fan of logical ""what ifs"" like myself I would not recommend it.","531 out of 911 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2872732/rw3095903/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Better than they say!!","https://www.imdb.com/review/rw6976623/?ref_=tt_urv","dilloncamp","https://www.imdb.com/user/ur77133509/?ref_=tt_urv","29 May 2021","This film was a wild ride. And yes it's not scientifically accurate, but so what?It was an awesome idea that I found well executed.I will say I wanted to see ScarJo kick more ass but I still didn't mind. This isn't as much an action movie as it is a scifi thriller.It really makes you question your perception of science and reality.If your looking for a good scifi thriller that keeps you interested all the way through I highly suggest this film.","136 out of 166 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2872732/rw6976623/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Absolutely Brilliant","https://www.imdb.com/review/rw3070933/?ref_=tt_urv","sapphire_rain30","https://www.imdb.com/user/ur29594728/?ref_=tt_urv","18 August 2014","It was a moment of utter spontaneity when I decided to purchase a ticket to see 'Lucy', and wow - I am certainly glad I did. This is one of the best films I have seen in a long time. At the beginning, I thought that perhaps it wasn't going to be my cup of tea. However, as it progressed the storyline became more and more fascinating. In my opinion this film had the perfect balance of realism and sci-fi. Some of the effects were of course slightly questionable... but I cannot really complain because the overall brilliance of this film outshone any negatives I could detect.Scarlett Johansson was incredible as Lucy and it was astonishing to observe how her character changed so dramatically within just a few moments. Johansson definitely nailed the smart-girl/genius/superhero role, although I do think this role may have suited an actress like Rooney Mara absolutely perfectly. Johansson is just so womanly, attractive and feminine that I found it difficult to completely accept her as Lucy. Perhaps that's just me bring too picky - I just feel that Lucy could have been better portrayed by someone slightly more masculine and cold.This film is one that will genuinely inspire you to think deeply about evolution, human nature, and life. I left the cinema feeling like I had been given a new kick of energy and a punch of enthusiasm for personal growth and exploration. This film will also encourage you to consider the endless possibilities of technology and science. It will leave your heart pound if and your brain buzzing. Overall, this is a definite must-see for all action/sci-fi lovers as well as those who have an interest in humanity, history and the incredible gift that is life. You will not at all regret purchasing a ticket to see this, and as long as you keep an open mind, you will find this film to be extremely thought-provoking and clever.","243 out of 482 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2872732/rw3070933/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","This is a complete myth! The fun part is: What if it was true?","https://www.imdb.com/review/rw3130039/?ref_=tt_urv","facorread","https://www.imdb.com/user/ur17951677/?ref_=tt_urv","24 November 2014","This film has greatly polarized critics for its use of controversial concepts. I am a scientist and of course this movie gives me mixed feelings about its science. But I'm sure about one thing, that this is fiction. I am able to watch a fiction movie, am I not?Some people review this film negatively for its scientific value, ignoring the fact that this isn't a documentary. What are these guys comparing this film against? There is no comparison against real-world science here. If somebody makes a film about black holes, I expect it to be faithful to the latest research about black holes. If somebody makes a film about the Sun, I expect it to be faithful to what we know about the Sun. In contrast, a film about aliens can stretch our suspension of disbelief a lot more, because we know no real aliens to compare it about. And my my, how wide a range of alien species has been spawned by the film industry in all its years! The main concept in this film is equally flexible because it has been proved a myth years ago. Everybody knows that, director/writer Besson knows that. These negative reviewers miss the entertainment value of this film because of something they were expecting (harmony to actual science) that was never there since the film's inception.So yes, some other people review this film for its entertainment value, because we want to enjoy this ""What if this myth was true"" scenario. And we are truly entertained. I loved how Scarlett Johansson developed her character very well even when there was inherently not much to begin with: an innocent girl with not further background than dating some guy for a week and living in a shared apartment. Scarlett's charisma, weakness, strength, and acting spill all over the place, even during the most flat scenes of the film, even during the most VFX-packed scenes of the film. Morgan Freeman is... well, Morgan Freeman. Fantastic actor except for the fact that he's been typecast into the wise guy role for like, 20 years. I like the ethnic diversity in such a small cast. Not that they are trying to showcase it anyway, but it's a nice touch.The action pack is very good, the mafia pack is entertaining, and the renditions of Inception, Léon: The Professional, and 2001: A Space Odyssey are all cherished. Once again, the central myth is developed in a very fun way. I believe this film has risked a lot in its development, but for us who want to be entertained and have our imaginations opened, this film delivers very vividly.","581 out of 860 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2872732/rw3130039/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Transcending Limitations","https://www.imdb.com/review/rw9065503/?ref_=tt_urv","beachtv-1","https://www.imdb.com/user/ur8958080/?ref_=tt_urv","19 May 2023","""Lucy,"" a high-concept sci-fi thriller from visionary French director Luc Besson, is a stimulating exploration of the human mind's potential. With its combination of slick action sequences, existential philosophizing, and dazzling visuals, it challenges and entertains in equal measure, pushing the boundaries of conventional cinema.The plot follows Lucy (Scarlett Johansson), a woman accidentally caught in a dark deal who turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic. Besson has crafted a fascinating narrative that juxtaposes the gritty realism of crime syndicates with the abstract realm of cerebral possibilities.Scarlett Johansson delivers a powerhouse performance, expertly navigating her character's transformation from a terrified victim to a superhuman entity. Her nuanced portrayal ensures Lucy remains empathetic even as she becomes increasingly detached from humanity.Morgan Freeman lends gravitas as Professor Norman, a neuroscientist who serves as the narrative's anchor, grounding the escalating spectacle in a semblance of reality. His measured performance provides a necessary counterpoint to Johansson's increasingly otherworldly character.Besson's direction is fluid and kinetic, imbuing the film with a frenetic energy that propels the narrative forward even as it dips into complex concepts. His choice to intercut documentary-style nature footage adds a unique flavor, creating intriguing parallels with the story unfolding on screen.The cinematography and visual effects are dazzling, creating a vivid sensory experience that takes viewers on a roller coaster ride through time, space, and the human body. The mind-bending visual journey, coupled with Eric Serra's pulsating score, creates an intoxicating atmosphere that leaves viewers both thrilled and thoughtful.However, ""Lucy"" isn't without its flaws. Its ambitious premise often teeters on the edge of becoming too esoteric, possibly alienating viewers expecting a more straightforward action thriller. Furthermore, its fast pace and lean runtime can leave certain aspects feeling underdeveloped, notably the film's antagonists.Yet, despite these shortcomings, ""Lucy"" stands out as an audacious cinematic experience that dares to merge high-octane action with cerebral science fiction. It inspires a sense of awe and curiosity about human potential, prompting introspection about our place in the universe. It is a visual feast that stirs the mind and quickens the pulse, a cinematic cocktail of action and philosophy that leaves a lingering impression.","3 out of 3 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2872732/rw9065503/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
