"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"7","/10","The soundtrack by Brian Tyler, folks! The soundtrack!","https://www.imdb.com/review/rw4266529/?ref_=tt_urv","Fred_Mopkopf","https://www.imdb.com/user/ur23364211/?ref_=tt_urv","3 August 2018","I could have written this review for 'Now You See Me I', as my appreciation for Tyler's work started there, but I thought I'd skip it, as he outdid himself in the second part. Yes, the NYSM films are arguably one of the most plot hole ridden franchises in Hollywood (not speaking about the non-decision if magic now is actually an existing thing or not), but strangely I found that after watching the first one and simply accepting the aforementioned fact I was able to really enjoy the second one. And I will re-view the first one as well with this attitude. Those are simply enjoyable films with good actors, nice scenery and lighthearted stories. But I want to direct your focus on something else I rarely read about here: The music by Brian Tyler. You may say about him what you want, but he really created an exception here. In our times, real pop-rock drums (I am not talking programmed drums and loops) as addition to orchestral music have fallen out of grace - Tyler was one of the first to bring them back. And boy, he knows how. In my world, the NYSM score is one of the most inventive soundtracks of our time. Not only does Tyler create a really powerful combination of orchestral and pop/rock music, he also manages to deliver a theme (or leitmotif) one is able to whistle after leaving the theater - also something that is not standard anymore, as soundtracks have become more like acoustic wallpaper these days. The music is really versatile in the most profound way. Just listen to 'The Setup' as a prime example. He morphs through all kinds of style from pop, rock, soul, swing and jazz in one single piece. And his real drums lend a power to the music that is unprecedented. Others have also started to incorporate this style of drumming in their music, but never as virtuosic as Tyler does here. If you like popcorn flicks, give the NYSMs try, and if you're into movie scores, keep your ears open. An oh, by the way: Listen to 'Can you dig it', his end title version of 'Iron Man 3' - it's right up there on the same level.","8 out of 10 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3110958/rw4266529/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Like with the first film, very entertaining. But unlike the first film, this is poor!","https://www.imdb.com/review/rw3496731/?ref_=tt_urv","ellscashncarry","https://www.imdb.com/user/ur3982309/?ref_=tt_urv","30 June 2016","As a film this really is poor. On practically every level it falls down Now You See Me 2 picks up directly where the first film left off and the film follows a similar pattern – The 4 (or 5?) horsemen, performing larger-than-life magic with the aim of providing for those less fortunate or exposing those who do wrong. However, unlike the first, their motivations behind each of these stunts are a little less clear and certainly less meaningful. In fact inconsistent or unlikely character motivations and actions are a problem throughout the film (with supporting characters as well as the leads).Then there's the fact that this plot is so unrealistic and beyond the realms of possibility that it makes the first script look practically normal. The script in itself is a problem it's messy, incongruent and forced – ""well we need to have a shootout/car chase, otherwise it won't be cool enough"".Then there's the fact that Isla Fisher's character has left the gang and although briefly explained at the beginning of the film, is never mentioned again. Yet her replacement (played by Lizzy Caplan) is not only treated as if she's been there since the beginning, but also held responsible for all the actions she wasn't around for in the first film. I get the feeling it might have been easier for her just to play Isla Fisher's character (Katie Holmes-Maggie Gyllenhaal in Batman style) rather than trying to shoehorn in a different character. And talking of characters – Daniel Radcliffe's character is atrocious. I don't want to give anything away but he is such a stereotypical, spoilt, British man it's untrue. Moreover his acting in this was reminiscent of all his appalling, wooden performances from the early Harry Potter films And just I was starting to believe that maybe he could act!And then there are issues around plot holes, speech which is purely for the viewers' benefit, seemingly irrelevant sub-plots and a ridiculously backwards ending which doesn't appear to make much sense.So how the hell, given all these problems, does it give it get a 6 I hear you cry? Well, as with the first, it is still thoroughly entertaining. It's light-hearted fun, which isn't really tackling any of the world's serious topics and as a spectacle is still great. Sure I found myself thinking of several occasions 'my god this is garbage', but it didn't annoy me. It's the kind of film where you can laugh off the issues and appreciate the fun parts.In summary, if you liked the first one, I certainly wouldn't discourage you from seeing NYSM2. I'd just go in with limited expectations and an acceptance that many aspects of it aren't going to be very good. If you have those two things you'll probably enjoy it thoroughly, despite all its flaws.","11 out of 16 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3110958/rw3496731/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Miss the ""magic"" of the first, but still entertaining","https://www.imdb.com/review/rw3487702/?ref_=tt_urv","bankofmarquis","https://www.imdb.com/user/ur10919398/?ref_=tt_urv","14 June 2016","I really enjoyed the first NOW YOU SEE ME film. I thought that film's premise ""magicians robbing a bank"" was original and the execution of the unique script by Ed Solomon and Boaz Yakin by director Louis Leterrier was strong. Add to that the casting - Jesse Eisenberg, Woody Harrelson, Isla Fisher and Dave Franco as ""The Four Horseman"", Melanie Laurent, Common and (especially) Mark Ruffalo as the cops who were chasing them and sprinkle in good ol' Michael Caine and Morgan Freeman into a plot that kept you guessing to the end and you had a fun ride.My only question was, could the sequel capture the...wait for it...MAGIC (yes I went there) of the original?And my answer is...sort of.Kind of like seeing a magic show for the 2nd time, the spark of originality and wonderment was mostly missing this time around, consequently NOW YOU SEE ME 2 turned into a fairly standard crime/action caper - but with magic instead of guns, cars or fights. All that said, I was still entertained by this film, but that enjoyment was filled with an undercurrent of disappointment as I wanted to by ""wowed"" like I was with the first film.The script - written by Ed Solomon, one of the writers of the original, struck me as a ""job script"", that is, a script written for money from the studio vs. a ""passion script"" where the author has an idea they are passionate about and that passion is shown on the screen. Add to that the fact that Jon M.Chu - director of GI JOE: RETALIATION (not exactly CITIZEN KANE) - helmed this film and you have a movie that feels professional, competent and workman-like.What saves this movie is the performances. Three of the horsemen are back (Isla Fisher had to bow out due to a pregnancy) and the bi- play and the interaction between Eisenberg, Harrelson and Franco fits like an old glove. They get to interact with Ruffalo more in this film and that's a plus. Freeman and Caine return and are as dependable as ever and newcomers Daniel Radcliffe, Tsai Chin and (especially) Jay Chou were fun. Only Lizzy Caplan's Lula didn't really work for me - I thought she was trying to hard to fill in for Fisher.Interestingly enough, I could shake the feeling, as I was watching this film, that I was watching the 2nd chapter in a trilogy, even though this one did NOT end in a cliffhanger. Sure enough, upon further review, NOW YOU SEE ME 3 is currently filming.All in all, I enjoyed this film, I just wish I could have been surprised more, like I was in the first film.7 (out of 10) stars and you can take that to the Bank (of Marquis)","27 out of 47 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3110958/rw3487702/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Autistic Reviewers Opinion Of This Movie.","https://www.imdb.com/review/rw3483393/?ref_=tt_urv","autisticreviewers","https://www.imdb.com/user/ur61780321/?ref_=tt_urv","7 June 2016","It's just like the first movie...it takes you into the mind of magic tricks and just how easy, hard and confusing and well timed it can be. It's interesting to see just how they do it, because we keep forgetting it's all fake and not real. This movie is magic mixed with a robbery heist all combined into one.All the actors return, excluding Isla Fisher. This time we have a lady by the name of Lula (Played by Lizzy Caplan) who, to an extent replaces Isla Fisher. She's actually really funny and charming, to say the least. All the characters are exactly as the same as they were in the first one. We have a new villain by the name of Walter Mabry (played by Daniel Radcliffe.) He wants the Horsemen to capture a certain device so he can have access to everyone's details. Daniel Radcliffe surprisingly makes a good villain.We rate this 3/5 stars (7/10.) The movie is entertaining, action packed and nonstop guessing and thrills all the way through. Why didn't we rate it higher? We thought it didn't deserve any higher. It's an enjoyable flick, just like the first one. Nothing more, nothing less. Go and check it out. It's worth seeing. -Autistic Reviewers.","44 out of 87 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3110958/rw3483393/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Nice film with great magical performances","https://www.imdb.com/review/rw3487119/?ref_=tt_urv","zehra_theReviewer","https://www.imdb.com/user/ur55587570/?ref_=tt_urv","13 June 2016","Among the other movies in the theaters this week, this is a good choice to spend your two hours.. I think the age warning of above 13 for this movie is actually right. My advice is that if you're above 40, it may not entertain you because this film doesn't include much logic among some events that follow one another. Another thing is that this is also a movie about a struggle of saving the world from the bad guys. There many movies like that but this movie saves itself from being boring with the humor & sarcasm of the characters. Magics which we cannot come across in real life help a lot to take the movie to a higher position in the audience's point of view.Best parts of the film: 1. The voyage of the horsemen after they jump through the tunnel. 2. When four of the horsemen are together in a room where they are being searched for a possible theft.3. The magical performances of the horsemen in a city center at a special day of the year.4. The audience may not guess how the film will end, will the horsemen succeed or not?5. There may be a 3rd film of this series.","40 out of 80 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3110958/rw3487119/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Great sequel! Don't assume based on the negative reviews - see it for yourself","https://www.imdb.com/review/rw3491860/?ref_=tt_urv","Babsmarkert","https://www.imdb.com/user/ur32478608/?ref_=tt_urv","21 June 2016","I don't understand all the hate for this movie. It accomplished the same ends as the first one, and even exceeded it in some ways. Just like the first, it started with a simple plot, added in some humor and dazzling magic tricks, and then brought in a twist at the end. Very fun movie, with complex characters. Sure, it's not a FANTASTIC movie. But I don't think it was meant to be an award- winner or anything. It celebrates the mystery and magic of illusion, and reminds viewers that even today, audiences can still be fooled, if the magician has just enough intuition (and money) to pull it off.I would've given 10 stars, but the romance was poorly executed, and some of the plot elements bothered me. Loved it though. Don't believe the negative reviews. Watch it for yourself and see what you think.","78 out of 149 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3110958/rw3491860/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Inarticulate","https://www.imdb.com/review/rw3516235/?ref_=tt_urv","nicolechan916","https://www.imdb.com/user/ur35623598/?ref_=tt_urv","24 July 2016","While the previous film was full of intrigue, mystery, and revelations, this film is a pale comparison to it's prequel. With considerably less action and more talk, the first half of the film manages to bore the audience. As well, this film gives off the feeling of trying too hard to be like the first one that it just falls short.The acting is fine enough for the Horsemen, as they all reprise their roles. I did like Isla Fisher and her character, but unfortunately she got replaced by Lizzy Caplan, who isn't so bad either. I had a problem with Radcliffe's character. He was too weird, and his background was not very comprehensive. I also found out how short he actually is in this film. In addition, the film introduces Merritt's twin brother, Chase, played by Woody Harrelson. That was another no-no. Though the editing was done well enough between the two characters, the hair on 'Chase' was very obviously a wig which was unnerving. Needless to say, I found that the new characters were not a great addition.As for the narrative, it kind of continues the story from the first film, but not in as much detail. As well, there are more elements involved in this film that detracts attention away from the main plot. This is what made it messy; with too many things going on the audience doesn't know which to focus on. And with no focus, the narrative just becomes jumbled up. The effects are cool as usual. I especially liked the scene where they're tossing a card to each other. Visuals and coordination are nicely done there, and managed to engage the audience. The ending felt a little too deja vu from the first one. As mentioned, it tries too hard to be like its predecessor that it just destroys itself. I'm not saying the film is not enjoyable, but while it isn't totally horrible, there is too much dialogue and not enough action. I'd liked to have seen more tricks, and less new characters who hardly had any foundation.","6 out of 9 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3110958/rw3516235/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Go enjoy it! It's fun!","https://www.imdb.com/review/rw3498840/?ref_=tt_urv","inspectorbob","https://www.imdb.com/user/ur64424693/?ref_=tt_urv","4 July 2016","This is a worthy follow up to the first movie (coming from someone that as a rule doesn't believe in follow-on movies). It's fun, it's got its twists and hidden surprises, & ends up being a well put-together, bit of entertainment. I went to see it with my my teenage daughter and we both really enjoyed it! It's a great, light, holiday movie, that leaves you with a smile on your face and ""oh, gee, I didn't see that coming"". It is a good mix of slight of hand that admittedly are fun to watch, good action and some rolling humour. Do yourself a favour - if you saw the first one and enjoyed it then go see the follow-on. Don't be put off by the nay-Sayers. Listen to the Inspector!","24 out of 46 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3110958/rw3498840/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","""We are going out with a show people will never forget.""","https://www.imdb.com/review/rw3487516/?ref_=tt_urv","Matt_Layden","https://www.imdb.com/user/ur1878251/?ref_=tt_urv","13 June 2016","Now You See Me 2 wins the title for most unnecessary sequel, maybe of all time. The first film was a surprise with decent twists and performances. It was a success, apparently to the point where the studio thought the audience needed more. We didn't and this film doesn't really offer anything new and it expects us to really be invested in these characters and their story. Yet neither of these things are really compelling enough for a second go-around. As a result, this sequel just manages to be serviceable.The Horsemen are in hiding and the FBI are on the hunt for them. It's been over a year and now the stage is set for their triumphant return. Just when they reappear in the limelight, the trick seems to be on them. Their entire stage was hijacked and they find themselves at the mercy of Walter, a mad genius who needs their skills to steal a microchip. In this battle of wits, which magician has the upper hand?I begged my wife to see The Conjuring 2, but she was terrified of the original and absolutely did not want to see the sequel in theatres. Double that for the fantasy adventure film Warcraft, so we were stuck seeing the magic heist flick Now You See Me 2...why this wasn't called Now You Don't, me and millions of others apparently will never know. Most of the cast has returned with the exception of Isla Fisher and Mélanie Laurent, with the former disappearance explained away with a few bits of dialogue. In her place we have Lizzy Caplan, who seems a lot more at ease with the cast and the material. One of the welcomed additions to this sequel. While the original was somewhat refreshing, this one treads the same waters. I was pleasantly surprised by the twists and turns the original offered us, here everything is telegraphed and predicted a few scenes beforehand. Thus the magic is gone, to a degree. The spectacle is still there is some sequences, yet the revelation is timid. I had to stop thinking about logic a lot of times in order to enjoy the spectacle. One sequence involving the team throwing a card between each other to keep it hidden from people inspecting them, was really well done. But why do they need to throw it to each other? Why not just have one of them keep it and continuously hide it? I don't know. Double goes for a plot hole that I simply do not understand involving a fake chip and the real one. NYSM2 doesn't bother to explain much that makes sense and instead tries to explain what we already know. As I said before, Caplan is the one good addition the film does. Most of the cast seems to sleepwalk through their roles, especially Eisenberg. The second new addition is Daniel Radcliffe, who despite playing a ""magician"" does his best to shed that Harry Potter persona. Between his role in Horns, here and the upcoming Swiss Army Man, I hope he manages to do it. NYSM2 is again, a pointless sequel that manages to entertain enough to warrant a view if you're a fan of the original.","20 out of 40 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3110958/rw3487516/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Magical Sequel Performs Amazing Tricks, But Has a Confusing Storyline","https://www.imdb.com/review/rw9546281/?ref_=tt_urv","Mysterygeneration","https://www.imdb.com/user/ur104853183/?ref_=tt_urv","6 January 2024","The 1980s-inspired sequel reimagines the original blockbuster by emphasizing the individuals and their distinctive features. Both new converts and admirers of the original should find the revisit enjoyable.The grand illusion thriller ""Now You See Me"" borrowed ideas from Soderbergh's ""Ocean's"" series and Christopher Nolan's ""The Prestige"". With a convoluted plot and a chatty, fiercely competitive group of renegade magician heroes, the film was both witty and bordering on ridiculous.The movie features a number of jaw-dropping moments, fake-outs, and teases. The film's denouement is always focused on the audience, with the Horsemen-a troupe of illusionists-stranded on a private jet. The movie is an exhilarating and suspenseful roller coaster since it never stops winking.","2 out of 2 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt3110958/rw9546281/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
