"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"8","/10","The vocal minority strikes again...","https://www.imdb.com/review/rw7949238/?ref_=tt_urv","gillespiesan","https://www.imdb.com/user/ur3709611/?ref_=tt_urv","13 March 2022","You know what's wrong with this whole aggregation ranking thing? Everybody's a critic and everyone thinks that their opinion matters. And it doesn't. Not one little bit. Mine included, so you can stop reading anytime you like...People are pissed at this movie the way they are pissed at every movie that isn't directed by Christopher Nolan and have a plot you need a PhD to understand. These people appear to have lost the ability to just...enjoy.What anybody who watched this movie - a movie about time travel starring Ryan Reynolds - was expecting when they threw a hissy fit is totally beyond me. Did they not know what was on offer? It kinda says that on the tin. Now, if that's not gonna appeal to you, move along. Nothing for you to see here. For the rest of us - you know, those of us who haven't forgotten how to enjoy stuff an don't require everything we see to be groundbreaking and profound - The Adam Project was a smart, touching and reasonably exciting Sci Fi romp that hit all the right notes and pushed all the right buttons. Recommended.","33 out of 39 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2463208/rw7949238/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Enjoyable","https://www.imdb.com/review/rw7938537/?ref_=tt_urv","rallder19","https://www.imdb.com/user/ur25290547/?ref_=tt_urv","11 March 2022","This isn't going to win any Oscars, and it is far from a perfect time travel movie, but it was a fun ride. Kept my interest all the way through and had a good cast.","218 out of 319 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2463208/rw7938537/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Kind of adorable","https://www.imdb.com/review/rw7971975/?ref_=tt_urv","Calicodreamin","https://www.imdb.com/user/ur29385135/?ref_=tt_urv","16 March 2022","I cried a little, I laughed a little, I had a good time. The storyline is well developed and while a complicated concept it's handled well. The characters are well cast and well acted. Some hokey CGI but it doesn't detract too much.","195 out of 305 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2463208/rw7971975/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Much better than expected","https://www.imdb.com/review/rw7941585/?ref_=tt_urv","PedroPires90","https://www.imdb.com/user/ur26163020/?ref_=tt_urv","11 March 2022","This is fun. I definitely had a good time even if some intellectuals will say it sucks. I must admit that I'm a bit tired of Ryan Reynold, but on this one he is not as extra as usual - well, at least, sometimes - and he even gives a good performance.This film won't change the world, but the humour landed more than I was expecting and the familiar dynamic/drama worked pretty well for me. Yeah, the villains are unidimensional and the background story is kind of generic, but this delivers what it promises, being an inoffensive fun film, reminding a lot of what we had in the past decades.PS: Great soundtrack!","110 out of 194 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2463208/rw7941585/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Fun and more","https://www.imdb.com/review/rw7938814/?ref_=tt_urv","yusufpiskin","https://www.imdb.com/user/ur34435688/?ref_=tt_urv","11 March 2022","Deadpool, The Hulk, and Elektra.The movie is actually signed by Shawn Levy, which I somehow love.It doesn't promise much, but it's pretty good at delivering what it promises.Ryan Reynolds is in front of us with the same character he has been playing for the last 15 years.What really surprises me is the harmony of someone like Raynolds, who was in front of the camera with the world's greatest actors and actresses, with Walker Scobell, who had his first acting experience at the age of 12.They made a great duo team.The film is technically trouble-free, even near perfect.CGI and Cinematography are very good.Sound Engineering is excellent, 5.1.2 Atmos speakers are used very effectively. In some scenes, all the windows and doors in the house shook.Long story short, 'The Adam Project' is a movie made to entertain the audience and it succeeds.","152 out of 279 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2463208/rw7938814/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","One Time Watch","https://www.imdb.com/review/rw7940568/?ref_=tt_urv","ketchrajath","https://www.imdb.com/user/ur71920450/?ref_=tt_urv","11 March 2022","The Adam Project has great visual effects & great performances by the cast, but the Movie has simply weak storyline. Watch this movie with least expectations, then you won't be disappointed.","78 out of 141 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2463208/rw7940568/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Fun and enjoyable time-travel movie...","https://www.imdb.com/review/rw7953543/?ref_=tt_urv","paul_haakonsen","https://www.imdb.com/user/ur22654354/?ref_=tt_urv","13 March 2022","Well, based on the cast ensemble alone then I figured that this 2022 sci-fi action adventure would be a movie worth-while watching. And thus, I needed no persuasion to sit down and watch what writers Jonathan Tropper, T. S. Nowlin, Jennifer Flackett and Mark Levin had in store with this movie.And honestly, then the movie was every bit as entertaining and enjoyable as anticipated. Which means that director Shawn Levy managed to do a great job at bringing the script and storyline to life on the screen in an enjoyable and entertaining manner.Sure, ""The Adam Project"" is the type of movie where you essentially just lean back, munch on the snacks and watch the movie. Yeah, it wasn't particularly a very cerebral movie, despite of it revolving around something as complex as time travel. But hey, it is a movie meant for entertainment after all, this wasn't exactly an exact science.Visually then ""The Adam Project"" is rather impressive. But of course, with a movie project such as this, the funding is large and very capable of sustaining great visuals. And a movie such as ""The Adam Project"" does need proper CGI effects to fully function as intended on the screen. And trust me, the effects served their purpose.""The Adam Project"" has a good cast ensemble, which funnily enough brought together four members of the Marvel CMU, a funny little detail. Especially since ""The Adam Project"" does poke fun at aforementioned MCU. The movie has the likes of Ryan Reynolds, Mark Ruffalo, Zoe Saldana and Jennifer Garner on the cast list to carry the movie, which they did quite well. In addition, the young actor Walker Scobell really managed to stand tall among such established performers.While ""The Adam Project"" certainly is a watchable and enjoyable movie, it hardly strikes me as a movie that I will be returning to watch a second time, as the storyline just didn't have all that much solid contents to it.My rating of ""The Adam Project"" lands on a six out of ten stars.","102 out of 200 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2463208/rw7953543/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","How can you not like this? Are you dead?","https://www.imdb.com/review/rw7944118/?ref_=tt_urv","jcooloti","https://www.imdb.com/user/ur44406995/?ref_=tt_urv","12 March 2022","Honestly, this movie feels how movies used to be when they were better. Some of these negative reviews on here really make me sad, because obviously the people writing don't want to have fun or are ""too cool"" for a feel good movie. It's a great family movie, drawing inspiration from a handful of classics before it such as Flight of the Navigator and Back to the Future but also keeping it fresh with great special effects and cinematography. It's also a tear jerker... and reminded me of how a lot of movies used to be made to trigger a positive emotional response, something that is missing completely from most modern cinema.A movie hasn't made me feel this way in a long time. I felt like a kid again watching it. I'm not ""too cool"" for this movie. It rocks. Great cinematography, acting, script, comedy and drama. It's a great all ages movie. It's a rare thing to get one like this during ""dark times"". In my opinion, we need more like this more than ever right now.","142 out of 205 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2463208/rw7944118/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Funny, Exciting and Endearing","https://www.imdb.com/review/rw7940650/?ref_=tt_urv","rogier-86785","https://www.imdb.com/user/ur79773454/?ref_=tt_urv","11 March 2022","The Adam Project is an adventurous film in the mould of Spielberg and other '80's and 90's pics, meaning confused conversations, quick quips, great close ups and seeing the world from a child's point of view as well.The plot is a time travel story where our main character meets his younger self, trying to fix the damage a villain inflicted, and that's all the narrative I'll share beforehand. It's well shot, well directed, well written, and well played, especially by young Adam.It leaves us with an entertaining film that plotwise isn't surprising enough to elevate it to greatness, but a good watch nonetheless.","71 out of 147 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2463208/rw7940650/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"5","/10","Enough with the BS projects driven by Reynolds' charisma alone. Put some damn writing into things!","https://www.imdb.com/review/rw7958597/?ref_=tt_urv","siderite","https://www.imdb.com/user/ur3146136/?ref_=tt_urv","14 March 2022","This film is bad. There is no way around it. And I know that there are many other films with the same amount of logic holes (and perhaps the same plot!) that are considered at least average, but those are older movies. If you clone a barely average old film now and all you have to add to it is Ryan Reynolds' jokes as an improvement, then you fail.Forget that time travel films are notoriously hard to have making sense: even in that very specific subgenre, this film is at the bottom of anything resembling reason. What you are left with are (very!) cheap video game like special effects, Reynolds' and the kid (he did a good work, BTW) spouting jokes and puns and guest star appearances from Mark Ruffalo, Jennifer Garner and Zoe Saldana (they all have like a few minutes of screen time each, just to get a paycheck). Even the ""endearing"" part that people talk about is mostly nostalgia for better films from 30 years ago and nothing to do with the script.Bottom line: I like Ryan Reynolds, he is fun, but all of his movies have become the same thing with different backgrounds. They don't even make the effort to make it seem like they tried. With this in mind, I doubt even Deadpool 3 will be any different, which would be a terrible shame. Films like The Adam Project are a disgrace, a show of bad faith and lack of respect to viewers. At least Reynolds should know better.","412 out of 839 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt2463208/rw7958597/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
