"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"8","/10","Much better than expected superhero action drama.","https://www.imdb.com/review/rw4277340/?ref_=tt_urv","paulclaassen","https://www.imdb.com/user/ur2263198/?ref_=tt_urv","10 August 2018","I must be honest, it took me a while before I finally decided to watch this, as I'm not a big Hollywood superhero movie fan. Well, I was pleasantly surprised. Gil Gadot is excellent as Wonder Woman and lends credibility to the naive title character. The chemistry between her and Chris Pine was wonderful and made for a very believable love story. It felt very natural and romance between them seemed inevitable.As for the plot, I enjoyed the way the Amazonian women's back story was told, as well as Diana's (Wonder Woman). The visuals and photography are incredible! This is a visual spectacle. I loved the humorist dialogue, which was genuinely funny and never over the top or slapstick. Gil Gadot is just fabulous.This superhero movie had a very realistic feel to it with the added bonus of feeling and emotion. There are so many truths in this film humanity should take note of. The film has a very unexpected ending compared to most superhero movies, and that's what I honestly loved about the film.","49 out of 54 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0451279/rw4277340/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","one of the best DC Movies","https://www.imdb.com/review/rw9332494/?ref_=tt_urv","chera_khalid","https://www.imdb.com/user/ur61955106/?ref_=tt_urv","20 September 2023","""Wonder Woman"" was a captivating addition to the superhero genre, earning a 7/10 in my opinion. Its strength lay in Gal Gadot's compelling portrayal of the iconic heroine, infusing the character with both strength and vulnerability. The film's cinematography showcased visually stunning action sequences, with Themyscira's lush landscapes serving as a standout. The supporting cast, particularly Chris Pine, added depth to the story with strong performances. While the music and visuals were effective, they didn't always leave a lasting impression. Overall, ""Wonder Woman"" delivered a powerful and long-overdue female-led superhero story, though it had some minor weaknesses in terms of music and visual impact that kept it just shy of perfection.","7 out of 7 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0451279/rw9332494/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","FUN","https://www.imdb.com/review/rw6440238/?ref_=tt_urv","malibeli","https://www.imdb.com/user/ur68649392/?ref_=tt_urv","3 January 2021","Does anyone remember what fun is?
I loved this movie","7 out of 7 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0451279/rw6440238/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","I love Gal Gadot","https://www.imdb.com/review/rw5742337/?ref_=tt_urv","g-14768-12616","https://www.imdb.com/user/ur118486356/?ref_=tt_urv","16 May 2020","Gal Gadot is so beautiful and l love her so much.My heart beats faster while the camera cuts to her.She has toned figure which appeals to me the most.You must go and see it,l promise you won't be disappointed.","7 out of 7 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0451279/rw5742337/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","Solid Overall","https://www.imdb.com/review/rw5037742/?ref_=tt_urv","MAY7X","https://www.imdb.com/user/ur105869367/?ref_=tt_urv","3 August 2019","A really solid DC film in a time where the company has struggled to muster post Christopher Nolan success.","7 out of 7 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0451279/rw5037742/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","A strong film!","https://www.imdb.com/review/rw8483679/?ref_=tt_urv","catalinmarian-13885","https://www.imdb.com/user/ur99233806/?ref_=tt_urv","24 August 2022","Much better than I would have thought. I'm not a big fan of Wonder Woman, but I can say that this movie is my favorites from DC, but that doesn't say much considering the past. I really like the period in which the action of the film takes place, during a real war is not something usual for a movie with superheroes. The actors are good, so is the action, maybe act 3 is a bit weak, but it works.","10 out of 11 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0451279/rw8483679/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","A Badass Wonder Woman Film!","https://www.imdb.com/review/rw7276903/?ref_=tt_urv","joenfoiles","https://www.imdb.com/user/ur119500115/?ref_=tt_urv","28 August 2021","I love Wonder Woman and I was really excited to see this. And after watching this movie, I enjoyed it. This was a great DC film to the DCEU.","10 out of 12 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0451279/rw7276903/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","Warrier Princess at her best!","https://www.imdb.com/review/rw6449222/?ref_=tt_urv","ginasharp","https://www.imdb.com/user/ur109374849/?ref_=tt_urv","6 January 2021","I was expecting the ""glitzy"" curvy wonder woman which I loved in the 80's but VERY pleasantly surprised to find the Warrier Princess side of her that deeply cares for humanity and the good that are in people. She is unconcerned with her looks and trying to impress others, and way more concerned with saving the world as she was meant to do. This film really showed the process of her becoming a true heroine! She loves, she protects, she saves. Wonder Woman is a great character and I think she was cast beautifully! She looks ""other-worldly"" beautiful and fit the part so well. The film was written well to show her innocence of the ""real"" world, her joy of seeing it and it's people for the first time, and her passion for saving us all!Team Wonder Woman Forever!This is a film I could watch over and over. :D","21 out of 26 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0451279/rw6449222/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Not a wonder, not a blunder","https://www.imdb.com/review/rw3755873/?ref_=tt_urv","TheLittleSongbird","https://www.imdb.com/user/ur20552756/?ref_=tt_urv","16 July 2017","As someone who does enjoy superhero films when done right, there are some good ones out there as well as some disappointing ones. Enjoyed the character of Wonder Woman as a kid, and always felt compared to other superhero characters that she deserved her own film.Which she gets in this 2017 effort directed by Patty Jenkins. Is 'Wonder Woman' as good as the hype and a wonder of a film? Not to me, there are a few things that stop it from being even better. Does it deserve the negativity in a lot of the comments here? While it is easy to see why people would be disappointed, as it could have been better, my answer would be no and that some of the hate is over the top.There are problems here in 'Wonder Woman'. Part of it is to do with pacing, the film starts a little dull in places and later on as more happens in the story it felt rushed and at times it affects the storytelling which has its muddled moments.The ending is clichéd and anti-climactic and some of the characters feel underdeveloped, especially the underused and underwritten villain.However, 'Wonder Woman' is mostly an exceptionally made film, apart from instances of frenetic editing, with a lot of atmosphere in the production design and lighting, audacious photography and special effects that are super slick. The music has a haunting sense of mood and rousing energy, and Jenkins directs with an understanding of the titular character and accommodating the performing of Gal Gadot.Script has some witty humour, heartfelt sentiment and also takes itself seriously without making the mistake of previous BC Extended Universe (of which 'Wonder Woman' is by far the best, actually being a good film) of being too grim and dark. The action is stirring and often spectacular in spectacle.'Wonder Woman's' story has its faults but most of it is heartfelt and thrilling. It does the character of Wonder Woman justice with a genuinely interesting back-story that makes her a compellingly real and easy-to-relate-to character who you admire for all her strengths and flaws.Gadot is superbly cast as Wonder Woman, creating a character that really stands out among the rest of the superhero line in terms of gender and her ideals. Chris Pine is amusing, commanding and likable with great chemistry with Gadot, while Danny Houston clearly enjoys himself as the villain. The rest of the cast do very solidly.Overall, not a wonder but a long way from a blunder. 7/10 Bethany Cox","26 out of 38 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0451279/rw3755873/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Admirable Fun","https://www.imdb.com/review/rw8047029/?ref_=tt_urv","boblipton","https://www.imdb.com/user/ur1617546/?ref_=tt_urv","10 April 2022","It's a pretty good movie, as you probably have already heard if you follow the reviews. I was a bit worried. DC has shown a.... shall we call it tendency? -- to darken every comic book character, to the point where Suicide Squad had everyone with a sad backstory. It made me miss the cheery disposition of Caesar Romero's Joker. Yes, I get it that you're a sociopath. Can't you enjoy it?Wonder Woman avoids that. In the midst of the horrors of the Great War, there are real jokes, and moments of kindness and great deeds inspired by naive morality.Visually, the movie combines the splash panels and covers of the Dark Horse era of DC, with some canny casting choices among the secondary characters. Lucy Davis looks like Etta Candy from the late WWII comics era; Ewen Bremner looks like Charlie from the same era; both push the comic book look to the edge, without falling over.Miss Gadot turns out to be a very capable screen performer, with dark, expressive eyes. Chris Pine restrains himself as her leading man. If the screenplay sometimes falls into the current hackneyed tropes, it plays nimbly with others, like Chekhov's Gun. If the final battle is another round of Rock-Em-Sock-Em Robots, the earlier battle scene, fought in righteous anger, made me think about the Angel of Mons.","13 out of 15 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0451279/rw8047029/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
