"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"7","/10","Engaging from the 1st Moment","https://www.imdb.com/review/rw8923245/?ref_=tt_urv","tkdlifemagazine","https://www.imdb.com/user/ur88886235/?ref_=tt_urv","12 March 2023","I skipped this when it came out because I was sick of the Zombie theme. This one intrigued me because it was written by Mel Brooks' son, Max; however, not enough to watch it. I was wrong. It is good because it is an action film first, and a Zombie film second. Brad Pitt is very good as an agent living a normal life until the crisis calls him out of his retirement. The cinematography is way too shaky for me and that is my major criticism of the visuals in the movie. The script, dialogue, plot, acting , and directing are all very good. I like this one and it stands out in the swarm of Zombie films.","26 out of 30 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0816711/rw8923245/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Pretty Good","https://www.imdb.com/review/rw2924266/?ref_=tt_urv","mwp-036","https://www.imdb.com/user/ur48556426/?ref_=tt_urv","18 December 2013","Let me start off by saying I haven't read the book yet, so I have no idea how they compare. However, this was a pretty good movie overall. Many zombie movies are merely mindless gore and violence disguised within some fragile thing that doesn't even deserve to be called a plot. However, World War Z has a much better plot than most other zombie movies. One thing I noticed right away is that this movie actually made me jump in surprise several times. It's very suspenseful, and truly worthy of being called a ""zombie horror movie,"" as opposed to the plethora of predictable, unsuspenseful zombie movies that have come out of Hollywood. Brad Pitt does a great job in his role, although I felt his character lacked definition in many ways. It would be nice if they had ""fleshed out"" the characters a bit more. Overall, this movie is definitely worth the watch if you have a couple hours to spare. Not the best movie ever made, but a pretty good one.","81 out of 108 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0816711/rw2924266/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Don't give up","https://www.imdb.com/review/rw2836992/?ref_=tt_urv","moviemanMA","https://www.imdb.com/user/ur6078355/?ref_=tt_urv","22 July 2013","At the end of World War Z, just as the credits began rolling, a gentleman, scratch that, an idiot spoke up from the back of the theatre exclaiming, ""What? That sucked! The book was nothing like that! Booo!"" I'm sure he scurried away back home, logged online, and began tweeting, posting, and blogging, furthering his rant. Much like my response to him at the theatre, I hope he receives silence in return.It's true, World War Z is nothing like the book. The book is told from the point of view AFTER the war. It's a ""historical,"" account of what happened during the war. Rather than make a mockumentary with flashbacks, which would have been the wrong decision in my opinion, the filmmakers decided to put us right in the middle of the action.When adapting a piece of literature it is impossible to bring every page, every paragraph, every nuance onto the screen. Some have come close depending on the material, but for the most part, they all have to take their own creative licenses. After all, it's called an ""adaptation,"" for a reason, otherwise they would call it a copy or mimic.Where World War Z works (that's a mouthful) and where so many others fail is that just because the world slips into total and utter chaos, doesn't mean that governments, military, and law enforcement agencies go away. Quite the opposite. If anything, these scenarios bring out the best of all of them. We see generals, UN delegates, and scientists trying to solve complex issues that they don't know anything about. Rather than going into hiding, they act. Society doesn't crumble. Bands of cannibals and leather strapped gangs don't patrol the streets with necklaces made of teeth. People do what they can to survive, and the higher ups try their best to find a fast and effective solution.At first, I thought the movie started too fast. How could something this violent and concentrated go undetected, but after a while I got it. The opening montage of news reports said it all. How many of us listen to everything we hear on the news? Exactly. So much goes undetected while we focus on issues that effect us immediately. It's too late when the virus touches US soil. Not even social media can keep up with it.As far as zombie movies go this one is pretty great. Though I think 28 Days Later takes the cake in terms of realism, in-camera effects, and sheer terror, this one holds its own. Brad Pitt plays a former UN investigator who is traveling with his family just as the zombie attack on Philadelphia unfolds. The film goes from 0-60 before you take a sip of your Coke. This is a fast paced, edge of your seat thrill ride led by one of the finest actors of this generation (Pitt's acting ability is far too underrated and lost in the kerfuffle of tabloid news).For those of you who stare at the ticket window debating whether or not to see a film in 3D or standard, you might want to spend the extra few dollars to see this one in 3D (I know it's asking a lot, but maybe you can sneak some candy or a bottle of water to offset the concession stand price - deal with it). I tend to air on the side of ""screw it, I want to see it in 3D."" Now not every movie NEEDS to be seen in 3D, hell there are really only a couple that absolutely have to be seen in all three dimensions (Avatar and maybe Life of Pi), but this one really surprised me. 3D is not about things jumping out at you, but it's about layers. Luckily this film has both. Big chase scenes in Philly, particles floating about in South Korea, and tracking shots in Jerusalem make this one of the 3D events of the year. No exaggeration.Like so many other summer blockbusters before it, civilization is on the brink of extinction and only a handful of experts can save us. What World War Z does that so many have failed is give us hope. Hope that humanity won't dissolve into nothingness. In the face of sheer danger these fighters stand tall, take a deep breath, look the enemy in the eye, and say, ""No.""","264 out of 391 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0816711/rw2836992/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","More sinister than 7 years ago","https://www.imdb.com/review/rw5540677/?ref_=tt_urv","dombspace","https://www.imdb.com/user/ur64378787/?ref_=tt_urv","10 March 2020","Considering what is happening in the world today, this film takes on a different meaning for me, all the more so because both in the book and in the original version of the script the epidemic has its origin in China
not to mention the North Korean thread, which is becoming particularly ominous.","62 out of 89 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0816711/rw5540677/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Zombie blockbuster for a generic audience","https://www.imdb.com/review/rw2817539/?ref_=tt_urv","cgf376","https://www.imdb.com/user/ur28742614/?ref_=tt_urv","21 June 2013","I haven't read the book so I'm not coming from viewing this as an adaptation but rather a stand-alone film. (From what I've heard it's pretty far from the original source anyway.) First off, a zombie film watered-down and free from blood and gore? That idea alone would lose a big slice (pun-intended) of hardcore fans in the audience. How does it hold your attention then? By stringing you along on the edge with tension and suspense from beginning to end. It does a pretty good job of maintaining this grip even without the standard horror elements of slasher flicks.Brad Pitt easily slips into the role of a family man desperate to keep his family safe. It's not difficult to root for him and share in his urgency. His charm certainly makes up for and saves the movie from its flaws (and there are many!) not the least of which are its gaping plot holes and loose direction.The audience in the theater seemed to have fun screaming along and allowing themselves to be entertained and toyed with. There are a handful of funny scenes (whether intentional or not). If you're willing to quit analyzing the movie like a critic, you'll probably start enjoying it.After all, when did a zombie movie ever have to be ""BELIEVABLE""?","149 out of 278 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0816711/rw2817539/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","More Action Than Horror","https://www.imdb.com/review/rw3184261/?ref_=tt_urv","gavin6942","https://www.imdb.com/user/ur1234929/?ref_=tt_urv","15 February 2015","United Nations employee Gerry Lane (Brad Pitt) traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.Classifying this as a ""zombie"" movie is much the same as calling ""21 Days Later"" a zombie movie. The categorization is not wrong, but kit changes what we typically think of when we mean zombies. These are not lumbering oafs. These are lightning-fast creatures that seem to have some sort of collective intelligence, like a colony of bees. Their abilities (most notably climbing walls) are foreign to what zombies are.Also, this should be seen as an action film first, horror film second, which seems to be the case any time Hollywood has millions of dollars to burn on a zombie film. See, for example, ""I Am Legend"". If you are looking to see Brad Pitt survive car accidents and plane crashes while traveling around the world (South Korea, Israel, Wales) this is a fine film. But if you want some scares or a film that embodies ""survival horror"", you will not get what you want.Probably the most clever thing about this was the referral of zombies as ""rakshasa"", a Hindu demon that feeds on human flesh. Maybe this has already been covered in Bollywood, but it seems that the concept is rather new here. The zombies (or infected) in this film are not actually rakshasa, but it does raise the question: where are Hindu demons in the horror film? If we can have Onibaba and other Asian creatures, why not something from a country with over one billion people? But this is a bit of a sidetrack...Anyway, good film if you want big budget action and Brad Pitt fighting computer-generated undead while sporting the greasiest hair since Kid Rock. Bad film if you want slow, lumbering Romero zombies. But to each his own, I guess.","15 out of 22 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0816711/rw3184261/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Zombie favourite","https://www.imdb.com/review/rw5801197/?ref_=tt_urv","MAYESY-44","https://www.imdb.com/user/ur118961119/?ref_=tt_urv","5 June 2020","Out of all of the zombie based films this is one of my favourites, a really good story from a different angle of a specialist rather than a hero with a gun. Brilliant ending as-well which is always a bonus.","92 out of 114 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0816711/rw5801197/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Breathtaking and thrilling Zombie movie with frenetic action , spectacular scenes and great performances","https://www.imdb.com/review/rw7678125/?ref_=tt_urv","ma-cortes","https://www.imdb.com/user/ur3270789/?ref_=tt_urv","24 December 2021","A shocking and fantastic drama with daring scenes of the violent Zombies attacking here and there by domineering the entire world. Entertaining flick packing noisy action , drama , humor , violence with lots of blood and gore , and enjoyable relationship among our starring and a group of motley characters with whom he makes relations . Retired U. N. investigator Gerry Lane (Brad Pitt) , his wife (Mireille Enos) and children are sitting in what seem to be a typical Philadelphia traffic jam when helicopters started to circle ominously overhead and a blow-up throws the city into panic. In the blink of an eye , the streets are consumed by destruction , chaos and mayhem . When Gerry to be aware that the catalyst for the turmoil is a highly contagious virus that transforms those who contract it into rampaging maniacs and that legions of the infected are growing on all continents , he agrees to join his former partners in discovering the source of the rampant plague . As zombie virus has gutted the United States of America as well as other countries and a team of expert heroes -led by Gerry- is formed so that they find the origin of the horrible plague . Eventually , he meets some doctors (Peter Capaldi , Pierfrancesco Favino , Ruth Negga , Moritz Bleibtreu) from a World Health Organization installation . I can't leave my family ! .Where there is life, there is hope !.Better than average Zombie movie includes hectic action , thrills , chills , gutsy scenes , violent fights and loads of gore . In World War Z (2013) happens a lot of disturbing occurrences with thousands of Zombies toppling armies and governments and threatening to destroy humanity itself , including suspense , intrigue , turns , a lot of twisted incidents , at the same time charged with tension , unflinching depictions of graphic violence and high level staging which the viewer could really enjoy . Several overwhelming scenes , including large-scale battles with the zombies , though some of them were dropped from the final cut in order to water down the film's political undertones . Interesting and nail-biting storyline from Matthew Michael Carnahan and J. Michael Straczynski , though Damon Lindelof and Drew Goddard rewrote the screenplay . Paramount Pictures acquired screen rights to the Max Brooks novel ""World War Z: An Oral History of the Zombie War , as they spent $1 million on the film rights . Lavishly produced by Paramount along with other independient producers as Ian Bryce , David Ellison , Marc Forster , Dede Gardner , Dana Goldberg and Brad Pitt himself . It's a solid film , a terror story plenty of suspense , restless horror, and including a lot of CGI with state-of-art special effects . Brad Pitt -producer as well- gives a splendid acting as former United Nations employee who traverses the world in a race against time to stop a zombie pandemic . He's well accompanied by a good support cast providing brief but decent performances , such as :James Badge Dale , Daniella Kertesz , James Badge Dale , Matthew Fox , Fana Mokoena, David Morse , Elyes Gabel , David Andrews , Peter Capaldi , Pierfrancesco Favino , Ruth Negga , Moritz Bleibtreu , among others .It displays a stunning and amazing cinematography from Newton Thomas Sigel , Robert Richardson and Ben Seresin . Likewise , a rousing and terrific musical score by Marco Beltrani . The motion picture was competently directed by Marc Foster (Finding Neverland, Monster's Ball , Quantum of Solace , The Kite Runner , All I see Is You , Soldier of God) , delivering action , tension and impressively thrilling scenes .This was the highest-grossing film of Mark Foster and Brad Pitt's careers . Rating : 7.5/10 . Above average . The flick will appeal to Brad Pitt fans . Essential and indispensable watching .","24 out of 30 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0816711/rw7678125/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","The Most Marketable Movie Ever Made...","https://www.imdb.com/review/rw2818212/?ref_=tt_urv","xanderfaulk-629-298488","https://www.imdb.com/user/ur22670331/?ref_=tt_urv","23 June 2013","World War Z is a zombie outbreak movie that supposedly bases itself on the amazing book of the same name by Max Brooks. What this movie truly is, is a shamefully mediocre attempt to create a movie that appeals to the widest audience possible. Pee established fan base from the book? Check. Star power (this is Brad Pitt)? Check. Focuses on intensity rather than horror and gore to not alienate non zombie fans? Check. Safe, young PG 13 rating? Check. All the makings are here because this is what the big Hollywood studio wanted. Despite the fact this movie doesn't resemble the book at all, it appears that those attached to make this movie tried to make a decent movie such as the visually interesting director Marc Foster who wanted to make a movie with a message which would emulate the tone the book was going for. However, the big studio disliked this and demanded rewrites and re-shooting that damaged the relationship between the director and Brad and results in a quick, intense action movie that lacks the character development and messages it needed to be a truly memorable movie because almost every one of those scenes were cut so much to the point that central characters get barley any lines. While the action scenes are intense and enjoyable on their own and Marc foster adds style to the lack of substance but its just not enough to save this movie. While it is better than it had any right to be thanks to Marc, it needs more and it lacks in crucial substance. However from the reviews and box office reports it appears Hollwood has succeeded in creating a successful marketable movie that everyone will eat up and it will be too late when we all get the nasty aftertaste.....","271 out of 542 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0816711/rw2818212/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","good action thriller","https://www.imdb.com/review/rw2846824/?ref_=tt_urv","SnoopyStyle","https://www.imdb.com/user/ur2898520/?ref_=tt_urv","7 August 2013","The world descends into the zombie apocalypse. There is some sort of virus and bitten people are turned into violent creatures. Former UN investigator Gerry Lane (Brad Pitt) is caught up with his wife Karin (Mireille Enos) and family. They manage to escape and Gerry is put to work on finding the origins of the outbreak. This Brad Pitt showcase has many good points. My only main complaint is the PG13 rating which imposes the cartoon zombie action rather than a gore bloody fare.The action starts right away within 10min. There's no need to misunderstand what this movie is. It's simply a popcorn movie. Although unlike other post-apocalyptic movie, there isn't the standard eerie empty city scenes. The zombie mystery is investigated in a Bond movie fashion. Brad Pitt travels all around the world following leads. It's actually easy to follow and really compelling. It has a good tension filled horror aspect. It's not all big action. You also get good scary parts with dark hallways and stalking dangers.","46 out of 62 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt0816711/rw2846824/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
