"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"7","/10","High Hopes - not too bad/ fun watch","https://www.imdb.com/review/rw4157602/?ref_=tt_urv","mikeshelp","https://www.imdb.com/user/ur65349829/?ref_=tt_urv","7 May 2018","Loved the anime original, watchable MOVIE adaptation. Good action. (Yeah sequel could be done)","25 out of 29 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1219827/rw4157602/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Solid 7-star. Very good.","https://www.imdb.com/review/rw4130124/?ref_=tt_urv","Exsosus2","https://www.imdb.com/user/ur40399608/?ref_=tt_urv","15 April 2018","The film plays like a six, in that the story line is good but maybe not top-notch, but the ending is spectacular, and by spectacular I mean better than your average excellent film out there.So this is a seven to me, and recommended to all my friends and family.","27 out of 33 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1219827/rw4130124/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Ghost in the shell","https://www.imdb.com/review/rw4798233/?ref_=tt_urv","skullfire-48012","https://www.imdb.com/user/ur80237161/?ref_=tt_urv","23 April 2019","If you have watched the original, this will leave you wanting. Watched as it is, dismissing the original, it still seems rushed, but, not as terrible an outing as some have said, in my opinion.","36 out of 46 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1219827/rw4798233/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","All the sex-appeal, none of the heart.","https://www.imdb.com/review/rw4276108/?ref_=tt_urv","gborkhataria","https://www.imdb.com/user/ur24973977/?ref_=tt_urv","9 August 2018","Clearly, the design team are talented and this film is indeed a visual spectacle, but the director clearly doesn't understand why the anime was special. This barely touches on the core themes of the original, it is hollow, beautiful, but hollow.","156 out of 243 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1219827/rw4276108/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"5","/10","Ghost in the shell for dummies","https://www.imdb.com/review/rw3671277/?ref_=tt_urv","dmanchon","https://www.imdb.com/user/ur7566734/?ref_=tt_urv","26 March 2017","Maybe I had my hopes too high for this one. Like many other fans of the original material, this adaptation has intrigued me since the first trailers were available online, because it really looked nice visually, but, Is this movie worth to be part of the GitS universe?","742 out of 1,521 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1219827/rw3671277/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","An underappreciated (by some) beauty","https://www.imdb.com/review/rw4005294/?ref_=tt_urv","nandanchoudhury","https://www.imdb.com/user/ur58279550/?ref_=tt_urv","17 December 2017","Thank you for this film. It really tries to stay true to its original elements and the visuals don't disappoint. Some take the nitpicking, whitewashing, feminism etc too far, none of which are the intention of this film. The makers of this feature film must have had been fans of the original series so as not to ruin it. If good anime are to have live action movies, then I say this is the bar, the benchmark.And I would absolutely love a sequel!","144 out of 159 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1219827/rw4005294/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","The Queen of Frowns does it again.","https://www.imdb.com/review/rw8394489/?ref_=tt_urv","nigelhalseyf","https://www.imdb.com/user/ur146725258/?ref_=tt_urv","2 August 2022","This is one of those films that gets better the more you watch it. The action is solid, effects are excellent, HOWEVER.WHY DOES EVERY DIRECTOR SJ WORKS WITH MAKE HER SPEND THE FILM FROWNING????? Black widow frowns, her character in this film (GUESS, GO ON , GO ON!!), FROWNS!Please Hollywood, let this lovely lady smile.","4 out of 4 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1219827/rw8394489/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"4","/10","It is beautiful to look at...that's about it.","https://www.imdb.com/review/rw3673394/?ref_=tt_urv","trublu215","https://www.imdb.com/user/ur28528605/?ref_=tt_urv","29 March 2017","Ghost in the Shell is arguably one of the most beloved anime films of all time. Approaching nearly 22 years old, the original film still holds up as, not only a great film, but a thought provoking one too. Fast forward to 2017, we're introduced to the CGI spectacle that many believed was going to be the first great live action adaptation especially when the first trailer was released. Instead of appeasing fans of the original, this film decides to clip its own nuts and wants to be seen on a broader spectrum. Throw in some heavily edited fight sequences, a PG-13 rating and Scarlett Johansson, we get 2017 Ghost in the Shell...and it is downright painful at times.The film is, more or less, a shot for shot remake at times and then other times it tries to do its own thing. Truthfully, Rupert Sanders' erratic direction and Jamie Moss' lackluster adapted script make this a very hard film for a fan to watch. While it may be easily looked over because of the wonderful use of CGI and cinematography, under the surface the film is superficial and very idiotic at times. Scarlett Johansson as Major is a major miscast (no pun intended). She is wooden and feels like she is sleepwalking through this role. While it is clear that after Lucy and The Avengers, Johansson is wanting to be an action hero icon. She is a tremendous actress in every way but it is hard to buy her as Major. Overall, this film is yet another remake that misses the mark. Walking out of my screening, I kept hearing the comparisons to the remake of RoboCop from a group of people. I must say, this was an accurate comparison and I couldn't have made a better comparison even if I tried. The film suffers from blatant studio meddling, a poor script, and a very erratic director, much like that remake. These are three things that are too hard to ignore. Hardcore fans of Ghost in the Shell will probably be massively disappointed by this blatant cash grab. The young teenagers might get a kick out of the action sequences and CGI but the adults will be left watching the original for their enjoyment.","120 out of 256 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1219827/rw3673394/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"10","/10","Really good","https://www.imdb.com/review/rw3743745/?ref_=tt_urv","madilyn-martinez0323","https://www.imdb.com/user/ur48883389/?ref_=tt_urv","1 July 2017","In my honest opinion, I loved this movie. Maybe it's because I have a huge crush on Scarlett Johansson, but let's hope not. I thought everything, from the acting to the cinematography to the action, was amazing. It's definitely one of my favorites for 2017 so far. I watched this without watching the original. I was going to at first, but gave up believing that I'll have expectations that are too high or get brainwashed somehow. I didn't want to review this movie as a live- action remake, but just a movie. I wish I could go into more detail, but I have nothing more to say. I don't know if I recommend this movie or not in general, but give it a try if you like cyberpunk action movies or a fan of the original anime. Or just if you like Scarlett Johansson.","127 out of 140 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1219827/rw3743745/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","I love this movie, really underrated one","https://www.imdb.com/review/rw9347994/?ref_=tt_urv","chera_khalid","https://www.imdb.com/user/ur61955106/?ref_=tt_urv","29 September 2023","Ghost in the Shell (2017), a cybernetic ballet of stunning visuals and philosophical musings. Scarlett Johansson's portrayal of Major was captivating, embodying the essence of a cybernetic being grappling with identity. The film editing embraced the high-tech aesthetic, seamlessly blending action sequences with moments of introspection. The movie's strength lies in its visual spectacle, transporting the audience to a dystopian world that feels both futuristic and eerily familiar. While the narrative occasionally stumbled in fully exploring its existential themes, the music added a haunting layer that complemented the film's atmosphere. Cinematography plunged us into a neon-soaked cityscape, capturing the beauty and complexity of a world where humanity and technology intertwine. At 7/10, Ghost in the Shell is a cyberpunk visual feast that sparks contemplation on what it means to be human in an increasingly digital age.","6 out of 7 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt1219827/rw9347994/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
