"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"4","/10","Made no sense","https://www.imdb.com/review/rw9747805/?ref_=tt_urv","hardikb-43768","https://www.imdb.com/user/ur118981391/?ref_=tt_urv","21 April 2024","Watched both the parts together. I have no clue how my brain is functioning properly.Positives : CGI, Costume Design, Cinematography
Negatives : Pretty much everything else. Script/ Story made no sense. Seems like a high school kid wrote it. Expected better from Snyder.Dialogues are trash
Acting is non-existent. Even the most emotional scenes are laughableIt is just like an old western where a group of people band together to fight a common enemy except this movie tales place in space. The movie added nothing new just copy pasted the stale idea. I am not sure why Zack was so excited for this movie. The first part was watchable (it sucked) but the 2nd part made no sense.Watch it only if you have time and brain cells to kill.","308 out of 384 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt23137904/rw9747805/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"4","/10","Bad movie","https://www.imdb.com/review/rw9745094/?ref_=tt_urv","ahowroyd","https://www.imdb.com/user/ur49854185/?ref_=tt_urv","19 April 2024","I so wanted to be positive about it but it is so bad. The budget has been blown on special effects and no script. It's like one of those rip off B movies you get on the free to view movie channels. I just don't understand why it was made. The Creator and both the recent Godzilla films are far superior to this. The only reason I am giving this a 4 is for some of the special effects and action scenes- the acting is so wooden especially when they tell each other about their pasts. Part 1 is superior but I would stil only give it 5 as it at least attempts a Magnificent 7 in space type film. This was just a waste of space.","251 out of 354 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt23137904/rw9745094/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"","","HOLD MY BEER!","https://www.imdb.com/review/rw9753751/?ref_=tt_urv","GCM_Gentry","https://www.imdb.com/user/ur16198428/?ref_=tt_urv","24 April 2024","I thought Part One of Rebel Moon was horrible, but Part Two literally said, ""Hold my beer!"" -- and then proceeded to do the impossible! Take millions of dollars in budget, hire the best special effects artists, great actors, and commence to shoot a ""movie"" with the most ill-conceived, disjointed, illogical, and atrociously paced ""storyline"" imaginable!I'm the biggest Star Wars fan ever, and after reading Rebel Moon was originally meant to be a Star Wars project, I thought this would be at least somewhat watchable. I really wanted to like these two movies!But this was the laziest, nonsensical ""writing"" I've ever seen in my life! It's rare for me to literally HATE a movie, but this one definitely falls into that category! Why? Because the movie is INSULTING! Insulting because there are great writers and filmmakers out there worth their weight in gold, but ""Hollywood"" instead keeps giving millions to this Zack Snyder hack to keep churning out crap fest after crap fest!No wonder Hollywood is in trouble! It's run by MORONS!","185 out of 217 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt23137904/rw9753751/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"2","/10","Practically Unwatchable Rubbish","https://www.imdb.com/review/rw9767685/?ref_=tt_urv","boyd-03573","https://www.imdb.com/user/ur170231008/?ref_=tt_urv","2 May 2024","The first one was ok, although it was blatantly obviously Star Wars remade ... There wasn't an original idea in the whole thing ... And it has some really bad colour grading choices ( probably to cover up the lack of reality and texture in the sets or effects ) ... But this !!! ... Slow motion farming ... Cliche after cliche after cliche, badly and stupidly presented ... Once again it was badly colour graded ... The slow motion was absolutely ridiculous ... I mean I can see Snyder pitching this with "" I'm actually doing something unique here in actually doing my customary slo-mo shots slowed down a second time and having them have no relevence whatsoever to flow or plot line ... Seriously, start respecting your time and don't waste it on garbage, cos that is all this is.","41 out of 47 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt23137904/rw9767685/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","2 movies in, still no plot","https://www.imdb.com/review/rw9747824/?ref_=tt_urv","whatgift","https://www.imdb.com/user/ur18148048/?ref_=tt_urv","21 April 2024","The Snyder trademarks are all here in abundance - endless slo-mo, rousing vocal score, long close ups etc. The cliched and uninteresting characters also dominate the proceedings - it's very hard to care about anyone here.The second half is basically one big battle, which is actually well done - the action is frenetic and realistic for the most part and looks more real than most of Snyder's back catalogue. It's a shame that the first half is so dull and silly, with a forced back story scene where the main characters basically retell their lives in cheesy flashbacks taking up a ridiculous amount of time.It's worth watching for the visuals and action, but don't expect much more.","83 out of 130 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt23137904/rw9747824/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"3","/10","How can it be worst than the 1st","https://www.imdb.com/review/rw9744982/?ref_=tt_urv","miky-199-790837","https://www.imdb.com/user/ur57514447/?ref_=tt_urv","19 April 2024","In a world where mankind travels in spaceships next to black holes, a bunch of people and animals dragging a spaceship around must be the lowest point of the movie.Story is total trash. Didn't make sense from the first part. Ain't getting better in the second.Characters are totally unrelatable. Their backstories and motivations complete nonsense, irrelevant and told in a very boring manner.The dialogues are so cringe and bland it makes you turn off the volume.And how easy it must be to make a 2 hours movie when 70% of it is slow motion.How can you have a carriage that floats on thin area, but needs a horse like animal to drag it around?","164 out of 205 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt23137904/rw9744982/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Does no one else see ""The Magnificent Seven""???","https://www.imdb.com/review/rw9746894/?ref_=tt_urv","kduggan-87464","https://www.imdb.com/user/ur72617882/?ref_=tt_urv","20 April 2024","This has been bothering me for a day or so now. I have literally never written a review before. But, I had to share what I'm seeing with others.I've seen people compare this movie/movies to Star wars and Akira Kurosawa's The Hidden Fortress. But I mean a small town being pushed around by a massive force. Who looks for warriors to help keep their town.Anyways, it's not bad but not great either. It's a nice action movie for at home viewing. If your looking for a strong story or edge of your seat action. Then this movie isn't for you. But if you're looking for something to watch on Saturday night then just have fun and don't think about it.","69 out of 117 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt23137904/rw9746894/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"2","/10","Madame Web has been dethroned","https://www.imdb.com/review/rw9744729/?ref_=tt_urv","kevinfaftine","https://www.imdb.com/user/ur72195193/?ref_=tt_urv","19 April 2024","In my review for Child of Fire I said it felt like a 2 hour trailer for this movie. I don't know how this managed to be even more dull and boring than that one.The script is so bad, the small amount of dialogue it has is insufferable, the pacing is so bad, it makes an already boring movie even worse. There's a part of the movie that is, montage, small bit of normal scene, more montage, another small bit of normal scene. It's hard to get through.The relationship between the main team is almost nonexistent. You made a whole movie about them meeting, and in the second movie, they still barely talk with each other. In the final battle one of them tells another, ""If I must die"" and the other says ""together"" and it's genuinely the first time they spoke with each other.The exposition is done so horribly. There's literally a scene where they go around a table and each of them does a summary of their origin story, as it's shown in flashbacks. And when most of them are done, one of them actually says ""What about you? You haven't told your story"".Final battle has some nice sequences, but it's filled with just overdramatised moments of sacrifice and death, because these characters are basically cardboard.There are some cool shots, some with the robot Jimmy, but that's all they are, shots that look cool. 0 significance, because we barely see him in the damn movie. And to finish the fight comes that Rebellion that was shown for like 5 minutes in the first movie? Yeah, the guy with the face paint. They just appear. No idea who called them, idk how they knew there was a fight, they just show up. Idk if I missed the part where they were called, because by then I was half asleep.Then obviously there's set up for the third movie. Yeah, I was committed to the 2 parts, I don't have another one of these in me.","434 out of 574 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt23137904/rw9744729/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","People are treating Snyder like he killed a puppy","https://www.imdb.com/review/rw9745823/?ref_=tt_urv","magadalwarmayur","https://www.imdb.com/user/ur69481828/?ref_=tt_urv","20 April 2024","Alright, so I finally got around to watching Rebel Moon Part 2: The Scargiver, and let me tell you, it's a bit of a rollercoaster ride. On one hand, there's definitely been some improvement since the first film, particularly when it comes to the jaw-dropping action sequences. Seriously, they were inventive, eye-catching, and had me glued to the screen throughout.But here's where things get a little complicated. While the action scenes were a major highlight, it felt like the filmmakers were more focused on laying the groundwork for a potential franchise rather than delivering a standalone, gripping story. This weakened the immediate stakes of the plot, leaving me feeling somewhat disconnected from the characters and their struggles.Now, let's talk about Zack Snyder. The guy's no stranger to controversy, and while I think he gets more flak than he deserves, I can't deny that there were some pacing issues in this film. Plus, some of the characters felt underdeveloped, which was a real missed opportunity considering the potential they had.On the positive side, the visual spectacle of Rebel Moon Part 2 is undeniable. Snyder's signature style shines through, and there are moments of pure cinematic magic that left me in awe. But it's clear that the focus on franchise-building came at the expense of fully fleshing out the story and its characters.So, where does that leave us? Well, if you were a fan of the first Rebel Moon, you'll probably find Part 2 to be a more polished experience. The action is top-notch, and there's definitely a sense of progression in terms of the overall feel of the film. However, if you're looking for a completely satisfying conclusion with high stakes and deep character development, you might be left wanting more.In the end, Rebel Moon Part 2: The Scargiver is a solid improvement over its predecessor, but there's still plenty of room for growth. Here's hoping that any future installments can strike a better balance between franchise-building and delivering a compelling, standalone story.The hate for this film is not justified at all.People are treating zack Snyder like he killed a puppy.","157 out of 362 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt23137904/rw9745823/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"3","/10","Absolute tosh","https://www.imdb.com/review/rw9745154/?ref_=tt_urv","dragontung","https://www.imdb.com/user/ur2897415/?ref_=tt_urv","19 April 2024","What a load of tosh.I didn't feel any connection with any of the cliched, 2-dimensional characters so didn't care when any of them died.However, it gets a few stars for great visuals and CGI, the satisfying splashy-lava effect of the blasters, and the light-trail effects of the light sabres. The coolest moment was the James the mech with his cloak in his One Punch Man moment.Half the movie was the farmers harvesting wheat and after one day of combat training got a better kill-death ratio than any of the veterans.The other half of the movie was a guy turning the little wheel to aim the Dreadnaught cannon.Remind me never to watch any more Synder movies on Netflix.","267 out of 365 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt23137904/rw9745154/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
