"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"7","/10","More films need to be directed by stuntmen","https://www.imdb.com/review/rw6353244/?ref_=tt_urv","Vartiainen","https://www.imdb.com/user/ur30163554/?ref_=tt_urv","10 December 2020","Extraction stars Chris Hemsworth and was produced by the Russo brothers. It was directed by Sam Hargrave in his directorial debut. He has previously made a career as a stuntman, most notably as a stunt coordinator in several Marvel movies. And that definitely shows in the film. This film contains some of the nicest action set pieces seen in years.Unfortunately, this comes at a price. Namely that of an interesting story. While the story of Extraction - a gun for hire (Hemsworth) shooting his way through Bangladesh in order to rescue the kidnapped son of a drug lord - is perfectly serviceable, it's also nothing to write home about. The characters are shallowly written and while they're acted well enough, the main attraction of the film are those action scenes.That being said, those are definitely good enough on their own to justify the price of admission. Hemsworth gives an electrifying performance as a man spread too thin by all the violence he has caused, while Randeep Hooda gives an equally memorable performance as his foil and counterpart.And it's just plain fun to watch. If you have a soft spot for those 80s action films such as Commando or Rambo, then this is definitely worth checking out.","145 out of 156 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt8936646/rw6353244/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","An aggressively average plot, elevated by incredible action and great performances","https://www.imdb.com/review/rw5780783/?ref_=tt_urv","glennmeerten06","https://www.imdb.com/user/ur54651770/?ref_=tt_urv","28 May 2020","Tyler Rake (Chris Hemsworth) is tasked with extracting the son of a druglord amids an all-out drug war. Battling hostiles and a troubled past along the way.Thank you Jon Wick for upping the game for action films! Extraction excels in its action set pieces. Long, gorgeous takes with brutally grounded fight scenes, showcase the vicious nature of warfare. Hemsworth carries this entire film on his shoulders and has the daunting task of elevating the paper thin narrative to an acceptable level. Thankfully, he succeeds. Thor can act darn it, and in this film he proves it yet again.Like Jon Wick before him, seeing Hemsworth kicking ass in amazingly choreographed fight scenes, is exhilarating. The film is unapologetically honest in its depiction of violence and its consequences. Riding on fantastic sound design, every impact, bullet wound and car crash pulls you in deeper and deeper in the film.","251 out of 281 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt8936646/rw5780783/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Solid and violent action flick","https://www.imdb.com/review/rw5680482/?ref_=tt_urv","DVD_Connoisseur","https://www.imdb.com/user/ur0789739/?ref_=tt_urv","26 April 2020","""Extraction"" is fast, vicious and simple. With a death count that's approaching John Wick 3 levels of bullet ballet, the movie hardly pauses for breath.Chris Hemsworth is excellent as the haunted mercenary Tyler Rake. This is a very physical role and Hemsworth delivers in spades.8 out of 10.","183 out of 222 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt8936646/rw5680482/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Great action, zero plot","https://www.imdb.com/review/rw5670081/?ref_=tt_urv","hellspuppy","https://www.imdb.com/user/ur103496924/?ref_=tt_urv","24 April 2020","The action scenes are really good. Close combat with extremely long shots in tight spaces. Sometimes it has a shooter video game feel to it. Hemsworth and the stunt team really showed of their skills. This movie is really more about close combat scenes, than crazy Hollywood stunts a la mission Impossible. Other than that, all the story is already in the title, which is fine for this type of movie. The actor, who played the boy was a wonderful casting choice. He was carrying the whole emotion of story. We'll be seeing more of him. Other characters were not drawn out. This movie is not for everyone, it is not well rounded, it's all action and no story. I personally enjoyed it though. I recommend this for viewers that like close combat action and martial arts movies.","865 out of 1,120 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt8936646/rw5670081/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","OK Plot, Immense Action Scenes, Hemsworth Nails It","https://www.imdb.com/review/rw5674952/?ref_=tt_urv","Mayrise","https://www.imdb.com/user/ur34504129/?ref_=tt_urv","25 April 2020","I'm not much of a writer, so I'll keep the review short.The plot is nothing new, but is interesting enough. However, Chris Hemsworth knocks it out the park with his performance - I really didn't expect that from him, but he is awesome in this.The action scenes are great, and some of the camera work and filming techniques are fantastic.The film is a 6/10, but I gave it a 7/10 for the action scenes and Hemsworth's performance.","339 out of 443 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt8936646/rw5674952/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","A violent film with some seriously good action sequences","https://www.imdb.com/review/rw5669993/?ref_=tt_urv","jtindahouse","https://www.imdb.com/user/ur3793011/?ref_=tt_urv","24 April 2020","In a world that is currently minus new films, to get a fresh one delivered to us via Netflix was a much needed treat. And I'm glad to report that 'Extraction' was worth the wait. It isn't a flawless movie, but it certainly has some good things going for it. The action sequences were probably the highlight of the film for me. I'm not usually someone who appreciates or even notices good action sequences, but I did with this film which says something. There is one sequence that really blew me away. It is a one-shot sequence that goes on for quite some time and has some amazing ingenuity behind it. Definitely the highlight of the film.Chris Hemsworth was right at home in this role. He doesn't have to do a lot of speaking, and can just let his actions speak for themselves. Some of the stunt work in this film would not have been easy. When he is required to slow things down and have some dialogue in the odd scene he does so adequately.The film surprised me with just how violent it was willing to be at times, especially in scenes involving children. There were a couple of time where I thought - they're not going to do that are they? - and then sure enough they did. This is a very serious film as well. Very little (if any that I can think of) humour whatsoever makes an appearance.The film does get a little tedious towards the end. You can only watch so many people getting shot without becoming numb and a little bored by it. Also the film opens with a shot from near the end of the film. It doesn't work though because there is no intrigue behind it. This was one of the few poor choices an otherwise very good film made however. I would recommend giving this one a watch.","350 out of 502 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt8936646/rw5669993/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Well worth it.. wow","https://www.imdb.com/review/rw5724405/?ref_=tt_urv","World-viewer","https://www.imdb.com/user/ur106069371/?ref_=tt_urv","10 May 2020","Negative reviews have focused on the alleged shortfall in the depth of the plot. Really? Most action movies out there... how many have a plausible plot? At least for this movie, the plot is plausible, the action, obviously a stretch. But those critics railing on the movie forget what a movie is supposed to be all about. Entertainment. It's not a real life documentary, not an ensemble boring drama piece. When it comes to wham-bang entertainment, this movie delivers on all cylinders. The movie is probably more analogous to a version of masterful The Raid than an Oscar drama piece. Live with it. Watch it. Enjoy. It is a movie. It will keep you glued. Though the squeamish may need to take a break.","196 out of 249 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt8936646/rw5724405/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","From bangladesh, I know an action movie doesn't represent culture, but....","https://www.imdb.com/review/rw5678187/?ref_=tt_urv","grshuv","https://www.imdb.com/user/ur93799325/?ref_=tt_urv","26 April 2020","I am Bangladeshi. But I know this movie was not made with our culture. But Hindi songs go from house to house in Bangladesh! What an awkward thing! Then writing Hindi on the street, Hindi pronunciation in every word, what are these? Learning from Kolkata, if Dhaka is named, then this is the situation! The job of a director and team is to check and select well. They have lost completely. But the actions of this movie were extraordinary. chris and randeep have done a great job.I know an action movie doesn't represent culture, but the movie is criticized for its lack of analysis by the director and the team. A little better analysis was needed, because here the names of the russo brothers are involved. And i love russo brothers and chris my thor so much....","367 out of 553 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt8936646/rw5678187/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"9","/10","Give Me More","https://www.imdb.com/review/rw6352679/?ref_=tt_urv","view_and_review","https://www.imdb.com/user/ur3670492/?ref_=tt_urv","10 December 2020","What a rush. What a thrill. What poetic violence.After movies like this, ""6 Underground,"" ""Ronin,"" and others, can we please have more movies set in foreign countries? Let's break away from the monotony of New York, L.A., and Chicago and go international: Mumbai, Tokyo, Lagos.The premise of the movie is simple and it's all in the title. A skilled mercenary named Tyler (Chris Hemsworth) has been contracted to extract a drug dealer's kidnapped son. It's pretty much a suicide mission, but Tyler didn't need even the slightest coaxing to take the job. He didn't even ask the price. Some odd hours later he's in Bangladesh, kid in tow, shooting his way out of a sticky situation.This ballsy grimy film took you through the muck in style. The camera angles and continuous action shots were fresh as it followed Tyler from one point to the next while he shot and fought John Wick style to his extraction point. ""Extraction"" was raw at times, shocking at other times, and even moving at times. It's a no frills visceral form of action that keeps you at the edge of your seat and constantly engaged. Ooooh! give me more.","74 out of 90 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt8936646/rw6352679/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Exactly what I expect from Netflix.","https://www.imdb.com/review/rw6581401/?ref_=tt_urv","mattforner","https://www.imdb.com/user/ur129320636/?ref_=tt_urv","10 February 2021","Extraction is a fun and average action flick that has awesome action, good performances, and a totally ""meh"" plot. But hey, this is exactly what Netflix is for and I'm totally okay with that.","43 out of 61 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt8936646/rw6581401/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
