"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"5","/10","Fast X","https://www.imdb.com/review/rw9093820/?ref_=tt_urv","Prismark10","https://www.imdb.com/user/ur4569900/?ref_=tt_urv","1 June 2023","By this point, I went to see Fast X without a clue as to what happened in the last one. I think some people went to space.The F&F series is one where villains become friends, people come back from the dead and cars defy the laws of physics. No one has an idea of the story soon after they watched it.A plot inspired by Fast 5, where they stole a safe and rode it along the streets of Rio de Janeiro.Dante Reyes (Jason Momoa) is the sociopathic son of Hernan Reyes (Joaquim de Almeida) and he wants to make Dom Toretto and his family suffer for what happened to his dad.The main action starts by dropping a big rolling bomb in Rome and aim it for the Vatican.Plagued with behind the scenes issues. Original director Justin Lin departed soon after shooting started. Director Louis Leterrier does a workmanlike job. As he showed in the Netflix series Lupin, Now You See Me as well as The Transporter movies. He can do car stunts as well as sleight of hand. Some of the CGI looked cheap though.As for Momoa, the director obviously told him. Man you will never play the Joker, too Polynesian. So Dante is your Joker and dial it up to 12. He is loud, camp and is having a ball. Especially with those two IT guys with a funny grin on their faces.Some of the regulars are even more tiresome. A few should had showed up but did not like those two Brazilian guys from the earlier movies. John Cena plays lovable Uncle Jacob, he was the main villain in the last one.The movie actually has four Oscar winning actresses. Not one of them told Vin Diesel how to do dramatic. When Dom had these small tender scenes, I nearly fell asleep.","204 out of 254 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt5433140/rw9093820/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Because... Family","https://www.imdb.com/review/rw9070522/?ref_=tt_urv","dorMancyx","https://www.imdb.com/user/ur125833174/?ref_=tt_urv","22 May 2023","I had a mission walking into that theater, and that is to count the number of ""family"" spoken in this movie. At the end of the day, I got about 2 ""familia"", 3 ""fam"", and a grand total of 28 ""family"". See if they can break that record next time!Nothing much needs to be commented about the film itself: we launched cars into space last time to destroy satellites, what less could you expect? Screw the logistics, screw physics, and screw Newton with his screwing apple tree! And guess what, if you do manage to stay awake after an hour, you'll start to understand how F&F actually survives the 22-year journey of production --- by not giving a screw! Hey, remember when Gal Gadot's character got blew up? Yeah screw that she quitting DCU so we resurrects her in our universe. Remember how Jakob was the cold-blooded villain just one movie before this? Screw that we got Peacemaker to play him this time cuz it makes great comedy. Remember when not even Dune dared announcing sequels until the first week of release? Screw that, Villeneuve ain't know nothing about making sequels, we bringing Fast 12 on the calendar while releasing the trailer!So yeah, here we are, anticipating Fast 11 next year, when the man named Dominic I-Am-Groot Toretto asserts dominion over Dante the Jokerized Aquaman, of course, with the help of his family.","175 out of 231 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt5433140/rw9070522/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","The most entertaining part of this movie are the ChatGPT 10/10 reviews","https://www.imdb.com/review/rw9073173/?ref_=tt_urv","Top_Dawg_Critic","https://www.imdb.com/user/ur64798417/?ref_=tt_urv","23 May 2023","I mean they didn't even try to hide the fact they are all mostly two word titles with copy-pasting the same sentences in different order in one paragraph. Racing Victors, Racing Heat, Racing Rivals, Racing Independence, Racing Mavericks, Racing Tranquility, Racing Liberty, Racing Bliss, Racing Winners, Racing Explorer, Racing Heaven... and many, many more - and those are just the titles starting with Racing, there are other obvious patterns with different title words.This has to be a world record for bogus ChatGPT reviews. I mean it's pretty bad when the producers have to stoop so low, and they're that lazy to even hide the fact they are trying to fool their audience this way. It also proves how little faith they have in their own film. The current Rotten Tomatoes critics 54% rating is a more accurate. I gave it a generous 6/10.It's too bad more effort didn't go into the writing and S/VFX (which needed major toning down and lacked realism), as they put towards trying to fool their fans of the franchise. This was too long, too slow, and too cartoonish. The writing was infantile, like it was written by a bunch of prepubescent giggly teens, and Momoa's character was too overboard and can't be taken in long doses. They basically tried to copy The Joker's character instead of creating his own persona. His performance however was still the most engaging and entertaining. Don't even get me started on the lame ending which will punish anyone following Vin Diesel on social media with him constantly counting down the days until the next ridiculous part 2 of Fast X. They should've just put us all out of our misery and ended this franchise at a nice even number.Nevertheless, still a decent popcorn watch riddled with brainless exposes of plot holes and nonsense entertainment, especially if you have nothing better to do and almost 3 hours to waste.","152 out of 218 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt5433140/rw9073173/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Better than the last movie, but still ridiculous","https://www.imdb.com/review/rw9113656/?ref_=tt_urv","Dannyboi94","https://www.imdb.com/user/ur65076361/?ref_=tt_urv","11 June 2023","Ever since the Fast Five (in my opinion the best movie in the series), The Fast Franchise has taken a nosedive. It is now straight up ridiculous what this series has turned into. A street gang, is basically an army of unstoppable and invinsible soldiers. Seriously these people would probably survive a nucular blast - or a more likely scenario, Dom Tortetto would likely absorb the blast and shoot it from his eyeballs. It's gotten that absurd.While this movie is close to being an MCU movie, it is drastically better than the horrific previous movie, which made me rethink what a movie is. Fast X is pretty good for the most part, if you can switch off your brain and not take anything you see seriously at all.The story is as you would expect - bad, but it flows from point A to B which is good enough. The visual effects are great, the soundtrack is pretty good as well. But the clear standout here is Jason Momoa. His acting and character is a blast to watch. Every scene he's in, keeps your attention, because he brings a much needed fun and humorous vibe to this weird movie. Jason was clearly having fun here, because it translates to the screen. His crazy character was more compelling than most, if not all of the previous villains of the series combined. So the reason I am even giving this movie a 6, is solely because of Jason as Dante.Fast X ends of a stupid cliffhanger, but if we get to see more of Dante, I'm up for the next installment. Let's just hope thye don't stick to this trend of making villains heroes by the end, and killing off more people only to bring them back a few years later.","52 out of 73 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt5433140/rw9113656/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"1","/10","What Happened?","https://www.imdb.com/review/rw9192108/?ref_=tt_urv","feritciva","https://www.imdb.com/user/ur4846922/?ref_=tt_urv","15 July 2023","I can write the exact same review for the last Transformers, last Indiana Jones, last Star Wars movies, last FF or last Marvel movies etc... What happaned people? Something has happened in movie industry in late 2010's - 2017 or 18. We cannot see any decent plot, any consistent story-telling or any sympathetic characters anymore. Day after day we have to endure more & more imbecilic movies with idiotic characters... new movies come out and this pattern never changes.It's really not an easy job to be a movie-lover as of 2020's! :((PS: .... and we see the above trend here in imdb too, as it insists on some ""minimum character limit"". Oh my!!","185 out of 210 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt5433140/rw9192108/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"1","/10","Excruciatingly Awful","https://www.imdb.com/review/rw9155427/?ref_=tt_urv","MamadNobari97","https://www.imdb.com/user/ur45507551/?ref_=tt_urv","30 June 2023","I thought they couldn't possibly write something even worse than F9, but here we are.This movie is just excruciating to watch and the 2 hours felt like a really long 5 hour movie to me. It's just a dumb action scene after a dumb action scene that never ends, until the movie just ends out of nowhere. Like even filler TV show episodes have better story structures and endings than this.This movie might be better than F9 for some, which is understandable since it's all because of Jason Momoa. Hell, I don't even remember a thing that happened in the last movie, but I won't forget Momoa's character here any time soon. So I get why this would be more watchable and better for some, if not most people because of Momoa, but I think it's worse and Momoa's character gets tired and annoying really fast.The biggest problem of this movie is that the writers don't have the balls to actually kill a main character and actually hurt the ""family"". So instead they introduce new characters out of nowhere and bring back characters from Fast Five so they could kill them instead and make Dom care about them instead of actually killing his real ""family"". Because they already brought back so many characters from the dead that they know they would have to bring back the ones they kill here in Fast 13.Not to mention all the unnecessary unfunny long scenes that contribute little to nothing to the story and only pad the runtime and make you want to do literally anything else but continue watching it, like the black market scene with the ever unfunny Pete Davidson.There are just an awful amount of long useless scenes that make you more sleepy. This movie is a really good cure for insomnia.Like if you cut 90% of Tej/Roman/Ramsey scenes, nothing changes here and actually helps the awful pacing of the movie and gets rid of unnecessary scenes that do nothing for the plot. But then again, it's the only time you have a breather between the awful action scene.The story structure is just plain awful and the movie feels more like a bunch of random action scenes jumbled together than having an actual plot structure.Compare this to the storytelling of Fast Five which this movie loves to use a lot of footage of it and retcon it's story, remind you how much better the writing and action scenes were, and basically ruin it. It's not like the old movies were masterpieces, but at least the writer knew how to keep the action somewhat grounded, and how to keep the characters interesting and to have a decent balance between action and dialogue and characterization.Those movies were mediocrely written, but at least they were competently mediocre with actual story structures and characters that felt like real humans to some degree. They were actually entertaining because they did the bare minimum of keeping it grounded and realistic enough for your suspension of disbelief and also with the characters so you would care about them enough to watch a 2-hour movie of them doing all of that.But these last two movies have just been some of the worst writings I've ever seen and they feel like they weren't even written by adult humans and with the worst dialogue imaginable. This one is particular feels like it's just a collage of some random bs they wrote on the story board.They also try to make and take everything so seriously to a point that that alone makes it hilarious, now add a jester villain to the mix and you have this ridiculous amalgam of ridiculousness that wants you to take it seriously but you can't do anything but roll your eyes and facepalm.The movie is already bad and you want it to end badly from very early on, but the ending itself is so bad that it's insulting honestly.All of that with a lot of other problems that I do not care to list and waste any more time talking about this garbage, along with the fact that you already didn't care an ounce about these characters and stories in F9, make this movie worse than the previous one for me and gets a 1/10 from me. Somehow I feel like they can even go lower and deliver us an even worse mess of a movie with the next one, but the writers of that are apparently different and more experienced, so we have to wait and see but I doubt anyone could save this at this point. But, this movie sets the lowest bar possible, so you must be an actual genius to somehow write something worse than Fast X's script.","238 out of 279 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt5433140/rw9155427/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Lower your expectations, just go for the fun","https://www.imdb.com/review/rw9061888/?ref_=tt_urv","viantyara","https://www.imdb.com/user/ur65629993/?ref_=tt_urv","18 May 2023","After F9, I did not put any high expectations towards this movie. I mean come on, a gang of street racers, was the top choice by government to stop terrorist attacks? Don't they have special forces? So yeah, lower your expectations because I'm glad I did. And it turns out to be more fun that expected. Hear me out, the movie still lacks of logical explanation for its action scenes. Physicists will cry watching this movie. Put your logic aside and watch it for fun, it's great. Jason Momoa's character was surprisingly good! The villain's plan was so much more malicious than previous ones. The soundtracks, like usual, does not disappoint. Cinematography is nice as well! What disappointing for me is Brie Larson's character. A waste potential. I don't know maybe her role will be bigger in the next part.","10 out of 12 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt5433140/rw9061888/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"2","/10","its comically bad","https://www.imdb.com/review/rw9151770/?ref_=tt_urv","gehete-40949","https://www.imdb.com/user/ur150485865/?ref_=tt_urv","28 June 2023","You know the deal by now, family, fast cars, hot girls(not so many this time), A-list celebrities, cheesy dialogue and story all wrapped up in a high budget movie that barely makes sense. It is not supposed to make sense of course. Even if there ever was an attempt to convey street racing culture at the beginning of the franchise all is but gone replaced by a forgettable action flick that deserves to be a streaming only release.If you went to the cinemas for this bore fest of pointless explosions I feel bad for you. I am not even go into the story, the only saving grace of these movies at this point is the polished cg and well done stunts. Just do society a favor and stop rewarding mindless micheal bay movies.","72 out of 82 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt5433140/rw9151770/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Sit back, switch your brain off and have a great time","https://www.imdb.com/review/rw9060638/?ref_=tt_urv","jtindahouse","https://www.imdb.com/user/ur3793011/?ref_=tt_urv","17 May 2023","Admittedly I hadn't seen of these 'Fast' movies in a long time, but I'm not crazy am I - the cast wasn't always this strong, was it? There is a truly insane lineup of stars in this movie, and somehow the movie finds a way to give every one of them a purpose.Jason Momoa as the bad guy is worth mentioning as being terrific. He looked like he had a lot of fun with the role. It seemed like he was given a lot of leeway to do as he pleased and he used it wisely. He actually gave me a lot of 'Joker' vibes.The film is long at 2 hours and 21 minutes, but it's a rare time when I felt the film could absolutely justify it. For one thing the pacing is incredible and time really does fly by. For another thing there is so much going on and so many cast members who need time to do their thing that it was absolutely necessary. Actually the fact they were able to cut the run time down to only this was an accomplishment.The action scenes and the story are as outrageous as we have come to expect from this series. It's at the point now where you simply have to sit back, switch your mind off and enjoy the ride. And to be honest it's pretty easy to do with this film. I had a great time. 8/10.","260 out of 470 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt5433140/rw9060638/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"1","/10","I literally thought this was a parody skit off of SNL!","https://www.imdb.com/review/rw9078604/?ref_=tt_urv","towe-51620","https://www.imdb.com/user/ur63355756/?ref_=tt_urv","26 May 2023","I have to admit all you people who forewarned me still didn't prepare me for the absolute most ridiculous movie in this franchise & definitely in the top 20 of worst movies ever! Everything was forced, the acting was stale and wooden, nobody seemed to care that they were looking like what they were out there doing! Stroking Vin's ego and not caring how they came across. They were all just going through the motions of a movie with less plot the Wiley Coyote and the Roadrunner. Momoa did a cheap imitation of Ledgers Joker and every part of this movie was just one lifted from 1 or more of the previous 9 movies! The car in outer Space was 10 times better than this 10 year olds version of the Fast & Furious. Fast is just a blatant rip off of Point Break. Walker was Keanu as Johnny Utah, Vin as Swayze's Bohdi. Instead of surfing it's cars and in some they actually rob a bank or two. This movie should never have been made as it contains nothing of what made this group of films popular as they are. The next one hopefully will be the last forever! Whoever gave this more than a 1 has to be somebody related to someone in the movie or a 5 year old! This was so bad that it wasn't even funny and the torment lasted almost 3 hours of non stop chaos and pointless plots with going back and forth between too many storylines that were not connected or understandable! If you don't want to waste 3 hours of your life, skip this and watch Looney Tunes, they are superior in every way!","290 out of 353 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt5433140/rw9078604/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
